time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-11-09,3052.62,3043.87,3065.54,3035.13,-15.29,-0.5,654.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-11-12,3044.58,3057.7,3061.66,3033.11,13.83,0.45,604.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-11-13,3055.68,2993.26,3055.68,2989.35,-64.43,-2.11,671.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-11-14,2992.62,2995.47,2998.48,2966.46,2.2,0.07,549.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-11-15,2986.05,2948.82,2994.85,2943.74,-46.64,-1.56,596.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-11-16,2945.22,2933.88,2947.43,2912.63,-14.95,-0.51,536.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-11-19,2934.17,2948.8,2948.8,2906.42,14.93,0.51,512.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-11-20,2953.65,2941.25,2963.21,2938.57,-7.55,-0.26,509.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-11-21,2938.68,2973.52,2973.52,2906.55,32.27,1.1,581.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-11-22,2961.89,2942.17,2961.89,2931.14,-31.35,-1.05,513.76,0.0,0.0,0.0,0.0,0.0,0.0,2,3305.44,2650.31
2012-11-23,2943.01,2949.08,2962.72,2937.17,6.91,0.23,537.65,0.0,0.0,0.0,0.0,0.0,0.0,2,3294.92,2641.87
2012-11-26,2944.36,2902.55,2944.88,2899.38,-46.53,-1.58,486.73,0.0,0.0,0.0,0.0,0.0,0.0,2,3277.7,2628.06
2012-11-27,2892.74,2801.03,2892.74,2799.67,-101.52,-3.5,655.23,0.0,0.0,0.0,0.0,0.0,0.0,2,3256.36,2610.95
2012-11-28,2789.93,2749.39,2789.93,2740.66,-51.64,-1.84,565.96,0.0,0.0,0.0,0.0,0.0,0.0,2,3229.04,2589.05
2012-11-29,2749.41,2725.41,2767.3,2718.58,-23.98,-0.87,496.26,0.0,0.0,0.0,0.0,0.0,0.0,2,3204.25,2569.17
2012-11-30,2722.99,2757.19,2759.39,2718.68,31.78,1.17,548.86,0.0,0.0,0.0,0.0,0.0,0.0,2,3184.63,2553.44
2012-12-03,2753.85,2693.26,2766.87,2690.66,-63.93,-2.32,584.03,0.0,0.0,0.0,8.3,12.9,-0.91,2,3156.27,2530.7
2012-12-04,2684.99,2721.6,2725.89,2661.13,28.35,1.05,628.28,0.0,0.0,0.0,12.22,12.67,11.3,2,3131.89,2511.15
2012-12-05,2716.24,2818.09,2834.24,2711.3,96.49,3.55,1109.14,0.0,0.0,0.0,25.49,16.95,42.58,2,3114.63,2497.32
2012-12-06,2820.86,2819.3,2832.92,2803.34,1.21,0.04,926.19,3108.36,2885.78,2663.21,35.58,23.16,60.42,2,3101.0,2486.38
2012-12-07,2815.45,2881.5,2884.27,2808.11,62.2,2.21,1218.18,3088.09,2877.66,2667.23,55.43,33.91,98.47,2,3093.49,2480.37
2012-12-10,2886.48,2928.27,2930.29,2875.28,46.77,1.62,1301.85,3066.49,2871.19,2675.89,70.04,45.96,118.2,2,3096.35,2482.66
2012-12-11,2918.75,2903.73,2929.03,2900.11,-24.54,-0.84,1067.87,3054.58,2866.72,2678.85,76.74,56.22,117.78,2,3107.75,2491.8
2012-12-12,2902.42,2899.25,2915.43,2872.48,-4.48,-0.15,858.14,3041.06,2861.9,2682.75,80.65,64.36,113.22,2,3124.38,2505.14
2012-12-13,2892.48,2866.77,2901.21,2865.17,-32.49,-1.12,826.16,3032.51,2857.8,2683.09,79.23,69.32,99.06,2,3140.07,2517.72
2012-12-14,2863.29,2985.38,2988.86,2863.06,118.62,4.14,1768.31,3040.92,2860.38,2679.84,85.8,74.81,107.78,2,3165.4,2538.03
2012-12-17,2990.94,2999.93,3008.1,2977.07,14.54,0.49,1530.1,3049.75,2862.93,2676.12,89.62,79.75,109.36,2,3199.44,2565.32
