time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,5110.91,5108.86,5120.52,5043.79,27.87,0.55,676.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,5088.18,5047.77,5091.51,5035.3,-61.09,-1.2,668.19,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,5048.4,5038.67,5089.26,5022.18,-9.1,-0.18,602.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,5033.46,5047.39,5088.39,5011.9,8.72,0.17,640.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,5044.75,4912.99,5046.87,4902.95,-134.4,-2.66,519.69,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,4897.7,4906.46,4910.01,4871.87,-6.53,-0.13,439.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,4915.13,4921.86,4932.13,4867.3,15.4,0.31,443.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,4935.56,4969.12,4984.67,4927.17,47.26,0.96,437.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,4960.22,4935.38,4960.22,4898.54,-33.74,-0.68,440.72,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,4899.67,4764.21,4929.62,4761.87,-171.17,-3.47,511.94,0.0,0.0,0.0,0.0,0.0,0.0,2,5511.45,4419.09
2011-01-18,4751.37,4819.62,4819.62,4718.09,55.41,1.16,351.99,0.0,0.0,0.0,0.0,0.0,0.0,2,5479.35,4393.35
2011-01-19,4822.38,4898.58,4898.84,4804.48,78.96,1.64,403.17,0.0,0.0,0.0,0.0,0.0,0.0,2,5462.79,4380.07
2011-01-20,4892.9,4748.81,4892.9,4744.11,-149.77,-3.06,460.76,0.0,0.0,0.0,0.0,0.0,0.0,2,5430.61,4354.27
2011-01-21,4731.87,4757.28,4804.92,4714.84,8.47,0.18,493.21,0.0,0.0,0.0,0.0,0.0,0.0,2,5398.41,4328.45
2011-01-24,4747.05,4674.32,4768.05,4640.56,-82.96,-1.74,423.87,0.0,0.0,0.0,0.0,0.0,0.0,2,5371.92,4307.21
2011-01-25,4660.28,4658.21,4673.9,4629.97,-16.11,-0.34,347.86,0.0,0.0,0.0,0.0,0.0,0.0,2,5344.36,4285.12
2011-01-26,4660.35,4722.22,4736.51,4660.35,64.01,1.37,344.35,0.0,0.0,0.0,18.55,18.43,18.8,2,5322.2,4267.35
2011-01-27,4694.19,4784.15,4796.1,4660.1,61.93,1.31,546.61,0.0,0.0,0.0,29.52,22.13,44.31,2,5301.67,4250.89
2011-01-28,4779.36,4843.95,4858.79,4776.26,59.8,1.25,509.34,0.0,0.0,0.0,46.21,30.15,78.32,2,5291.52,4242.75
2011-01-31,4836.05,4898.25,4904.54,4824.58,54.3,1.12,427.47,5127.52,4872.91,4618.29,63.38,41.23,107.67,2,5306.4,4254.68
2011-02-01,4900.73,4889.88,4913.34,4868.86,-8.37,-0.17,342.66,5092.76,4861.96,4631.15,72.82,51.76,114.95,2,5314.2,4260.93
2011-02-09,4861.34,4855.81,4921.62,4843.36,-34.07,-0.7,391.08,5066.85,4852.36,4637.87,74.36,59.29,104.5,2,5309.45,4257.13
2011-02-10,4844.77,5050.08,5054.19,4841.05,194.27,4.0,762.71,5069.45,4852.93,4636.41,82.58,67.06,113.64,2,5342.89,4283.94
2011-02-11,5051.19,5095.43,5140.62,5042.03,45.35,0.9,736.52,5081.29,4855.33,4629.38,85.44,73.18,109.95,2,5380.43,4314.03
2011-02-14,5103.04,5187.13,5203.51,5103.04,91.7,1.8,803.95,5136.73,4869.04,4601.35,89.29,78.55,110.76,2,5437.35,4359.67
2011-02-15,5193.1,5167.35,5219.62,5163.53,-19.78,-0.38,711.59,5179.56,4882.08,4584.6,89.74,82.28,104.67,0,5493.86,4404.99
2011-02-16,5158.06,5187.78,5188.49,5133.49,20.43,0.4,643.55,5221.2,4895.38,4569.55,90.77,85.11,102.08,0,5545.54,4446.42
2011-02-17,5191.74,5164.48,5197.93,5124.88,-23.3,-0.45,786.94,5250.36,4905.15,4559.93,89.19,86.47,94.64,0,5587.76,4480.27
2011-02-18,5155.47,5131.51,5180.29,5128.68,-32.97,-0.64,709.44,5273.92,4914.95,4555.99,85.04,85.99,83.12,2,5619.67,4505.87
2011-02-21,5110.73,5228.15,5228.7,5108.33,96.64,1.88,783.02,5314.68,4938.15,4561.62,89.98,87.32,95.29,2,5656.29,4535.23
2011-02-22,5235.4,5111.73,5238.04,5108.44,-116.42,-2.23,858.75,5332.41,4952.75,4573.1,82.71,85.79,76.57,2,5680.92,4554.97
2011-02-23,5098.25,5124.63,5143.61,5082.64,12.9,0.25,576.07,5350.0,4964.06,4578.12,69.19,80.25,47.06,2,5710.76,4578.9
2011-02-24,5112.95,5162.0,5172.92,5092.69,37.37,0.73,576.73,5366.57,4984.72,4602.86,63.15,74.55,40.34,2,5723.18,4588.86
2011-02-25,5169.53,5182.88,5225.6,5139.59,20.88,0.4,793.4,5382.18,5006.0,4629.82,63.6,70.9,49.0,2,5732.89,4596.64
2011-02-28,5182.65,5265.12,5265.33,5158.94,82.24,1.59,848.76,5395.32,5035.54,4675.75,75.7,72.5,82.09,2,5741.54,4603.58
2011-03-01,5272.59,5283.65,5302.81,5255.89,18.53,0.35,854.74,5397.52,5066.81,4736.1,80.9,75.3,92.09,2,5754.45,4613.93
2011-03-02,5269.37,5281.7,5283.93,5208.51,-1.95,-0.04,679.68,5397.65,5094.78,4791.92,84.07,78.22,95.76,2,5764.88,4622.29
