time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1396.53,1405.61,1405.65,1385.53,18.41,1.33,70.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1397.65,1399.66,1405.88,1395.21,-5.95,-0.42,67.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1397.06,1371.64,1399.79,1368.55,-28.02,-2.0,65.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1366.29,1357.65,1372.77,1347.68,-13.99,-1.02,70.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1347.68,1311.64,1347.68,1304.43,-46.01,-3.39,70.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1302.06,1289.94,1303.86,1281.4,-21.7,-1.65,61.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1300.76,1303.39,1305.97,1283.06,13.45,1.04,67.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1330.41,1309.97,1336.02,1309.12,6.58,0.5,55.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1297.73,1273.95,1297.73,1272.6,-36.02,-2.75,50.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1264.75,1217.69,1265.85,1215.7,-56.26,-4.42,54.29,0.0,0.0,0.0,0.0,0.0,0.0,2,1469.77,1178.46
2011-01-18,1212.35,1216.31,1221.57,1207.47,-1.38,-0.11,34.4,0.0,0.0,0.0,0.0,0.0,0.0,2,1448.75,1161.61
2011-01-19,1220.29,1242.29,1242.29,1216.73,25.98,2.14,46.96,0.0,0.0,0.0,0.0,0.0,0.0,2,1431.29,1147.61
2011-01-20,1235.41,1187.32,1236.94,1187.1,-54.97,-4.42,55.17,0.0,0.0,0.0,0.0,0.0,0.0,2,1410.83,1131.2
2011-01-21,1181.85,1178.11,1196.89,1171.46,-9.21,-0.78,52.14,0.0,0.0,0.0,0.0,0.0,0.0,1,1390.9,1115.22
2011-01-24,1179.81,1135.75,1181.35,1135.63,-42.36,-3.6,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1371.37,1099.57
2011-01-25,1132.05,1127.48,1133.09,1108.76,-8.27,-0.73,42.41,0.0,0.0,0.0,0.0,0.0,0.0,1,1353.34,1085.11
2011-01-26,1126.25,1143.8,1150.24,1126.25,16.32,1.45,42.35,0.0,0.0,0.0,9.52,5.71,17.14,1,1335.63,1070.91
2011-01-27,1133.85,1161.09,1165.82,1127.13,17.29,1.51,49.55,0.0,0.0,0.0,17.45,9.62,33.1,1,1319.1,1057.66
2011-01-28,1160.44,1168.38,1171.31,1159.46,7.29,0.63,44.64,0.0,0.0,0.0,26.52,15.26,49.04,2,1307.38,1048.26
2011-01-31,1165.88,1183.41,1184.14,1162.3,15.03,1.29,46.18,1425.37,1249.25,1073.14,36.31,22.27,64.39,2,1303.58,1045.21
2011-02-01,1186.24,1188.03,1190.39,1178.89,4.62,0.39,40.67,1400.86,1238.37,1075.89,44.82,29.79,74.89,2,1300.44,1042.69
2011-02-09,1173.79,1179.34,1193.65,1173.79,-8.69,-0.73,43.06,1373.69,1227.36,1081.03,56.58,38.72,92.29,2,1293.45,1037.09
2011-02-10,1192.86,1219.85,1219.85,1192.86,40.51,3.43,63.73,1350.27,1219.77,1089.27,71.05,49.5,114.16,2,1297.06,1039.99
2011-02-11,1219.32,1227.26,1229.96,1218.54,7.41,0.61,64.41,1327.57,1213.25,1098.93,79.96,59.65,120.57,2,1302.52,1044.36
2011-02-14,1237.47,1251.17,1251.73,1235.61,23.91,1.95,74.06,1316.92,1210.23,1103.53,86.49,68.6,122.28,2,1315.33,1054.63
2011-02-15,1254.71,1256.63,1271.23,1249.63,5.46,0.44,96.01,1311.19,1208.56,1105.94,87.62,74.94,112.97,2,1329.66,1066.13
2011-02-16,1252.87,1267.31,1267.31,1248.25,10.68,0.85,71.01,1303.77,1206.76,1109.75,90.58,80.15,111.43,0,1343.37,1077.12
2011-02-17,1271.99,1291.27,1293.66,1270.49,23.96,1.89,128.82,1299.12,1205.82,1112.52,93.11,84.47,110.39,0,1357.82,1088.71
2011-02-18,1286.43,1273.23,1289.27,1271.68,-18.04,-1.4,87.91,1298.98,1205.79,1112.59,89.73,86.22,96.73,0,1369.46,1098.04
2011-02-21,1262.98,1293.29,1293.29,1262.98,20.06,1.58,78.67,1310.22,1209.57,1108.91,93.05,88.5,102.15,0,1381.66,1107.82
2011-02-22,1296.46,1252.88,1296.91,1251.82,-40.41,-3.12,103.09,1313.79,1211.39,1109.0,81.26,86.08,71.61,2,1388.86,1113.59
2011-02-23,1251.11,1269.57,1275.53,1249.11,16.69,1.33,72.5,1317.46,1212.76,1108.05,75.88,82.68,62.27,2,1398.87,1121.62
2011-02-24,1267.79,1275.91,1277.86,1264.53,6.34,0.5,74.19,1324.67,1217.19,1109.7,72.5,79.29,58.92,2,1405.1,1126.61
2011-02-25,1283.81,1287.48,1290.83,1275.8,11.57,0.91,108.76,1332.73,1222.66,1112.58,75.21,77.93,69.76,2,1411.78,1131.97
2011-02-28,1287.61,1294.24,1294.24,1277.55,6.76,0.53,88.49,1337.25,1230.58,1123.91,81.64,79.17,86.59,2,1416.56,1135.8
