time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,109.66,0.0,0.0,109.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,109.4,0.0,0.0,109.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,109.52,0.0,0.0,109.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,109.3,0.0,0.0,109.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,109.41,0.0,0.0,109.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,109.67,0.0,0.0,109.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,109.5,0.0,0.0,109.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,109.6,0.0,0.0,109.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,109.42,0.0,0.0,109.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,109.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.49,97.41
2011-01-18,0.0,109.21,0.0,0.0,109.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.44,97.37
2011-01-19,0.0,109.31,0.0,0.0,109.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.43,97.36
2011-01-20,0.0,109.25,0.0,0.0,109.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.4,97.34
2011-01-21,0.0,109.32,0.0,0.0,109.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.4,97.34
2011-01-24,0.0,109.24,0.0,0.0,109.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.38,97.32
2011-01-25,0.0,109.05,0.0,0.0,109.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.31,97.27
