time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,109.54,0.0,0.0,109.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,109.36,0.0,0.0,109.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,109.48,0.0,0.0,109.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,109.35,0.0,0.0,109.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,109.49,0.0,0.0,109.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,109.69,0.0,0.0,109.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,109.56,0.0,0.0,109.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,109.64,0.0,0.0,109.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,109.52,0.0,0.0,109.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,109.14,0.0,0.0,109.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.52,97.43
2011-01-18,0.0,109.33,0.0,0.0,109.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.5,97.42
2011-01-19,0.0,109.42,0.0,0.0,109.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.5,97.42
2011-01-20,0.0,109.37,0.0,0.0,109.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.49,97.41
2011-01-21,0.0,109.45,0.0,0.0,109.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.5,97.42
2011-01-24,0.0,109.39,0.0,0.0,109.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.49,97.41
2011-01-25,0.0,109.25,0.0,0.0,109.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.44,97.37
2011-01-26,0.0,109.46,0.0,0.0,109.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.43,97.36
2011-01-27,0.0,109.41,0.0,0.0,109.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.41,97.34
2011-01-28,0.0,109.44,0.0,0.0,109.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,121.4,97.34
2011-01-31,0.0,109.56,0.0,0.0,109.56,0.0,0.0,109.69,109.44,109.19,0.0,0.0,0.0,2,121.44,97.37
2011-02-01,0.0,109.72,0.0,0.0,109.72,0.0,0.0,109.73,109.45,109.18,0.0,0.0,0.0,2,121.49,97.41
2011-02-09,0.0,109.76,0.0,0.0,109.76,0.0,0.0,109.77,109.47,109.17,0.0,0.0,0.0,2,121.52,97.44
2011-02-10,0.0,109.66,0.0,0.0,109.66,0.0,0.0,109.79,109.48,109.17,0.0,0.0,0.0,2,121.56,97.46
2011-02-11,0.0,109.98,0.0,0.0,109.98,0.0,0.0,109.89,109.51,109.14,0.0,0.0,0.0,2,121.61,97.51
2011-02-14,0.0,109.87,0.0,0.0,109.87,0.0,0.0,109.94,109.53,109.12,0.0,0.0,0.0,2,121.67,97.55
2011-02-15,0.0,109.44,0.0,0.0,109.44,0.0,0.0,109.92,109.52,109.12,0.0,0.0,0.0,2,121.69,97.57
2011-02-16,0.0,109.35,0.0,0.0,109.35,0.0,0.0,109.92,109.51,109.1,0.0,0.0,0.0,2,121.68,97.56
2011-02-17,0.0,109.28,0.0,0.0,109.28,0.0,0.0,109.9,109.49,109.08,0.0,0.0,0.0,2,121.66,97.55
2011-02-18,0.0,109.42,0.0,0.0,109.42,0.0,0.0,109.9,109.49,109.07,0.0,0.0,0.0,2,121.66,97.55
2011-02-21,0.0,109.66,0.0,0.0,109.66,0.0,0.0,109.9,109.51,109.12,0.0,0.0,0.0,2,121.67,97.56
2011-02-22,0.0,109.4,0.0,0.0,109.4,0.0,0.0,109.9,109.51,109.13,0.0,0.0,0.0,2,121.64,97.53
2011-02-23,0.0,109.41,0.0,0.0,109.41,0.0,0.0,109.9,109.51,109.13,0.0,0.0,0.0,2,121.6,97.5
2011-02-24,0.0,109.46,0.0,0.0,109.46,0.0,0.0,109.9,109.52,109.14,0.0,0.0,0.0,2,121.57,97.48
2011-02-25,0.0,109.52,0.0,0.0,109.52,0.0,0.0,109.9,109.52,109.14,0.0,0.0,0.0,2,121.52,97.44
2011-02-28,0.0,109.61,0.0,0.0,109.61,0.0,0.0,109.91,109.53,109.16,0.0,0.0,0.0,2,121.5,97.41
2011-03-01,0.0,109.58,0.0,0.0,109.58,0.0,0.0,109.9,109.55,109.2,0.0,0.0,0.0,2,121.51,97.43
2011-03-02,0.0,109.76,0.0,0.0,109.76,0.0,0.0,109.93,109.56,109.2,0.0,0.0,0.0,2,121.56,97.46
2011-03-03,0.0,109.66,0.0,0.0,109.66,0.0,0.0,109.93,109.58,109.22,0.0,0.0,0.0,2,121.6,97.5
2011-03-04,0.0,109.62,0.0,0.0,109.62,0.0,0.0,109.94,109.59,109.23,0.0,0.0,0.0,2,121.62,97.52
2011-03-07,0.0,109.88,0.0,0.0,109.88,0.0,0.0,109.98,109.6,109.23,0.0,0.0,0.0,2,121.64,97.54
2011-03-08,0.0,109.72,0.0,0.0,109.72,0.0,0.0,109.98,109.6,109.23,0.0,0.0,0.0,2,121.68,97.56
2011-03-09,0.0,109.86,0.0,0.0,109.86,0.0,0.0,109.99,109.61,109.22,0.0,0.0,0.0,2,121.73,97.6
2011-03-10,0.0,110.07,0.0,0.0,110.07,0.0,0.0,110.06,109.63,109.19,0.0,0.0,0.0,2,121.8,97.66
2011-03-11,0.0,110.15,0.0,0.0,110.15,0.0,0.0,110.1,109.64,109.17,0.0,0.0,0.0,2,121.87,97.71
2011-03-14,0.0,110.09,0.0,0.0,110.09,0.0,0.0,110.14,109.65,109.15,0.0,0.0,0.0,2,121.92,97.76
