time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1379.42,1386.72,1386.72,1368.42,16.44,1.2,216.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1381.28,1390.63,1402.47,1379.09,3.91,0.28,246.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1390.75,1374.85,1393.18,1371.97,-15.78,-1.13,206.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1373.46,1361.12,1378.36,1358.43,-13.73,-1.0,202.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1356.83,1319.53,1356.83,1315.28,-41.59,-3.06,205.48,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1311.91,1301.82,1312.81,1291.71,-17.71,-1.34,157.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1306.23,1306.16,1311.88,1290.33,4.34,0.33,110.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1312.06,1310.53,1314.13,1306.27,4.37,0.33,114.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1308.01,1297.77,1308.26,1294.76,-12.76,-0.97,195.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1285.23,1239.45,1286.5,1234.41,-58.32,-4.49,194.56,0.0,0.0,0.0,0.0,0.0,0.0,2,1475.03,1182.68
2011-01-18,1232.79,1237.48,1240.17,1225.76,-1.97,-0.16,115.58,0.0,0.0,0.0,0.0,0.0,0.0,2,1458.47,1169.4
2011-01-19,1239.11,1261.39,1261.45,1237.28,23.91,1.93,130.48,0.0,0.0,0.0,0.0,0.0,0.0,2,1444.12,1157.9
2011-01-20,1256.7,1219.6,1258.68,1219.6,-41.79,-3.31,149.63,0.0,0.0,0.0,0.0,0.0,0.0,2,1426.89,1144.08
