time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,3849.27,0.0,0.0,3849.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,3834.43,0.0,0.0,3834.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,3809.47,0.0,0.0,3809.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,3769.47,0.0,0.0,3769.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,3682.99,0.0,0.0,3682.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,3701.05,0.0,0.0,3701.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,3709.89,0.0,0.0,3709.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,3684.83,0.0,0.0,3684.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,3609.42,0.0,0.0,3609.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,3451.45,0.0,0.0,3451.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4118.35,3302.1
2011-01-18,0.0,3440.06,0.0,0.0,3440.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4072.93,3265.68
2011-01-19,0.0,3555.55,0.0,0.0,3555.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4041.97,3240.86
2011-01-20,0.0,3420.9,0.0,0.0,3420.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3998.84,3206.28
2011-01-21,0.0,3481.23,0.0,0.0,3481.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3966.85,3180.63
2011-01-24,0.0,3422.18,0.0,0.0,3422.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3937.9,3157.41
2011-01-25,0.0,3387.98,0.0,0.0,3387.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3903.15,3129.55
2011-01-26,0.0,3446.85,0.0,0.0,3446.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3873.95,3106.14
2011-01-27,0.0,3509.94,0.0,0.0,3509.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3854.54,3090.57
2011-01-28,0.0,3538.6,0.0,0.0,3538.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3846.68,3084.27
2011-01-31,0.0,3571.28,0.0,0.0,3571.28,0.0,0.0,3888.44,3593.84,3299.25,0.0,0.0,0.0,2,3859.98,3094.94
2011-02-01,0.0,3585.71,0.0,0.0,3585.71,0.0,0.0,3850.95,3580.66,3310.38,0.0,0.0,0.0,2,3876.14,3107.9
2011-02-09,0.0,3493.22,0.0,0.0,3493.22,0.0,0.0,3809.66,3563.6,3317.55,0.0,0.0,0.0,2,3869.23,3102.35
2011-02-10,0.0,3581.75,0.0,0.0,3581.75,0.0,0.0,3771.3,3552.22,3333.13,0.0,0.0,0.0,2,3887.08,3116.67
2011-02-11,0.0,3639.64,0.0,0.0,3639.64,0.0,0.0,3745.52,3545.73,3345.93,0.0,0.0,0.0,2,3904.66,3130.77
2011-02-14,0.0,3798.64,0.0,0.0,3798.64,0.0,0.0,3772.44,3551.51,3330.58,0.0,0.0,0.0,2,3946.45,3164.27
2011-02-15,0.0,3809.77,0.0,0.0,3809.77,0.0,0.0,3796.86,3556.94,3317.03,0.0,0.0,0.0,2,3993.27,3201.81
2011-02-16,0.0,3888.42,0.0,0.0,3888.42,0.0,0.0,3838.89,3565.87,3292.86,0.0,0.0,0.0,2,4042.28,3241.11
2011-02-17,0.0,3887.47,0.0,0.0,3887.47,0.0,0.0,3879.29,3576.0,3272.72,0.0,0.0,0.0,2,4084.19,3274.71
2011-02-18,0.0,3825.2,0.0,0.0,3825.2,0.0,0.0,3908.84,3586.79,3264.75,0.0,0.0,0.0,2,4116.0,3300.22
2011-02-21,0.0,3898.14,0.0,0.0,3898.14,0.0,0.0,3951.82,3609.13,3266.43,0.0,0.0,0.0,2,4152.28,3329.31
2011-02-22,0.0,3772.94,0.0,0.0,3772.94,0.0,0.0,3966.33,3625.77,3285.21,0.0,0.0,0.0,2,4173.07,3345.97
2011-02-23,0.0,3775.73,0.0,0.0,3775.73,0.0,0.0,3981.76,3636.78,3291.8,0.0,0.0,0.0,2,4204.42,3371.12
2011-02-24,0.0,3807.9,0.0,0.0,3807.9,0.0,0.0,3993.84,3656.13,3318.42,0.0,0.0,0.0,2,4229.53,3391.24
