time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1586.33,1600.14,1600.14,1565.96,19.5,1.23,448.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1582.93,1580.56,1591.98,1578.03,-19.58,-1.22,380.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1577.7,1560.1,1583.44,1560.1,-20.46,-1.29,381.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1552.78,1543.77,1565.64,1534.27,-16.33,-1.05,357.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1537.96,1497.96,1539.15,1491.28,-45.81,-2.97,352.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1489.1,1480.94,1491.68,1468.52,-17.02,-1.14,295.29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1488.67,1482.37,1492.86,1459.54,1.43,0.1,266.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1499.16,1489.65,1502.86,1485.48,7.28,0.49,287.78,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1479.0,1442.62,1479.09,1441.06,-47.03,-3.16,302.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1426.86,1380.52,1430.18,1373.9,-62.1,-4.3,313.73,0.0,0.0,0.0,0.0,0.0,0.0,2,1671.51,1340.22
2011-01-18,1374.76,1381.66,1388.22,1368.66,1.14,0.08,181.87,0.0,0.0,0.0,0.0,0.0,0.0,2,1647.26,1320.77
2011-01-19,1384.96,1421.75,1422.5,1381.08,40.09,2.9,252.88,0.0,0.0,0.0,0.0,0.0,0.0,2,1629.63,1306.64
2011-01-20,1411.27,1349.74,1411.8,1349.07,-72.01,-5.06,278.91,0.0,0.0,0.0,0.0,0.0,0.0,2,1606.28,1287.92
2011-01-21,1343.25,1350.63,1367.81,1332.52,0.89,0.07,245.92,0.0,0.0,0.0,0.0,0.0,0.0,1,1584.84,1270.73
2011-01-24,1352.62,1299.76,1352.62,1299.45,-50.87,-3.77,267.19,0.0,0.0,0.0,0.0,0.0,0.0,1,1562.84,1253.09
2011-01-25,1296.66,1284.18,1296.95,1270.69,-15.58,-1.2,204.05,0.0,0.0,0.0,0.0,0.0,0.0,1,1541.0,1235.58
2011-01-26,1289.23,1318.72,1323.0,1289.23,34.54,2.69,244.11,0.0,0.0,0.0,11.52,7.8,18.96,1,1522.83,1221.01
2011-01-27,1300.68,1342.62,1350.08,1299.06,23.9,1.81,311.87,0.0,0.0,0.0,22.72,12.77,42.6,1,1506.51,1207.93
2011-01-28,1338.78,1348.66,1353.82,1334.87,6.04,0.45,235.06,0.0,0.0,0.0,32.26,19.27,58.25,2,1496.08,1199.56
2011-01-31,1343.22,1360.68,1361.71,1336.11,12.02,0.89,243.03,1616.68,1425.85,1235.02,41.27,26.6,70.6,2,1493.88,1197.8
2011-02-01,1361.2,1376.83,1380.37,1360.7,16.15,1.19,257.49,1588.82,1414.69,1240.55,52.58,35.26,87.23,2,1493.35,1197.37
2011-02-09,1364.05,1365.81,1383.47,1360.09,-11.02,-0.8,265.12,1561.54,1403.95,1246.36,63.17,44.57,100.38,2,1487.14,1192.39
2011-02-10,1369.02,1406.15,1406.15,1369.02,40.34,2.95,306.65,1536.69,1396.25,1255.81,75.45,54.86,116.62,2,1493.4,1197.41
2011-02-11,1405.69,1420.11,1425.41,1405.69,13.96,0.99,322.02,1513.89,1390.07,1266.25,82.49,64.07,119.33,2,1501.11,1203.59
2011-02-14,1427.59,1448.04,1454.6,1426.72,27.93,1.97,460.46,1504.41,1387.57,1270.74,87.0,71.71,117.58,2,1517.57,1216.79
2011-02-15,1451.91,1457.57,1475.44,1445.57,9.53,0.66,481.84,1499.9,1386.4,1272.91,87.96,77.13,109.62,2,1536.82,1232.22
2011-02-16,1451.52,1487.45,1487.45,1451.52,29.88,2.05,513.04,1501.03,1386.66,1272.28,91.97,82.08,111.76,0,1555.55,1247.24
2011-02-17,1490.44,1512.27,1513.32,1490.44,24.82,1.67,505.81,1506.58,1387.79,1269.0,94.45,86.2,110.95,0,1574.38,1262.34
2011-02-18,1502.23,1488.55,1509.53,1484.23,-23.72,-1.57,392.81,1514.66,1390.09,1265.51,90.91,87.77,97.19,0,1589.9,1274.79
2011-02-21,1476.46,1522.48,1522.48,1476.46,33.93,2.28,426.03,1534.31,1397.18,1260.05,93.94,89.83,102.17,0,1607.86,1289.19
2011-02-22,1524.96,1482.91,1527.46,1482.49,-39.57,-2.6,478.59,1544.1,1402.25,1260.39,86.59,88.75,82.27,2,1619.64,1298.63
2011-02-23,1477.43,1506.42,1515.11,1475.84,23.51,1.59,429.79,1555.29,1406.48,1257.66,85.3,87.6,80.7,2,1635.25,1311.14
