time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1253.45,1260.57,1260.57,1241.0,14.26,1.14,528.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1250.25,1256.04,1261.75,1250.05,-4.53,-0.36,554.14,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1257.17,1258.4,1263.46,1252.91,2.36,0.19,551.31,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1254.4,1255.75,1267.43,1248.59,-2.65,-0.21,487.31,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1253.41,1223.97,1258.48,1221.85,-31.78,-2.53,449.02,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1220.66,1216.62,1225.21,1205.3,-7.35,-0.6,370.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1222.98,1227.67,1228.43,1210.94,11.05,0.91,355.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1229.74,1227.75,1230.67,1221.59,0.08,0.01,296.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1222.0,1212.34,1223.93,1209.44,-15.41,-1.26,325.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1205.77,1160.32,1206.8,1158.89,-52.02,-4.29,403.78,0.0,0.0,0.0,0.0,0.0,0.0,2,1365.24,1094.65
2011-01-18,1156.28,1169.24,1169.35,1151.44,8.92,0.77,299.15,0.0,0.0,0.0,0.0,0.0,0.0,2,1355.1,1086.52
2011-01-19,1167.72,1191.68,1191.68,1164.59,22.44,1.92,362.69,0.0,0.0,0.0,0.0,0.0,0.0,2,1347.96,1080.79
2011-01-20,1187.75,1153.78,1187.75,1153.15,-37.9,-3.18,406.55,0.0,0.0,0.0,0.0,0.0,0.0,2,1336.34,1071.48
