time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,13648.58,13796.23,13827.65,13603.24,277.74,2.05,1365.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,13709.64,13723.65,13825.47,13636.22,-72.58,-0.53,1135.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,13762.84,13671.6,13879.14,13636.89,-52.05,-0.38,805.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,13658.4,13643.69,13871.27,13565.81,-27.91,-0.2,1140.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,13647.11,13380.26,13720.06,13337.89,-263.43,-1.93,821.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,13320.29,13438.87,13475.89,13251.62,58.61,0.44,765.14,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,13493.71,13465.78,13583.47,13293.72,26.91,0.2,844.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,13517.64,13480.28,13548.52,13409.87,14.5,0.11,616.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,13444.82,13340.12,13444.82,13251.5,-140.16,-1.04,653.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,13194.49,12732.97,13270.01,12709.16,-607.15,-4.55,864.96,0.0,0.0,0.0,0.0,0.0,0.0,2,14948.75,11985.94
2011-01-18,12694.87,12773.08,12800.89,12613.3,40.11,0.32,582.14,0.0,0.0,0.0,0.0,0.0,0.0,2,14835.18,11894.88
2011-01-19,12788.17,13093.13,13104.44,12728.75,320.05,2.51,689.76,0.0,0.0,0.0,0.0,0.0,0.0,2,14765.2,11838.76
2011-01-20,13058.48,12550.8,13058.48,12550.08,-542.33,-4.14,693.74,0.0,0.0,0.0,0.0,0.0,0.0,2,14640.79,11739.01
2011-01-21,12515.5,12630.25,12869.67,12469.64,79.45,0.63,720.49,0.0,0.0,0.0,0.0,0.0,0.0,1,14528.29,11648.81
2011-01-24,12653.91,12466.36,12683.77,12390.89,-163.89,-1.3,588.2,0.0,0.0,0.0,0.0,0.0,0.0,1,14426.85,11567.48
2011-01-25,12440.98,12420.2,12504.2,12345.29,-46.16,-0.37,489.68,0.0,0.0,0.0,0.0,0.0,0.0,1,14313.78,11476.81
2011-01-26,12433.92,12586.54,12622.81,12433.92,166.34,1.34,436.51,0.0,0.0,0.0,13.71,12.34,16.44,2,14216.18,11398.56
2011-01-27,12458.61,12798.84,12839.21,12362.22,212.3,1.69,870.37,0.0,0.0,0.0,25.49,16.72,43.02,2,14140.54,11337.91
2011-01-28,12792.67,12906.15,12950.44,12770.07,107.31,0.84,759.39,0.0,0.0,0.0,41.62,25.02,74.81,2,14092.37,11299.29
2011-01-31,12895.43,13015.16,13043.18,12825.83,109.01,0.84,619.89,13995.89,13095.7,12195.5,57.16,35.73,100.01,2,14123.7,11324.41
2011-02-01,13069.11,13011.71,13077.77,12942.81,-3.45,-0.03,521.33,13897.58,13056.47,12215.37,68.43,46.63,112.03,2,14150.18,11345.64
2011-02-09,12916.37,12812.51,13066.45,12776.02,-199.2,-1.53,661.76,13799.6,13010.91,12222.23,66.88,53.38,93.89,2,14119.04,11320.67
2011-02-10,12776.89,13205.94,13213.46,12765.09,393.43,3.07,823.3,13722.59,12987.63,12252.67,77.63,61.47,109.97,2,14191.76,11378.98
2011-02-11,13197.06,13338.3,13428.94,13159.53,132.36,1.0,998.68,13663.56,12972.36,12281.17,82.3,68.41,110.08,2,14270.35,11441.99
2011-02-14,13366.31,13821.5,13852.15,13366.31,483.2,3.62,1538.88,13760.41,12994.42,12228.44,87.51,74.78,112.99,0,14420.77,11562.6
2011-02-15,13854.04,13793.04,13960.03,13788.3,-28.46,-0.21,1177.39,13832.82,13012.13,12191.45,88.19,79.25,106.08,0,14573.16,11684.78
2011-02-16,13754.3,13981.08,13981.08,13690.53,188.04,1.36,1195.8,13942.05,13037.9,12133.75,92.13,83.54,109.3,0,14727.95,11808.9
2011-02-17,14005.84,13876.33,14037.36,13742.34,-104.75,-0.75,1119.71,14015.49,13057.7,12099.91,90.53,85.87,99.85,0,14847.55,11904.79
2011-02-18,13835.02,13686.2,13835.98,13657.2,-190.13,-1.37,928.37,14064.56,13075.0,12085.45,84.49,85.41,82.64,2,14934.14,11974.22
2011-02-21,13591.95,13967.62,13968.14,13583.65,281.42,2.06,1018.98,14185.51,13136.74,12087.96,87.83,86.22,91.06,2,15039.86,12058.99
2011-02-22,14016.33,13534.53,14017.48,13525.94,-433.09,-3.1,1296.74,14223.3,13174.81,12126.32,78.71,83.72,68.71,2,15097.89,12105.52
2011-02-23,13494.7,13555.55,13623.12,13450.67,21.02,0.16,729.46,14258.52,13197.93,12137.34,67.51,78.32,45.91,2,15180.37,12171.65
2011-02-24,13537.46,13648.56,13673.52,13441.67,93.01,0.69,764.96,14287.06,13252.82,12218.57,59.03,71.89,33.31,2,15229.5,12211.04
2011-02-25,13656.59,13708.73,13818.62,13524.83,60.17,0.44,805.09,14317.72,13306.74,12295.76,54.3,66.02,30.84,2,15270.62,12244.01
2011-02-28,13735.11,14000.14,14005.83,13631.77,291.41,2.13,1092.34,14359.89,13383.43,12406.97,67.45,66.5,69.35,2,15290.45,12259.91
2011-03-01,14009.5,14050.36,14130.98,13961.49,50.22,0.36,1316.32,14376.14,13464.94,12553.74,74.4,69.13,84.94,2,15319.01,12282.81
2011-03-02,13974.09,13976.08,14011.29,13763.1,-74.28,-0.53,1014.44,14376.39,13534.42,12692.44,75.44,71.24,83.86,2,15318.46,12282.36
2011-03-03,13985.81,13778.48,14070.03,13778.48,-197.6,-1.41,1135.59,14359.94,13583.4,12806.85,66.58,69.68,60.38,2,15307.59,12273.66
2011-03-04,13795.93,13990.81,14006.7,13747.41,212.33,1.54,1018.02,14367.51,13637.63,12907.76,70.94,70.1,72.62,2,15341.41,12300.77
2011-03-07,14064.14,14258.87,14283.09,14064.14,268.06,1.92,1559.9,14418.81,13699.82,12980.83,79.67,73.29,92.42,2,15373.73,12326.69
2011-03-08,14265.16,14262.45,14274.09,14150.72,3.58,0.03,1138.03,14447.86,13762.35,13076.85,85.63,77.4,102.08,2,15454.53,12391.47
2011-03-09,14291.6,14277.68,14358.85,14216.88,15.23,0.11,1082.93,14402.29,13835.61,13268.94,87.17,80.66,100.2,2,15534.69,12455.74
2011-03-10,14230.97,14111.27,14230.97,14099.78,-166.41,-1.17,1046.72,14379.7,13880.88,13382.06,80.1,80.47,79.35,2,15586.05,12496.92
2011-03-11,14028.15,13941.09,14148.31,13911.85,-170.18,-1.21,876.56,14343.49,13911.02,13478.54,63.96,74.97,41.94,2,15611.84,12517.6
2011-03-14,13904.29,14060.75,14060.75,13863.93,119.66,0.86,794.48,14358.12,13922.98,13487.84,59.72,69.89,39.39,2,15618.57,12523.0
2011-03-15,14003.99,13786.25,14003.99,13506.72,-274.5,-1.95,1161.02,14358.19,13922.64,13487.09,50.75,63.51,25.23,2,15589.25,12499.49
2011-03-16,13779.82,13960.33,13971.58,13746.02,174.08,1.26,1042.34,14356.69,13921.6,13486.52,51.58,59.53,35.67,2,15587.51,12498.09
2011-03-17,13825.85,13726.96,13945.33,13685.83,-233.37,-1.67,925.93,14357.13,13914.14,13471.14,43.0,54.02,20.96,2,15581.79,12493.5
2011-03-18,13885.09,13804.34,13931.62,13753.89,77.38,0.56,744.34,14353.78,13920.04,13486.31,40.31,49.45,22.03,2,15561.09,12476.91
2011-03-21,13829.71,13719.42,13896.3,13665.6,-84.92,-0.62,733.24,14349.34,13907.63,13465.92,35.19,44.7,16.18,2,15501.21,12428.9
2011-03-22,13758.57,13744.96,13787.95,13532.42,25.54,0.19,663.38,14333.02,13918.15,13503.29,34.43,41.27,20.73,2,15443.77,12382.84
2011-03-23,13748.21,13938.39,13946.66,13724.85,193.43,1.41,908.54,14317.34,13937.3,13557.25,45.38,42.64,50.85,2,15406.11,12352.64
2011-03-24,13973.7,13858.01,13990.29,13855.29,-80.38,-0.58,717.79,14306.35,13947.77,13589.19,51.39,45.56,63.05,2,15378.0,12330.1
2011-03-25,13886.78,14043.14,14084.63,13867.86,185.13,1.34,1057.86,14307.79,13964.49,13621.19,65.2,52.1,91.39,2,15389.32,12339.19
2011-03-28,14127.94,13970.93,14187.63,13952.41,-72.21,-0.51,1282.0,14305.96,13963.03,13620.1,65.77,56.66,84.0,2,15379.35,12331.19
2011-03-29,13941.88,13756.18,13992.49,13748.67,-214.75,-1.54,1146.71,14300.12,13948.32,13596.52,55.23,56.19,53.33,2,15376.02,12328.52
2011-03-30,13756.59,13738.4,13861.23,13634.15,-17.78,-0.13,856.42,14299.56,13936.44,13573.31,47.3,53.22,35.46,2,15351.38,12308.76
2011-03-31,13743.43,13631.72,13789.14,13564.81,-106.68,-0.78,690.52,14310.18,13929.1,13548.01,36.59,47.68,14.4,2,15340.81,12300.29
2011-04-01,13628.32,13779.85,13779.85,13562.2,148.13,1.09,710.9,14303.87,13918.55,13533.23,36.98,44.11,22.71,2,15338.09,12298.11
2011-04-06,13725.05,13824.83,13851.83,13638.16,44.98,0.33,1394.02,14250.66,13896.85,13543.04,38.65,42.29,31.37,2,15349.79,12307.49
2011-04-07,13834.22,13987.35,14006.94,13797.61,162.52,1.18,1398.36,14198.26,13883.09,13567.92,48.43,44.34,56.61,2,15376.7,12329.06
2011-04-08,13977.15,14145.32,14149.11,13932.07,157.97,1.13,1119.11,14162.43,13876.47,13590.52,63.36,50.68,88.73,2,15399.67,12347.48
2011-04-11,14188.13,14024.67,14260.55,14018.03,-120.65,-0.85,1761.97,14146.12,13872.14,13598.17,64.32,55.22,82.5,2,15418.17,12362.31
2011-04-12,14004.67,13999.91,14151.84,13931.88,-24.76,-0.18,1727.89,14153.19,13875.09,13596.99,63.77,58.07,75.16,2,15413.37,12358.47
