time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1404.06,1397.33,1404.06,1378.26,0.63,0.05,75.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1389.97,1385.23,1395.21,1378.92,-12.1,-0.87,72.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1382.4,1380.89,1394.43,1378.91,-4.34,-0.31,47.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1383.4,1383.54,1396.28,1368.73,2.65,0.19,50.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1385.6,1363.72,1394.3,1357.14,-19.82,-1.43,63.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1354.88,1360.85,1385.75,1354.88,-2.87,-0.21,53.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1367.14,1360.97,1367.14,1340.99,0.12,0.01,37.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1371.14,1352.3,1371.14,1350.84,-8.67,-0.64,38.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1351.5,1320.71,1353.22,1316.25,-31.59,-2.34,38.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1310.78,1261.92,1314.92,1254.07,-58.79,-4.45,48.06,0.0,0.0,0.0,0.0,0.0,0.0,2,1505.99,1207.5
2011-01-18,1262.69,1259.64,1266.96,1249.47,-2.28,-0.18,27.23,0.0,0.0,0.0,0.0,0.0,0.0,2,1490.7,1195.25
2011-01-19,1262.12,1279.06,1281.35,1255.07,19.42,1.54,37.35,0.0,0.0,0.0,0.0,0.0,0.0,2,1478.92,1185.8
2011-01-20,1275.69,1227.39,1279.15,1226.27,-51.67,-4.04,39.27,0.0,0.0,0.0,0.0,0.0,0.0,2,1461.88,1172.14
2011-01-21,1227.6,1222.99,1238.1,1211.02,-4.4,-0.36,38.94,0.0,0.0,0.0,0.0,0.0,0.0,1,1444.06,1157.85
2011-01-24,1230.29,1231.25,1250.04,1225.91,8.26,0.68,44.26,0.0,0.0,0.0,0.0,0.0,0.0,1,1429.36,1146.06
2011-01-25,1227.36,1204.8,1230.0,1203.81,-26.45,-2.15,30.32,0.0,0.0,0.0,0.0,0.0,0.0,1,1412.03,1132.17
2011-01-26,1214.97,1228.96,1236.84,1212.55,24.16,2.01,24.88,0.0,0.0,0.0,9.81,8.06,13.29,2,1397.38,1120.42
2011-01-27,1214.97,1259.38,1266.49,1211.36,30.42,2.48,41.46,0.0,0.0,0.0,23.21,13.11,43.4,2,1387.07,1112.15
2011-01-28,1272.3,1272.74,1281.96,1265.8,13.36,1.06,37.68,0.0,0.0,0.0,44.87,23.7,87.22,2,1381.74,1107.88
2011-01-31,1266.92,1300.93,1304.78,1262.16,28.19,2.21,34.61,1429.78,1302.73,1175.68,61.98,36.46,113.02,2,1386.07,1111.36
2011-02-01,1302.97,1292.48,1303.12,1288.85,-8.45,-0.65,25.4,1416.91,1297.49,1178.06,70.59,47.84,116.1,2,1389.72,1114.28
2011-02-09,1287.84,1325.73,1340.14,1287.84,33.25,2.57,51.81,1407.86,1294.51,1181.17,76.87,57.51,115.58,2,1394.9,1118.43
2011-02-10,1324.57,1351.86,1352.84,1324.36,26.13,1.97,59.1,1402.62,1293.06,1183.5,84.36,66.46,120.16,2,1408.71,1129.51
2011-02-11,1361.35,1373.13,1383.26,1361.35,21.27,1.57,78.79,1400.46,1292.54,1184.62,87.69,73.54,116.0,2,1425.38,1142.87
2011-02-14,1381.6,1410.34,1416.86,1381.6,37.21,2.71,74.42,1410.58,1294.87,1179.17,90.74,79.27,113.67,0,1445.26,1158.81
2011-02-15,1415.13,1399.83,1424.8,1399.41,-10.51,-0.75,116.24,1418.09,1296.82,1175.55,89.93,82.82,104.13,0,1466.91,1176.17
2011-02-16,1411.75,1434.43,1434.43,1403.44,34.6,2.47,68.56,1433.22,1300.49,1167.77,93.28,86.31,107.23,0,1489.71,1194.46
2011-02-17,1466.56,1440.28,1496.69,1435.18,5.85,0.41,124.88,1449.49,1304.89,1160.29,87.5,86.71,89.1,0,1509.79,1210.56
2011-02-18,1438.55,1421.66,1445.24,1402.71,-18.62,-1.29,77.86,1463.19,1309.94,1156.69,79.69,84.37,70.34,0,1526.32,1223.81
2011-02-21,1412.74,1527.04,1527.04,1412.74,105.38,7.41,116.73,1501.37,1323.2,1145.02,86.46,85.07,89.25,0,1551.42,1243.93
2011-02-22,1542.14,1507.22,1558.47,1498.28,-19.82,-1.3,131.25,1528.19,1335.58,1142.96,83.68,84.6,81.83,0,1575.26,1263.05
2011-02-23,1495.32,1534.63,1542.8,1484.89,27.41,1.82,80.15,1557.47,1348.35,1139.23,85.09,84.77,85.73,0,1598.45,1281.64
2011-02-24,1511.68,1500.25,1513.96,1479.31,-34.38,-2.24,64.58,1573.36,1362.0,1150.63,79.09,82.87,71.51,0,1614.92,1294.84
2011-02-25,1486.41,1499.73,1514.28,1481.59,-0.52,-0.03,71.25,1585.21,1375.83,1166.46,73.75,79.83,61.58,2,1628.97,1306.11
2011-02-28,1507.61,1551.25,1555.05,1497.21,51.52,3.44,83.91,1603.47,1391.83,1180.2,80.95,80.2,82.45,2,1644.61,1318.65
2011-03-01,1542.16,1532.49,1551.29,1511.74,-18.76,-1.21,89.19,1609.9,1408.22,1206.54,81.74,80.72,83.79,2,1659.34,1330.46
2011-03-02,1512.25,1510.18,1519.5,1485.19,-22.31,-1.46,70.19,1610.79,1422.28,1233.77,77.49,79.64,73.2,2,1667.75,1337.2
2011-03-03,1505.25,1486.51,1528.16,1470.73,-23.67,-1.57,65.35,1608.39,1433.64,1258.88,68.54,75.94,53.73,2,1672.88,1341.32
2011-03-04,1488.65,1501.19,1503.18,1465.77,14.68,0.99,55.04,1605.53,1445.06,1284.58,58.43,70.1,35.08,2,1681.7,1348.39
2011-03-07,1517.86,1505.76,1517.86,1480.31,4.57,0.3,68.0,1603.34,1455.3,1307.26,53.88,64.7,32.25,2,1679.34,1346.5
2011-03-08,1500.98,1500.16,1506.27,1482.53,-5.6,-0.37,66.49,1594.46,1465.68,1336.9,48.76,59.38,27.51,2,1678.56,1345.87
2011-03-09,1507.46,1535.91,1541.18,1492.22,35.75,2.38,85.46,1591.13,1476.19,1361.25,58.69,59.15,57.78,2,1678.7,1345.99
2011-03-10,1525.54,1530.09,1549.88,1524.3,-5.82,-0.38,78.66,1587.0,1485.1,1383.21,63.14,60.48,68.46,2,1682.01,1348.64
2011-03-11,1522.78,1527.45,1545.35,1506.31,-2.64,-0.17,81.42,1582.24,1492.82,1403.4,66.14,62.37,73.67,2,1685.09,1351.11
