time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-12-31,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-04,1005.93,977.3,1005.93,965.56,-22.7,-2.27,305.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,969.77,983.44,984.25,962.78,6.14,0.63,303.12,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,983.22,1006.18,1010.24,983.07,22.74,2.31,405.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1005.87,1023.24,1028.89,1005.11,17.06,1.7,446.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1019.88,1027.69,1032.67,1018.98,4.45,0.43,347.19,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1029.43,1017.64,1035.13,1014.48,-10.05,-0.98,435.69,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,1017.29,1061.21,1061.28,1017.29,43.57,4.28,420.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1063.84,1089.32,1093.4,1063.84,28.11,2.65,529.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1082.56,1094.7,1099.65,1070.99,5.38,0.49,427.51,0.0,0.0,0.0,0.0,0.0,0.0,2,1141.16,914.98
2013-01-17,1089.75,1073.03,1090.18,1070.3,-21.67,-1.98,367.62,0.0,0.0,0.0,0.0,0.0,0.0,2,1149.27,921.48
2013-01-18,1081.84,1088.01,1091.47,1071.29,14.98,1.4,362.53,0.0,0.0,0.0,0.0,0.0,0.0,2,1161.56,931.34
2013-01-21,1085.33,1086.9,1096.86,1077.55,-1.11,-0.1,468.23,0.0,0.0,0.0,0.0,0.0,0.0,2,1173.04,940.54
2013-01-22,1079.73,1068.94,1085.11,1061.08,-17.96,-1.65,408.71,0.0,0.0,0.0,0.0,0.0,0.0,2,1180.01,946.13
2013-01-23,1064.47,1079.7,1079.7,1058.67,10.76,1.01,356.32,0.0,0.0,0.0,0.0,0.0,0.0,2,1186.27,951.16
2013-01-24,1078.28,1051.83,1085.85,1045.61,-27.87,-2.58,483.74,0.0,0.0,0.0,0.0,0.0,0.0,2,1188.95,953.3
2013-01-25,1049.81,1046.79,1056.38,1044.49,-5.04,-0.48,261.21,0.0,0.0,0.0,46.27,73.19,-7.57,2,1192.19,955.9
2013-01-28,1051.52,1069.78,1069.78,1051.43,22.99,2.2,320.35,0.0,0.0,0.0,46.13,64.17,10.05,2,1193.14,956.66
2013-01-29,1069.89,1078.55,1080.98,1068.53,8.77,0.82,346.52,0.0,0.0,0.0,52.43,60.26,36.78,2,1191.94,955.7
2013-01-30,1079.03,1081.5,1084.68,1072.3,2.95,0.27,398.63,1123.57,1050.29,977.0,58.51,59.67,56.18,2,1190.48,954.53
2013-01-31,1083.07,1066.21,1083.07,1064.07,-15.29,-1.41,301.03,1123.4,1053.6,983.8,52.83,57.39,43.71,2,1189.72,953.92
2013-02-01,1063.21,1072.22,1077.41,1060.09,6.01,0.56,330.04,1119.06,1058.34,997.62,57.57,57.45,57.8,2,1187.97,952.52
2013-02-04,1076.59,1049.85,1079.72,1048.48,-22.37,-2.09,413.41,1112.02,1061.66,1011.31,42.7,52.53,23.03,2,1183.86,949.22
2013-02-05,1047.49,1066.92,1066.92,1045.78,17.07,1.63,287.8,1108.15,1064.7,1021.25,46.54,50.54,38.56,2,1183.63,949.04
2013-02-06,1072.31,1077.03,1080.02,1071.53,10.11,0.95,270.47,1106.71,1067.39,1028.07,58.02,53.03,67.99,2,1183.34,948.8
2013-02-07,1076.38,1095.7,1095.96,1075.89,18.67,1.73,273.73,1107.46,1070.79,1034.12,71.84,59.3,96.92,2,1188.21,952.7
2013-02-08,1098.81,1119.4,1127.23,1098.29,23.7,2.16,324.39,1109.77,1075.88,1041.99,78.02,65.54,102.98,2,1196.26,959.17
2013-02-18,1130.32,1125.67,1130.32,1111.72,6.27,0.56,349.17,1118.6,1079.1,1039.61,83.51,71.53,107.48,2,1202.47,964.14
