time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1005.62,1013.68,1013.68,1002.03,13.68,1.37,295.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1008.88,1011.24,1015.24,1007.97,-2.44,-0.24,311.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1011.48,1001.07,1014.9,1000.14,-10.17,-1.01,282.31,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,997.72,989.75,1002.3,986.04,-11.32,-1.13,263.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,986.66,963.38,987.28,960.39,-26.37,-2.66,255.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,957.12,949.58,957.67,942.12,-13.8,-1.43,229.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,954.48,954.06,959.54,941.54,4.48,0.47,176.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,959.75,956.8,960.1,954.42,2.74,0.29,170.19,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,953.26,931.97,953.26,931.44,-24.83,-2.6,201.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,927.7,897.8,929.56,895.57,-34.17,-3.67,259.05,0.0,0.0,0.0,0.0,0.0,0.0,2,1073.3,860.57
2011-01-18,892.73,896.48,898.6,887.93,-1.32,-0.15,153.16,0.0,0.0,0.0,0.0,0.0,0.0,2,1060.29,850.14
2011-01-19,897.08,916.73,916.73,894.77,20.25,2.26,194.42,0.0,0.0,0.0,0.0,0.0,0.0,2,1049.8,841.73
2011-01-20,914.64,888.12,915.28,888.12,-28.61,-3.12,232.57,0.0,0.0,0.0,0.0,0.0,0.0,2,1037.26,831.68
2011-01-21,884.28,893.48,899.74,881.48,5.36,0.6,266.32,0.0,0.0,0.0,0.0,0.0,0.0,1,1026.57,823.11
2011-01-24,893.99,860.03,894.81,860.03,-33.45,-3.74,237.81,0.0,0.0,0.0,0.0,0.0,0.0,1,1015.1,813.91
2011-01-25,855.75,849.5,856.31,841.45,-10.53,-1.22,205.73,0.0,0.0,0.0,0.0,0.0,0.0,1,1003.99,805.0
2011-01-26,849.3,863.97,864.08,849.3,14.47,1.7,174.51,0.0,0.0,0.0,11.1,8.15,16.98,1,993.99,796.98
2011-01-27,855.36,877.19,878.7,854.44,13.22,1.53,211.94,0.0,0.0,0.0,20.92,12.41,37.94,1,985.15,789.9
2011-01-28,875.28,884.71,885.96,874.15,7.52,0.86,178.15,0.0,0.0,0.0,33.1,19.31,60.69,2,979.91,785.69
2011-01-31,882.17,892.24,892.58,880.73,7.53,0.85,195.49,1026.43,924.59,822.74,44.56,27.72,78.23,2,979.29,785.2
2011-02-01,892.39,891.58,893.57,888.25,-0.66,-0.07,156.78,1012.58,918.48,824.39,52.34,35.93,85.16,2,978.75,784.76
2011-02-09,883.01,881.37,892.33,879.02,-10.21,-1.15,195.35,997.08,911.99,826.9,57.72,43.19,86.78,2,974.82,781.61
2011-02-10,879.85,911.72,911.72,879.72,30.35,3.44,258.08,982.18,907.52,832.87,71.81,52.73,109.98,2,977.44,783.72
2011-02-11,911.16,920.58,923.15,910.92,8.86,0.97,261.99,968.93,904.06,839.2,80.16,61.87,116.73,2,980.45,786.13
2011-02-14,924.19,936.09,937.16,924.19,15.51,1.68,350.36,963.54,902.7,841.86,86.37,70.04,119.02,2,988.89,792.9
2011-02-15,936.39,936.79,945.43,933.11,0.7,0.07,397.65,961.16,902.06,842.96,87.75,75.94,111.36,2,998.58,800.67
2011-02-16,934.24,955.0,955.0,934.24,18.21,1.94,352.05,961.37,902.11,842.84,91.83,81.24,113.02,0,1008.69,808.77
2011-02-17,957.57,959.56,961.55,949.38,4.56,0.48,352.35,962.03,902.25,842.46,93.75,85.41,110.43,0,1017.83,816.1
2011-02-18,956.41,949.57,959.5,947.18,-9.99,-1.04,361.05,965.11,903.13,841.14,90.99,87.27,98.44,0,1025.03,821.87
2011-02-21,944.37,967.06,967.06,944.37,17.49,1.84,367.31,974.46,906.59,838.72,94.0,89.51,102.96,0,1033.33,828.53
2011-02-22,968.72,942.96,970.16,942.46,-24.1,-2.49,423.23,978.4,908.91,839.43,85.97,88.33,81.25,2,1039.04,833.1
2011-02-23,943.67,961.42,961.87,943.67,18.46,1.96,342.66,984.27,911.15,838.02,85.73,87.47,82.26,2,1047.92,840.23
2011-02-24,956.93,954.81,961.42,947.5,-6.61,-0.69,363.87,989.17,914.48,839.79,79.36,84.76,68.54,2,1052.71,844.06
2011-02-25,951.17,950.57,951.18,940.21,-4.24,-0.44,313.97,992.95,917.34,841.72,68.61,79.38,47.08,2,1056.04,846.73
2011-02-28,951.03,955.09,955.09,942.91,4.52,0.48,330.47,994.59,922.09,849.59,65.09,74.62,46.04,2,1058.14,848.42
2011-03-01,955.72,954.18,957.86,949.54,-0.91,-0.1,358.96,992.89,927.32,861.76,58.94,69.39,38.04,2,1060.07,849.97
2011-03-02,947.64,945.13,950.72,935.65,-9.05,-0.95,299.94,990.49,931.38,872.28,48.45,62.41,20.53,2,1058.98,849.09
2011-03-03,945.82,923.93,947.4,922.91,-21.2,-2.24,300.11,987.53,933.72,879.91,33.02,52.61,-6.17,2,1055.02,845.92
2011-03-04,924.63,931.69,931.69,920.14,7.76,0.84,235.23,984.99,936.07,887.14,29.71,44.98,-0.83,2,1053.04,844.33
