time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,5297.5,0.0,0.0,5297.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,5255.14,0.0,0.0,5255.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,5249.71,0.0,0.0,5249.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,5238.64,0.0,0.0,5238.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,5105.46,0.0,0.0,5105.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,5088.83,0.0,0.0,5088.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,5112.75,0.0,0.0,5112.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,5155.43,0.0,0.0,5155.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,5114.7,0.0,0.0,5114.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,4891.36,0.0,0.0,4891.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5717.56,4584.35
2011-01-18,0.0,4948.8,0.0,0.0,4948.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5678.85,4553.31
2011-01-19,0.0,5048.95,0.0,0.0,5048.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5655.96,4534.96
2011-01-20,0.0,4882.45,0.0,0.0,4882.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5615.2,4502.28
2011-01-21,0.0,4890.84,0.0,0.0,4890.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5576.59,4471.32
2011-01-24,0.0,4807.13,0.0,0.0,4807.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5543.48,4444.77
2011-01-25,0.0,4790.01,0.0,0.0,4790.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5510.31,4418.18
2011-01-26,0.0,4868.65,0.0,0.0,4868.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5483.21,4396.45
2011-01-27,0.0,4931.11,0.0,0.0,4931.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5458.31,4376.49
2011-01-28,0.0,4986.61,0.0,0.0,4986.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5444.1,4365.09
2011-01-31,0.0,5018.09,0.0,0.0,5018.09,0.0,0.0,5339.08,5034.11,4729.14,0.0,0.0,0.0,2,5458.16,4376.36
2011-02-01,0.0,4998.1,0.0,0.0,4998.1,0.0,0.0,5299.31,5019.14,4738.97,0.0,0.0,0.0,2,5463.64,4380.75
2011-02-09,0.0,4982.74,0.0,0.0,4982.74,0.0,0.0,5264.13,5005.52,4746.91,0.0,0.0,0.0,2,5456.29,4374.86
2011-02-10,0.0,5186.94,0.0,0.0,5186.94,0.0,0.0,5250.36,5002.38,4754.4,0.0,0.0,0.0,2,5490.08,4401.96
2011-02-11,0.0,5243.99,0.0,0.0,5243.99,0.0,0.0,5251.66,5002.65,4753.64,0.0,0.0,0.0,2,5529.28,4433.39
2011-02-14,0.0,5346.51,0.0,0.0,5346.51,0.0,0.0,5302.73,5014.7,4726.67,0.0,0.0,0.0,2,5589.16,4481.39
