time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,2505.99,2519.25,2522.97,2488.16,35.85,1.44,876.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,2501.16,2527.21,2530.79,2501.16,7.96,0.32,724.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,2527.3,2510.43,2540.41,2509.17,-16.78,-0.66,525.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,2505.39,2493.78,2526.63,2483.69,-16.65,-0.66,741.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,2485.55,2429.03,2490.95,2424.01,-64.75,-2.6,524.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,2419.65,2425.6,2429.95,2392.13,-3.43,-0.14,517.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,2431.33,2437.2,2447.61,2408.61,11.6,0.48,525.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,2447.75,2438.77,2450.73,2430.38,1.57,0.06,444.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,2427.57,2400.92,2428.35,2394.09,-37.85,-1.55,490.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,2379.3,2313.85,2384.37,2306.87,-87.07,-3.63,567.64,0.0,0.0,0.0,0.0,0.0,0.0,2,2719.06,2180.15
2011-01-18,2302.7,2319.97,2321.46,2294.88,6.12,0.26,361.13,0.0,0.0,0.0,0.0,0.0,0.0,2,2696.94,2162.41
2011-01-19,2322.53,2372.67,2373.29,2316.15,52.7,2.27,476.34,0.0,0.0,0.0,0.0,0.0,0.0,2,2679.79,2148.66
2011-01-20,2361.51,2307.07,2363.39,2307.07,-65.6,-2.76,494.52,0.0,0.0,0.0,0.0,0.0,0.0,2,2657.21,2130.56
2011-01-21,2302.6,2326.51,2344.32,2293.32,19.44,0.84,491.76,0.0,0.0,0.0,0.0,0.0,0.0,2,2638.65,2115.67
2011-01-24,2326.07,2283.37,2329.83,2282.36,-43.14,-1.85,397.32,0.0,0.0,0.0,0.0,0.0,0.0,2,2622.48,2102.71
2011-01-25,2283.34,2269.75,2283.9,2254.78,-13.62,-0.6,342.27,0.0,0.0,0.0,0.0,0.0,0.0,2,2605.18,2088.84
2011-01-26,2275.4,2302.19,2304.25,2275.4,32.44,1.43,335.14,0.0,0.0,0.0,15.3,12.28,21.35,2,2590.19,2076.82
2011-01-27,2281.95,2349.88,2350.67,2281.95,47.69,2.07,534.58,0.0,0.0,0.0,34.66,19.74,64.51,2,2580.33,2068.91
2011-01-28,2345.21,2375.67,2383.12,2345.21,25.79,1.1,496.03,0.0,0.0,0.0,54.51,31.33,100.86,2,2577.52,2066.66
2011-01-31,2374.61,2404.93,2404.93,2369.9,29.26,1.23,454.22,2549.03,2390.4,2231.78,69.67,44.11,120.8,2,2587.63,2074.77
2011-02-01,2409.4,2402.2,2413.57,2393.06,-2.73,-0.11,358.89,2531.97,2384.55,2237.13,77.39,55.2,121.77,2,2596.76,2082.09
2011-02-09,2386.36,2378.05,2405.76,2367.28,-24.15,-1.01,437.51,2509.18,2377.09,2245.0,77.47,62.63,107.16,2,2597.36,2082.57
2011-02-10,2373.5,2445.31,2445.31,2370.7,67.26,2.83,620.42,2495.41,2373.84,2252.26,84.98,70.08,114.79,2,2612.7,2094.87
2011-02-11,2439.54,2465.1,2475.11,2439.54,19.79,0.81,677.9,2488.85,2372.4,2255.95,88.47,76.21,113.0,2,2628.09,2107.2
2011-02-14,2483.01,2534.87,2540.55,2483.01,69.77,2.83,1019.35,2512.18,2377.69,2243.21,91.6,81.34,112.12,2,2656.0,2129.59
2011-02-15,2540.51,2533.59,2560.76,2527.29,-1.28,-0.05,836.78,2532.66,2383.09,2233.52,91.15,84.61,104.24,0,2685.29,2153.07
2011-02-16,2526.1,2576.36,2576.36,2526.1,42.77,1.69,793.46,2560.53,2390.05,2219.57,94.1,87.77,106.76,0,2715.72,2177.47
2011-02-17,2583.66,2590.97,2601.05,2558.15,14.61,0.57,786.6,2588.53,2397.66,2206.79,94.63,90.06,103.77,0,2742.48,2198.93
2011-02-18,2574.91,2556.82,2578.83,2547.08,-34.15,-1.32,695.43,2608.56,2405.46,2202.35,90.11,90.08,90.18,0,2762.59,2215.05
2011-02-21,2540.45,2592.26,2592.26,2540.45,35.44,1.39,700.86,2633.33,2419.38,2205.42,92.16,90.77,94.93,0,2783.38,2231.72
2011-02-22,2597.47,2514.19,2597.47,2513.41,-78.07,-3.01,823.82,2641.74,2429.09,2216.44,82.2,87.91,70.78,2,2795.81,2241.69
2011-02-23,2511.94,2520.13,2529.27,2502.3,5.94,0.24,507.7,2651.0,2436.46,2221.93,71.43,82.42,49.46,2,2811.59,2254.33
2011-02-24,2509.92,2548.37,2552.4,2509.92,28.24,1.12,563.14,2659.71,2448.53,2237.34,66.08,76.97,44.29,2,2823.03,2263.51
2011-02-25,2543.81,2547.09,2554.66,2516.69,-1.28,-0.05,495.0,2667.11,2459.56,2252.0,59.17,71.04,35.44,2,2832.13,2270.8
2011-02-28,2554.87,2589.55,2589.55,2534.33,42.46,1.67,600.52,2673.14,2474.86,2276.59,68.9,70.33,66.05,2,2838.2,2275.67
2011-03-01,2589.38,2594.51,2608.26,2580.95,4.96,0.19,730.93,2671.95,2491.1,2310.25,74.94,71.86,81.09,2,2844.96,2281.09
2011-03-02,2575.62,2583.36,2590.3,2546.24,-11.15,-0.43,612.05,2667.89,2505.16,2342.43,75.46,73.06,80.26,2,2845.73,2281.72
2011-03-03,2587.08,2555.13,2599.96,2553.72,-28.23,-1.09,670.07,2662.85,2515.42,2367.99,66.93,71.02,58.74,2,2841.76,2278.53
2011-03-04,2561.2,2591.09,2591.28,2549.42,35.96,1.41,645.13,2662.25,2526.19,2390.14,72.55,71.53,74.59,2,2845.56,2281.58
2011-03-07,2608.43,2636.79,2636.79,2604.58,45.7,1.76,1035.44,2669.99,2537.79,2405.58,81.7,74.92,95.26,2,2850.5,2285.54
