time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,3996.39,0.0,0.0,3996.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,4010.94,0.0,0.0,4010.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,3986.45,0.0,0.0,3986.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,3957.02,0.0,0.0,3957.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,3832.2,0.0,0.0,3832.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,3808.82,0.0,0.0,3808.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,3822.21,0.0,0.0,3822.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,3813.97,0.0,0.0,3813.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,3736.63,0.0,0.0,3736.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,3575.38,0.0,0.0,3575.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4277.94,3430.06
2011-01-18,0.0,3586.84,0.0,0.0,3586.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4232.48,3393.61
2011-01-19,0.0,3674.91,0.0,0.0,3674.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4195.18,3363.7
2011-01-20,0.0,3544.38,0.0,0.0,3544.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4146.11,3324.36
2011-01-21,0.0,3563.86,0.0,0.0,3563.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4102.47,3289.37
2011-01-24,0.0,3473.2,0.0,0.0,3473.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4062.62,3257.42
2011-01-25,0.0,3430.61,0.0,0.0,3430.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4020.64,3223.76
2011-01-26,0.0,3490.69,0.0,0.0,3490.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3983.84,3194.25
2011-01-27,0.0,3550.49,0.0,0.0,3550.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3954.6,3170.8
2011-01-28,0.0,3583.72,0.0,0.0,3583.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3937.62,3157.19
2011-01-31,0.0,3622.55,0.0,0.0,3622.55,0.0,0.0,4069.79,3703.06,3336.33,0.0,0.0,0.0,2,3942.86,3161.39
2011-02-01,0.0,3636.17,0.0,0.0,3636.17,0.0,0.0,4026.93,3685.05,3343.18,0.0,0.0,0.0,2,3948.33,3165.78
2011-02-09,0.0,3611.19,0.0,0.0,3611.19,0.0,0.0,3973.5,3665.06,3356.63,0.0,0.0,0.0,2,3941.26,3160.11
2011-02-10,0.0,3717.6,0.0,0.0,3717.6,0.0,0.0,3924.21,3651.62,3379.04,0.0,0.0,0.0,2,3960.49,3175.53
2011-02-11,0.0,3758.83,0.0,0.0,3758.83,0.0,0.0,3881.62,3641.71,3401.81,0.0,0.0,0.0,2,3982.13,3192.88
2011-02-14,0.0,3830.07,0.0,0.0,3830.07,0.0,0.0,3881.18,3641.61,3402.04,0.0,0.0,0.0,2,4021.74,3224.64
2011-02-15,0.0,3831.25,0.0,0.0,3831.25,0.0,0.0,3885.61,3642.73,3399.85,0.0,0.0,0.0,2,4066.21,3260.3
2011-02-16,0.0,3894.99,0.0,0.0,3894.99,0.0,0.0,3901.75,3646.37,3390.98,0.0,0.0,0.0,0,4111.09,3296.28
2011-02-17,0.0,3915.37,0.0,0.0,3915.37,0.0,0.0,3923.42,3651.44,3379.46,0.0,0.0,0.0,0,4151.59,3328.75
2011-02-18,0.0,3877.31,0.0,0.0,3877.31,0.0,0.0,3945.75,3658.47,3371.19,0.0,0.0,0.0,0,4184.18,3354.88
2011-02-21,0.0,3940.94,0.0,0.0,3940.94,0.0,0.0,3986.21,3676.75,3367.28,0.0,0.0,0.0,0,4219.52,3383.22
2011-02-22,0.0,3836.68,0.0,0.0,3836.68,0.0,0.0,4003.31,3689.24,3375.17,0.0,0.0,0.0,2,4241.78,3401.07
2011-02-23,0.0,3870.84,0.0,0.0,3870.84,0.0,0.0,4022.79,3699.04,3375.29,0.0,0.0,0.0,2,4270.6,3424.18
2011-02-24,0.0,3909.77,0.0,0.0,3909.77,0.0,0.0,4045.29,3717.31,3389.32,0.0,0.0,0.0,2,4291.93,3441.28
2011-02-25,0.0,3924.65,0.0,0.0,3924.65,0.0,0.0,4067.25,3735.35,3403.44,0.0,0.0,0.0,2,4310.34,3456.04
2011-02-28,0.0,3964.32,0.0,0.0,3964.32,0.0,0.0,4083.16,3759.9,3436.65,0.0,0.0,0.0,2,4325.24,3467.98
2011-03-01,0.0,3981.55,0.0,0.0,3981.55,0.0,0.0,4086.78,3787.45,3488.12,0.0,0.0,0.0,2,4341.92,3481.36
2011-03-02,0.0,3968.43,0.0,0.0,3968.43,0.0,0.0,4087.47,3811.34,3535.2,0.0,0.0,0.0,2,4350.07,3487.9
2011-03-03,0.0,3895.24,0.0,0.0,3895.24,0.0,0.0,4079.3,3828.57,3577.85,0.0,0.0,0.0,2,4347.84,3486.11
2011-03-04,0.0,3935.99,0.0,0.0,3935.99,0.0,0.0,4074.09,3846.19,3618.28,0.0,0.0,0.0,2,4354.35,3491.33
2011-03-07,0.0,3989.56,0.0,0.0,3989.56,0.0,0.0,4075.96,3864.54,3653.11,0.0,0.0,0.0,2,4359.75,3495.66
2011-03-08,0.0,4007.19,0.0,0.0,4007.19,0.0,0.0,4075.35,3883.09,3690.83,0.0,0.0,0.0,2,4378.68,3510.83
2011-03-09,0.0,4019.01,0.0,0.0,4019.01,0.0,0.0,4059.08,3903.48,3747.88,0.0,0.0,0.0,2,4395.12,3524.02
2011-03-10,0.0,3991.69,0.0,0.0,3991.69,0.0,0.0,4051.74,3917.18,3782.63,0.0,0.0,0.0,2,4404.22,3531.31
2011-03-11,0.0,3984.46,0.0,0.0,3984.46,0.0,0.0,4044.59,3928.47,3812.34,0.0,0.0,0.0,2,4410.86,3536.63
2011-03-14,0.0,4023.23,0.0,0.0,4023.23,0.0,0.0,4052.02,3938.12,3824.23,0.0,0.0,0.0,2,4417.39,3541.88
2011-03-15,0.0,3975.74,0.0,0.0,3975.74,0.0,0.0,4049.09,3945.35,3841.61,0.0,0.0,0.0,2,4416.75,3541.36
2011-03-16,0.0,4033.59,0.0,0.0,4033.59,0.0,0.0,4060.08,3952.28,3844.48,0.0,0.0,0.0,2,4423.98,3547.16
2011-03-17,0.0,3964.24,0.0,0.0,3964.24,0.0,0.0,4061.27,3954.72,3848.17,0.0,0.0,0.0,2,4431.64,3553.3
2011-03-18,0.0,3981.63,0.0,0.0,3981.63,0.0,0.0,4060.88,3959.94,3858.99,0.0,0.0,0.0,2,4436.71,3557.36
2011-03-21,0.0,3953.57,0.0,0.0,3953.57,0.0,0.0,4061.19,3960.57,3859.95,0.0,0.0,0.0,2,4432.71,3554.16
2011-03-22,0.0,3946.91,0.0,0.0,3946.91,0.0,0.0,4049.57,3966.08,3882.59,0.0,0.0,0.0,2,4426.02,3548.79
2011-03-23,0.0,3999.07,0.0,0.0,3999.07,0.0,0.0,4044.67,3972.49,3900.31,0.0,0.0,0.0,2,4423.81,3547.02
2011-03-24,0.0,4007.72,0.0,0.0,4007.72,0.0,0.0,4045.03,3977.39,3909.75,0.0,0.0,0.0,2,4425.59,3548.44
2011-03-25,0.0,4043.21,0.0,0.0,4043.21,0.0,0.0,4052.2,3983.32,3914.44,0.0,0.0,0.0,2,4432.11,3553.67
2011-03-28,0.0,4021.02,0.0,0.0,4021.02,0.0,0.0,4056.33,3986.15,3915.98,0.0,0.0,0.0,2,4431.86,3553.48
2011-03-29,0.0,3956.35,0.0,0.0,3956.35,0.0,0.0,4056.25,3984.89,3913.54,0.0,0.0,0.0,2,4429.71,3551.75
2011-03-30,0.0,3923.02,0.0,0.0,3923.02,0.0,0.0,4058.66,3982.62,3906.58,0.0,0.0,0.0,2,4417.44,3541.91
2011-03-31,0.0,3881.79,0.0,0.0,3881.79,0.0,0.0,4061.24,3981.95,3902.66,0.0,0.0,0.0,2,4408.29,3534.57
2011-04-01,0.0,3924.11,0.0,0.0,3924.11,0.0,0.0,4062.18,3981.36,3900.53,0.0,0.0,0.0,2,4401.9,3529.45
2011-04-06,0.0,3922.02,0.0,0.0,3922.02,0.0,0.0,4062.7,3977.98,3893.26,0.0,0.0,0.0,2,4398.4,3526.64
2011-04-07,0.0,3943.4,0.0,0.0,3943.4,0.0,0.0,4059.67,3974.79,3889.91,0.0,0.0,0.0,2,4398.01,3526.33
2011-04-08,0.0,3983.94,0.0,0.0,3983.94,0.0,0.0,4055.61,3973.04,3890.46,0.0,0.0,0.0,2,4396.33,3524.99
2011-04-11,0.0,3958.4,0.0,0.0,3958.4,0.0,0.0,4053.71,3971.37,3889.03,0.0,0.0,0.0,2,4390.86,3520.6
2011-04-12,0.0,3955.52,0.0,0.0,3955.52,0.0,0.0,4052.31,3969.92,3887.53,0.0,0.0,0.0,2,4381.12,3512.79
2011-04-13,0.0,3991.59,0.0,0.0,3991.59,0.0,0.0,4047.74,3968.34,3888.95,0.0,0.0,0.0,2,4377.86,3510.17
2011-04-14,0.0,3979.92,0.0,0.0,3979.92,0.0,0.0,4048.05,3968.55,3889.06,0.0,0.0,0.0,2,4380.47,3512.27
2011-04-15,0.0,3985.0,0.0,0.0,3985.0,0.0,0.0,4040.31,3966.12,3891.93,0.0,0.0,0.0,2,4387.35,3517.79
2011-04-18,0.0,3992.08,0.0,0.0,3992.08,0.0,0.0,4042.55,3967.51,3892.48,0.0,0.0,0.0,2,4399.59,3527.6
2011-04-19,0.0,3953.77,0.0,0.0,3953.77,0.0,0.0,4041.09,3966.12,3891.15,0.0,0.0,0.0,2,4402.89,3530.24
2011-04-20,0.0,3976.02,0.0,0.0,3976.02,0.0,0.0,4042.1,3967.24,3892.39,0.0,0.0,0.0,2,4408.88,3535.05
2011-04-21,0.0,4005.64,0.0,0.0,4005.64,0.0,0.0,4046.21,3970.18,3894.15,0.0,0.0,0.0,2,4415.79,3540.59
