time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2907.16,2902.05,2922.37,2898.06,-8.52,-0.29,518.12,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2898.95,2937.04,2950.64,2894.04,34.98,1.21,812.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2937.38,2893.58,2943.57,2888.41,-43.45,-1.48,784.99,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2887.04,2888.95,2902.09,2867.45,-4.63,-0.16,716.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2892.29,2906.51,2917.56,2886.4,17.55,0.61,595.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2928.94,3048.31,3087.75,2928.94,141.8,4.88,1829.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3057.73,3075.82,3087.88,3052.41,27.52,0.9,1452.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3060.29,3056.41,3060.29,3027.28,-19.42,-0.63,926.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3072.27,3071.56,3094.64,3039.6,15.16,0.5,1033.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3067.75,3037.16,3082.49,3037.16,-34.4,-1.12,848.24,0.0,0.0,0.0,0.0,0.0,0.0,2,3309.73,2653.75
2012-09-14,3069.84,3059.05,3086.95,3028.11,21.89,0.72,1489.35,0.0,0.0,0.0,0.0,0.0,0.0,2,3327.16,2667.72
2012-09-17,3051.76,2960.75,3056.06,2959.99,-98.3,-3.21,1220.39,0.0,0.0,0.0,0.0,0.0,0.0,2,3329.79,2669.83
2012-09-18,2950.15,2927.38,2954.37,2918.91,-33.37,-1.13,786.47,0.0,0.0,0.0,0.0,0.0,0.0,2,3333.54,2672.84
2012-09-19,2933.16,2950.33,2956.25,2924.67,22.95,0.78,819.18,0.0,0.0,0.0,0.0,0.0,0.0,2,3340.35,2678.3
2012-09-20,2942.09,2873.94,2942.09,2870.91,-76.39,-2.59,948.55,0.0,0.0,0.0,0.0,0.0,0.0,2,3336.74,2675.4
2012-09-21,2867.35,2868.79,2898.24,2859.68,-5.15,-0.18,780.82,0.0,0.0,0.0,0.0,0.0,0.0,2,3316.81,2659.43
2012-09-24,2852.43,2896.65,2913.88,2829.91,27.86,0.97,785.81,0.0,0.0,0.0,23.46,37.43,-4.48,2,3296.92,2643.48
2012-09-25,2891.24,2889.91,2908.99,2876.32,-6.74,-0.23,525.45,0.0,0.0,0.0,23.42,32.76,4.74,1,3278.44,2628.66
2012-09-26,2888.25,2851.88,2899.58,2847.52,-38.03,-1.32,571.77,0.0,0.0,0.0,18.46,28.0,-0.6,1,3254.06,2609.11
2012-09-27,2854.97,2951.22,2962.63,2852.21,99.34,3.48,1045.2,3101.59,2952.36,2803.14,30.19,28.73,33.11,2,3244.52,2601.46
2012-09-28,2927.85,3012.61,3016.35,2924.83,61.39,2.08,1174.79,3107.44,2957.89,2808.35,52.79,36.75,84.88,2,3239.36,2597.33
2012-10-08,3009.78,2967.58,3021.49,2951.83,-45.03,-1.49,724.55,3108.71,2959.42,2810.13,59.15,44.22,89.01,2,3240.12,2597.94
2012-10-09,2980.87,3036.19,3042.84,2980.87,68.61,2.31,1055.95,3116.2,2966.55,2816.9,71.72,53.39,108.4,2,3252.2,2607.62
2012-10-10,3029.17,3057.99,3062.78,3019.4,21.81,0.72,1163.05,3125.26,2975.0,2824.74,80.46,62.41,116.57,2,3264.15,2617.2
2012-10-11,3046.52,3018.31,3051.19,3016.14,-39.68,-1.3,885.25,3128.54,2980.59,2832.64,80.61,68.48,104.88,2,3280.18,2630.05
2012-10-12,3028.06,3013.24,3056.19,2987.1,-5.07,-0.17,750.62,3124.35,2978.84,2833.33,79.4,72.12,93.97,2,3296.21,2642.91
2012-10-15,3007.72,2991.53,3010.58,2968.3,-21.71,-0.72,667.23,3113.38,2974.62,2835.87,75.23,73.16,79.39,2,3306.74,2651.35
2012-10-16,2986.91,2990.37,3014.5,2974.97,-1.16,-0.04,695.74,3105.19,2971.32,2837.45,72.03,72.78,70.52,2,3317.89,2660.29
2012-10-17,3002.52,2991.04,3008.76,2963.46,0.67,0.02,704.05,3093.49,2967.3,2841.1,64.02,69.86,52.33,2,3333.34,2672.68
2012-10-18,3001.27,3050.37,3059.87,2996.65,59.34,1.98,1269.54,3095.73,2967.96,2840.18,72.28,70.67,75.51,2,3344.34,2681.5
2012-10-19,3051.48,3050.77,3069.89,3045.82,0.4,0.01,886.04,3094.18,2967.54,2840.9,75.53,72.29,82.02,2,3348.58,2684.9
2012-10-22,3034.07,3065.57,3075.0,3027.27,14.8,0.49,864.89,3106.35,2972.78,2839.21,80.87,75.15,92.31,2,3359.46,2693.62
2012-10-23,3067.76,3036.55,3076.74,3033.64,-29.02,-0.95,836.03,3112.86,2978.24,2843.62,75.42,75.24,75.78,2,3359.5,2693.65
2012-10-24,3026.61,3036.95,3058.23,3023.35,0.4,0.01,1009.44,3118.89,2982.57,2846.26,71.91,74.13,67.46,2,3357.16,2691.78
2012-10-25,3034.43,3021.18,3073.68,3016.6,-15.78,-0.52,1115.41,3117.62,2989.93,2862.25,64.92,71.06,52.65,2,3357.48,2692.03
2012-10-26,3016.01,2942.95,3018.5,2930.47,-78.22,-2.59,914.12,3110.92,2993.64,2876.37,46.13,62.75,12.88,2,3349.68,2685.78
