time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,6633.76,0.0,0.0,6633.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,6620.45,0.0,0.0,6620.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,6617.13,0.0,0.0,6617.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,6562.81,0.0,0.0,6562.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,6416.91,0.0,0.0,6416.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,6397.87,0.0,0.0,6397.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,6430.78,0.0,0.0,6430.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,6420.72,0.0,0.0,6420.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,6294.48,0.0,0.0,6294.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,6061.97,0.0,0.0,6061.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7154.71,5736.66
2011-01-18,0.0,6076.66,0.0,0.0,6076.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7092.88,5687.08
2011-01-19,0.0,6224.58,0.0,0.0,6224.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7048.93,5651.85
2011-01-20,0.0,6009.12,0.0,0.0,6009.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6981.44,5597.74
2011-01-21,0.0,6071.47,0.0,0.0,6071.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6926.91,5554.01
2011-01-24,0.0,5953.47,0.0,0.0,5953.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6875.46,5512.76
2011-01-25,0.0,5931.37,0.0,0.0,5931.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6823.68,5471.24
2011-01-26,0.0,6021.52,0.0,0.0,6021.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6778.25,5434.82
2011-01-27,0.0,6116.23,0.0,0.0,6116.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6744.46,5407.72
2011-01-28,0.0,6168.64,0.0,0.0,6168.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6730.49,5396.52
2011-01-31,0.0,6235.77,0.0,0.0,6235.77,0.0,0.0,6721.42,6263.29,5805.15,0.0,0.0,0.0,2,6749.78,5411.99
2011-02-01,0.0,6234.8,0.0,0.0,6234.8,0.0,0.0,6668.79,6243.34,5817.88,0.0,0.0,0.0,2,6767.33,5426.06
2011-02-09,0.0,6170.53,0.0,0.0,6170.53,0.0,0.0,6610.21,6220.84,5831.48,0.0,0.0,0.0,2,6761.33,5421.25
2011-02-10,0.0,6347.32,0.0,0.0,6347.32,0.0,0.0,6557.59,6207.35,5857.11,0.0,0.0,0.0,2,6798.87,5451.35
2011-02-11,0.0,6407.29,0.0,0.0,6407.29,0.0,0.0,6523.84,6199.58,5875.31,0.0,0.0,0.0,2,6836.15,5481.24
2011-02-14,0.0,6575.0,0.0,0.0,6575.0,0.0,0.0,6559.11,6207.48,5855.85,0.0,0.0,0.0,0,6905.14,5536.55
2011-02-15,0.0,6564.72,0.0,0.0,6564.72,0.0,0.0,6592.17,6215.82,5839.47,0.0,0.0,0.0,0,6975.44,5592.92
2011-02-16,0.0,6685.61,0.0,0.0,6685.61,0.0,0.0,6647.95,6228.56,5809.17,0.0,0.0,0.0,0,7049.16,5652.03
2011-02-17,0.0,6694.56,0.0,0.0,6694.56,0.0,0.0,6701.8,6242.26,5782.71,0.0,0.0,0.0,0,7113.35,5703.5
2011-02-18,0.0,6607.41,0.0,0.0,6607.41,0.0,0.0,6744.04,6257.9,5771.77,0.0,0.0,0.0,0,7162.05,5742.55
2011-02-21,0.0,6729.37,0.0,0.0,6729.37,0.0,0.0,6809.59,6291.27,5772.96,0.0,0.0,0.0,0,7216.84,5786.48
2011-02-22,0.0,6534.29,0.0,0.0,6534.29,0.0,0.0,6832.96,6314.15,5795.35,0.0,0.0,0.0,2,7250.09,5813.13
2011-02-23,0.0,6564.0,0.0,0.0,6564.0,0.0,0.0,6859.22,6331.12,5803.03,0.0,0.0,0.0,2,7293.76,5848.15
2011-02-24,0.0,6609.11,0.0,0.0,6609.11,0.0,0.0,6880.74,6361.12,5841.51,0.0,0.0,0.0,2,7322.82,5871.45
2011-02-25,0.0,6649.0,0.0,0.0,6649.0,0.0,0.0,6906.2,6390.0,5873.8,0.0,0.0,0.0,2,7349.65,5892.96
2011-02-28,0.0,6767.59,0.0,0.0,6767.59,0.0,0.0,6930.94,6430.71,5930.47,0.0,0.0,0.0,2,7371.03,5910.1
2011-03-01,0.0,6778.9,0.0,0.0,6778.9,0.0,0.0,6939.38,6473.08,6006.78,0.0,0.0,0.0,2,7394.8,5929.17
2011-03-02,0.0,6747.59,0.0,0.0,6747.59,0.0,0.0,6941.19,6509.39,6077.59,0.0,0.0,0.0,2,7401.68,5934.68
2011-03-03,0.0,6652.76,0.0,0.0,6652.76,0.0,0.0,6932.15,6536.21,6140.27,0.0,0.0,0.0,2,7397.04,5930.96
2011-03-04,0.0,6763.25,0.0,0.0,6763.25,0.0,0.0,6935.43,6565.94,6196.46,0.0,0.0,0.0,2,7414.34,5944.83
2011-03-07,0.0,6905.32,0.0,0.0,6905.32,0.0,0.0,6964.48,6599.42,6234.36,0.0,0.0,0.0,2,7433.87,5960.49
2011-03-08,0.0,6920.73,0.0,0.0,6920.73,0.0,0.0,6983.89,6633.72,6283.54,0.0,0.0,0.0,2,7476.77,5994.88
2011-03-09,0.0,6914.17,0.0,0.0,6914.17,0.0,0.0,6970.76,6670.9,6371.04,0.0,0.0,0.0,2,7515.63,6026.05
2011-03-10,0.0,6829.04,0.0,0.0,6829.04,0.0,0.0,6962.67,6694.99,6427.3,0.0,0.0,0.0,2,7540.05,6045.62
2011-03-11,0.0,6792.82,0.0,0.0,6792.82,0.0,0.0,6949.91,6714.26,6478.61,0.0,0.0,0.0,2,7556.01,6058.42
2011-03-14,0.0,6862.55,0.0,0.0,6862.55,0.0,0.0,6963.63,6728.64,6493.64,0.0,0.0,0.0,2,7566.55,6066.87
2011-03-15,0.0,6767.04,0.0,0.0,6767.04,0.0,0.0,6961.77,6738.76,6515.74,0.0,0.0,0.0,2,7565.23,6065.82
2011-03-16,0.0,6852.19,0.0,0.0,6852.19,0.0,0.0,6973.94,6747.08,6520.22,0.0,0.0,0.0,2,7576.85,6075.13
2011-03-17,0.0,6735.79,0.0,0.0,6735.79,0.0,0.0,6974.81,6749.15,6523.49,0.0,0.0,0.0,2,7586.06,6082.52
2011-03-18,0.0,6761.31,0.0,0.0,6761.31,0.0,0.0,6972.94,6756.84,6540.75,0.0,0.0,0.0,2,7585.85,6082.35
2011-03-21,0.0,6701.71,0.0,0.0,6701.71,0.0,0.0,6972.59,6755.46,6538.33,0.0,0.0,0.0,2,7563.25,6064.22
2011-03-22,0.0,6715.48,0.0,0.0,6715.48,0.0,0.0,6957.79,6764.52,6571.24,0.0,0.0,0.0,2,7540.46,6045.96
2011-03-23,0.0,6793.22,0.0,0.0,6793.22,0.0,0.0,6946.13,6775.98,6605.82,0.0,0.0,0.0,2,7527.04,6035.19
2011-03-24,0.0,6806.53,0.0,0.0,6806.53,0.0,0.0,6938.1,6785.85,6633.6,0.0,0.0,0.0,2,7524.54,6033.19
2011-03-25,0.0,6894.17,0.0,0.0,6894.17,0.0,0.0,6943.64,6798.11,6652.57,0.0,0.0,0.0,2,7535.79,6042.21
2011-03-28,0.0,6869.22,0.0,0.0,6869.22,0.0,0.0,6951.18,6803.19,6655.2,0.0,0.0,0.0,2,7536.53,6042.8
2011-03-29,0.0,6756.52,0.0,0.0,6756.52,0.0,0.0,6951.12,6802.07,6653.02,0.0,0.0,0.0,2,7535.36,6041.87
2011-03-30,0.0,6766.5,0.0,0.0,6766.5,0.0,0.0,6950.9,6803.02,6655.13,0.0,0.0,0.0,2,7525.85,6034.24
2011-03-31,0.0,6660.1,0.0,0.0,6660.1,0.0,0.0,6949.81,6803.38,6656.96,0.0,0.0,0.0,2,7517.45,6027.5
2011-04-01,0.0,6725.61,0.0,0.0,6725.61,0.0,0.0,6950.88,6801.5,6652.12,0.0,0.0,0.0,2,7513.49,6024.33
2011-04-06,0.0,6735.08,0.0,0.0,6735.08,0.0,0.0,6937.04,6792.99,6648.94,0.0,0.0,0.0,2,7517.19,6027.3
2011-04-07,0.0,6820.42,0.0,0.0,6820.42,0.0,0.0,6920.4,6787.97,6655.55,0.0,0.0,0.0,2,7528.84,6036.64
2011-04-08,0.0,6906.5,0.0,0.0,6906.5,0.0,0.0,6918.59,6787.59,6656.59,0.0,0.0,0.0,2,7541.41,6046.72
2011-04-11,0.0,6876.7,0.0,0.0,6876.7,0.0,0.0,6925.55,6789.97,6654.39,0.0,0.0,0.0,2,7549.2,6052.96
2011-04-12,0.0,6891.63,0.0,0.0,6891.63,0.0,0.0,6937.57,6794.91,6652.26,0.0,0.0,0.0,2,7548.92,6052.74
2011-04-13,0.0,6934.42,0.0,0.0,6934.42,0.0,0.0,6951.07,6798.51,6645.94,0.0,0.0,0.0,2,7556.16,6058.54
2011-04-14,0.0,6897.64,0.0,0.0,6897.64,0.0,0.0,6962.75,6805.04,6647.33,0.0,0.0,0.0,2,7571.82,6071.1
2011-04-15,0.0,6878.31,0.0,0.0,6878.31,0.0,0.0,6966.01,6806.34,6646.67,0.0,0.0,0.0,2,7584.23,6081.05
2011-04-18,0.0,6930.93,0.0,0.0,6930.93,0.0,0.0,6981.09,6816.1,6651.11,0.0,0.0,0.0,2,7614.29,6105.15
2011-04-19,0.0,6852.94,0.0,0.0,6852.94,0.0,0.0,6984.42,6820.68,6656.94,0.0,0.0,0.0,2,7628.43,6116.49
2011-04-20,0.0,6819.93,0.0,0.0,6819.93,0.0,0.0,6980.99,6826.59,6672.19,0.0,0.0,0.0,2,7637.85,6124.04
2011-04-21,0.0,6879.18,0.0,0.0,6879.18,0.0,0.0,6981.94,6834.78,6687.62,0.0,0.0,0.0,2,7644.37,6129.27
2011-04-22,0.0,6834.76,0.0,0.0,6834.76,0.0,0.0,6982.77,6836.85,6690.93,0.0,0.0,0.0,2,7636.4,6122.88
2011-04-25,0.0,6668.1,0.0,0.0,6668.1,0.0,0.0,6993.07,6829.93,6666.8,0.0,0.0,0.0,2,7613.25,6104.32
2011-04-26,0.0,6593.5,0.0,0.0,6593.5,0.0,0.0,7004.8,6814.9,6625.0,0.0,0.0,0.0,2,7580.16,6077.78
2011-04-27,0.0,6549.97,0.0,0.0,6549.97,0.0,0.0,7019.15,6798.94,6578.73,0.0,0.0,0.0,2,7537.48,6043.57
2011-04-28,0.0,6384.11,0.0,0.0,6384.11,0.0,0.0,7065.2,6780.32,6495.43,0.0,0.0,0.0,2,7480.48,5997.86
2011-04-29,0.0,6505.36,0.0,0.0,6505.36,0.0,0.0,7076.39,6767.26,6458.13,0.0,0.0,0.0,2,7439.08,5964.67
2011-05-03,0.0,6609.26,0.0,0.0,6609.26,0.0,0.0,7078.14,6764.72,6451.3,0.0,0.0,0.0,2,7403.38,5936.04
2011-05-04,0.0,6428.25,0.0,0.0,6428.25,0.0,0.0,7095.8,6749.85,6403.9,0.0,0.0,0.0,2,7356.24,5898.25
2011-05-05,0.0,6442.54,0.0,0.0,6442.54,0.0,0.0,7106.26,6735.22,6364.18,0.0,0.0,0.0,2,7314.35,5864.66
2011-05-06,0.0,6448.14,0.0,0.0,6448.14,0.0,0.0,7105.6,6716.61,6327.61,0.0,0.0,0.0,2,7266.5,5826.3
2011-05-09,0.0,6496.36,0.0,0.0,6496.36,0.0,0.0,7086.13,6696.1,6306.07,0.0,0.0,0.0,2,7228.94,5796.18
2011-05-10,0.0,6535.98,0.0,0.0,6535.98,0.0,0.0,7065.81,6679.07,6292.32,0.0,0.0,0.0,2,7214.28,5784.42
2011-05-11,0.0,6547.08,0.0,0.0,6547.08,0.0,0.0,7039.77,6661.84,6283.91,0.0,0.0,0.0,2,7209.12,5780.29
2011-05-12,0.0,6475.1,0.0,0.0,6475.1,0.0,0.0,7003.34,6638.87,6274.41,0.0,0.0,0.0,2,7200.81,5773.62
2011-05-13,0.0,6502.72,0.0,0.0,6502.72,0.0,0.0,6967.82,6619.13,6270.43,0.0,0.0,0.0,2,7213.98,5784.18
2011-05-16,0.0,6493.64,0.0,0.0,6493.64,0.0,0.0,6931.29,6599.89,6268.5,0.0,0.0,0.0,2,7212.68,5783.14
2011-05-17,0.0,6460.52,0.0,0.0,6460.52,0.0,0.0,6875.67,6576.37,6277.07,0.0,0.0,0.0,2,7196.17,5769.9
2011-05-18,0.0,6493.37,0.0,0.0,6493.37,0.0,0.0,6831.09,6558.39,6285.69,0.0,0.0,0.0,2,7203.39,5775.7
2011-05-19,0.0,6470.52,0.0,0.0,6470.52,0.0,0.0,6787.92,6540.92,6293.92,0.0,0.0,0.0,2,7206.5,5778.19
2011-05-20,0.0,6467.89,0.0,0.0,6467.89,0.0,0.0,6714.01,6520.36,6326.71,0.0,0.0,0.0,2,7208.69,5779.94
2011-05-23,0.0,6237.73,0.0,0.0,6237.73,0.0,0.0,6664.12,6490.51,6316.89,0.0,0.0,0.0,2,7179.99,5756.92
2011-05-24,0.0,6253.57,0.0,0.0,6253.57,0.0,0.0,6652.38,6469.78,6287.18,0.0,0.0,0.0,2,7148.64,5731.79
2011-05-25,0.0,6190.72,0.0,0.0,6190.72,0.0,0.0,6659.96,6449.64,6239.32,0.0,0.0,0.0,2,7109.08,5700.07
2011-05-26,0.0,6111.42,0.0,0.0,6111.42,0.0,0.0,6679.07,6427.71,6176.36,0.0,0.0,0.0,2,7068.71,5667.71
2011-05-27,0.0,5984.1,0.0,0.0,5984.1,0.0,0.0,6724.82,6407.71,6090.61,0.0,0.0,0.0,2,7011.15,5621.55
2011-05-30,0.0,5917.54,0.0,0.0,5917.54,0.0,0.0,6756.8,6378.32,5999.84,0.0,0.0,0.0,2,6947.2,5570.28
2011-05-31,0.0,6052.62,0.0,0.0,6052.62,0.0,0.0,6738.69,6350.49,5962.29,0.0,0.0,0.0,1,6901.92,5533.97
2011-06-01,0.0,6079.97,0.0,0.0,6079.97,0.0,0.0,6736.7,6333.08,5929.45,0.0,0.0,0.0,1,6856.03,5497.18
