time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,4346.86,4365.04,4396.75,4341.72,2.79,0.06,257.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,4364.7,4430.8,4450.18,4360.66,65.75,1.51,310.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,4438.42,4377.87,4460.74,4377.24,-52.93,-1.19,300.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,4358.05,4362.75,4402.42,4327.53,-15.12,-0.35,249.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,4378.68,4426.46,4426.46,4375.01,63.71,1.46,223.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,4469.68,4683.66,4748.95,4469.68,257.19,5.81,622.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,4706.53,4781.34,4815.16,4688.22,97.68,2.09,609.78,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,4741.02,4744.07,4752.65,4699.83,-37.27,-0.78,421.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,4796.55,4823.33,4890.77,4758.9,79.26,1.67,489.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,4815.15,4716.35,4831.82,4716.35,-106.98,-2.22,399.69,0.0,0.0,0.0,0.0,0.0,0.0,2,5074.0,4068.34
2012-09-14,4871.96,4791.72,4926.52,4766.04,75.36,1.6,568.8,0.0,0.0,0.0,0.0,0.0,0.0,2,5121.36,4106.31
2012-09-17,4788.26,4669.56,4829.31,4669.56,-122.15,-2.55,398.34,0.0,0.0,0.0,0.0,0.0,0.0,2,5147.86,4127.56
2012-09-18,4623.28,4574.06,4623.28,4548.36,-95.5,-2.05,286.86,0.0,0.0,0.0,0.0,0.0,0.0,2,5169.64,4145.02
2012-09-19,4587.66,4671.96,4675.87,4552.28,97.9,2.14,290.66,0.0,0.0,0.0,0.0,0.0,0.0,2,5203.96,4172.54
2012-09-20,4642.2,4503.18,4642.2,4497.42,-168.78,-3.61,342.83,0.0,0.0,0.0,0.0,0.0,0.0,2,5212.47,4179.37
2012-09-21,4490.73,4538.18,4632.98,4490.73,35.0,0.78,350.08,0.0,0.0,0.0,0.0,0.0,0.0,2,5196.33,4166.42
2012-09-24,4492.79,4614.67,4654.66,4451.85,76.49,1.69,327.39,0.0,0.0,0.0,31.37,44.94,4.24,2,5177.83,4151.59
2012-09-25,4582.91,4552.19,4609.79,4527.9,-62.48,-1.35,277.08,0.0,0.0,0.0,27.96,39.28,5.32,2,5156.53,4134.51
2012-09-26,4542.75,4434.44,4563.98,4431.14,-117.74,-2.59,252.74,0.0,0.0,0.0,18.86,32.48,-8.36,2,5113.36,4099.9
2012-09-27,4434.16,4589.81,4633.25,4429.11,155.37,3.5,385.83,4875.22,4582.57,4289.92,25.96,30.3,17.27,2,5099.31,4088.64
2012-09-28,4560.3,4684.0,4687.19,4549.56,94.19,2.05,409.43,4876.4,4598.52,4320.64,50.23,36.95,76.79,2,5087.36,4079.05
2012-10-08,4669.57,4614.98,4691.54,4586.8,-69.02,-1.47,271.54,4874.76,4607.73,4340.69,57.09,43.66,83.96,2,5081.3,4074.19
2012-10-09,4638.59,4727.67,4735.11,4638.59,112.7,2.44,370.67,4875.01,4625.22,4375.43,70.59,52.64,106.48,2,5098.35,4087.87
2012-10-10,4704.9,4752.55,4752.78,4685.74,24.88,0.53,382.32,4869.07,4644.71,4420.34,80.37,61.88,117.34,2,5107.3,4095.04
2012-10-11,4728.29,4691.68,4766.7,4690.23,-60.88,-1.28,408.85,4859.34,4657.97,4456.6,79.5,67.75,103.0,2,5128.22,4111.82
2012-10-12,4704.83,4667.38,4749.11,4626.07,-24.3,-0.52,312.36,4858.24,4657.16,4456.07,76.53,70.68,88.23,2,5142.56,4123.31
2012-10-15,4634.66,4573.27,4634.66,4525.63,-94.11,-2.02,270.02,4842.52,4646.75,4450.99,65.25,68.87,58.02,2,5137.96,4119.63
2012-10-16,4565.58,4571.6,4623.3,4555.66,-1.66,-0.04,210.61,4831.16,4638.13,4445.09,57.57,65.1,42.51,2,5140.12,4121.36
2012-10-17,4599.07,4588.46,4618.98,4544.33,16.86,0.37,197.61,4800.58,4626.39,4452.19,47.07,59.09,23.02,2,5157.22,4135.06
2012-10-18,4604.15,4665.82,4680.18,4601.52,77.36,1.69,308.99,4794.19,4623.86,4453.53,50.76,56.32,39.66,2,5165.65,4141.83
2012-10-19,4658.92,4636.8,4678.4,4626.43,-29.02,-0.62,242.47,4768.33,4616.11,4463.9,49.21,53.95,39.74,2,5160.41,4137.63
2012-10-22,4591.54,4649.62,4658.78,4583.49,12.82,0.28,289.1,4766.17,4615.12,4464.06,49.95,52.62,44.63,2,5164.26,4140.71
2012-10-23,4645.47,4595.6,4663.26,4595.52,-54.02,-1.16,259.03,4766.37,4616.19,4466.02,42.98,49.4,30.12,2,5149.6,4128.96
2012-10-24,4560.59,4547.43,4599.7,4534.73,-48.17,-1.05,249.19,4760.7,4609.97,4459.23,31.9,43.57,8.57,2,5126.83,4110.7
2012-10-25,4545.08,4524.46,4591.12,4511.92,-22.97,-0.51,234.06,4759.01,4611.03,4463.05,23.75,36.96,-2.67,2,5108.27,4095.82
2012-10-26,4517.03,4389.66,4527.44,4379.15,-134.8,-2.98,267.69,4778.01,4603.6,4429.2,17.0,30.31,-9.62,2,5077.44,4071.1
2012-10-29,4390.32,4367.92,4412.38,4353.35,-21.74,-0.5,157.08,4793.49,4591.27,4389.05,12.82,24.48,-10.5,2,5054.65,4052.83
2012-10-30,4369.2,4370.05,4429.47,4367.02,2.14,0.05,171.2,4805.86,4582.16,4358.46,10.25,19.74,-8.72,2,5032.28,4034.89
2012-10-31,4379.09,4409.52,4409.52,4358.13,39.47,0.9,174.38,4808.15,4580.91,4353.68,12.59,17.35,3.07,2,5012.41,4018.96
2012-11-01,4417.84,4496.04,4512.28,4416.5,86.51,1.96,251.37,4806.38,4576.23,4346.07,23.74,19.48,32.26,2,4993.57,4003.85
2012-11-02,4495.26,4488.78,4508.69,4458.52,-7.26,-0.16,190.08,4794.05,4566.46,4338.88,30.4,23.12,44.94,2,4977.14,3990.68
2012-11-05,4465.97,4472.14,4506.9,4460.63,-16.64,-0.37,241.96,4789.32,4559.32,4329.32,36.34,27.53,53.96,2,4957.44,3974.88
2012-11-06,4478.53,4450.83,4488.02,4394.07,-21.31,-0.48,233.68,4766.43,4545.48,4324.53,37.89,30.98,51.71,2,4941.37,3962.0
2012-11-07,4458.45,4477.03,4518.31,4439.73,26.2,0.59,243.43,4732.76,4531.7,4330.65,48.94,36.97,72.89,2,4933.55,3955.73
2012-11-08,4422.79,4308.34,4422.79,4308.34,-168.69,-3.77,244.07,4721.85,4512.54,4303.22,32.63,35.52,26.84,2,4909.56,3936.5
2012-11-09,4309.7,4292.89,4336.16,4282.29,-15.45,-0.36,155.23,4711.22,4493.81,4276.41,23.25,31.43,6.89,2,4898.82,3927.89
2012-11-12,4300.44,4334.43,4336.46,4295.01,41.54,0.97,156.93,4706.62,4481.87,4257.12,22.86,28.57,11.44,2,4895.11,3924.9
2012-11-13,4334.98,4237.32,4336.49,4229.67,-97.12,-2.24,185.27,4709.59,4465.16,4220.73,16.13,24.42,-0.47,2,4880.37,3913.09
2012-11-14,4243.66,4268.96,4278.22,4220.09,31.64,0.75,193.25,4700.94,4449.18,4197.42,16.21,21.69,5.26,2,4864.77,3900.58
2012-11-15,4236.13,4168.77,4255.04,4167.91,-100.19,-2.35,173.04,4683.66,4424.33,4165.0,10.89,18.09,-3.51,2,4828.44,3871.45
2012-11-16,4165.86,4129.04,4171.83,4097.49,-39.73,-0.95,177.67,4669.28,4398.94,4128.6,9.76,15.31,-1.35,2,4788.51,3839.44
2012-11-19,4126.46,4162.55,4172.82,4103.66,33.52,0.81,156.76,4637.87,4374.59,4111.3,11.66,14.09,6.79,1,4754.15,3811.88
2012-11-20,4190.1,4143.85,4203.25,4142.53,-18.71,-0.45,137.0,4613.07,4352.0,4090.93,12.52,13.57,10.43,1,4720.07,3784.56
2012-11-21,4143.53,4203.92,4203.92,4097.4,60.07,1.45,165.8,4587.26,4334.83,4082.39,23.2,16.78,36.04,2,4689.76,3760.26
2012-11-22,4192.18,4148.59,4192.18,4138.21,-55.33,-1.32,139.45,4565.14,4316.03,4066.92,22.6,18.72,30.37,2,4672.03,3746.04
2012-11-23,4164.39,4166.17,4202.8,4154.87,17.59,0.42,147.62,4559.74,4304.86,4049.98,24.66,20.7,32.57,2,4657.96,3734.76
2012-11-26,4165.01,4130.75,4177.96,4123.73,-35.42,-0.85,141.22,4556.95,4293.0,4029.05,22.59,21.33,25.1,2,4635.35,3716.63
2012-11-27,4114.3,3981.39,4114.3,3978.73,-149.37,-3.62,207.92,4567.49,4273.57,3979.64,15.38,19.34,7.44,2,4606.94,3693.86
2012-11-28,3962.34,3886.4,3962.34,3876.52,-94.99,-2.39,174.29,4578.98,4247.41,3915.84,11.26,16.65,0.48,2,4564.48,3659.81
2012-11-29,3878.91,3817.74,3920.67,3817.17,-68.65,-1.77,150.98,4573.91,4213.49,3853.08,7.55,13.62,-4.57,2,4525.51,3628.57
2012-11-30,3823.02,3859.21,3884.54,3814.13,41.46,1.09,140.87,4550.63,4182.02,3813.4,8.89,12.04,2.59,2,4495.56,3604.55
2012-12-03,3860.32,3728.25,3881.41,3726.09,-130.95,-3.39,152.16,4538.13,4144.82,3751.51,6.08,10.05,-1.87,2,4447.36,3565.9
2012-12-04,3724.04,3780.63,3788.37,3668.0,52.38,1.4,208.25,4508.8,4111.31,3713.82,11.07,10.39,12.43,2,4407.04,3533.57
2012-12-05,3765.53,3955.06,3988.48,3752.18,174.43,4.61,328.62,4450.46,4085.21,3719.96,25.27,15.35,45.11,2,4379.42,3511.42
2012-12-06,3947.46,3922.16,3974.12,3908.96,-32.9,-0.83,203.07,4422.66,4065.9,3709.15,33.46,21.39,57.61,2,4354.28,3491.27
2012-12-07,3924.46,4023.96,4044.79,3908.22,101.8,2.6,331.82,4393.93,4052.46,3710.99,48.89,30.56,85.57,2,4338.5,3478.61
2012-12-10,4050.18,4095.5,4111.8,4036.17,71.54,1.78,349.4,4357.53,4040.51,3723.5,64.71,41.94,110.23,2,4334.58,3475.48
2012-12-11,4084.99,4097.59,4163.9,4051.94,2.09,0.05,364.03,4338.82,4033.52,3728.22,72.01,51.96,112.11,2,4347.48,3485.82
2012-12-12,4083.36,4090.95,4103.8,4032.54,-6.64,-0.16,269.7,4311.79,4024.62,3737.46,76.44,60.12,109.07,2,4370.19,3504.02
2012-12-13,4082.01,4004.5,4085.8,4004.5,-86.45,-2.11,239.51,4295.91,4016.41,3736.91,73.58,64.61,91.52,2,4390.92,3520.65
2012-12-14,4000.34,4189.41,4197.03,4000.34,184.91,4.62,461.67,4304.97,4019.43,3733.89,81.91,70.37,104.97,2,4427.57,3550.03
2012-12-17,4194.79,4264.48,4351.53,4194.79,75.07,1.79,533.67,4323.43,4024.53,3725.62,83.1,74.61,100.06,2,4487.09,3597.76
2012-12-18,4253.09,4268.76,4330.51,4222.0,4.28,0.1,451.67,4344.25,4030.77,3717.29,82.51,77.24,93.03,2,4541.27,3641.2
2012-12-19,4252.01,4276.89,4304.18,4251.22,8.13,0.19,360.5,4357.43,4034.42,3711.41,82.73,79.07,90.03,2,4577.0,3669.84
2012-12-20,4257.6,4346.55,4348.25,4221.28,69.66,1.63,461.99,4391.91,4044.32,3696.73,88.01,82.05,99.93,2,4624.1,3707.61
2012-12-21,4347.57,4322.66,4448.67,4310.13,-23.89,-0.55,529.0,4416.97,4052.14,3687.31,82.64,82.25,83.42,2,4657.26,3734.2
2012-12-24,4325.26,4330.12,4357.96,4307.63,7.46,0.17,322.47,4445.41,4062.11,3678.81,79.61,81.37,76.1,2,4683.3,3755.08
2012-12-25,4316.49,4441.74,4481.96,4277.91,111.63,2.58,554.77,4500.25,4085.13,3670.01,83.62,82.12,86.63,2,4721.5,3785.71
2012-12-26,4442.16,4484.47,4497.62,4437.65,42.72,0.96,509.32,4554.06,4115.03,3676.01,88.2,84.15,96.31,0,4765.18,3820.73
2012-12-27,4501.26,4451.8,4546.38,4451.51,-32.67,-0.73,505.3,4586.88,4146.73,3706.59,83.17,83.82,81.86,0,4814.83,3860.54
2012-12-28,4451.63,4488.28,4495.77,4427.46,36.48,0.82,395.04,4621.55,4178.19,3734.83,82.82,83.49,81.49,0,4848.01,3887.14
2012-12-31,4491.12,4543.44,4558.15,4474.96,55.16,1.23,433.66,4638.61,4218.95,3799.29,87.09,84.69,91.9,0,4878.97,3911.97
2013-01-04,4613.24,4543.64,4631.92,4522.98,0.2,0.0,516.2,4648.19,4257.1,3866.0,84.23,84.54,83.61,0,4909.48,3936.43
2013-01-07,4537.04,4540.44,4567.23,4507.79,-3.2,-0.07,391.5,4670.21,4286.37,3902.52,80.87,83.31,75.99,0,4938.74,3959.89
2013-01-08,4538.72,4557.52,4567.79,4487.41,17.08,0.38,448.35,4680.73,4318.14,3955.54,80.24,82.29,76.15,0,4962.16,3978.67
2013-01-09,4550.34,4582.89,4582.89,4495.38,25.37,0.56,495.26,4699.73,4346.08,3992.44,82.21,82.26,82.11,0,4991.04,4001.83
2013-01-10,4575.64,4578.52,4627.56,4544.9,-4.37,-0.1,458.57,4718.05,4370.23,4022.41,79.44,81.32,75.66,0,5018.61,4023.93
2013-01-11,4608.15,4482.81,4631.58,4473.44,-95.72,-2.09,432.6,4716.85,4389.49,4062.14,61.98,74.87,36.19,2,5023.17,4027.59
2013-01-14,4468.64,4642.17,4654.93,4468.64,159.37,3.56,511.58,4731.8,4417.05,4102.3,72.78,74.18,70.0,2,5040.68,4041.62
2013-01-15,4641.67,4710.17,4739.63,4635.55,68.0,1.46,658.31,4730.24,4452.34,4174.43,78.23,75.53,83.64,2,5069.36,4064.62
2013-01-16,4715.35,4757.35,4834.02,4675.4,47.19,1.0,701.94,4761.42,4480.74,4200.05,78.49,76.52,82.45,2,5099.22,4088.57
2013-01-17,4754.79,4681.6,4758.79,4666.3,-75.75,-1.59,513.32,4776.84,4501.59,4226.34,71.76,74.93,65.41,2,5114.56,4100.86
2013-01-18,4718.13,4755.64,4774.08,4671.83,74.05,1.58,467.99,4800.63,4525.94,4251.24,74.02,74.63,72.81,2,5138.09,4119.73
2013-01-21,4766.09,4793.52,4805.39,4730.09,37.88,0.8,513.58,4825.09,4551.77,4278.45,78.99,76.08,84.8,2,5166.18,4142.25
2013-01-22,4792.4,4731.28,4792.4,4695.88,-62.24,-1.3,546.5,4837.92,4571.0,4304.08,76.62,76.26,77.33,2,5185.47,4157.72
2013-01-23,4725.81,4697.88,4732.27,4629.42,-33.4,-0.71,377.24,4836.18,4589.76,4343.34,71.99,74.84,66.3,2,5198.23,4167.95
2013-01-24,4693.67,4559.3,4740.08,4525.94,-138.58,-2.95,563.98,4817.79,4601.22,4384.66,56.27,68.65,31.5,2,5196.1,4166.24
2013-01-25,4552.17,4567.29,4613.83,4550.17,7.99,0.18,345.65,4812.16,4607.5,4402.84,41.98,59.76,6.43,2,5205.48,4173.76
2013-01-28,4569.2,4687.83,4687.83,4569.2,120.54,2.64,402.78,4817.01,4617.67,4418.33,45.51,55.01,26.5,2,5210.55,4177.83
2013-01-29,4690.42,4756.25,4770.16,4689.3,68.42,1.46,559.34,4825.63,4632.89,4440.15,57.81,55.94,61.54,2,5215.66,4181.93
2013-01-30,4762.67,4772.48,4802.52,4728.91,16.23,0.34,513.36,4836.98,4647.1,4457.22,67.95,59.94,83.95,2,5217.34,4183.27
2013-01-31,4777.24,4845.7,4888.71,4777.24,73.21,1.53,635.08,4864.4,4662.21,4460.03,74.68,64.86,94.33,2,5235.56,4197.88
2013-02-01,4826.37,4877.63,4877.79,4789.41,31.93,0.66,572.03,4893.93,4678.91,4463.89,82.1,70.6,105.1,2,5249.1,4208.74
2013-02-04,4916.03,4982.4,5011.57,4866.89,104.77,2.15,813.37,4943.63,4701.01,4458.39,86.07,75.76,106.68,2,5270.06,4225.55
2013-02-05,4951.09,5004.07,5032.51,4936.36,21.67,0.43,595.76,4990.03,4723.34,4456.65,88.84,80.12,106.28,2,5300.34,4249.82
2013-02-06,5004.94,4971.95,5035.5,4965.46,-32.11,-0.64,446.14,5022.12,4742.79,4463.46,88.19,82.81,98.96,2,5330.76,4274.22
2013-02-07,4966.93,4964.29,4985.13,4927.77,-7.67,-0.15,454.79,5046.6,4762.08,4477.56,87.04,84.22,92.68,2,5375.72,4310.26
2013-02-08,4955.83,4997.98,5016.84,4955.83,33.69,0.68,363.16,5059.55,4787.84,4516.12,87.75,85.4,92.45,0,5423.52,4348.59
2013-02-18,4998.59,4903.17,5001.04,4885.88,-94.81,-1.9,440.77,5068.4,4800.89,4533.37,77.44,82.75,66.84,2,5447.43,4367.76
2013-02-19,4899.59,4777.44,4912.65,4754.35,-125.74,-2.56,435.44,5068.8,4804.25,4539.71,54.37,73.29,16.53,2,5449.78,4369.64
2013-02-20,4778.21,4838.47,4838.47,4777.76,61.03,1.28,389.14,5072.34,4808.31,4544.28,46.22,64.26,10.13,2,5457.1,4375.52
2013-02-21,4775.74,4642.96,4775.74,4606.95,-195.51,-4.04,604.09,5074.62,4806.38,4538.13,33.61,54.05,-7.25,2,5434.6,4357.47
2013-02-22,4633.84,4649.64,4690.39,4628.61,6.68,0.14,359.76,5077.19,4801.08,4524.96,25.73,44.61,-12.03,2,5409.29,4337.18
2013-02-25,4657.99,4669.47,4689.47,4647.3,19.83,0.43,305.75,5076.9,4794.87,4512.85,22.02,37.08,-8.11,2,5374.56,4309.33
2013-02-26,4648.87,4565.81,4667.66,4562.23,-103.66,-2.22,377.49,5084.85,4786.6,4488.36,14.94,29.7,-14.58,2,5325.91,4270.33
