time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2850.3,2866.24,2873.83,2847.08,9.64,0.34,393.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2868.71,2931.93,2936.43,2865.13,65.69,2.29,579.72,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2936.91,2905.62,2944.12,2901.03,-26.32,-0.9,556.14,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2898.92,2911.75,2921.94,2887.53,6.13,0.21,534.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2914.54,2925.4,2933.84,2901.25,13.65,0.47,467.59,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2945.29,3025.8,3058.27,2942.9,100.41,3.43,1059.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3030.49,3036.08,3041.69,3019.75,10.28,0.34,747.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3029.36,3033.91,3033.91,3007.72,-2.17,-0.07,612.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3043.7,3039.0,3059.04,3016.37,5.09,0.17,589.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3036.89,3011.36,3054.82,3011.36,-27.64,-0.91,546.8,0.0,0.0,0.0,0.0,0.0,0.0,2,3295.27,2642.15
2012-09-14,3028.11,3016.06,3036.77,2989.05,4.7,0.16,794.53,0.0,0.0,0.0,0.0,0.0,0.0,2,3311.9,2655.48
2012-09-17,3011.71,2948.41,3014.05,2948.41,-67.65,-2.24,643.55,0.0,0.0,0.0,0.0,0.0,0.0,2,3313.73,2656.95
2012-09-18,2939.46,2931.38,2953.8,2921.64,-17.03,-0.58,442.68,0.0,0.0,0.0,0.0,0.0,0.0,2,3316.59,2659.24
2012-09-19,2931.43,2937.18,2942.38,2916.67,5.79,0.2,469.22,0.0,0.0,0.0,0.0,0.0,0.0,2,3319.41,2661.51
2012-09-20,2927.0,2866.55,2927.0,2865.28,-70.63,-2.4,533.11,0.0,0.0,0.0,0.0,0.0,0.0,2,3312.88,2656.27
2012-09-21,2856.65,2854.41,2874.52,2842.1,-12.14,-0.42,472.45,0.0,0.0,0.0,0.0,0.0,0.0,2,3293.85,2641.02
2012-09-24,2839.89,2875.38,2889.46,2824.05,20.97,0.73,414.03,0.0,0.0,0.0,21.74,35.28,-5.35,2,3276.01,2626.71
2012-09-25,2872.6,2879.92,2903.31,2864.31,4.54,0.16,312.66,0.0,0.0,0.0,22.56,31.04,5.6,1,3258.92,2613.01
