time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,4267.11,4330.13,4332.97,4250.65,91.05,2.15,1328.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,4311.43,4328.06,4356.68,4290.44,-2.07,-0.05,1088.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,4330.58,4305.68,4357.32,4294.25,-22.38,-0.52,922.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,4300.94,4303.3,4373.79,4283.29,-2.38,-0.06,1375.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,4299.86,4204.8,4322.63,4193.79,-98.5,-2.29,981.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,4185.35,4216.96,4227.13,4161.41,12.16,0.29,906.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,4227.25,4244.69,4270.32,4185.09,27.73,0.66,1055.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,4257.72,4231.57,4263.94,4217.95,-13.12,-0.31,735.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,4222.96,4180.86,4222.96,4154.67,-50.71,-1.2,837.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,4143.12,3982.77,4157.96,3973.63,-198.09,-4.74,1002.43,0.0,0.0,0.0,0.0,0.0,0.0,2,4698.5,3767.26
2011-01-18,3972.4,3987.51,4009.44,3954.38,4.74,0.12,594.84,0.0,0.0,0.0,0.0,0.0,0.0,2,4660.47,3736.77
2011-01-19,3991.68,4079.01,4082.72,3976.21,91.5,2.29,727.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4632.82,3714.61
2011-01-20,4070.93,3940.24,4070.93,3938.72,-138.77,-3.4,750.96,0.0,0.0,0.0,0.0,0.0,0.0,2,4592.26,3682.08
2011-01-21,3932.8,3993.11,4048.75,3925.26,52.87,1.34,844.35,0.0,0.0,0.0,0.0,0.0,0.0,2,4557.83,3654.48
2011-01-24,3993.99,3948.63,4000.18,3936.0,-44.48,-1.11,683.59,0.0,0.0,0.0,0.0,0.0,0.0,2,4529.39,3631.68
2011-01-25,3942.73,3944.1,3968.11,3914.68,-4.53,-0.11,619.2,0.0,0.0,0.0,0.0,0.0,0.0,2,4499.11,3607.39
2011-01-26,3949.13,3995.08,4007.66,3949.13,50.98,1.29,560.05,0.0,0.0,0.0,15.57,12.23,22.27,2,4471.4,3585.18
2011-01-27,3951.34,4044.9,4045.79,3921.89,49.82,1.25,1032.12,0.0,0.0,0.0,28.23,17.56,49.56,2,4450.68,3568.56
2011-01-28,4042.05,4073.28,4084.46,4027.86,28.38,0.7,919.37,0.0,0.0,0.0,49.96,28.36,93.15,2,4438.74,3558.99
2011-01-31,4067.92,4106.47,4106.47,4048.12,33.19,0.81,820.17,4395.6,4122.06,3848.52,66.64,41.12,117.67,2,4452.47,3570.0
2011-02-01,4111.75,4094.75,4113.85,4078.6,-11.72,-0.29,654.11,4366.73,4110.29,3853.85,74.56,52.27,119.15,2,4464.37,3579.54
2011-02-09,4058.71,4050.64,4104.98,4037.94,-44.11,-1.08,739.31,4333.52,4096.42,3859.31,72.46,59.0,99.39,2,4461.22,3577.02
2011-02-10,4041.99,4173.5,4174.36,4040.42,122.86,3.03,1074.03,4309.98,4089.81,3869.64,81.53,66.51,111.58,2,4487.12,3597.78
2011-02-11,4169.08,4230.52,4255.38,4160.37,57.02,1.37,1277.33,4294.17,4086.17,3878.17,85.26,72.76,110.25,2,4513.47,3618.91
2011-02-14,4237.22,4381.08,4391.86,4237.22,150.56,3.56,1895.31,4334.85,4094.98,3855.12,89.41,78.31,111.6,0,4561.47,3657.39
2011-02-15,4387.62,4370.52,4432.88,4368.71,-10.56,-0.24,1641.66,4366.3,4102.66,3839.02,88.87,81.83,102.95,0,4608.8,3695.35
2011-02-16,4360.32,4443.37,4443.37,4356.5,72.85,1.67,1391.91,4409.74,4112.6,3815.45,92.58,85.41,106.92,0,4658.56,3735.24
2011-02-17,4448.88,4442.86,4468.98,4389.79,-0.51,-0.01,1472.59,4450.01,4123.16,3796.31,93.03,87.95,103.19,0,4702.74,3770.66
2011-02-18,4432.72,4380.27,4432.72,4369.05,-62.59,-1.41,1200.52,4478.08,4133.13,3788.18,88.5,88.13,89.22,2,4736.81,3797.98
2011-02-21,4350.31,4461.73,4461.73,4344.96,81.46,1.86,1333.91,4522.82,4157.08,3791.33,91.77,89.35,96.62,2,4776.25,3829.6
2011-02-22,4466.54,4314.88,4466.54,4314.16,-146.85,-3.29,1639.11,4536.66,4173.45,3810.23,82.53,87.07,73.44,2,4800.68,3849.19
2011-02-23,4303.5,4324.19,4340.88,4286.49,9.31,0.22,1039.66,4551.88,4185.71,3819.53,72.71,82.29,53.57,2,4831.04,3873.54
2011-02-24,4314.91,4363.96,4371.15,4298.28,39.77,0.92,1148.21,4562.7,4206.89,3851.09,66.7,77.09,45.93,2,4852.19,3890.49
2011-02-25,4364.34,4379.46,4396.45,4311.18,15.5,0.36,1044.87,4575.38,4226.21,3877.04,61.45,71.88,40.6,2,4868.72,3903.75
2011-02-28,4383.79,4475.92,4479.88,4359.9,96.46,2.2,1307.52,4593.45,4252.57,3911.69,73.62,72.46,75.94,2,4879.24,3912.19
2011-03-01,4479.41,4494.6,4527.99,4466.55,18.68,0.42,1674.58,4605.45,4280.1,3954.75,77.8,74.24,84.93,2,4893.02,3923.23
2011-03-02,4467.38,4486.31,4488.89,4410.13,-8.29,-0.18,1329.83,4614.01,4304.66,3995.31,79.45,75.98,86.4,2,4897.78,3927.05
2011-03-03,4485.36,4445.49,4532.52,4445.49,-40.82,-0.91,1606.45,4615.49,4324.69,4033.89,74.51,75.49,72.55,2,4898.08,3927.29
2011-03-04,4449.14,4517.02,4519.99,4443.32,71.53,1.61,1478.96,4625.0,4346.88,4068.76,80.91,77.29,88.13,2,4913.26,3939.46
2011-03-07,4539.51,4596.82,4600.8,4539.51,79.8,1.77,2040.25,4646.86,4371.39,4095.93,86.85,80.48,99.59,2,4928.25,3951.48
2011-03-08,4602.32,4600.06,4606.32,4562.97,3.24,0.07,1629.74,4658.35,4396.66,4134.97,90.55,83.84,103.99,2,4959.91,3976.86
2011-03-09,4608.13,4600.95,4627.42,4576.22,0.89,0.02,1551.33,4647.45,4424.18,4200.9,90.91,86.2,100.35,2,4990.63,4001.49
2011-03-10,4590.32,4552.7,4590.32,4545.22,-48.25,-1.05,1619.87,4641.0,4443.14,4245.27,84.63,85.67,82.55,0,5011.58,4018.29
2011-03-11,4524.58,4514.15,4576.5,4507.06,-38.55,-0.85,1369.07,4631.43,4457.32,4283.21,72.38,81.24,54.65,2,5026.53,4030.28
2011-03-14,4507.94,4551.99,4551.99,4498.3,37.84,0.84,1320.19,4640.94,4465.86,4290.79,70.01,77.5,55.04,2,5034.97,4037.05
2011-03-15,4533.93,4476.46,4533.93,4387.39,-75.53,-1.66,1717.94,4640.7,4471.16,4301.62,59.05,71.35,34.44,2,5032.96,4035.43
2011-03-16,4469.57,4519.24,4529.38,4469.33,42.78,0.96,1539.25,4645.23,4474.95,4304.68,57.67,66.79,39.44,2,5036.61,4038.36
2011-03-17,4480.74,4444.14,4503.55,4424.87,-75.1,-1.66,1558.71,4645.25,4475.02,4304.79,46.33,59.97,19.05,2,5036.46,4038.24
2011-03-18,4481.75,4477.62,4496.33,4451.88,33.48,0.75,1173.0,4644.47,4479.88,4315.3,43.42,54.45,21.35,2,5032.09,4034.74
2011-03-21,4478.85,4457.51,4503.41,4439.83,-20.11,-0.45,1135.26,4644.37,4479.67,4314.98,38.68,49.2,17.66,2,5016.63,4022.34
2011-03-22,4469.18,4479.44,4488.12,4406.78,21.93,0.49,976.77,4634.26,4487.9,4341.54,40.91,46.43,29.86,2,5003.24,4011.6
2011-03-23,4476.75,4549.72,4554.4,4468.92,70.28,1.57,1319.2,4626.92,4499.18,4371.44,55.89,49.58,68.49,2,4997.55,4007.04
2011-03-24,4554.11,4542.95,4569.42,4536.03,-6.77,-0.15,1146.09,4620.92,4508.13,4395.33,65.74,54.97,87.29,2,4996.47,4006.18
2011-03-25,4549.08,4615.46,4628.7,4545.98,72.51,1.6,1648.65,4625.56,4519.93,4414.29,75.33,61.76,102.48,2,5007.71,4015.19
2011-03-28,4641.41,4592.36,4661.74,4584.29,-23.1,-0.5,1700.17,4633.85,4525.75,4417.65,74.48,66.0,91.45,2,5012.19,4018.79
2011-03-29,4581.75,4517.64,4597.69,4514.51,-74.72,-1.63,1728.94,4634.13,4526.9,4419.67,64.15,65.38,61.68,2,5016.76,4022.45
2011-03-30,4514.28,4501.36,4537.79,4459.77,-16.28,-0.36,1289.07,4633.94,4527.65,4421.36,55.13,61.97,41.46,2,5014.78,4020.86
2011-03-31,4498.23,4443.33,4505.89,4426.44,-58.03,-1.29,1020.37,4634.17,4527.55,4420.92,41.53,55.16,14.29,2,5014.69,4020.79
