time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,2496.96,0.0,0.0,2496.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,2465.09,0.0,0.0,2465.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,2433.56,0.0,0.0,2433.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,2408.4,0.0,0.0,2408.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,2336.0,0.0,0.0,2336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,2311.5,0.0,0.0,2311.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,2312.33,0.0,0.0,2312.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,2323.86,0.0,0.0,2323.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,2256.33,0.0,0.0,2256.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,2149.17,0.0,0.0,2149.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2607.75,2090.89
2011-01-18,0.0,2151.48,0.0,0.0,2151.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2569.4,2060.15
2011-01-19,0.0,2217.18,0.0,0.0,2217.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2541.88,2038.08
2011-01-20,0.0,2105.92,0.0,0.0,2105.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2505.51,2008.92
2011-01-21,0.0,2108.18,0.0,0.0,2108.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2472.19,1982.2
2011-01-24,0.0,2031.22,0.0,0.0,2031.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2438.36,1955.08
2011-01-25,0.0,2009.32,0.0,0.0,2009.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2404.81,1928.18
2011-01-26,0.0,2065.67,0.0,0.0,2065.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2377.43,1906.23
2011-01-27,0.0,2103.07,0.0,0.0,2103.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2352.93,1886.58
2011-01-28,0.0,2113.89,0.0,0.0,2113.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2337.12,1873.9
2011-01-31,0.0,2132.26,0.0,0.0,2132.26,0.0,0.0,2520.23,2226.57,1932.91,0.0,0.0,0.0,2,2335.24,1872.4
2011-02-01,0.0,2157.67,0.0,0.0,2157.67,0.0,0.0,2476.84,2209.6,1942.37,0.0,0.0,0.0,2,2335.93,1872.95
2011-02-09,0.0,2143.14,0.0,0.0,2143.14,0.0,0.0,2434.77,2193.51,1952.25,0.0,0.0,0.0,2,2327.71,1866.36
2011-02-10,0.0,2204.05,0.0,0.0,2204.05,0.0,0.0,2396.92,2182.03,1967.15,0.0,0.0,0.0,2,2338.6,1875.09
2011-02-11,0.0,2226.39,0.0,0.0,2226.39,0.0,0.0,2362.64,2172.93,1983.22,0.0,0.0,0.0,2,2351.72,1885.61
