time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,7158.31,0.0,0.0,7158.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,7107.46,0.0,0.0,7107.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,7045.45,0.0,0.0,7045.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,7016.39,0.0,0.0,7016.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,6826.19,0.0,0.0,6826.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,6788.02,0.0,0.0,6788.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,6790.78,0.0,0.0,6790.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,6884.04,0.0,0.0,6884.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,6831.51,0.0,0.0,6831.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,6554.79,0.0,0.0,6554.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7659.33,6141.26
2011-01-18,0.0,6628.13,0.0,0.0,6628.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7600.48,6094.08
2011-01-19,0.0,6756.64,0.0,0.0,6756.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7561.54,6062.85
2011-01-20,0.0,6545.64,0.0,0.0,6545.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7506.06,6018.37
2011-01-21,0.0,6513.39,0.0,0.0,6513.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7450.22,5973.6
2011-01-24,0.0,6323.47,0.0,0.0,6323.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7394.42,5928.86
2011-01-25,0.0,6253.07,0.0,0.0,6253.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7335.04,5881.25
2011-01-26,0.0,6328.94,0.0,0.0,6328.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7283.78,5840.15
2011-01-27,0.0,6475.51,0.0,0.0,6475.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7238.43,5803.79
2011-01-28,0.0,6553.61,0.0,0.0,6553.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7207.58,5779.05
2011-01-31,0.0,6632.07,0.0,0.0,6632.07,0.0,0.0,7214.93,6700.67,6186.41,0.0,0.0,0.0,2,7216.16,5785.93
2011-02-01,0.0,6625.23,0.0,0.0,6625.23,0.0,0.0,7143.99,6674.02,6204.04,0.0,0.0,0.0,2,7215.84,5785.67
2011-02-09,0.0,6671.36,0.0,0.0,6671.36,0.0,0.0,7078.12,6652.21,6226.3,0.0,0.0,0.0,2,7206.37,5778.08
2011-02-10,0.0,6875.84,0.0,0.0,6875.84,0.0,0.0,7043.97,6643.73,6243.5,0.0,0.0,0.0,2,7243.03,5807.47
2011-02-11,0.0,6898.77,0.0,0.0,6898.77,0.0,0.0,7019.01,6637.85,6256.69,0.0,0.0,0.0,2,7285.8,5841.77
2011-02-14,0.0,6964.93,0.0,0.0,6964.93,0.0,0.0,7044.03,6644.79,6245.55,0.0,0.0,0.0,2,7357.01,5898.86
2011-02-15,0.0,6973.57,0.0,0.0,6973.57,0.0,0.0,7074.26,6654.06,6233.87,0.0,0.0,0.0,2,7436.98,5962.98
2011-02-16,0.0,7020.73,0.0,0.0,7020.73,0.0,0.0,7111.87,6665.56,6219.26,0.0,0.0,0.0,0,7513.77,6024.55
2011-02-17,0.0,6997.83,0.0,0.0,6997.83,0.0,0.0,7131.24,6671.25,6211.26,0.0,0.0,0.0,0,7571.75,6071.04
2011-02-18,0.0,6979.52,0.0,0.0,6979.52,0.0,0.0,7153.25,6678.65,6204.05,0.0,0.0,0.0,0,7619.02,6108.95
2011-02-21,0.0,7085.07,0.0,0.0,7085.07,0.0,0.0,7207.56,6705.17,6202.77,0.0,0.0,0.0,0,7669.31,6149.26
2011-02-22,0.0,6993.68,0.0,0.0,6993.68,0.0,0.0,7239.7,6723.44,6207.19,0.0,0.0,0.0,2,7710.2,6182.06
2011-02-23,0.0,6986.71,0.0,0.0,6986.71,0.0,0.0,7263.75,6734.95,6206.14,0.0,0.0,0.0,2,7745.21,6210.12
2011-02-24,0.0,7009.02,0.0,0.0,7009.02,0.0,0.0,7292.29,6758.12,6223.94,0.0,0.0,0.0,2,7759.99,6221.97
2011-02-25,0.0,7018.04,0.0,0.0,7018.04,0.0,0.0,7316.57,6783.35,6250.12,0.0,0.0,0.0,2,7773.23,6232.59
2011-02-28,0.0,7049.54,0.0,0.0,7049.54,0.0,0.0,7320.58,6819.65,6318.72,0.0,0.0,0.0,2,7782.62,6240.12
2011-03-01,0.0,7071.27,0.0,0.0,7071.27,0.0,0.0,7299.53,6860.56,6421.59,0.0,0.0,0.0,2,7793.47,6248.82
2011-03-02,0.0,7084.0,0.0,0.0,7084.0,0.0,0.0,7273.09,6898.32,6523.54,0.0,0.0,0.0,2,7800.49,6254.45
2011-03-03,0.0,6959.81,0.0,0.0,6959.81,0.0,0.0,7243.64,6922.53,6601.42,0.0,0.0,0.0,2,7796.27,6251.06
2011-03-04,0.0,6979.8,0.0,0.0,6979.8,0.0,0.0,7217.21,6943.84,6670.47,0.0,0.0,0.0,2,7796.3,6251.09
2011-03-07,0.0,7004.18,0.0,0.0,7004.18,0.0,0.0,7196.19,6962.44,6728.7,0.0,0.0,0.0,2,7787.32,6243.89
2011-03-08,0.0,7018.89,0.0,0.0,7018.89,0.0,0.0,7158.14,6982.13,6806.11,0.0,0.0,0.0,2,7790.12,6246.13
2011-03-09,0.0,7028.81,0.0,0.0,7028.81,0.0,0.0,7104.04,7000.0,6895.96,0.0,0.0,0.0,2,7794.79,6249.88
2011-03-10,0.0,7058.91,0.0,0.0,7058.91,0.0,0.0,7099.16,7009.15,6919.15,0.0,0.0,0.0,2,7800.33,6254.32
2011-03-11,0.0,7021.29,0.0,0.0,7021.29,0.0,0.0,7089.73,7015.28,6940.83,0.0,0.0,0.0,2,7800.69,6254.61
2011-03-14,0.0,7089.36,0.0,0.0,7089.36,0.0,0.0,7098.82,7021.5,6944.18,0.0,0.0,0.0,2,7805.11,6258.15
2011-03-15,0.0,6948.52,0.0,0.0,6948.52,0.0,0.0,7101.35,7020.25,6939.14,0.0,0.0,0.0,2,7791.49,6247.23
2011-03-16,0.0,7013.0,0.0,0.0,7013.0,0.0,0.0,7101.03,7019.86,6938.7,0.0,0.0,0.0,2,7783.61,6240.91
2011-03-17,0.0,6961.78,0.0,0.0,6961.78,0.0,0.0,7102.63,7018.06,6933.49,0.0,0.0,0.0,2,7783.82,6241.08
2011-03-18,0.0,6988.61,0.0,0.0,6988.61,0.0,0.0,7102.35,7018.51,6934.68,0.0,0.0,0.0,2,7784.8,6241.87
2011-03-21,0.0,6932.65,0.0,0.0,6932.65,0.0,0.0,7096.83,7010.89,6924.96,0.0,0.0,0.0,2,7776.86,6235.5
2011-03-22,0.0,6908.38,0.0,0.0,6908.38,0.0,0.0,7103.35,7006.63,6909.91,0.0,0.0,0.0,2,7764.6,6225.67
