time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1554.73,1570.5,1574.13,1546.06,23.05,1.49,175.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1555.11,1556.04,1564.18,1552.9,-14.46,-0.92,152.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1552.32,1524.42,1558.35,1523.97,-31.62,-2.03,136.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1520.53,1507.35,1531.06,1499.98,-17.07,-1.12,134.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1507.19,1462.04,1507.24,1454.41,-45.31,-3.01,129.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1453.76,1435.85,1455.31,1425.53,-26.19,-1.79,123.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1446.0,1445.45,1453.13,1423.84,9.6,0.67,100.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1459.42,1448.4,1459.42,1446.92,2.95,0.2,101.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1437.43,1423.92,1437.97,1410.33,-24.48,-1.69,109.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1408.06,1366.44,1409.25,1361.84,-57.48,-4.04,118.05,0.0,0.0,0.0,0.0,0.0,0.0,2,1636.19,1311.9
2011-01-18,1359.68,1371.57,1374.27,1357.57,5.13,0.38,79.97,0.0,0.0,0.0,0.0,0.0,0.0,2,1614.1,1294.19
2011-01-19,1373.13,1404.35,1406.16,1370.2,32.78,2.39,92.65,0.0,0.0,0.0,0.0,0.0,0.0,2,1597.27,1280.69
2011-01-20,1400.37,1355.01,1408.36,1355.01,-49.34,-3.51,112.72,0.0,0.0,0.0,0.0,0.0,0.0,2,1578.46,1265.61
2011-01-21,1343.62,1361.36,1376.94,1341.46,6.35,0.47,107.73,0.0,0.0,0.0,0.0,0.0,0.0,1,1562.26,1252.62
2011-01-24,1363.06,1303.69,1363.24,1303.69,-57.67,-4.24,114.85,0.0,0.0,0.0,0.0,0.0,0.0,1,1544.68,1238.53
2011-01-25,1296.7,1281.81,1296.7,1268.08,-21.88,-1.68,89.04,0.0,0.0,0.0,0.0,0.0,0.0,1,1527.58,1224.82
2011-01-26,1284.97,1304.4,1309.33,1284.24,22.59,1.76,71.31,0.0,0.0,0.0,12.15,9.57,17.3,1,1511.93,1212.26
2011-01-27,1293.33,1340.94,1343.69,1287.94,36.54,2.8,103.13,0.0,0.0,0.0,25.3,14.81,46.28,1,1500.0,1202.7
2011-01-28,1338.95,1358.27,1358.57,1336.92,17.33,1.29,94.31,0.0,0.0,0.0,38.3,22.64,69.61,2,1492.71,1196.86
2011-01-31,1354.09,1372.05,1374.37,1351.56,13.78,1.01,93.71,1572.5,1409.69,1246.89,50.24,31.84,87.03,2,1493.33,1197.36
2011-02-01,1371.51,1373.7,1376.32,1363.36,1.65,0.12,77.95,1545.47,1399.85,1254.23,58.59,40.76,94.25,2,1493.57,1197.55
2011-02-09,1361.19,1347.23,1374.03,1342.86,-26.47,-1.93,82.78,1517.65,1389.41,1261.18,63.3,48.27,93.35,2,1487.23,1192.46
2011-02-10,1344.44,1393.4,1393.4,1340.18,46.17,3.43,108.21,1495.24,1382.86,1270.48,75.53,57.36,111.88,2,1491.49,1195.88
2011-02-11,1394.1,1432.51,1438.38,1394.1,39.11,2.81,146.83,1478.96,1379.12,1279.28,82.54,65.75,116.11,2,1499.39,1202.21
2011-02-14,1439.52,1481.69,1484.82,1439.52,49.18,3.43,187.38,1483.51,1380.1,1276.7,87.84,73.11,117.29,2,1519.15,1218.05
