time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,6952.15,0.0,0.0,6952.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,6912.56,0.0,0.0,6912.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,6849.42,0.0,0.0,6849.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,6865.25,0.0,0.0,6865.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,6682.11,0.0,0.0,6682.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,6605.1,0.0,0.0,6605.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,6597.95,0.0,0.0,6597.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,6675.88,0.0,0.0,6675.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,6650.33,0.0,0.0,6650.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,6393.66,0.0,0.0,6393.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7457.47,5979.41
2011-01-18,0.0,6457.23,0.0,0.0,6457.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7402.53,5935.36
2011-01-19,0.0,6575.25,0.0,0.0,6575.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7365.09,5905.34
2011-01-20,0.0,6356.92,0.0,0.0,6356.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7310.42,5861.51
2011-01-21,0.0,6281.66,0.0,0.0,6281.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7245.65,5809.57
2011-01-24,0.0,6091.38,0.0,0.0,6091.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7180.07,5757.0
2011-01-25,0.0,6101.04,0.0,0.0,6101.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7124.12,5712.14
2011-01-26,0.0,6146.11,0.0,0.0,6146.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7073.97,5671.92
2011-01-27,0.0,6240.84,0.0,0.0,6240.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7025.68,5633.2
2011-01-28,0.0,6304.44,0.0,0.0,6304.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6987.29,5602.42
2011-01-31,0.0,6319.98,0.0,0.0,6319.98,0.0,0.0,7034.65,6502.96,5971.28,0.0,0.0,0.0,2,6979.11,5595.86
2011-02-01,0.0,6329.96,0.0,0.0,6329.96,0.0,0.0,6966.27,6471.85,5977.43,0.0,0.0,0.0,2,6964.98,5584.53
2011-02-09,0.0,6278.92,0.0,0.0,6278.92,0.0,0.0,6897.38,6440.17,5982.97,0.0,0.0,0.0,2,6932.09,5558.16
2011-02-10,0.0,6521.93,0.0,0.0,6521.93,0.0,0.0,6843.09,6423.8,6004.51,0.0,0.0,0.0,2,6950.4,5572.85
2011-02-11,0.0,6552.57,0.0,0.0,6552.57,0.0,0.0,6781.21,6408.16,6035.11,0.0,0.0,0.0,2,6980.48,5596.96
2011-02-14,0.0,6650.76,0.0,0.0,6650.76,0.0,0.0,6775.26,6406.6,6037.93,0.0,0.0,0.0,2,7042.57,5646.74
