time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,4443.83,0.0,0.0,4443.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,4417.65,0.0,0.0,4417.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,4431.63,0.0,0.0,4431.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,4423.66,0.0,0.0,4423.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,4314.73,0.0,0.0,4314.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,4293.68,0.0,0.0,4293.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,4334.42,0.0,0.0,4334.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,4335.57,0.0,0.0,4335.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,4281.51,0.0,0.0,4281.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,4093.67,0.0,0.0,4093.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4814.11,3859.96
2011-01-18,0.0,4118.47,0.0,0.0,4118.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4777.99,3831.0
2011-01-19,0.0,4201.91,0.0,0.0,4201.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4754.05,3811.8
2011-01-20,0.0,4056.11,0.0,0.0,4056.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4712.36,3778.38
2011-01-21,0.0,4094.55,0.0,0.0,4094.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4675.83,3749.09
2011-01-24,0.0,4033.27,0.0,0.0,4033.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4644.59,3724.04
2011-01-25,0.0,4008.83,0.0,0.0,4008.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4612.97,3698.69
2011-01-26,0.0,4087.47,0.0,0.0,4087.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4585.56,3676.71
2011-01-27,0.0,4145.75,0.0,0.0,4145.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4564.49,3659.82
2011-01-28,0.0,4200.31,0.0,0.0,4200.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4555.48,3652.59
2011-01-31,0.0,4235.91,0.0,0.0,4235.91,0.0,0.0,4507.38,4227.65,3947.91,0.0,0.0,0.0,2,4571.27,3665.25
2011-02-01,0.0,4212.34,0.0,0.0,4212.34,0.0,0.0,4477.64,4216.07,3954.51,0.0,0.0,0.0,2,4581.69,3673.6
2011-02-09,0.0,4186.41,0.0,0.0,4186.41,0.0,0.0,4449.32,4204.51,3959.7,0.0,0.0,0.0,2,4579.97,3672.22
2011-02-10,0.0,4376.06,0.0,0.0,4376.06,0.0,0.0,4437.25,4201.73,3966.21,0.0,0.0,0.0,2,4615.48,3700.7
2011-02-11,0.0,4441.66,0.0,0.0,4441.66,0.0,0.0,4441.65,4202.63,3963.61,0.0,0.0,0.0,2,4654.01,3731.59
2011-02-14,0.0,4541.11,0.0,0.0,4541.11,0.0,0.0,4491.47,4213.95,3936.43,0.0,0.0,0.0,0,4710.38,3776.79
2011-02-15,0.0,4526.57,0.0,0.0,4526.57,0.0,0.0,4533.41,4225.59,3917.78,0.0,0.0,0.0,0,4767.85,3822.87
2011-02-16,0.0,4580.74,0.0,0.0,4580.74,0.0,0.0,4579.96,4237.91,3895.86,0.0,0.0,0.0,0,4822.6,3866.77
2011-02-17,0.0,4566.25,0.0,0.0,4566.25,0.0,0.0,4618.39,4249.44,3880.5,0.0,0.0,0.0,0,4869.28,3904.2
2011-02-18,0.0,4484.23,0.0,0.0,4484.23,0.0,0.0,4642.37,4259.58,3876.79,0.0,0.0,0.0,2,4900.79,3929.46
2011-02-21,0.0,4585.63,0.0,0.0,4585.63,0.0,0.0,4684.01,4284.18,3884.35,0.0,0.0,0.0,2,4939.61,3960.59
2011-02-22,0.0,4451.4,0.0,0.0,4451.4,0.0,0.0,4699.4,4300.83,3902.26,0.0,0.0,0.0,2,4966.15,3981.87
2011-02-23,0.0,4461.81,0.0,0.0,4461.81,0.0,0.0,4715.58,4313.82,3912.06,0.0,0.0,0.0,2,4996.72,4006.38
2011-02-24,0.0,4526.82,0.0,0.0,4526.82,0.0,0.0,4731.04,4337.36,3943.68,0.0,0.0,0.0,2,5013.45,4019.79
2011-02-25,0.0,4572.92,0.0,0.0,4572.92,0.0,0.0,4751.15,4361.27,3971.4,0.0,0.0,0.0,2,5028.02,4031.48
2011-02-28,0.0,4709.31,0.0,0.0,4709.31,0.0,0.0,4782.56,4395.08,4007.6,0.0,0.0,0.0,2,5046.69,4046.45
2011-03-01,0.0,4735.12,0.0,0.0,4735.12,0.0,0.0,4803.08,4431.39,4059.7,0.0,0.0,0.0,2,5069.84,4065.01
2011-03-02,0.0,4735.48,0.0,0.0,4735.48,0.0,0.0,4822.67,4463.79,4104.91,0.0,0.0,0.0,2,5087.02,4078.78
2011-03-03,0.0,4683.62,0.0,0.0,4683.62,0.0,0.0,4830.3,4490.68,4151.07,0.0,0.0,0.0,2,5100.04,4089.22
2011-03-04,0.0,4776.05,0.0,0.0,4776.05,0.0,0.0,4853.3,4519.47,4185.64,0.0,0.0,0.0,2,5132.44,4115.2
2011-03-07,0.0,4860.31,0.0,0.0,4860.31,0.0,0.0,4889.36,4550.69,4212.02,0.0,0.0,0.0,2,5162.93,4139.64
2011-03-08,0.0,4844.05,0.0,0.0,4844.05,0.0,0.0,4906.35,4582.28,4258.21,0.0,0.0,0.0,2,5206.51,4174.59
2011-03-09,0.0,4834.67,0.0,0.0,4834.67,0.0,0.0,4901.43,4614.69,4327.95,0.0,0.0,0.0,2,5247.9,4207.77
2011-03-10,0.0,4774.89,0.0,0.0,4774.89,0.0,0.0,4907.34,4634.63,4361.92,0.0,0.0,0.0,2,5275.43,4229.85
2011-03-11,0.0,4725.65,0.0,0.0,4725.65,0.0,0.0,4909.17,4648.83,4388.5,0.0,0.0,0.0,2,5292.39,4243.44
2011-03-14,0.0,4756.73,0.0,0.0,4756.73,0.0,0.0,4919.07,4659.61,4400.16,0.0,0.0,0.0,2,5297.65,4247.66
2011-03-15,0.0,4668.1,0.0,0.0,4668.1,0.0,0.0,4918.86,4666.69,4414.52,0.0,0.0,0.0,2,5290.21,4241.7
2011-03-16,0.0,4734.86,0.0,0.0,4734.86,0.0,0.0,4925.0,4674.39,4423.79,0.0,0.0,0.0,2,5290.14,4241.64
2011-03-17,0.0,4624.28,0.0,0.0,4624.28,0.0,0.0,4924.15,4677.3,4430.45,0.0,0.0,0.0,2,5283.55,4236.36
2011-03-18,0.0,4646.7,0.0,0.0,4646.7,0.0,0.0,4916.51,4685.42,4454.33,0.0,0.0,0.0,2,5269.2,4224.85
2011-03-21,0.0,4619.28,0.0,0.0,4619.28,0.0,0.0,4915.74,4687.1,4458.47,0.0,0.0,0.0,2,5242.44,4203.4
2011-03-22,0.0,4628.41,0.0,0.0,4628.41,0.0,0.0,4899.77,4695.95,4492.14,0.0,0.0,0.0,1,5218.51,4184.21
2011-03-23,0.0,4706.08,0.0,0.0,4706.08,0.0,0.0,4881.37,4708.17,4534.97,0.0,0.0,0.0,2,5204.23,4172.76
2011-03-24,0.0,4693.48,0.0,0.0,4693.48,0.0,0.0,4868.77,4716.5,4564.23,0.0,0.0,0.0,2,5195.2,4165.52
2011-03-25,0.0,4777.38,0.0,0.0,4777.38,0.0,0.0,4865.96,4726.72,4587.49,0.0,0.0,0.0,2,5200.94,4170.12
2011-03-28,0.0,4748.18,0.0,0.0,4748.18,0.0,0.0,4867.96,4728.67,4589.37,0.0,0.0,0.0,2,5199.99,4169.36
2011-03-29,0.0,4651.06,0.0,0.0,4651.06,0.0,0.0,4867.74,4724.46,4581.18,0.0,0.0,0.0,2,5198.1,4167.84
2011-03-30,0.0,4633.73,0.0,0.0,4633.73,0.0,0.0,4867.86,4719.38,4570.89,0.0,0.0,0.0,2,5186.87,4158.84
2011-03-31,0.0,4562.32,0.0,0.0,4562.32,0.0,0.0,4876.34,4713.31,4550.28,0.0,0.0,0.0,2,5179.99,4153.33
2011-04-01,0.0,4588.38,0.0,0.0,4588.38,0.0,0.0,4872.92,4703.93,4534.93,0.0,0.0,0.0,2,5173.52,4148.14
2011-04-06,0.0,4568.27,0.0,0.0,4568.27,0.0,0.0,4852.1,4689.32,4526.55,0.0,0.0,0.0,2,5167.86,4143.6
2011-04-07,0.0,4635.79,0.0,0.0,4635.79,0.0,0.0,4826.72,4678.91,4531.1,0.0,0.0,0.0,2,5168.68,4144.26
2011-04-08,0.0,4685.4,0.0,0.0,4685.4,0.0,0.0,4800.99,4671.45,4541.9,0.0,0.0,0.0,2,5166.38,4142.42
2011-04-11,0.0,4607.79,0.0,0.0,4607.79,0.0,0.0,4786.27,4663.09,4539.92,0.0,0.0,0.0,2,5156.87,4134.79
