time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,4775.92,0.0,0.0,4775.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,4771.49,0.0,0.0,4771.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,4737.96,0.0,0.0,4737.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,4633.91,0.0,0.0,4633.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,4550.89,0.0,0.0,4550.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,4550.36,0.0,0.0,4550.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,4540.89,0.0,0.0,4540.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,4535.25,0.0,0.0,4535.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,4393.08,0.0,0.0,4393.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,4205.93,0.0,0.0,4205.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5072.22,4066.92
2011-01-18,0.0,4190.33,0.0,0.0,4190.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5007.22,4014.8
2011-01-19,0.0,4335.63,0.0,0.0,4335.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4958.84,3976.01
2011-01-20,0.0,4138.78,0.0,0.0,4138.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4892.33,3922.68
2011-01-21,0.0,4162.71,0.0,0.0,4162.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4840.03,3880.74
2011-01-24,0.0,4049.84,0.0,0.0,4049.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4784.41,3836.15
2011-01-25,0.0,3998.46,0.0,0.0,3998.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4723.15,3787.03
2011-01-26,0.0,4061.52,0.0,0.0,4061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4669.94,3744.37
2011-01-27,0.0,4188.76,0.0,0.0,4188.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4631.48,3713.53
2011-01-28,0.0,4236.46,0.0,0.0,4236.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4614.09,3699.59
2011-01-31,0.0,4308.3,0.0,0.0,4308.3,0.0,0.0,4858.27,4368.32,3878.37,0.0,0.0,0.0,2,4625.46,3708.7
2011-02-01,0.0,4348.57,0.0,0.0,4348.57,0.0,0.0,4799.81,4346.96,3894.1,0.0,0.0,0.0,2,4643.02,3722.78
2011-02-09,0.0,4244.35,0.0,0.0,4244.35,0.0,0.0,4730.91,4320.6,3910.29,0.0,0.0,0.0,2,4632.89,3714.66
2011-02-10,0.0,4365.18,0.0,0.0,4365.18,0.0,0.0,4666.0,4301.96,3937.92,0.0,0.0,0.0,2,4658.02,3734.81
2011-02-11,0.0,4360.34,0.0,0.0,4360.34,0.0,0.0,4620.58,4288.28,3955.98,0.0,0.0,0.0,2,4679.96,3752.4
2011-02-14,0.0,4535.03,0.0,0.0,4535.03,0.0,0.0,4617.34,4287.49,3957.64,0.0,0.0,0.0,2,4733.81,3795.58
2011-02-15,0.0,4559.05,0.0,0.0,4559.05,0.0,0.0,4619.18,4287.92,3956.67,0.0,0.0,0.0,0,4796.04,3845.47
2011-02-16,0.0,4660.0,0.0,0.0,4660.0,0.0,0.0,4646.69,4293.88,3941.06,0.0,0.0,0.0,0,4862.47,3898.74
2011-02-17,0.0,4653.49,0.0,0.0,4653.49,0.0,0.0,4672.02,4299.79,3927.57,0.0,0.0,0.0,0,4914.06,3940.1
2011-02-18,0.0,4553.95,0.0,0.0,4553.95,0.0,0.0,4694.45,4307.83,3921.22,0.0,0.0,0.0,0,4949.3,3968.36
2011-02-21,0.0,4648.92,0.0,0.0,4648.92,0.0,0.0,4740.71,4329.98,3919.25,0.0,0.0,0.0,0,4987.11,3998.67
2011-02-22,0.0,4524.45,0.0,0.0,4524.45,0.0,0.0,4760.51,4346.69,3932.87,0.0,0.0,0.0,2,5006.63,4014.32
2011-02-23,0.0,4543.76,0.0,0.0,4543.76,0.0,0.0,4779.65,4357.1,3934.54,0.0,0.0,0.0,2,5039.86,4040.97
2011-02-24,0.0,4592.14,0.0,0.0,4592.14,0.0,0.0,4801.69,4379.76,3957.84,0.0,0.0,0.0,2,5065.06,4061.17
2011-02-25,0.0,4591.51,0.0,0.0,4591.51,0.0,0.0,4820.4,4401.2,3982.01,0.0,0.0,0.0,2,5090.72,4081.74
2011-02-28,0.0,4656.81,0.0,0.0,4656.81,0.0,0.0,4832.07,4431.55,4031.03,0.0,0.0,0.0,2,5104.23,4092.58
2011-03-01,0.0,4669.01,0.0,0.0,4669.01,0.0,0.0,4825.19,4465.08,4104.97,0.0,0.0,0.0,2,5116.44,4102.37
2011-03-02,0.0,4630.38,0.0,0.0,4630.38,0.0,0.0,4808.7,4493.52,4178.34,0.0,0.0,0.0,2,5113.15,4099.73
2011-03-03,0.0,4529.2,0.0,0.0,4529.2,0.0,0.0,4793.14,4510.54,4227.95,0.0,0.0,0.0,2,5099.35,4088.67
2011-03-04,0.0,4623.49,0.0,0.0,4623.49,0.0,0.0,4786.58,4529.9,4273.21,0.0,0.0,0.0,2,5107.07,4094.86
2011-03-07,0.0,4803.85,0.0,0.0,4803.85,0.0,0.0,4816.63,4554.67,4292.72,0.0,0.0,0.0,2,5124.27,4108.65
2011-03-08,0.0,4801.03,0.0,0.0,4801.03,0.0,0.0,4842.28,4577.3,4312.31,0.0,0.0,0.0,2,5154.97,4133.27
2011-03-09,0.0,4780.51,0.0,0.0,4780.51,0.0,0.0,4835.25,4604.1,4372.96,0.0,0.0,0.0,2,5181.25,4154.34
2011-03-10,0.0,4649.09,0.0,0.0,4649.09,0.0,0.0,4822.29,4618.3,4414.31,0.0,0.0,0.0,2,5187.57,4159.4
2011-03-11,0.0,4606.47,0.0,0.0,4606.47,0.0,0.0,4797.11,4630.61,4464.1,0.0,0.0,0.0,2,5189.23,4160.74
2011-03-14,0.0,4617.2,0.0,0.0,4617.2,0.0,0.0,4795.54,4634.72,4473.89,0.0,0.0,0.0,2,5184.84,4157.21
2011-03-15,0.0,4553.83,0.0,0.0,4553.83,0.0,0.0,4795.79,4634.45,4473.12,0.0,0.0,0.0,2,5172.05,4146.96
2011-03-16,0.0,4645.51,0.0,0.0,4645.51,0.0,0.0,4794.73,4633.73,4472.73,0.0,0.0,0.0,2,5173.73,4148.31
2011-03-17,0.0,4577.85,0.0,0.0,4577.85,0.0,0.0,4792.46,4629.95,4467.44,0.0,0.0,0.0,2,5179.13,4152.64
2011-03-18,0.0,4593.43,0.0,0.0,4593.43,0.0,0.0,4791.63,4631.92,4472.22,0.0,0.0,0.0,2,5175.79,4149.96
2011-03-21,0.0,4564.34,0.0,0.0,4564.34,0.0,0.0,4789.84,4627.69,4465.55,0.0,0.0,0.0,2,5149.21,4128.64
2011-03-22,0.0,4587.58,0.0,0.0,4587.58,0.0,0.0,4787.18,4630.85,4474.52,0.0,0.0,0.0,2,5125.51,4109.65
2011-03-23,0.0,4641.86,0.0,0.0,4641.86,0.0,0.0,4786.92,4635.75,4484.59,0.0,0.0,0.0,2,5110.12,4097.31
2011-03-24,0.0,4627.16,0.0,0.0,4627.16,0.0,0.0,4787.42,4637.51,4487.59,0.0,0.0,0.0,2,5107.69,4095.36
2011-03-25,0.0,4719.18,0.0,0.0,4719.18,0.0,0.0,4796.28,4643.89,4491.5,0.0,0.0,0.0,2,5120.2,4105.39
2011-03-28,0.0,4769.53,0.0,0.0,4769.53,0.0,0.0,4811.45,4649.52,4487.6,0.0,0.0,0.0,2,5137.11,4118.94
2011-03-29,0.0,4685.12,0.0,0.0,4685.12,0.0,0.0,4812.79,4650.33,4487.87,0.0,0.0,0.0,2,5151.68,4130.63
2011-03-30,0.0,4698.54,0.0,0.0,4698.54,0.0,0.0,4817.24,4653.74,4490.24,0.0,0.0,0.0,2,5157.57,4135.35
2011-03-31,0.0,4649.16,0.0,0.0,4649.16,0.0,0.0,4813.0,4659.74,4506.47,0.0,0.0,0.0,2,5165.48,4141.7
2011-04-01,0.0,4705.36,0.0,0.0,4705.36,0.0,0.0,4817.38,4663.83,4510.28,0.0,0.0,0.0,2,5177.91,4151.66
2011-04-06,0.0,4765.04,0.0,0.0,4765.04,0.0,0.0,4809.16,4661.89,4514.62,0.0,0.0,0.0,2,5200.19,4169.52
2011-04-07,0.0,4817.16,0.0,0.0,4817.16,0.0,0.0,4813.15,4662.7,4512.24,0.0,0.0,0.0,2,5225.67,4189.95
2011-04-08,0.0,4882.13,0.0,0.0,4882.13,0.0,0.0,4839.2,4667.78,4496.35,0.0,0.0,0.0,2,5252.34,4211.34
2011-04-11,0.0,4911.33,0.0,0.0,4911.33,0.0,0.0,4882.12,4680.89,4479.66,0.0,0.0,0.0,2,5283.88,4236.63
2011-04-12,0.0,4879.84,0.0,0.0,4879.84,0.0,0.0,4910.32,4694.56,4478.79,0.0,0.0,0.0,2,5301.72,4250.93
2011-04-13,0.0,4871.87,0.0,0.0,4871.87,0.0,0.0,4933.12,4707.29,4481.47,0.0,0.0,0.0,2,5313.08,4260.03
2011-04-14,0.0,4863.64,0.0,0.0,4863.64,0.0,0.0,4946.87,4722.78,4498.69,0.0,0.0,0.0,2,5332.89,4275.92
2011-04-15,0.0,4857.22,0.0,0.0,4857.22,0.0,0.0,4961.82,4733.37,4504.92,0.0,0.0,0.0,2,5350.51,4290.04
2011-04-18,0.0,4873.76,0.0,0.0,4873.76,0.0,0.0,4972.7,4748.16,4523.62,0.0,0.0,0.0,2,5375.44,4310.03
2011-04-19,0.0,4788.06,0.0,0.0,4788.06,0.0,0.0,4971.36,4757.89,4544.42,0.0,0.0,0.0,2,5384.62,4317.39
2011-04-20,0.0,4765.94,0.0,0.0,4765.94,0.0,0.0,4962.1,4767.97,4573.85,0.0,0.0,0.0,2,5384.72,4317.47
2011-04-21,0.0,4823.31,0.0,0.0,4823.31,0.0,0.0,4956.48,4779.76,4603.04,0.0,0.0,0.0,2,5385.4,4318.02
2011-04-22,0.0,4799.99,0.0,0.0,4799.99,0.0,0.0,4952.77,4787.67,4622.56,0.0,0.0,0.0,2,5376.28,4310.71
2011-04-25,0.0,4651.42,0.0,0.0,4651.42,0.0,0.0,4949.55,4788.88,4628.21,0.0,0.0,0.0,2,5347.43,4287.58
2011-04-26,0.0,4602.5,0.0,0.0,4602.5,0.0,0.0,4960.96,4783.05,4605.13,0.0,0.0,0.0,1,5316.65,4262.9
2011-04-27,0.0,4547.77,0.0,0.0,4547.77,0.0,0.0,4977.38,4771.96,4566.54,0.0,0.0,0.0,1,5280.67,4234.05
2011-04-28,0.0,4442.99,0.0,0.0,4442.99,0.0,0.0,5008.34,4759.85,4511.36,0.0,0.0,0.0,1,5233.98,4196.61
2011-04-29,0.0,4529.03,0.0,0.0,4529.03,0.0,0.0,5018.51,4751.38,4484.24,0.0,0.0,0.0,1,5197.55,4167.4
2011-05-03,0.0,4576.37,0.0,0.0,4576.37,0.0,0.0,5022.23,4747.74,4473.25,0.0,0.0,0.0,1,5164.54,4140.94
2011-05-04,0.0,4411.71,0.0,0.0,4411.71,0.0,0.0,5044.03,4733.05,4422.08,0.0,0.0,0.0,1,5122.76,4107.44
2011-05-05,0.0,4389.38,0.0,0.0,4389.38,0.0,0.0,5058.82,4714.27,4369.72,0.0,0.0,0.0,1,5080.97,4073.93
2011-05-06,0.0,4325.26,0.0,0.0,4325.26,0.0,0.0,5069.73,4689.68,4309.62,0.0,0.0,0.0,1,5025.68,4029.6
2011-05-09,0.0,4348.5,0.0,0.0,4348.5,0.0,0.0,5059.82,4662.99,4266.17,0.0,0.0,0.0,1,4975.57,3989.42
2011-05-10,0.0,4429.52,0.0,0.0,4429.52,0.0,0.0,5030.97,4638.9,4246.84,0.0,0.0,0.0,2,4950.94,3969.67
2011-05-11,0.0,4424.76,0.0,0.0,4424.76,0.0,0.0,5002.42,4616.15,4229.88,0.0,0.0,0.0,2,4931.21,3953.85
2011-05-12,0.0,4326.76,0.0,0.0,4326.76,0.0,0.0,4976.07,4588.89,4201.72,0.0,0.0,0.0,2,4906.68,3934.18
2011-05-13,0.0,4399.6,0.0,0.0,4399.6,0.0,0.0,4939.62,4565.69,4191.77,0.0,0.0,0.0,2,4901.86,3930.32
