time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3711.15,3795.06,3799.52,3702.49,114.86,3.12,850.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3771.12,3794.63,3823.01,3751.67,-0.43,-0.01,649.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3820.89,3787.45,3835.4,3773.58,-7.18,-0.19,533.29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3778.44,3777.3,3852.6,3763.25,-10.15,-0.27,654.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3779.59,3682.55,3795.9,3670.6,-94.75,-2.51,538.06,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3663.3,3698.72,3709.04,3643.38,16.17,0.44,491.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3714.36,3717.26,3758.13,3659.58,18.54,0.5,548.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3729.04,3705.35,3738.63,3690.38,-11.91,-0.32,353.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3695.21,3636.84,3695.21,3618.25,-68.51,-1.85,438.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3599.96,3471.92,3619.18,3459.53,-164.92,-4.53,518.51,0.0,0.0,0.0,0.0,0.0,0.0,2,4114.45,3298.97
2011-01-18,3459.9,3471.11,3479.15,3439.71,-0.81,-0.02,321.94,0.0,0.0,0.0,0.0,0.0,0.0,2,4078.49,3270.14
2011-01-19,3472.81,3566.63,3571.45,3456.36,95.52,2.75,425.08,0.0,0.0,0.0,0.0,0.0,0.0,2,4053.18,3249.85
2011-01-20,3553.89,3417.12,3553.89,3415.88,-149.51,-4.19,437.56,0.0,0.0,0.0,0.0,0.0,0.0,2,4012.07,3216.89
2011-01-21,3412.12,3470.08,3521.58,3400.26,52.96,1.55,492.27,0.0,0.0,0.0,0.0,0.0,0.0,1,3977.97,3189.54
2011-01-24,3473.9,3432.36,3485.06,3411.42,-37.72,-1.09,397.05,0.0,0.0,0.0,0.0,0.0,0.0,1,3950.2,3167.28
2011-01-25,3425.41,3414.08,3451.77,3391.61,-18.28,-0.53,322.55,0.0,0.0,0.0,0.0,0.0,0.0,1,3918.61,3141.94
2011-01-26,3415.39,3455.34,3464.52,3415.39,41.26,1.21,257.04,0.0,0.0,0.0,13.66,11.7,17.58,2,3889.53,3118.63
2011-01-27,3408.11,3492.74,3502.5,3371.18,37.4,1.08,595.12,0.0,0.0,0.0,25.44,16.28,43.77,2,3865.93,3099.71
2011-01-28,3489.29,3515.24,3527.93,3475.76,22.5,0.64,505.78,0.0,0.0,0.0,40.94,24.5,73.82,2,3852.43,3088.89
2011-01-31,3510.5,3542.47,3544.58,3495.5,27.23,0.77,460.99,3865.75,3592.21,3318.68,55.8,34.93,97.54,2,3860.27,3095.17
2011-02-01,3553.18,3542.37,3555.38,3527.65,-0.1,0.0,401.11,3837.36,3579.58,3321.8,68.18,46.02,112.51,2,3868.18,3101.51
2011-02-09,3513.11,3487.25,3541.73,3470.76,-55.12,-1.56,452.72,3804.96,3564.21,3323.46,66.46,52.83,93.71,2,3859.36,3094.45
2011-02-10,3480.17,3578.53,3580.4,3473.96,91.28,2.62,551.46,3771.93,3553.76,3335.59,77.34,61.0,110.02,2,3877.28,3108.81
2011-02-11,3580.5,3615.86,3636.52,3571.1,37.33,1.04,675.7,3740.92,3545.69,3350.46,82.3,68.1,110.7,2,3893.46,3121.79
2011-02-14,3619.68,3728.74,3738.98,3619.68,112.88,3.12,954.99,3750.6,3548.0,3345.4,87.27,74.49,112.83,2,3926.36,3148.16
2011-02-15,3732.46,3737.87,3783.64,3719.28,9.13,0.24,753.25,3759.0,3549.96,3340.91,87.82,78.93,105.58,2,3962.3,3176.98
2011-02-16,3729.39,3787.27,3787.27,3706.19,49.4,1.32,703.29,3775.53,3553.46,3331.39,91.88,83.25,109.14,2,3999.15,3206.52
2011-02-17,3790.11,3782.67,3805.96,3739.76,-4.6,-0.12,799.48,3792.16,3557.32,3322.48,92.27,86.25,104.3,2,4031.33,3232.33
2011-02-18,3769.02,3732.55,3772.6,3720.57,-50.12,-1.32,555.79,3806.93,3562.11,3317.29,87.55,86.68,89.27,2,4055.45,3251.67
2011-02-21,3701.21,3783.16,3783.16,3695.07,50.61,1.36,643.43,3836.73,3577.67,3318.61,89.43,87.6,93.09,2,4082.17,3273.09
2011-02-22,3787.47,3649.93,3787.52,3648.92,-133.23,-3.52,851.1,3842.67,3586.61,3330.56,77.29,84.16,63.54,2,4094.11,3282.66
2011-02-23,3636.75,3675.1,3690.87,3636.75,25.17,0.69,501.32,3850.75,3592.04,3333.32,66.29,78.2,42.45,2,4114.96,3299.38
2011-02-24,3668.63,3702.95,3717.26,3654.38,27.85,0.76,524.49,3856.24,3606.33,3356.41,59.09,71.83,33.61,2,4128.77,3310.45
2011-02-25,3705.14,3708.16,3716.79,3653.38,5.21,0.14,570.57,3863.7,3618.23,3372.77,53.46,65.71,28.97,2,4139.01,3318.67
2011-02-28,3711.31,3762.62,3767.8,3677.89,54.46,1.47,624.34,3872.28,3634.74,3397.21,60.44,63.95,53.41,2,4142.77,3321.68
2011-03-01,3763.83,3784.37,3812.73,3760.19,21.75,0.58,879.2,3876.39,3653.26,3430.12,68.25,65.39,73.99,2,4147.93,3325.82
2011-03-02,3765.1,3744.24,3770.19,3699.36,-40.13,-1.06,618.53,3874.53,3667.7,3460.88,65.86,65.54,66.5,2,4143.16,3321.99
2011-03-03,3747.79,3713.59,3779.1,3706.28,-30.65,-0.82,648.27,3870.02,3678.75,3487.47,58.46,63.18,49.02,2,4135.49,3315.84
2011-03-04,3719.54,3773.42,3775.04,3707.64,59.83,1.61,645.69,3871.56,3691.66,3511.75,64.86,63.74,67.1,2,4140.03,3319.48
2011-03-07,3787.36,3836.18,3840.14,3787.36,62.76,1.66,1072.56,3883.06,3706.34,3529.62,75.93,67.8,92.17,2,4145.91,3324.2
2011-03-08,3838.42,3843.42,3853.33,3814.77,7.24,0.19,892.13,3890.81,3721.39,3551.97,82.3,72.64,101.62,2,4167.39,3341.42
2011-03-09,3848.46,3843.54,3862.09,3826.39,0.12,0.0,715.22,3878.68,3739.21,3599.73,85.24,76.84,102.04,2,4186.09,3356.41
