time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,12578.45,12714.51,12743.48,12536.66,255.96,2.05,1365.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,12634.71,12647.63,12741.47,12567.05,-66.88,-0.53,1135.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,12683.75,12599.66,12790.93,12567.67,-47.97,-0.38,805.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,12587.49,12573.94,12783.68,12502.17,-25.72,-0.2,1140.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,12577.09,12331.16,12644.32,12292.11,-242.78,-1.93,821.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,12275.9,12385.17,12419.3,12212.6,54.01,0.44,765.14,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,12435.72,12409.98,12518.44,12251.41,24.81,0.2,844.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,12457.77,12423.34,12486.23,12358.45,13.36,0.11,616.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,12390.66,12294.17,12390.66,12212.5,-129.17,-1.04,653.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,12159.95,11734.62,12229.56,11712.68,-559.55,-4.55,864.96,0.0,0.0,0.0,0.0,0.0,0.0,2,13776.67,11046.16
2011-01-18,11699.51,11771.59,11797.22,11624.34,36.97,0.32,582.14,0.0,0.0,0.0,0.0,0.0,0.0,2,13672.01,10962.24
2011-01-19,11785.5,12066.55,12076.97,11730.74,294.96,2.51,689.76,0.0,0.0,0.0,0.0,0.0,0.0,2,13607.51,10910.53
2011-01-20,12034.62,11566.74,12034.62,11566.07,-499.81,-4.14,693.74,0.0,0.0,0.0,0.0,0.0,0.0,2,13492.86,10818.6
2011-01-21,11534.2,11639.96,11860.61,11491.94,73.22,0.63,720.49,0.0,0.0,0.0,0.0,0.0,0.0,1,13389.18,10735.47
2011-01-24,11661.76,11488.92,11689.28,11419.36,-151.04,-1.3,588.2,0.0,0.0,0.0,0.0,0.0,0.0,1,13295.7,10660.51
2011-01-25,11465.53,11446.37,11523.79,11377.34,-42.55,-0.37,489.68,0.0,0.0,0.0,0.0,0.0,0.0,1,13191.49,10576.96
2011-01-26,11459.02,11599.67,11633.1,11459.02,153.3,1.34,436.51,0.0,0.0,0.0,13.7,12.34,16.44,2,13101.54,10504.84
2011-01-27,11481.78,11795.33,11832.54,11392.94,195.66,1.69,870.37,0.0,0.0,0.0,25.49,16.72,43.01,2,13031.84,10448.95
2011-01-28,11789.64,11894.23,11935.04,11768.81,98.9,0.84,759.39,0.0,0.0,0.0,41.62,25.02,74.81,2,12987.44,10413.35
2011-01-31,11884.34,11994.68,12020.51,11820.2,100.45,0.84,619.89,12898.52,12068.91,11239.3,57.16,35.73,100.01,2,13016.31,10436.5
2011-02-01,12044.41,11991.51,12052.39,11928.01,-3.17,-0.03,521.33,12807.92,12032.76,11257.6,68.43,46.63,112.03,2,13040.72,10456.07
2011-02-09,11903.65,11807.93,12041.96,11774.3,-183.58,-1.53,661.76,12717.63,11990.78,11263.92,66.88,53.38,93.89,2,13012.01,10433.06
2011-02-10,11775.1,12170.51,12177.44,11764.23,362.58,3.07,823.3,12646.66,11969.32,11291.98,77.63,61.47,109.97,2,13079.03,10486.79
2011-02-11,12162.32,12292.49,12376.03,12127.74,121.98,1.0,998.68,12592.24,11955.25,11318.25,82.3,68.41,110.08,2,13151.46,10544.87
2011-02-14,12318.31,12737.8,12766.05,12318.31,445.31,3.62,1538.88,12681.5,11975.58,11269.65,87.51,74.78,112.99,0,13290.09,10656.02
2011-02-15,12767.79,12711.58,12865.47,12707.21,-26.22,-0.21,1177.39,12748.24,11991.9,11235.56,88.19,79.25,106.08,0,13430.53,10768.62
2011-02-16,12675.87,12884.87,12884.87,12617.1,173.29,1.36,1195.8,12848.9,12015.64,11182.39,92.13,83.54,109.3,0,13573.18,10883.0
2011-02-17,12907.69,12788.34,12936.74,12664.85,-96.53,-0.75,1119.71,12916.59,12033.89,11151.2,90.53,85.87,99.85,0,13683.41,10971.38
2011-02-18,12750.27,12613.11,12751.15,12586.39,-175.23,-1.37,928.37,12961.81,12049.84,11137.87,84.49,85.41,82.64,2,13763.2,11035.36
2011-02-21,12526.25,12872.47,12872.95,12518.61,259.36,2.06,1018.98,13073.28,12106.73,11140.19,87.83,86.22,91.06,2,13860.64,11113.48
2011-02-22,12917.36,12473.33,12918.42,12465.42,-399.14,-3.1,1296.74,13108.1,12141.82,11175.54,78.71,83.72,68.71,2,13914.12,11156.37
2011-02-23,12436.63,12492.71,12554.98,12396.05,19.38,0.16,729.46,13140.56,12163.13,11185.69,67.51,78.32,45.91,2,13990.13,11217.31
2011-02-24,12476.04,12578.43,12601.43,12387.76,85.72,0.69,764.96,13166.86,12213.71,11260.56,59.03,71.89,33.31,2,14035.41,11253.62
2011-02-25,12585.82,12633.88,12735.15,12464.4,55.45,0.44,805.09,13195.12,12263.41,11331.69,54.3,66.02,30.84,2,14073.3,11284.0
