time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,1473.24,0.0,0.0,1473.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,1475.95,0.0,0.0,1475.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,1465.97,0.0,0.0,1465.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,1450.97,0.0,0.0,1450.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,1410.21,0.0,0.0,1410.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,1397.74,0.0,0.0,1397.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,1400.18,0.0,0.0,1400.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,1400.73,0.0,0.0,1400.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,1371.58,0.0,0.0,1371.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,1311.52,0.0,0.0,1311.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1571.55,1260.07
2011-01-18,0.0,1312.07,0.0,0.0,1312.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1553.66,1245.73
2011-01-19,0.0,1349.16,0.0,0.0,1349.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1539.58,1234.44
2011-01-20,0.0,1299.54,0.0,0.0,1299.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1521.11,1219.63
2011-01-21,0.0,1304.65,0.0,0.0,1304.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1504.87,1206.61
2011-01-24,0.0,1271.5,0.0,0.0,1271.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1489.47,1194.26
2011-01-25,0.0,1257.35,0.0,0.0,1257.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1473.89,1181.77
2011-01-26,0.0,1282.37,0.0,0.0,1282.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1460.81,1171.28
2011-01-27,0.0,1311.44,0.0,0.0,1311.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1450.9,1163.34
2011-01-28,0.0,1324.77,0.0,0.0,1324.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1445.71,1159.17
2011-01-31,0.0,1340.72,0.0,0.0,1340.72,0.0,0.0,1496.94,1360.58,1224.22,0.0,0.0,0.0,2,1448.95,1161.77
2011-02-01,0.0,1342.2,0.0,0.0,1342.2,0.0,0.0,1480.33,1354.03,1227.73,0.0,0.0,0.0,2,1452.29,1164.45
