time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,4009.46,4042.56,4042.56,3979.61,53.67,1.35,1043.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,4022.26,4023.32,4042.68,4005.04,-19.24,-0.48,999.48,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,4023.05,3998.63,4041.38,3993.75,-24.69,-0.61,834.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3990.56,3989.29,4038.91,3957.0,-9.34,-0.23,927.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3982.83,3887.56,4000.28,3874.82,-101.73,-2.55,851.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3868.99,3863.83,3879.71,3824.65,-23.73,-0.61,733.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3872.9,3874.85,3895.78,3818.14,11.02,0.29,663.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3890.61,3874.03,3901.13,3853.15,-0.82,-0.02,571.14,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3866.54,3815.44,3866.54,3802.5,-58.59,-1.51,702.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3790.35,3623.69,3790.35,3618.07,-191.75,-5.03,769.73,0.0,0.0,0.0,0.0,0.0,0.0,2,4328.25,3470.39
2011-01-18,3610.17,3630.71,3648.07,3581.66,7.02,0.19,482.8,0.0,0.0,0.0,0.0,0.0,0.0,2,4282.53,3433.74
2011-01-19,3632.86,3720.35,3720.35,3616.85,89.64,2.47,602.06,0.0,0.0,0.0,0.0,0.0,0.0,2,4248.9,3406.78
2011-01-20,3724.41,3589.82,3724.41,3589.82,-130.53,-3.51,802.57,0.0,0.0,0.0,0.0,0.0,0.0,2,4203.52,3370.39
2011-01-21,3581.43,3603.35,3653.78,3560.54,13.53,0.38,779.14,0.0,0.0,0.0,0.0,0.0,0.0,1,4160.68,3336.04
2011-01-24,3603.28,3517.21,3611.88,3517.09,-86.14,-2.39,630.46,0.0,0.0,0.0,0.0,0.0,0.0,1,4119.57,3303.08
2011-01-25,3505.27,3479.78,3506.52,3459.57,-37.43,-1.06,507.52,0.0,0.0,0.0,0.0,0.0,0.0,1,4076.94,3268.9
2011-01-26,3479.66,3550.93,3551.53,3479.1,71.15,2.04,490.37,0.0,0.0,0.0,11.71,9.2,16.72,1,4040.99,3240.07
2011-01-27,3522.89,3606.64,3620.52,3494.15,55.71,1.57,748.17,0.0,0.0,0.0,22.63,13.68,40.53,2,4011.31,3216.27
2011-01-28,3605.39,3640.03,3649.99,3603.67,33.39,0.93,688.51,0.0,0.0,0.0,37.8,21.72,69.96,2,3991.84,3200.66
2011-01-31,3632.28,3683.78,3687.42,3626.55,43.75,1.2,649.79,4105.36,3750.79,3396.22,53.42,32.28,95.69,2,3998.51,3206.01
2011-02-01,3686.68,3691.95,3701.22,3672.26,8.17,0.22,579.6,4062.13,3733.26,3404.39,64.86,43.14,108.29,2,4005.31,3211.46
2011-02-09,3662.57,3670.1,3718.09,3654.99,-21.85,-0.59,655.37,4017.06,3715.6,3414.14,70.39,52.22,106.71,2,3999.73,3206.99
2011-02-10,3668.0,3784.77,3786.3,3665.78,114.67,3.12,841.53,3979.42,3704.91,3430.39,80.1,61.52,117.27,2,4021.37,3224.34
2011-02-11,3791.21,3853.45,3871.41,3789.16,68.68,1.81,1114.0,3949.93,3698.11,3446.3,85.28,69.44,116.97,2,4049.13,3246.6
2011-02-14,3861.87,3938.48,3946.95,3861.87,85.03,2.21,1331.83,3960.97,3700.66,3440.35,89.58,76.15,116.44,2,4095.89,3284.09
2011-02-15,3944.51,3938.3,3985.27,3936.61,-0.18,0.0,1392.38,3975.82,3704.38,3432.95,89.87,80.72,108.15,0,4146.79,3324.9
2011-02-16,3931.57,3986.74,3986.74,3912.15,48.44,1.23,991.73,3999.26,3709.98,3420.7,93.25,84.9,109.94,0,4195.16,3363.69
2011-02-17,4004.29,4003.78,4023.34,3960.31,17.04,0.43,1337.47,4025.33,3716.46,3407.6,93.85,87.88,105.79,0,4239.24,3399.03
2011-02-18,4003.95,3945.02,4003.95,3936.53,-58.76,-1.47,1166.62,4045.0,3722.94,3400.89,88.81,88.19,90.06,0,4273.1,3426.18
2011-02-21,3920.3,4045.33,4045.38,3912.13,100.31,2.54,1151.14,4091.53,3744.03,3396.53,92.54,89.64,98.33,0,4313.23,3458.35
2011-02-22,4061.97,3951.22,4074.95,3948.73,-94.11,-2.33,1491.24,4114.66,3760.05,3405.44,84.95,88.08,78.69,2,4342.01,3481.43
2011-02-23,3933.88,3984.05,3996.51,3933.88,32.83,0.83,1033.76,4140.35,3773.24,3406.13,79.36,85.17,67.74,2,4376.86,3509.37
2011-02-24,3972.41,4016.92,4023.98,3945.65,32.87,0.83,1211.57,4166.2,3794.59,3422.98,77.16,82.5,66.49,2,4402.63,3530.03
2011-02-25,4011.27,4029.43,4040.6,3980.22,12.51,0.31,1131.75,4190.05,3815.9,3441.74,75.46,80.15,66.06,2,4422.16,3545.7
2011-02-28,4035.34,4089.07,4089.07,4008.31,59.64,1.48,1309.62,4210.28,3844.49,3478.69,83.64,81.32,88.28,2,4438.87,3559.1
2011-03-01,4095.84,4094.19,4115.98,4065.23,5.12,0.13,1393.31,4215.65,3875.21,3534.77,85.53,82.72,91.15,2,4456.18,3572.97
2011-03-02,4075.37,4071.89,4080.74,4008.25,-22.3,-0.54,1226.09,4217.31,3901.26,3585.2,83.14,82.86,83.71,2,4465.63,3580.55
2011-03-03,4069.75,3983.17,4086.46,3983.17,-88.72,-2.18,1150.26,4207.23,3920.08,3632.93,67.04,77.59,45.96,2,4463.34,3578.72
2011-03-04,3983.87,4029.81,4029.85,3962.32,46.64,1.17,975.91,4199.68,3939.57,3679.46,62.26,72.48,41.81,2,4472.75,3586.26
2011-03-07,4051.77,4093.55,4093.55,4045.16,63.74,1.58,1439.78,4200.13,3960.06,3719.99,70.73,71.9,68.4,2,4478.11,3590.55
2011-03-08,4090.5,4097.28,4097.28,4063.51,3.73,0.09,1173.15,4193.35,3980.33,3767.3,76.83,73.54,83.4,2,4494.32,3603.55
2011-03-09,4106.59,4123.39,4128.78,4090.34,26.11,0.64,1171.47,4170.83,4002.99,3835.15,83.47,76.85,96.72,2,4509.79,3615.95
2011-03-10,4113.69,4088.41,4121.99,4086.77,-34.98,-0.85,1081.08,4156.68,4018.17,3879.67,80.9,78.2,86.29,2,4517.72,3622.32
2011-03-11,4072.26,4062.89,4110.91,4058.82,-25.52,-0.62,968.04,4145.77,4028.65,3911.52,74.07,76.82,68.57,2,4521.44,3625.29
2011-03-14,4045.7,4109.76,4109.76,4034.02,46.87,1.15,990.53,4151.73,4037.21,3922.69,78.91,77.52,81.68,2,4523.73,3627.14
2011-03-15,4094.19,4059.93,4094.82,3973.66,-49.83,-1.21,1387.69,4148.71,4043.29,3937.87,72.15,75.73,64.99,2,4519.93,3624.09
2011-03-16,4053.96,4116.54,4116.54,4052.24,56.61,1.39,1177.27,4156.45,4049.78,3943.11,78.98,76.81,83.32,2,4524.89,3628.06
2011-03-17,4071.1,4026.72,4101.72,4013.04,-89.82,-2.18,1211.54,4156.08,4050.93,3945.78,64.06,72.56,47.05,2,4529.72,3631.94
2011-03-18,4058.99,4043.91,4079.69,4031.9,17.19,0.43,1088.11,4149.28,4055.87,3962.47,57.8,67.64,38.12,2,4531.28,3633.19
2011-03-21,4041.85,4005.74,4051.91,3986.44,-38.17,-0.94,1102.53,4149.76,4053.89,3958.03,45.43,60.24,15.81,2,4521.54,3625.38
2011-03-22,4008.99,4005.7,4021.31,3952.45,-0.04,0.0,868.62,4143.31,4056.62,3969.92,40.75,53.74,14.78,2,4511.37,3617.23
2011-03-23,4008.28,4072.57,4075.42,4001.88,66.87,1.67,1148.92,4141.26,4061.04,3980.82,51.57,53.02,48.68,2,4505.73,3612.7
2011-03-24,4073.82,4066.34,4085.35,4060.46,-6.23,-0.15,1216.19,4141.15,4063.51,3985.88,57.52,54.52,63.51,2,4503.28,3610.74
2011-03-25,4070.75,4100.8,4107.62,4067.39,34.46,0.85,1471.44,4144.68,4067.08,3989.48,68.48,59.17,87.1,2,4507.49,3614.11
2011-03-28,4112.74,4054.42,4121.32,4051.11,-46.38,-1.13,1457.57,4142.46,4065.35,3988.24,65.78,61.37,74.59,2,4501.35,3609.19
2011-03-29,4044.85,3969.47,4045.85,3967.29,-84.95,-2.1,1696.71,4145.5,4059.11,3972.73,47.21,56.65,28.33,2,4491.31,3601.14
2011-03-30,3964.29,3928.77,3978.29,3908.13,-40.7,-1.03,1164.71,4155.02,4051.96,3948.89,34.7,49.34,5.43,2,4470.46,3584.43
2011-03-31,3934.77,3893.57,3955.09,3881.88,-35.2,-0.9,1146.6,4168.36,4047.48,3926.59,24.76,41.15,-8.0,2,4455.68,3572.57
