time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,6035.54,6097.99,6109.91,6020.2,115.62,1.93,1172.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,6068.32,6087.63,6120.64,6036.35,-10.36,-0.17,994.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,6105.1,6057.88,6148.78,6040.91,-29.75,-0.49,688.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,6053.41,6036.6,6137.02,6005.1,-21.28,-0.35,921.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,6040.98,5925.39,6073.79,5905.64,-111.21,-1.84,699.02,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,5898.31,5937.86,5957.22,5857.23,12.47,0.21,643.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,5961.72,5940.38,6002.28,5870.73,2.52,0.04,728.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,5960.68,5945.27,5972.42,5913.19,4.89,0.08,512.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,5932.47,5893.11,5932.47,5846.02,-52.16,-0.88,566.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,5828.3,5614.71,5863.83,5605.29,-278.4,-4.72,759.59,0.0,0.0,0.0,0.0,0.0,0.0,2,6608.59,5298.78
2011-01-18,5597.2,5624.99,5636.47,5569.15,10.28,0.18,486.92,0.0,0.0,0.0,0.0,0.0,0.0,2,6556.08,5256.68
2011-01-19,5631.54,5770.33,5771.85,5605.95,145.34,2.58,589.19,0.0,0.0,0.0,0.0,0.0,0.0,2,6520.86,5228.44
2011-01-20,5757.92,5541.87,5757.92,5541.87,-228.46,-3.96,602.61,0.0,0.0,0.0,0.0,0.0,0.0,2,6463.59,5182.52
2011-01-21,5528.05,5581.23,5679.28,5509.41,39.36,0.71,633.12,0.0,0.0,0.0,0.0,0.0,0.0,1,6413.04,5141.99
2011-01-24,5591.46,5499.18,5596.67,5474.02,-82.05,-1.47,515.71,0.0,0.0,0.0,0.0,0.0,0.0,1,6365.73,5104.05
2011-01-25,5490.38,5484.38,5521.2,5452.09,-14.8,-0.27,462.81,0.0,0.0,0.0,0.0,0.0,0.0,1,6315.39,5063.7
2011-01-26,5491.31,5560.6,5576.6,5491.31,76.22,1.39,392.81,0.0,0.0,0.0,13.52,11.7,17.15,2,6273.24,5029.89
2011-01-27,5502.01,5645.87,5667.71,5454.66,85.27,1.53,770.11,0.0,0.0,0.0,24.7,16.03,42.03,2,6240.01,5003.25
2011-01-28,5650.02,5700.24,5717.44,5637.83,54.37,0.96,700.39,0.0,0.0,0.0,42.33,24.8,77.4,2,6218.6,4986.08
2011-01-31,5693.63,5760.78,5768.51,5673.97,60.54,1.06,587.53,6194.44,5785.31,5376.19,60.4,36.67,107.87,2,6234.81,4999.08
2011-02-01,5779.89,5749.19,5784.0,5718.86,-11.59,-0.2,462.29,6151.11,5767.87,5384.64,70.11,47.81,114.69,2,6248.6,5010.14
2011-02-09,5700.46,5670.93,5772.14,5649.84,-78.26,-1.36,572.77,6102.8,5747.04,5391.28,68.71,54.78,96.58,2,6237.56,5001.29
2011-02-10,5655.88,5834.44,5838.93,5648.49,163.51,2.88,753.05,6064.91,5735.87,5406.82,78.76,62.77,110.72,2,6270.04,5027.33
2011-02-11,5832.44,5905.62,5945.36,5816.96,71.18,1.22,942.61,6038.79,5729.32,5419.84,83.15,69.57,110.32,2,6306.05,5056.2
2011-02-14,5918.11,6095.34,6105.05,5918.11,189.72,3.21,1311.6,6076.33,5737.82,5399.3,88.27,75.8,113.21,0,6372.22,5109.26
2011-02-15,6109.14,6086.13,6165.06,6073.1,-9.21,-0.15,1020.1,6106.66,5745.23,5383.8,88.48,80.03,105.38,0,6439.01,5162.81
2011-02-16,6071.91,6193.23,6193.23,6048.84,107.1,1.76,1124.9,6161.01,5757.87,5354.74,92.32,84.12,108.71,0,6509.24,5219.12
2011-02-17,6203.41,6156.02,6236.07,6095.39,-37.21,-0.6,1087.88,6200.56,5768.41,5336.26,90.34,86.19,98.62,0,6565.86,5264.52
2011-02-18,6140.67,6051.41,6140.67,6036.28,-104.61,-1.7,847.59,6222.88,5776.32,5329.77,83.08,85.16,78.93,2,6604.84,5295.78
2011-02-21,6008.45,6191.49,6191.61,6004.3,140.08,2.31,945.12,6279.86,5805.16,5330.47,86.19,85.5,87.57,2,6652.65,5334.11
2011-02-22,6215.97,6010.61,6218.22,6007.59,-180.88,-2.92,1171.01,6299.62,5824.44,5349.27,78.0,83.0,68.01,2,6681.67,5357.37
2011-02-23,5992.28,6027.45,6052.08,5974.94,16.84,0.28,698.62,6319.78,5837.3,5354.82,68.74,78.25,49.73,2,6721.24,5389.1
2011-02-24,6016.41,6061.69,6079.7,5973.94,34.24,0.57,722.19,6335.21,5863.29,5391.38,60.88,72.46,37.72,2,6746.47,5409.33
2011-02-25,6064.48,6090.84,6133.38,6008.86,29.15,0.48,700.77,6351.97,5888.77,5425.58,55.45,66.79,32.78,2,6767.03,5425.81
2011-02-28,6103.94,6232.12,6234.69,6056.54,141.28,2.32,993.91,6375.31,5925.42,5475.53,69.8,67.79,73.81,2,6782.21,5437.99
2011-03-01,6236.91,6246.98,6286.64,6208.32,14.86,0.24,1228.55,6385.88,5963.55,5541.22,75.64,70.41,86.1,2,6800.06,5452.3
2011-03-02,6216.27,6236.97,6237.68,6125.88,-10.01,-0.16,882.3,6392.67,5997.37,5602.07,78.46,73.09,89.2,2,6804.92,5456.2
2011-03-03,6237.88,6161.29,6283.52,6160.76,-75.68,-1.21,932.04,6389.57,6023.14,5656.71,72.28,72.82,71.2,2,6805.5,5456.67
2011-03-04,6167.18,6255.12,6260.02,6150.77,93.83,1.52,944.17,6398.88,6050.88,5702.88,78.16,74.6,85.28,2,6828.12,5474.8
2011-03-07,6288.98,6388.52,6398.82,6288.98,133.4,2.13,1543.15,6433.17,6082.27,5731.37,84.63,77.95,98.01,2,6849.99,5492.33
2011-03-08,6389.06,6383.84,6392.44,6333.39,-4.68,-0.07,1104.25,6453.27,6114.0,5774.73,88.58,81.49,102.76,2,6891.42,5525.55
2011-03-09,6389.98,6389.57,6417.26,6358.45,5.73,0.09,967.27,6442.96,6149.93,5856.91,90.13,84.37,101.64,2,6931.61,5557.78
2011-03-10,6370.94,6313.89,6370.94,6308.83,-75.68,-1.18,949.87,6436.65,6173.91,5911.16,83.87,84.2,83.19,0,6959.6,5580.22
2011-03-11,6274.69,6244.42,6330.21,6230.79,-69.47,-1.1,811.28,6424.27,6190.85,5957.43,69.47,79.29,49.83,2,6976.65,5593.89
2011-03-14,6233.11,6304.82,6304.82,6209.18,60.4,0.97,713.26,6435.46,6201.32,5967.18,66.78,75.12,50.11,2,6984.72,5600.36
2011-03-15,6276.85,6181.12,6276.85,6058.72,-123.7,-1.96,1070.56,6434.45,6206.07,5977.69,55.9,68.72,30.28,2,6977.41,5594.5
2011-03-16,6176.15,6250.42,6255.22,6162.92,69.3,1.12,903.36,6438.03,6208.93,5979.83,55.09,64.17,36.92,2,6978.9,5595.7
2011-03-17,6193.19,6143.36,6235.19,6122.21,-107.06,-1.71,836.61,6438.04,6208.3,5978.55,44.6,57.65,18.49,2,6976.91,5594.1
2011-03-18,6211.52,6188.54,6233.61,6158.34,45.18,0.74,693.89,6433.67,6215.15,5996.63,41.8,52.37,20.67,2,6969.52,5588.18
2011-03-21,6197.63,6151.39,6229.5,6127.69,-37.15,-0.6,688.32,6433.23,6213.15,5993.07,36.48,47.07,15.3,2,6943.2,5567.07
2011-03-22,6168.42,6170.76,6191.46,6069.34,19.37,0.31,613.39,6421.99,6221.16,6020.32,36.28,43.47,21.9,2,6919.55,5548.11
2011-03-23,6172.38,6270.97,6274.47,6167.34,100.21,1.62,867.47,6414.25,6233.33,6052.41,50.25,45.73,59.28,2,6906.39,5537.55
2011-03-24,6285.04,6238.57,6298.24,6237.27,-32.4,-0.52,717.49,6405.07,6242.18,6079.28,57.86,49.77,74.03,2,6898.03,5530.85
2011-03-25,6251.49,6319.16,6341.64,6242.94,80.59,1.29,1030.69,6403.98,6253.59,6103.2,69.26,56.27,95.23,2,6906.32,5537.5
2011-03-28,6357.44,6283.17,6389.41,6273.47,-35.99,-0.57,1200.62,6406.72,6256.14,6105.57,68.44,60.33,84.67,2,6903.92,5535.57
2011-03-29,6270.07,6176.46,6288.34,6172.65,-106.71,-1.7,1108.96,6407.14,6252.62,6098.1,56.78,59.15,52.06,2,6903.4,5535.16
2011-03-30,6179.0,6173.49,6227.5,6117.95,-2.97,-0.05,810.02,6407.69,6249.44,6091.2,48.7,55.66,34.78,2,6894.86,5528.31
2011-03-31,6174.51,6116.17,6191.34,6083.53,-57.32,-0.93,662.8,6411.56,6247.19,6082.82,37.35,49.56,12.92,2,6891.84,5525.89
2011-04-01,6114.85,6194.58,6194.58,6088.88,78.41,1.28,667.58,6410.06,6244.16,6078.26,37.94,45.69,22.45,2,6892.51,5526.43
2011-04-06,6170.39,6215.4,6230.26,6135.11,20.82,0.34,1182.1,6387.89,6235.5,6083.12,39.66,43.68,31.64,2,6899.62,5532.13
2011-04-07,6219.63,6306.22,6313.09,6201.55,90.82,1.46,1282.79,6372.19,6231.62,6091.06,50.71,46.02,60.09,2,6914.66,5544.18
2011-04-08,6301.38,6377.82,6378.97,6278.77,71.6,1.14,998.1,6369.03,6231.04,6093.04,65.88,52.64,92.35,2,6926.52,5553.69
2011-04-11,6398.82,6326.19,6433.83,6320.8,-51.63,-0.81,1654.99,6371.22,6231.65,6092.08,67.01,57.43,86.17,2,6936.24,5561.49
2011-04-12,6317.04,6306.65,6374.98,6275.01,-19.54,-0.31,1554.7,6378.06,6234.76,6091.47,65.9,60.25,77.2,2,6934.85,5560.38
2011-04-13,6280.3,6391.91,6391.91,6236.41,85.26,1.35,1217.08,6395.37,6239.12,6082.86,73.28,64.6,90.65,2,6946.92,5570.06
2011-04-14,6401.37,6329.95,6401.37,6316.06,-61.96,-0.97,1221.58,6405.21,6246.56,6087.91,72.3,67.16,82.58,2,6963.96,5583.72
2011-04-15,6312.37,6315.18,6355.06,6245.07,-14.77,-0.23,1172.95,6411.25,6249.8,6088.34,70.07,68.13,73.94,2,6979.69,5596.33
2011-04-18,6288.28,6340.06,6355.11,6280.43,24.88,0.39,1328.51,6417.89,6259.63,6101.38,69.58,68.62,71.52,2,7004.54,5616.25
2011-04-19,6279.21,6242.35,6295.38,6212.74,-97.71,-1.54,1298.9,6417.45,6262.32,6107.2,52.24,63.16,30.41,2,7009.84,5620.5
2011-04-20,6227.78,6219.55,6261.68,6202.54,-22.8,-0.37,1016.11,6413.79,6265.73,6117.67,37.28,54.53,2.78,2,7010.3,5620.87
2011-04-21,6234.63,6249.46,6272.26,6224.52,29.91,0.48,1077.54,6411.47,6269.67,6127.86,31.62,46.89,1.06,2,7004.0,5615.82
2011-04-22,6249.19,6205.04,6262.92,6192.96,-44.42,-0.71,926.27,6410.94,6266.37,6121.8,23.01,38.93,-8.84,2,6984.82,5600.44
2011-04-25,6185.58,6096.9,6185.58,6087.63,-108.14,-1.74,1017.43,6421.43,6259.29,6097.14,16.32,31.4,-13.82,2,6959.37,5580.04
2011-04-26,6081.14,6067.34,6104.21,6017.88,-29.56,-0.48,785.08,6426.44,6246.69,6066.95,15.18,25.99,-6.44,2,6932.81,5558.74
2011-04-27,6092.88,6020.15,6122.78,5980.07,-47.19,-0.78,746.69,6437.54,6233.54,6029.55,13.68,21.89,-2.73,2,6891.54,5525.65
2011-04-28,6040.91,5910.89,6061.65,5910.26,-109.26,-1.81,820.43,6467.4,6220.26,5973.13,9.17,17.65,-7.79,2,6845.03,5488.36
2011-04-29,5913.71,6011.21,6011.21,5908.52,100.32,1.7,629.27,6475.05,6212.15,5949.25,14.96,16.75,11.38,1,6811.29,5461.3
2011-05-03,6014.51,6069.41,6069.41,5965.0,58.2,0.97,702.01,6476.89,6209.81,5942.74,24.72,19.41,35.34,2,6781.25,5437.21
2011-05-04,6038.38,5895.23,6038.38,5861.99,-174.18,-2.87,762.21,6495.14,6194.85,5894.55,19.18,19.33,18.87,2,6742.71,5406.32
2011-05-05,5864.5,5890.55,5913.5,5851.08,-4.68,-0.08,734.46,6506.56,6178.6,5850.64,15.98,18.21,11.51,2,6706.2,5377.04
2011-05-06,5825.44,5877.7,5916.54,5794.36,-12.85,-0.22,694.99,6504.41,6157.18,5809.94,17.75,18.06,17.14,2,6664.93,5343.95
2011-05-09,5884.16,5925.86,5959.91,5884.16,48.16,0.82,555.8,6480.26,6134.58,5788.9,25.18,20.44,34.68,2,6633.94,5319.11
2011-05-10,5937.62,5970.3,5970.75,5915.07,44.44,0.75,463.8,6457.79,6116.78,5775.78,34.65,25.17,53.59,2,6619.89,5307.84
2011-05-11,5973.86,5953.43,5998.68,5925.05,-16.87,-0.28,570.58,6435.52,6099.12,5762.73,42.38,30.91,65.31,2,6607.25,5297.7
2011-05-12,5907.56,5886.24,5976.02,5886.24,-67.19,-1.13,705.79,6394.03,6073.84,5753.65,39.38,33.73,50.69,2,6592.38,5285.78
2011-05-13,5898.61,5917.28,5923.41,5820.52,31.04,0.53,573.47,6357.52,6053.21,5748.9,41.15,36.21,51.05,2,6593.09,5286.35
2011-05-16,5897.71,5864.12,5943.64,5861.57,-53.16,-0.9,564.51,6320.47,6030.65,5740.83,36.96,36.46,37.98,2,6576.76,5273.26
2011-05-17,5853.15,5908.5,5947.7,5832.32,44.38,0.76,659.82,6265.92,6009.08,5752.23,43.26,38.73,52.34,2,6558.9,5258.94
2011-05-18,5893.48,5955.03,5971.67,5888.72,46.53,0.79,490.44,6228.9,5994.71,5760.52,55.06,44.17,76.83,2,6565.54,5264.26
2011-05-19,5973.52,5912.37,6003.21,5910.41,-42.66,-0.72,518.24,6191.83,5979.35,5766.87,53.46,47.27,65.85,2,6567.96,5266.2
2011-05-20,5918.22,5916.92,5945.81,5901.71,4.55,0.08,416.56,6136.59,5962.72,5788.86,53.23,49.26,61.18,2,6572.32,5269.69
2011-05-23,5909.52,5716.88,5909.7,5714.67,-200.04,-3.38,616.3,6106.22,5938.32,5770.41,35.74,44.75,17.73,2,6549.12,5251.1
2011-05-24,5696.27,5724.77,5736.12,5668.0,7.89,0.14,499.74,6095.48,5919.71,5743.93,29.47,39.66,9.1,2,6521.86,5229.24
2011-05-25,5710.82,5662.85,5744.35,5655.79,-61.92,-1.08,434.36,6094.67,5899.48,5704.3,20.33,33.21,-5.45,2,6489.61,5203.38
2011-05-26,5701.93,5616.12,5729.59,5616.12,-46.73,-0.83,417.75,6102.02,5879.28,5656.55,13.55,26.66,-12.67,2,6459.63,5179.34
2011-05-27,5616.83,5591.18,5664.8,5585.98,-24.94,-0.44,473.29,6118.23,5863.3,5608.37,9.45,20.92,-13.5,2,6423.43,5150.32
2011-05-30,5577.78,5574.72,5632.62,5547.65,-16.46,-0.29,400.67,6116.0,5841.47,5566.95,8.28,16.71,-8.58,2,6391.31,5124.56
2011-05-31,5579.86,5677.01,5677.01,5540.3,102.29,1.83,564.11,6084.23,5821.85,5559.47,15.36,16.26,13.57,2,6365.61,5103.96
2011-06-01,5667.5,5681.8,5688.23,5638.26,4.79,0.08,477.78,6078.08,5811.18,5544.28,21.87,18.13,29.36,2,6335.28,5079.64
2011-06-02,5614.2,5579.57,5629.63,5511.71,-102.23,-1.8,578.65,6078.01,5795.63,5513.26,20.27,18.84,23.11,2,6298.34,5050.02
2011-06-03,5574.14,5647.32,5669.63,5571.44,67.75,1.21,464.27,6070.92,5784.11,5497.31,32.94,23.54,51.74,2,6268.42,5026.03
