time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,4141.76,4160.62,4160.62,4085.2,30.73,0.74,786.59,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,4145.67,4146.94,4172.35,4122.58,-13.68,-0.33,735.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,4160.68,4109.04,4178.59,4108.02,-37.9,-0.91,720.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,4104.24,4084.27,4135.47,4061.46,-24.77,-0.6,661.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,4083.22,3968.98,4083.22,3953.37,-115.29,-2.82,660.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3951.45,3934.47,3959.06,3901.43,-34.51,-0.87,548.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3942.58,3936.34,3958.86,3879.95,1.87,0.05,465.69,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3953.92,3942.41,3966.1,3930.92,6.07,0.15,474.02,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3933.81,3861.48,3933.81,3852.34,-80.93,-2.05,541.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3830.51,3691.27,3830.51,3678.91,-170.21,-4.41,583.05,0.0,0.0,0.0,0.0,0.0,0.0,2,4421.78,3545.39
2011-01-18,3679.9,3706.21,3708.21,3658.75,14.94,0.4,366.82,0.0,0.0,0.0,0.0,0.0,0.0,2,4371.34,3504.95
2011-01-19,3708.79,3794.6,3795.7,3701.13,88.39,2.38,482.2,0.0,0.0,0.0,0.0,0.0,0.0,2,4332.23,3473.59
2011-01-20,3787.03,3620.52,3787.03,3619.88,-174.08,-4.59,505.81,0.0,0.0,0.0,0.0,0.0,0.0,2,4278.0,3430.11
2011-01-21,3609.92,3610.0,3663.42,3574.78,-10.52,-0.29,468.18,0.0,0.0,0.0,0.0,0.0,0.0,1,4225.36,3387.9
2011-01-24,3611.67,3517.88,3622.32,3515.51,-92.12,-2.55,561.17,0.0,0.0,0.0,0.0,0.0,0.0,1,4175.28,3347.75
2011-01-25,3514.17,3493.85,3516.99,3468.21,-24.03,-0.68,346.44,0.0,0.0,0.0,0.0,0.0,0.0,1,4126.38,3308.54
2011-01-26,3499.16,3559.71,3571.16,3499.16,65.86,1.89,335.62,0.0,0.0,0.0,10.36,7.89,15.32,1,4084.57,3275.02
2011-01-27,3540.51,3630.91,3650.38,3514.52,71.2,2.0,473.66,0.0,0.0,0.0,21.88,12.55,40.53,2,4049.99,3247.29
2011-01-28,3632.29,3658.1,3667.91,3625.96,27.19,0.75,390.29,0.0,0.0,0.0,33.91,19.67,62.4,2,4027.42,3229.19
2011-01-31,3653.86,3688.61,3688.61,3633.77,30.51,0.83,436.4,4229.25,3805.81,3382.37,45.04,28.13,78.87,2,4027.12,3228.95
2011-02-01,3691.85,3701.57,3706.79,3685.39,12.96,0.35,394.21,4175.52,3782.86,3390.19,54.43,36.89,89.49,2,4026.61,3228.54
