time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1238.68,1249.92,1252.19,1233.59,21.28,1.73,1698.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1243.76,1246.1,1252.46,1237.16,-3.82,-0.31,1535.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1247.93,1237.77,1256.56,1236.92,-8.33,-0.67,1108.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1236.58,1232.91,1251.65,1226.28,-4.86,-0.39,1375.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1233.42,1206.32,1237.52,1202.49,-26.59,-2.16,1178.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1201.11,1205.33,1209.61,1191.1,-0.99,-0.08,1089.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1209.88,1208.04,1216.69,1192.2,2.71,0.22,1075.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1211.95,1209.74,1214.84,1203.52,1.7,0.14,860.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1206.97,1194.98,1206.97,1187.92,-14.76,-1.22,1018.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1183.64,1140.79,1187.81,1139.22,-54.19,-4.53,1197.49,0.0,0.0,0.0,0.0,0.0,0.0,2,1346.64,1079.74
2011-01-18,1137.09,1144.58,1147.71,1129.96,3.79,0.33,768.63,0.0,0.0,0.0,0.0,0.0,0.0,2,1334.95,1070.36
2011-01-19,1147.36,1174.51,1175.32,1142.26,29.93,2.61,969.66,0.0,0.0,0.0,0.0,0.0,0.0,2,1327.0,1063.99
2011-01-20,1174.2,1131.8,1174.2,1131.61,-42.71,-3.64,1085.15,0.0,0.0,0.0,0.0,0.0,0.0,2,1315.24,1054.56
2011-01-21,1128.56,1137.79,1156.06,1123.36,5.99,0.53,1094.38,0.0,0.0,0.0,0.0,0.0,0.0,1,1304.68,1046.1
2011-01-24,1139.2,1118.57,1141.26,1113.93,-19.22,-1.69,889.05,0.0,0.0,0.0,0.0,0.0,0.0,1,1294.94,1038.29
2011-01-25,1115.97,1110.69,1119.99,1103.65,-7.88,-0.7,762.89,0.0,0.0,0.0,0.0,0.0,0.0,1,1284.44,1029.86
2011-01-26,1112.14,1128.36,1130.52,1112.14,17.67,1.59,710.05,0.0,0.0,0.0,14.0,11.82,18.37,1,1275.59,1022.77
2011-01-27,1118.17,1149.66,1153.52,1110.45,21.3,1.89,1218.4,0.0,0.0,0.0,27.56,17.07,48.54,2,1268.92,1017.42
2011-01-28,1149.51,1160.4,1164.38,1148.44,10.74,0.93,1054.05,0.0,0.0,0.0,44.77,26.3,81.7,2,1265.08,1014.35
2011-01-31,1159.4,1172.03,1172.8,1154.54,11.63,1.0,965.68,1265.29,1178.01,1090.74,61.65,38.08,108.78,2,1268.55,1017.13
2011-02-01,1175.61,1171.74,1176.55,1166.54,-0.29,-0.02,806.15,1254.91,1174.11,1093.3,72.23,49.47,117.76,2,1271.57,1019.54
2011-02-09,1162.34,1155.89,1176.25,1152.42,-15.85,-1.35,930.4,1243.61,1169.59,1095.58,72.04,56.99,102.14,2,1269.5,1017.89
2011-02-10,1152.88,1190.17,1191.02,1151.47,34.28,2.97,1174.81,1235.12,1167.21,1099.31,81.04,65.01,113.1,2,1275.98,1023.08
2011-02-11,1190.57,1206.61,1213.65,1187.72,16.44,1.38,1539.42,1229.55,1165.9,1102.25,85.22,71.75,112.18,2,1283.62,1029.21
