time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-12-31,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-04,0.0,100.21,0.0,0.0,100.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,0.0,100.1,0.0,0.0,100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,0.0,100.17,0.0,0.0,100.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,0.0,100.61,0.0,0.0,100.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,0.0,101.26,0.0,0.0,101.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,0.0,101.23,0.0,0.0,101.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,0.0,101.16,0.0,0.0,101.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,0.0,100.83,0.0,0.0,100.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,0.0,100.61,0.0,0.0,100.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,111.69,89.55
2012-01-17,0.0,100.9,0.0,0.0,100.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,111.79,89.63
2012-01-18,0.0,100.68,0.0,0.0,100.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,111.84,89.67
2012-01-19,0.0,101.16,0.0,0.0,101.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,111.96,89.77
2012-01-20,0.0,101.73,0.0,0.0,101.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,112.13,89.91
2012-01-30,0.0,101.53,0.0,0.0,101.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,112.23,89.99
2012-01-31,0.0,101.57,0.0,0.0,101.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,112.27,90.01
2012-02-01,0.0,101.58,0.0,0.0,101.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,112.3,90.05
2012-02-02,0.0,101.76,0.0,0.0,101.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,112.37,90.1
2012-02-03,0.0,101.99,0.0,0.0,101.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,112.5,90.2
2012-02-06,0.0,101.95,0.0,0.0,101.95,0.0,0.0,102.29,101.05,99.82,0.0,0.0,0.0,2,112.65,90.32
2012-02-07,0.0,101.57,0.0,0.0,101.57,0.0,0.0,102.28,101.13,99.98,0.0,0.0,0.0,2,112.72,90.38
2012-02-08,0.0,101.76,0.0,0.0,101.76,0.0,0.0,102.31,101.21,100.1,0.0,0.0,0.0,2,112.84,90.48
2012-02-09,0.0,101.82,0.0,0.0,101.82,0.0,0.0,102.3,101.29,100.28,0.0,0.0,0.0,2,112.92,90.54
2012-02-10,0.0,101.71,0.0,0.0,101.71,0.0,0.0,102.25,101.37,100.49,0.0,0.0,0.0,2,112.91,90.53
2012-02-13,0.0,101.8,0.0,0.0,101.8,0.0,0.0,102.26,101.43,100.6,0.0,0.0,0.0,2,112.94,90.56
2012-02-14,0.0,101.82,0.0,0.0,101.82,0.0,0.0,102.3,101.46,100.62,0.0,0.0,0.0,2,112.97,90.58
2012-02-15,0.0,102.03,0.0,0.0,102.03,0.0,0.0,102.37,101.5,100.63,0.0,0.0,0.0,2,113.02,90.62
2012-02-16,0.0,102.13,0.0,0.0,102.13,0.0,0.0,102.44,101.55,100.65,0.0,0.0,0.0,2,113.06,90.65
2012-02-17,0.0,102.06,0.0,0.0,102.06,0.0,0.0,102.47,101.61,100.75,0.0,0.0,0.0,2,113.07,90.66
2012-02-20,0.0,102.36,0.0,0.0,102.36,0.0,0.0,102.48,101.7,100.91,0.0,0.0,0.0,2,113.12,90.7
2012-02-21,0.0,102.02,0.0,0.0,102.02,0.0,0.0,102.46,101.75,101.04,0.0,0.0,0.0,2,113.17,90.74
2012-02-22,0.0,102.12,0.0,0.0,102.12,0.0,0.0,102.35,101.82,101.3,0.0,0.0,0.0,2,113.21,90.77
2012-02-23,0.0,102.11,0.0,0.0,102.11,0.0,0.0,102.32,101.87,101.43,0.0,0.0,0.0,2,113.24,90.79
2012-02-24,0.0,101.97,0.0,0.0,101.97,0.0,0.0,102.33,101.88,101.44,0.0,0.0,0.0,2,113.27,90.82
2012-02-27,0.0,102.2,0.0,0.0,102.2,0.0,0.0,102.35,101.92,101.48,0.0,0.0,0.0,2,113.31,90.85
2012-02-28,0.0,102.16,0.0,0.0,102.16,0.0,0.0,102.36,101.95,101.53,0.0,0.0,0.0,2,113.35,90.88
2012-02-29,0.0,102.04,0.0,0.0,102.04,0.0,0.0,102.35,101.97,101.59,0.0,0.0,0.0,2,113.35,90.88
2012-03-01,0.0,102.06,0.0,0.0,102.06,0.0,0.0,102.35,101.98,101.62,0.0,0.0,0.0,2,113.34,90.88
2012-03-02,0.0,102.4,0.0,0.0,102.4,0.0,0.0,102.42,102.0,101.59,0.0,0.0,0.0,2,113.38,90.91
2012-03-05,0.0,102.6,0.0,0.0,102.6,0.0,0.0,102.52,102.04,101.55,0.0,0.0,0.0,2,113.41,90.93
2012-03-06,0.0,102.47,0.0,0.0,102.47,0.0,0.0,102.55,102.08,101.61,0.0,0.0,0.0,2,113.46,90.97
2012-03-07,0.0,102.8,0.0,0.0,102.8,0.0,0.0,102.67,102.13,101.59,0.0,0.0,0.0,2,113.53,91.03
2012-03-08,0.0,103.59,0.0,0.0,103.59,0.0,0.0,103.04,102.22,101.41,0.0,0.0,0.0,2,113.7,91.16
2012-03-09,0.0,104.12,0.0,0.0,104.12,0.0,0.0,103.47,102.34,101.21,0.0,0.0,0.0,2,113.93,91.35
2012-03-12,0.0,104.23,0.0,0.0,104.23,0.0,0.0,103.83,102.46,101.1,0.0,0.0,0.0,2,114.16,91.53
2012-03-13,0.0,104.42,0.0,0.0,104.42,0.0,0.0,104.17,102.59,101.02,0.0,0.0,0.0,0,114.41,91.73
2012-03-14,0.0,104.04,0.0,0.0,104.04,0.0,0.0,104.37,102.69,101.02,0.0,0.0,0.0,0,114.63,91.91
2012-03-15,0.0,103.88,0.0,0.0,103.88,0.0,0.0,104.51,102.78,101.06,0.0,0.0,0.0,2,114.84,92.07
2012-03-16,0.0,104.51,0.0,0.0,104.51,0.0,0.0,104.75,102.9,101.06,0.0,0.0,0.0,2,115.07,92.26
2012-03-19,0.0,105.0,0.0,0.0,105.0,0.0,0.0,105.08,103.04,101.0,0.0,0.0,0.0,2,115.34,92.48
2012-03-20,0.0,104.4,0.0,0.0,104.4,0.0,0.0,105.22,103.16,101.09,0.0,0.0,0.0,2,115.55,92.65
2012-03-21,0.0,104.51,0.0,0.0,104.51,0.0,0.0,105.37,103.28,101.19,0.0,0.0,0.0,2,115.74,92.8
2012-03-22,0.0,104.61,0.0,0.0,104.61,0.0,0.0,105.5,103.4,101.31,0.0,0.0,0.0,2,115.85,92.89
2012-03-23,0.0,104.48,0.0,0.0,104.48,0.0,0.0,105.56,103.53,101.49,0.0,0.0,0.0,2,115.89,92.92
2012-03-26,0.0,104.36,0.0,0.0,104.36,0.0,0.0,105.61,103.63,101.66,0.0,0.0,0.0,2,115.91,92.93
2012-03-27,0.0,104.45,0.0,0.0,104.45,0.0,0.0,105.63,103.75,101.87,0.0,0.0,0.0,2,115.91,92.94
2012-03-28,0.0,103.47,0.0,0.0,103.47,0.0,0.0,105.54,103.82,102.1,0.0,0.0,0.0,2,115.85,92.89
2012-03-29,0.0,103.38,0.0,0.0,103.38,0.0,0.0,105.42,103.89,102.35,0.0,0.0,0.0,2,115.79,92.84
2012-03-30,0.0,103.39,0.0,0.0,103.39,0.0,0.0,105.33,103.94,102.54,0.0,0.0,0.0,2,115.67,92.74
2012-04-05,0.0,103.85,0.0,0.0,103.85,0.0,0.0,105.25,104.0,102.74,0.0,0.0,0.0,2,115.54,92.64
2012-04-06,0.0,103.79,0.0,0.0,103.79,0.0,0.0,105.11,104.06,103.01,0.0,0.0,0.0,2,115.47,92.59
2012-04-09,0.0,103.67,0.0,0.0,103.67,0.0,0.0,105.0,104.11,103.21,0.0,0.0,0.0,2,115.38,92.51
2012-04-10,0.0,103.73,0.0,0.0,103.73,0.0,0.0,105.0,104.11,103.23,0.0,0.0,0.0,2,115.28,92.43
2012-04-11,0.0,103.84,0.0,0.0,103.84,0.0,0.0,104.99,104.1,103.21,0.0,0.0,0.0,2,115.21,92.38
2012-04-12,0.0,104.18,0.0,0.0,104.18,0.0,0.0,104.99,104.1,103.21,0.0,0.0,0.0,2,115.19,92.36
2012-04-13,0.0,104.56,0.0,0.0,104.56,0.0,0.0,105.01,104.1,103.2,0.0,0.0,0.0,2,115.2,92.37
2012-04-16,0.0,104.71,0.0,0.0,104.71,0.0,0.0,105.08,104.14,103.2,0.0,0.0,0.0,2,115.34,92.48
2012-04-17,0.0,104.51,0.0,0.0,104.51,0.0,0.0,105.11,104.17,103.23,0.0,0.0,0.0,2,115.47,92.58
2012-04-18,0.0,104.95,0.0,0.0,104.95,0.0,0.0,105.19,104.19,103.2,0.0,0.0,0.0,2,115.64,92.72
2012-04-19,0.0,104.89,0.0,0.0,104.89,0.0,0.0,105.16,104.19,103.21,0.0,0.0,0.0,2,115.75,92.81
2012-04-20,0.0,104.98,0.0,0.0,104.98,0.0,0.0,105.25,104.22,103.18,0.0,0.0,0.0,2,115.89,92.92
2012-04-23,0.0,104.53,0.0,0.0,104.53,0.0,0.0,105.25,104.22,103.18,0.0,0.0,0.0,2,115.98,92.99
2012-04-24,0.0,104.62,0.0,0.0,104.62,0.0,0.0,105.25,104.22,103.18,0.0,0.0,0.0,2,116.08,93.07
2012-04-25,0.0,104.88,0.0,0.0,104.88,0.0,0.0,105.31,104.24,103.17,0.0,0.0,0.0,2,116.2,93.17
2012-04-26,0.0,104.63,0.0,0.0,104.63,0.0,0.0,105.33,104.25,103.17,0.0,0.0,0.0,2,116.25,93.21
2012-04-27,0.0,104.68,0.0,0.0,104.68,0.0,0.0,105.36,104.26,103.17,0.0,0.0,0.0,2,116.26,93.22
2012-05-02,0.0,105.05,0.0,0.0,105.05,0.0,0.0,105.42,104.34,103.26,0.0,0.0,0.0,2,116.3,93.25
2012-05-03,0.0,105.09,0.0,0.0,105.09,0.0,0.0,105.46,104.43,103.39,0.0,0.0,0.0,2,116.36,93.3
2012-05-04,0.0,105.11,0.0,0.0,105.11,0.0,0.0,105.47,104.51,103.55,0.0,0.0,0.0,2,116.38,93.31
2012-05-07,0.0,105.31,0.0,0.0,105.31,0.0,0.0,105.55,104.59,103.62,0.0,0.0,0.0,2,116.43,93.35
