time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,3563.78,0.0,0.0,3563.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,3539.64,0.0,0.0,3539.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,3543.64,0.0,0.0,3543.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,3607.13,0.0,0.0,3607.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,3514.42,0.0,0.0,3514.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,3586.61,0.0,0.0,3586.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,3616.51,0.0,0.0,3616.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,3565.92,0.0,0.0,3565.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,3527.01,0.0,0.0,3527.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,3323.95,0.0,0.0,3323.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3928.14,3149.59
2011-01-18,0.0,3311.33,0.0,0.0,3311.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3900.11,3127.12
2011-01-19,0.0,3379.87,0.0,0.0,3379.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3882.38,3112.9
2011-01-20,0.0,3268.52,0.0,0.0,3268.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3851.84,3088.41
2011-01-21,0.0,3344.83,0.0,0.0,3344.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3822.73,3065.07
2011-01-24,0.0,3339.89,0.0,0.0,3339.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3803.35,3049.54
2011-01-25,0.0,3335.29,0.0,0.0,3335.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3775.46,3027.17
2011-01-26,0.0,3360.97,0.0,0.0,3360.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3747.09,3004.42
2011-01-27,0.0,3347.66,0.0,0.0,3347.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3722.86,2985.0
2011-01-28,0.0,3338.02,0.0,0.0,3338.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3701.89,2968.18
2011-01-31,0.0,3350.73,0.0,0.0,3350.73,0.0,0.0,3671.4,3438.29,3205.17,0.0,0.0,0.0,2,3704.86,2970.56
