time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1344.58,1352.99,1353.47,1336.26,21.57,1.62,875.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1341.66,1346.64,1354.07,1341.66,-6.35,-0.47,855.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1348.77,1339.42,1355.9,1336.14,-7.22,-0.54,707.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1340.12,1335.89,1356.42,1327.09,-3.53,-0.26,794.29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1335.05,1312.35,1346.69,1308.5,-23.54,-1.76,674.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1306.84,1314.88,1319.03,1300.44,2.53,0.19,623.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1320.05,1319.4,1328.98,1302.29,4.52,0.34,573.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1325.41,1326.5,1330.2,1318.19,7.1,0.54,473.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1320.85,1323.23,1325.56,1308.59,-3.27,-0.25,492.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1309.85,1254.62,1312.53,1251.6,-68.61,-5.19,647.87,0.0,0.0,0.0,0.0,0.0,0.0,2,1468.08,1177.11
2011-01-18,1249.73,1259.97,1263.36,1245.14,5.35,0.43,431.03,0.0,0.0,0.0,0.0,0.0,0.0,2,1457.75,1168.83
2011-01-19,1261.16,1289.09,1289.09,1255.78,29.12,2.31,520.38,0.0,0.0,0.0,0.0,0.0,0.0,2,1451.36,1163.71
2011-01-20,1282.26,1239.64,1282.26,1238.5,-49.45,-3.84,505.9,0.0,0.0,0.0,0.0,0.0,0.0,2,1440.29,1154.83
2011-01-21,1241.33,1246.35,1266.29,1231.68,6.71,0.54,538.16,0.0,0.0,0.0,0.0,0.0,0.0,2,1430.35,1146.86
2011-01-24,1246.49,1228.52,1248.08,1221.18,-17.83,-1.43,562.45,0.0,0.0,0.0,0.0,0.0,0.0,2,1421.04,1139.4
2011-01-25,1223.51,1222.04,1230.39,1216.2,-6.48,-0.53,325.99,0.0,0.0,0.0,0.0,0.0,0.0,2,1410.74,1131.13
2011-01-26,1227.21,1239.65,1242.86,1226.74,17.61,1.44,336.27,0.0,0.0,0.0,14.6,15.49,12.83,2,1401.89,1124.04
2011-01-27,1219.56,1256.08,1257.98,1215.98,16.43,1.33,626.69,0.0,0.0,0.0,23.58,18.19,34.37,2,1394.07,1117.77
2011-01-28,1255.97,1271.0,1273.79,1255.97,14.92,1.19,609.3,0.0,0.0,0.0,40.81,25.73,70.96,2,1388.27,1113.12
2011-01-31,1266.27,1277.87,1281.21,1260.62,6.87,0.54,503.83,1371.75,1287.81,1203.86,55.42,35.63,95.01,2,1390.85,1115.19
2011-02-01,1281.04,1275.15,1281.45,1269.19,-2.72,-0.21,410.71,1362.46,1283.91,1205.37,66.71,45.99,108.15,2,1392.54,1116.54
2011-02-09,1263.61,1265.74,1285.47,1263.61,-9.41,-0.74,507.93,1353.23,1279.87,1206.5,68.34,53.44,98.14,2,1389.95,1114.46
2011-02-10,1265.22,1307.85,1308.53,1265.22,42.11,3.33,724.8,1347.72,1278.29,1208.87,78.65,61.84,112.26,2,1397.52,1120.53
2011-02-11,1305.1,1326.19,1334.85,1305.1,18.34,1.4,876.1,1345.73,1277.81,1209.88,83.34,69.01,112.0,2,1406.38,1127.64
2011-02-14,1335.41,1365.14,1367.94,1335.41,38.95,2.94,1174.95,1357.08,1280.45,1203.81,88.28,75.43,113.97,0,1421.54,1139.8
2011-02-15,1372.46,1357.14,1373.96,1357.11,-8.0,-0.59,879.94,1364.99,1282.56,1200.13,88.64,79.83,106.24,0,1436.54,1151.82
2011-02-16,1352.71,1375.14,1375.14,1347.7,18.0,1.33,1024.88,1375.93,1285.35,1194.76,92.42,84.03,109.21,0,1451.58,1163.88
2011-02-17,1378.64,1364.16,1381.64,1353.89,-10.98,-0.8,1010.03,1382.6,1287.23,1191.86,90.13,86.06,98.28,0,1463.58,1173.5
2011-02-18,1355.73,1346.87,1360.32,1343.79,-17.29,-1.27,758.34,1386.1,1288.41,1190.73,83.6,85.24,80.32,2,1472.0,1180.25
2011-02-21,1338.06,1379.73,1379.73,1338.06,32.86,2.44,939.45,1398.71,1294.67,1190.62,88.53,86.34,92.91,2,1483.31,1189.32
2011-02-22,1382.6,1344.84,1383.1,1343.99,-34.89,-2.53,1138.54,1403.87,1298.91,1193.95,81.53,84.74,75.13,2,1491.04,1195.52
2011-02-23,1345.99,1350.34,1354.13,1339.09,5.5,0.41,682.81,1409.15,1301.97,1194.79,73.69,81.05,58.96,2,1500.43,1203.05
2011-02-24,1339.76,1356.05,1358.78,1337.62,5.71,0.42,647.37,1413.44,1307.79,1202.15,63.55,75.22,40.22,2,1505.78,1207.34
2011-02-25,1355.4,1360.03,1370.73,1348.01,3.98,0.29,611.63,1417.51,1313.48,1209.45,58.79,69.74,36.89,2,1509.54,1210.35
2011-02-28,1367.77,1392.2,1392.2,1358.37,32.17,2.37,1150.08,1423.4,1321.66,1219.93,72.53,70.67,76.24,2,1512.54,1212.76
2011-03-01,1392.72,1397.8,1403.58,1388.56,5.6,0.4,1250.46,1426.45,1330.45,1234.45,78.76,73.37,89.55,2,1517.05,1216.38
2011-03-02,1384.72,1393.85,1394.0,1370.91,-3.95,-0.28,864.77,1428.34,1338.16,1247.98,80.93,75.89,91.0,2,1519.13,1218.04
2011-03-03,1395.52,1372.11,1400.91,1372.02,-21.74,-1.56,842.64,1426.91,1343.96,1261.01,71.38,74.39,65.37,2,1520.01,1218.75
2011-03-04,1374.93,1392.12,1393.33,1369.35,20.01,1.46,797.71,1428.34,1350.02,1271.7,75.13,74.63,76.12,2,1525.04,1222.78
2011-03-07,1404.49,1414.18,1416.25,1400.98,22.06,1.58,1229.71,1432.53,1356.83,1281.13,82.54,77.27,93.09,2,1528.86,1225.84
2011-03-08,1411.98,1418.24,1418.24,1406.13,4.06,0.29,883.73,1434.31,1363.99,1293.66,88.36,80.97,103.15,2,1537.01,1232.38
2011-03-09,1424.68,1418.34,1424.68,1412.31,0.1,0.01,851.66,1429.7,1371.62,1313.54,89.48,83.81,100.84,2,1544.56,1238.43
2011-03-10,1410.97,1407.88,1418.1,1406.53,-10.46,-0.74,840.26,1428.8,1376.62,1324.43,84.54,84.05,85.53,2,1550.31,1243.04
