time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1359.26,1372.58,1372.97,1354.88,21.44,1.59,6162.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1368.15,1371.29,1376.06,1361.94,-1.29,-0.09,5606.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1371.22,1362.53,1377.68,1360.89,-8.76,-0.64,5005.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1359.43,1352.16,1369.99,1345.43,-10.37,-0.76,5523.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1350.03,1317.3,1352.4,1313.75,-34.86,-2.58,4803.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1312.1,1309.67,1313.12,1296.6,-7.63,-0.58,4208.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1312.7,1315.41,1321.18,1297.67,5.74,0.44,4014.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1319.62,1315.53,1321.9,1311.34,0.12,0.01,3590.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1312.78,1289.6,1312.78,1287.27,-25.93,-1.97,4049.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1280.77,1234.48,1282.07,1232.23,-55.12,-4.27,4543.64,0.0,0.0,0.0,0.0,0.0,0.0,2,1469.7,1178.41
2011-01-18,1229.86,1237.61,1241.06,1222.78,3.13,0.25,2930.29,0.0,0.0,0.0,0.0,0.0,0.0,2,1454.72,1166.4
2011-01-19,1238.2,1267.08,1267.23,1235.21,29.47,2.38,3705.48,0.0,0.0,0.0,0.0,0.0,0.0,2,1443.15,1157.12
2011-01-20,1265.43,1223.7,1265.43,1223.62,-43.38,-3.42,4213.81,0.0,0.0,0.0,0.0,0.0,0.0,2,1427.74,1144.77
2011-01-21,1218.91,1231.53,1244.64,1215.56,7.83,0.64,4215.93,0.0,0.0,0.0,0.0,0.0,0.0,1,1414.35,1134.03
2011-01-24,1231.49,1201.84,1235.02,1201.81,-29.69,-2.41,3791.79,0.0,0.0,0.0,0.0,0.0,0.0,1,1401.54,1123.75
2011-01-25,1198.68,1187.73,1198.68,1178.94,-14.11,-1.17,3161.52,0.0,0.0,0.0,0.0,0.0,0.0,1,1388.0,1112.9
2011-01-26,1187.43,1206.47,1207.9,1187.43,18.74,1.58,2852.17,0.0,0.0,0.0,11.47,9.11,16.19,1,1375.91,1103.21
2011-01-27,1199.45,1227.83,1229.79,1191.75,21.36,1.77,4279.64,0.0,0.0,0.0,23.45,13.89,42.57,1,1366.17,1095.4
2011-01-28,1226.87,1239.49,1242.76,1225.84,11.66,0.95,3875.08,0.0,0.0,0.0,38.49,22.09,71.3,2,1360.61,1090.94
2011-01-31,1238.8,1252.12,1252.12,1234.94,12.63,1.02,3951.1,1392.57,1275.8,1159.03,53.29,32.49,94.89,2,1362.57,1092.51
2011-02-01,1253.5,1252.67,1255.23,1247.42,0.55,0.04,3340.62,1378.08,1269.8,1161.52,63.94,42.97,105.88,2,1364.24,1093.85
2011-02-09,1244.16,1240.2,1256.68,1235.92,-12.47,-1.0,3842.13,1361.57,1263.25,1164.92,68.9,51.61,103.46,2,1361.26,1091.46
2011-02-10,1238.7,1276.54,1276.54,1237.88,36.34,2.93,4847.22,1346.46,1258.95,1171.44,79.26,60.83,116.13,2,1367.12,1096.16
2011-02-11,1276.91,1290.96,1295.47,1274.66,14.42,1.13,5738.93,1333.91,1255.89,1177.86,84.89,68.85,116.96,2,1373.72,1101.45
2011-02-14,1292.37,1320.27,1322.85,1292.37,29.31,2.27,7384.39,1334.54,1256.04,1177.53,89.29,75.66,116.54,2,1386.87,1111.99
2011-02-15,1321.96,1319.74,1333.68,1318.1,-0.53,-0.04,7271.88,1336.53,1256.54,1176.55,89.59,80.3,108.15,2,1401.52,1123.74
2011-02-16,1317.42,1342.58,1342.58,1316.02,22.84,1.73,6751.46,1342.62,1257.9,1173.18,93.06,84.55,110.06,0,1416.63,1135.85
2011-02-17,1346.33,1346.26,1350.69,1331.76,3.68,0.27,7339.89,1349.24,1259.44,1169.63,94.1,87.73,106.82,0,1429.77,1146.39
2011-02-18,1343.5,1332.28,1345.88,1328.73,-13.98,-1.04,6333.85,1356.05,1261.57,1167.09,90.72,88.73,94.69,0,1440.07,1154.65
2011-02-21,1324.5,1357.96,1357.96,1323.23,25.68,1.93,6844.33,1370.14,1267.74,1165.34,93.81,90.42,100.59,0,1451.82,1164.07
2011-02-22,1360.8,1321.51,1362.22,1321.2,-36.45,-2.68,8289.46,1375.92,1271.94,1167.96,84.96,88.6,77.68,2,1459.46,1170.2
2011-02-23,1317.49,1333.23,1336.43,1317.38,11.72,0.89,5958.28,1382.55,1275.25,1167.94,78.94,85.38,66.05,2,1469.79,1178.48
2011-02-24,1331.17,1339.23,1340.96,1326.84,6.0,0.45,6237.08,1389.04,1281.02,1173.0,74.99,81.92,61.13,2,1476.75,1184.06
2011-02-25,1337.79,1340.11,1343.25,1324.29,0.88,0.07,5748.87,1394.89,1286.45,1178.01,67.37,77.07,47.98,2,1482.2,1188.43
2011-02-28,1341.71,1356.49,1356.49,1333.0,16.38,1.22,6770.3,1399.39,1294.18,1188.97,74.11,76.08,70.18,2,1486.22,1191.66
2011-03-01,1357.02,1359.74,1365.46,1351.41,3.25,0.24,7594.72,1399.57,1302.78,1206.0,78.78,76.98,82.37,2,1490.66,1195.22
2011-03-02,1354.05,1353.78,1357.03,1334.33,-5.96,-0.44,6752.69,1398.55,1310.15,1221.75,77.75,77.24,78.78,2,1491.91,1196.21
2011-03-03,1354.08,1331.56,1359.77,1330.56,-22.22,-1.64,6887.88,1395.61,1315.34,1235.07,61.67,72.05,40.9,2,1490.27,1194.9
2011-03-04,1331.08,1346.35,1346.35,1326.85,14.79,1.11,5801.53,1393.97,1320.68,1247.39,61.2,68.43,46.73,2,1491.84,1196.16
2011-03-07,1351.11,1364.44,1364.44,1351.11,18.09,1.34,8356.04,1394.76,1326.3,1257.83,73.42,70.09,80.08,2,1492.55,1196.73
2011-03-08,1364.93,1368.88,1368.88,1358.01,4.44,0.33,7258.92,1394.0,1332.11,1270.21,82.28,74.16,98.53,2,1497.81,1200.95
2011-03-09,1369.91,1372.67,1374.02,1363.99,3.79,0.28,6945.43,1386.64,1338.73,1290.82,87.28,78.53,104.78,2,1502.19,1204.46
2011-03-10,1371.2,1363.4,1372.19,1362.44,-9.27,-0.68,7030.1,1382.67,1343.07,1303.47,84.02,80.36,91.33,2,1504.87,1206.61
