time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,3099.04,3094.86,3122.46,3087.4,-10.8,-0.35,131.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,3089.13,3125.23,3142.6,3082.74,30.37,0.98,180.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,3128.16,3099.29,3145.82,3093.36,-25.93,-0.83,219.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,3082.87,3052.96,3089.23,3030.79,-46.33,-1.49,226.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,3068.53,3089.89,3092.21,3056.67,36.93,1.21,210.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,3120.3,3303.39,3346.49,3120.3,213.49,6.91,695.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3303.77,3335.46,3353.34,3274.07,32.08,0.97,577.12,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3307.76,3294.84,3307.76,3265.83,-40.63,-1.22,309.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3320.85,3343.84,3363.78,3306.06,49.01,1.49,389.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3344.8,3286.67,3345.67,3286.14,-57.17,-1.71,258.88,0.0,0.0,0.0,0.0,0.0,0.0,2,3554.93,2850.35
2012-09-14,3370.19,3342.12,3399.6,3312.73,55.45,1.69,441.58,0.0,0.0,0.0,0.0,0.0,0.0,2,3582.38,2872.36
2012-09-17,3338.27,3228.2,3338.27,3227.55,-113.92,-3.41,265.57,0.0,0.0,0.0,0.0,0.0,0.0,2,3593.81,2881.52
2012-09-18,3207.05,3156.94,3207.05,3145.8,-71.27,-2.21,212.12,0.0,0.0,0.0,0.0,0.0,0.0,2,3600.21,2886.65
2012-09-19,3158.3,3191.89,3194.04,3141.38,34.96,1.11,172.11,0.0,0.0,0.0,0.0,0.0,0.0,2,3615.63,2899.02
2012-09-20,3171.95,3075.51,3171.95,3075.38,-116.38,-3.65,215.48,0.0,0.0,0.0,0.0,0.0,0.0,2,3614.03,2897.74
2012-09-21,3070.69,3114.87,3180.47,3070.03,39.36,1.28,255.37,0.0,0.0,0.0,0.0,0.0,0.0,2,3593.11,2880.96
2012-09-24,3085.36,3188.11,3219.81,3058.38,73.24,2.35,299.66,0.0,0.0,0.0,31.59,43.39,7.99,2,3576.75,2867.85
2012-09-25,3164.11,3166.79,3195.66,3137.0,-21.32,-0.67,228.85,0.0,0.0,0.0,31.65,39.48,16.0,2,3562.54,2856.45
2012-09-26,3160.43,3138.48,3199.55,3132.22,-28.31,-0.89,237.08,0.0,0.0,0.0,28.92,35.96,14.86,2,3539.74,2838.17
2012-09-27,3134.0,3284.91,3319.49,3133.92,146.43,4.67,478.85,3387.7,3195.71,3003.72,46.26,39.39,60.0,2,3539.55,2838.02
2012-09-28,3246.86,3341.34,3343.56,3244.33,56.43,1.72,478.86,3404.15,3208.04,3011.93,63.91,47.57,96.61,2,3539.46,2837.95
2012-10-08,3329.18,3276.76,3345.7,3254.52,-64.58,-1.93,249.86,3410.04,3215.61,3021.18,67.95,54.36,95.12,2,3544.85,2842.27
2012-10-09,3297.0,3351.44,3375.65,3296.44,74.68,2.28,360.18,3423.54,3228.22,3032.9,76.09,61.6,105.06,2,3566.44,2859.58
2012-10-10,3350.95,3367.0,3381.67,3337.83,15.56,0.46,351.02,3430.67,3243.92,3057.18,82.55,68.58,110.47,2,3585.88,2875.16
2012-10-11,3354.12,3301.38,3354.12,3300.61,-65.62,-1.95,284.4,3428.68,3254.5,3080.31,80.08,72.42,95.42,2,3610.95,2895.27
2012-10-12,3319.86,3328.7,3351.02,3271.34,27.32,0.83,280.25,3431.71,3255.76,3079.82,79.65,74.83,89.28,2,3634.69,2914.3
2012-10-15,3318.21,3283.35,3318.36,3253.67,-45.35,-1.36,209.33,3425.82,3253.16,3080.5,73.29,74.31,71.25,2,3645.26,2922.77
2012-10-16,3284.91,3281.17,3320.84,3271.05,-2.18,-0.07,234.21,3424.58,3252.47,3080.37,68.67,72.43,61.15,2,3657.95,2932.95
2012-10-17,3299.46,3287.5,3318.44,3244.54,6.33,0.19,224.08,3417.48,3249.66,3081.84,56.26,67.04,34.69,2,3674.49,2946.22
2012-10-18,3294.3,3356.36,3363.94,3294.3,68.85,2.09,348.72,3426.69,3253.14,3079.59,64.69,66.26,61.55,2,3682.42,2952.58
2012-10-19,3355.08,3338.71,3369.04,3328.59,-17.64,-0.53,244.47,3426.17,3252.97,3079.77,66.02,66.18,65.69,2,3682.13,2952.34
2012-10-22,3315.33,3363.89,3365.01,3306.21,25.18,0.75,237.16,3439.07,3259.76,3080.44,73.02,68.46,82.15,2,3691.8,2960.1
2012-10-23,3356.33,3301.73,3363.34,3300.1,-62.16,-1.85,229.74,3440.72,3266.99,3093.27,63.99,66.97,58.04,2,3686.29,2955.67
2012-10-24,3276.88,3272.01,3298.24,3263.73,-29.72,-0.9,193.3,3441.28,3271.0,3100.72,50.02,61.32,27.41,2,3675.74,2947.22
2012-10-25,3270.52,3215.44,3299.14,3214.75,-56.57,-1.73,252.23,3425.55,3278.0,3130.44,33.49,52.04,-3.61,2,3666.2,2939.57
2012-10-26,3210.96,3148.43,3215.24,3137.0,-67.02,-2.08,246.73,3420.38,3279.68,3138.97,23.97,42.69,-13.46,2,3646.19,2923.52
2012-10-29,3141.37,3132.99,3155.1,3118.19,-15.44,-0.49,143.73,3426.56,3276.92,3127.28,17.95,34.44,-15.04,2,3629.5,2910.14
2012-10-30,3138.7,3152.02,3187.7,3138.7,19.04,0.61,177.73,3428.12,3276.18,3124.24,16.46,28.45,-7.51,2,3615.17,2898.65
2012-10-31,3150.54,3187.68,3187.68,3138.11,35.66,1.13,214.03,3422.98,3278.64,3134.3,20.21,25.7,9.22,2,3604.09,2889.76
2012-11-01,3185.97,3237.47,3249.83,3180.04,49.79,1.56,288.16,3421.68,3276.27,3130.86,29.58,26.99,34.75,2,3590.89,2879.18
2012-11-02,3240.81,3240.59,3255.3,3216.4,3.12,0.1,211.29,3414.23,3271.23,3128.23,36.36,30.12,48.86,2,3580.0,2870.45
