time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2013-01-04,1008.37,985.79,1008.42,973.33,-14.21,-1.42,422.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,980.84,993.9,993.9,974.45,8.11,0.82,541.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,992.49,1012.14,1015.61,990.21,18.24,1.84,511.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1012.63,1028.22,1036.04,1012.63,16.08,1.59,522.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1027.26,1035.29,1039.58,1026.95,7.07,0.69,402.48,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1039.63,1030.55,1047.62,1027.45,-4.74,-0.46,640.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,1032.14,1073.5,1073.89,1032.14,42.95,4.17,648.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1074.57,1096.86,1100.92,1074.57,23.36,2.18,633.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1092.94,1102.55,1111.32,1084.5,5.69,0.52,755.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-17,1097.76,1079.42,1097.76,1076.46,-23.13,-2.1,483.61,0.0,0.0,0.0,0.0,0.0,0.0,2,1158.64,929.0
2013-01-18,1088.64,1093.53,1098.86,1080.6,14.11,1.31,524.98,0.0,0.0,0.0,0.0,0.0,0.0,2,1170.6,938.59
2013-01-21,1093.14,1091.81,1101.52,1084.64,-1.72,-0.16,516.26,0.0,0.0,0.0,0.0,0.0,0.0,2,1181.47,947.3
2013-01-22,1086.03,1069.69,1087.08,1063.49,-22.12,-2.03,544.99,0.0,0.0,0.0,0.0,0.0,0.0,2,1187.86,952.43
2013-01-23,1064.98,1082.08,1082.08,1060.98,12.39,1.16,503.93,0.0,0.0,0.0,0.0,0.0,0.0,2,1193.84,957.22
2013-01-24,1082.45,1058.5,1087.83,1051.71,-23.58,-2.18,661.8,0.0,0.0,0.0,0.0,0.0,0.0,2,1196.41,959.29
2013-01-25,1056.47,1051.49,1062.29,1049.67,-7.01,-0.66,372.16,0.0,0.0,0.0,0.0,0.0,0.0,2,1198.74,961.15
2013-01-28,1055.96,1074.19,1074.19,1054.68,22.7,2.16,439.26,0.0,0.0,0.0,40.55,58.4,4.86,2,1198.81,961.21
2013-01-29,1076.89,1081.36,1084.43,1074.12,7.17,0.67,499.45,0.0,0.0,0.0,47.41,54.73,32.75,2,1197.09,959.83
2013-01-30,1083.93,1087.24,1089.49,1076.69,5.88,0.54,539.64,0.0,0.0,0.0,55.76,55.07,57.12,2,1195.39,958.47
2013-01-31,1087.56,1070.58,1087.56,1067.43,-16.66,-1.53,432.06,1127.29,1059.93,992.57,50.61,53.59,44.67,2,1194.41,957.68
2013-02-01,1069.12,1074.05,1082.53,1065.85,3.47,0.32,440.37,1122.66,1064.35,1006.04,54.15,53.78,54.9,2,1192.25,955.95
2013-02-04,1078.63,1048.6,1079.17,1047.72,-25.45,-2.37,579.49,1116.35,1067.08,1017.82,36.8,48.12,14.17,2,1187.45,952.1
2013-02-05,1047.09,1063.58,1063.58,1043.65,14.98,1.43,433.64,1112.07,1069.65,1027.24,39.03,45.09,26.91,2,1186.78,951.56
2013-02-06,1066.78,1070.77,1074.31,1065.07,7.19,0.68,358.12,1109.7,1071.78,1033.86,45.74,45.3,46.61,2,1185.52,950.55
2013-02-07,1070.39,1090.25,1091.84,1070.17,19.48,1.82,398.17,1109.31,1074.53,1039.75,62.73,51.11,85.95,2,1189.04,953.38
2013-02-08,1092.56,1108.18,1116.38,1091.61,17.93,1.64,434.58,1109.86,1078.41,1046.96,71.39,57.87,98.43,2,1195.34,958.42
2013-02-18,1121.12,1119.21,1122.14,1105.58,11.03,1.0,433.39,1116.7,1080.7,1044.69,79.68,65.14,108.77,2,1200.33,962.43
2013-02-19,1117.23,1104.9,1123.56,1099.96,-14.31,-1.28,451.29,1117.98,1081.1,1044.21,78.67,69.65,96.71,2,1202.95,964.53
2013-02-20,1104.88,1127.88,1127.88,1103.15,22.98,2.08,386.29,1123.59,1082.37,1041.14,85.78,75.03,107.29,2,1207.46,968.14
2013-02-21,1114.99,1111.42,1125.72,1101.19,-16.46,-1.46,485.93,1127.05,1083.97,1040.88,84.01,78.02,95.98,2,1211.99,971.78
2013-02-22,1111.81,1107.54,1120.94,1106.85,-3.88,-0.35,353.42,1128.8,1084.67,1040.54,81.29,79.11,85.64,2,1215.71,974.76
2013-02-25,1114.3,1121.28,1122.05,1109.08,13.74,1.24,342.75,1133.01,1086.14,1039.27,84.02,80.75,90.57,2,1223.78,981.23
2013-02-26,1116.29,1113.78,1136.82,1112.52,-7.5,-0.67,500.67,1136.05,1088.34,1040.64,77.83,79.77,73.93,2,1229.35,985.69
2013-02-27,1120.94,1114.43,1124.85,1105.07,0.65,0.06,524.61,1138.89,1089.96,1041.04,68.71,76.09,53.96,2,1234.19,989.58
2013-02-28,1118.82,1128.96,1128.96,1107.89,14.53,1.3,516.67,1142.99,1093.48,1043.98,72.03,74.73,66.63,2,1238.49,993.02
2013-03-01,1126.7,1151.68,1152.09,1126.16,22.72,2.01,556.85,1150.21,1098.49,1046.78,81.09,76.85,89.57,2,1243.32,996.9
2013-03-04,1140.72,1130.85,1154.99,1122.6,-20.83,-1.81,610.91,1153.61,1101.33,1049.04,72.44,75.38,66.55,2,1244.61,997.93
2013-03-05,1133.47,1165.2,1165.2,1126.78,34.35,3.04,485.24,1163.83,1105.52,1047.21,81.63,77.46,89.95,2,1251.31,1003.3
2013-03-06,1173.01,1206.65,1208.2,1173.01,41.45,3.56,935.47,1183.85,1111.49,1039.13,87.25,80.73,100.3,2,1260.05,1010.31
2013-03-07,1202.55,1193.61,1220.67,1176.35,-13.04,-1.08,868.09,1195.73,1117.64,1039.55,83.7,81.72,87.66,2,1269.17,1017.62
2013-03-08,1194.87,1170.26,1199.04,1169.94,-23.35,-1.96,454.12,1201.06,1122.45,1043.84,74.6,79.34,65.1,2,1276.13,1023.21
2013-03-11,1164.81,1177.9,1185.84,1161.51,7.64,0.65,416.04,1203.32,1128.92,1054.51,70.73,76.47,59.25,0,1282.42,1028.25
2013-03-12,1175.39,1139.93,1183.6,1126.37,-37.97,-3.22,494.21,1200.91,1132.73,1064.55,56.62,69.86,30.16,2,1285.32,1030.57
