time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,2561.83,2576.68,2581.48,2542.54,30.64,1.2,1553.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,2557.63,2560.42,2568.25,2550.1,-16.26,-0.63,1437.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,2559.05,2545.47,2573.23,2543.57,-14.95,-0.58,1044.59,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,2544.69,2565.74,2591.49,2532.4,20.27,0.8,1899.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,2562.23,2537.86,2581.69,2532.47,-27.88,-1.09,1519.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,2532.61,2558.33,2560.22,2526.81,20.47,0.81,1240.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,2565.07,2572.73,2578.02,2545.15,14.4,0.56,1362.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,2583.66,2575.74,2587.89,2564.17,3.01,0.12,1199.69,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,2567.37,2545.21,2567.37,2536.96,-30.53,-1.19,1119.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,2527.51,2465.42,2531.43,2460.03,-79.79,-3.13,1412.22,0.0,0.0,0.0,0.0,0.0,0.0,2,2830.9,2269.82
2011-01-18,2459.43,2468.45,2472.56,2450.35,3.03,0.12,875.72,0.0,0.0,0.0,0.0,0.0,0.0,2,2818.89,2260.19
2011-01-19,2467.15,2505.35,2509.03,2460.85,36.9,1.49,1094.68,0.0,0.0,0.0,0.0,0.0,0.0,2,2812.77,2255.29
2011-01-20,2501.64,2443.51,2502.29,2441.51,-61.84,-2.47,1268.03,0.0,0.0,0.0,0.0,0.0,0.0,2,2801.46,2246.21
2011-01-21,2436.63,2481.53,2508.03,2436.63,38.02,1.56,1712.54,0.0,0.0,0.0,0.0,0.0,0.0,2,2792.11,2238.72
2011-01-24,2481.79,2469.7,2498.1,2463.93,-11.83,-0.48,1582.15,0.0,0.0,0.0,0.0,0.0,0.0,2,2784.54,2232.65
2011-01-25,2467.68,2459.52,2474.44,2447.83,-10.18,-0.41,1081.21,0.0,0.0,0.0,0.0,0.0,0.0,2,2773.57,2223.86
2011-01-26,2461.26,2487.47,2489.21,2461.26,27.95,1.14,882.06,0.0,0.0,0.0,25.88,21.05,35.55,2,2764.11,2216.27
2011-01-27,2471.11,2518.33,2519.91,2460.97,30.86,1.24,1640.44,0.0,0.0,0.0,45.98,29.36,79.23,2,2757.74,2211.16
2011-01-28,2507.24,2508.62,2514.6,2497.25,-9.71,-0.39,1210.16,0.0,0.0,0.0,59.47,39.39,99.62,2,2753.68,2207.9
2011-01-31,2508.91,2540.76,2541.0,2506.14,32.14,1.28,1322.67,2605.23,2519.34,2433.46,72.9,50.56,117.58,2,2762.04,2214.61
2011-02-01,2543.19,2543.73,2549.62,2532.13,2.97,0.12,922.84,2600.32,2517.69,2435.07,80.2,60.44,119.71,2,2770.4,2221.31
2011-02-09,2531.75,2514.06,2550.8,2510.85,-29.67,-1.17,945.62,2595.64,2515.38,2435.11,76.07,65.65,96.91,2,2771.36,2222.08
2011-02-10,2514.08,2551.62,2552.74,2505.45,37.56,1.49,1127.75,2596.46,2515.68,2434.91,83.69,71.67,107.75,2,2783.36,2231.71
2011-02-11,2548.47,2558.8,2565.58,2539.87,7.18,0.28,1465.35,2595.3,2515.34,2435.37,87.21,76.85,107.93,2,2791.94,2238.58
2011-02-14,2557.87,2620.45,2626.24,2557.87,61.65,2.41,2610.11,2611.3,2519.47,2427.63,90.3,81.33,108.25,2,2808.67,2252.0
2011-02-15,2621.8,2619.34,2655.56,2615.53,-1.11,-0.04,2374.28,2622.97,2522.52,2422.07,87.33,83.33,95.33,2,2826.41,2266.22
2011-02-16,2616.49,2632.08,2632.08,2603.28,12.74,0.49,1781.33,2634.81,2525.48,2416.16,86.61,84.43,90.98,2,2842.46,2279.09
2011-02-17,2635.85,2634.75,2653.55,2617.31,2.67,0.1,1604.28,2645.9,2528.44,2410.97,86.45,85.1,89.16,2,2855.39,2289.45
2011-02-18,2635.04,2612.5,2635.04,2604.61,-22.25,-0.84,1345.22,2654.73,2531.8,2408.87,81.41,83.87,76.48,2,2866.92,2298.7
2011-02-21,2599.67,2633.36,2633.96,2598.14,20.86,0.8,1530.62,2666.73,2540.2,2413.66,82.67,83.47,81.08,2,2877.2,2306.94
2011-02-22,2641.68,2571.27,2644.92,2569.27,-62.09,-2.36,2213.71,2668.09,2545.34,2422.58,69.73,78.89,51.41,2,2880.25,2309.39
2011-02-23,2564.55,2579.84,2586.95,2563.22,8.57,0.33,1493.66,2671.26,2549.06,2426.87,58.0,71.93,30.16,2,2887.56,2315.25
2011-02-24,2579.65,2586.25,2591.27,2570.52,6.41,0.25,1171.36,2669.23,2556.2,2443.17,48.35,64.07,16.92,2,2891.4,2318.33
2011-02-25,2585.22,2588.91,2598.32,2563.09,2.66,0.1,1028.53,2670.01,2561.57,2453.13,41.54,56.56,11.51,2,2894.74,2321.01
