time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,4229.51,4306.54,4312.27,4209.56,106.24,2.53,1449.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,4280.37,4254.07,4310.16,4251.03,-52.47,-1.22,1372.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,4258.74,4215.74,4270.36,4190.86,-38.33,-0.9,1088.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,4217.2,4243.28,4324.44,4191.42,27.54,0.65,1373.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,4240.24,4154.38,4281.48,4144.62,-88.9,-2.1,1071.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,4138.32,4201.79,4221.26,4137.23,47.41,1.14,1070.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,4213.71,4232.4,4254.54,4168.07,30.61,0.73,1020.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,4246.57,4214.77,4250.92,4202.1,-17.63,-0.42,752.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,4198.16,4157.54,4203.18,4138.76,-57.23,-1.36,794.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,4126.86,3964.56,4144.66,3951.36,-192.98,-4.64,1071.09,0.0,0.0,0.0,0.0,0.0,0.0,2,4655.9,3733.11
2011-01-18,3956.52,3959.26,3984.68,3931.42,-5.3,-0.13,690.24,0.0,0.0,0.0,0.0,0.0,0.0,2,4617.35,3702.2
2011-01-19,3963.21,4043.56,4043.7,3939.95,84.3,2.13,871.98,0.0,0.0,0.0,0.0,0.0,0.0,2,4593.99,3683.47
2011-01-20,4037.72,3902.09,4037.72,3900.45,-141.47,-3.5,875.79,0.0,0.0,0.0,0.0,0.0,0.0,2,4559.17,3655.55
2011-01-21,3901.31,3971.13,4050.35,3896.39,69.04,1.77,1111.68,0.0,0.0,0.0,0.0,0.0,0.0,2,4528.96,3631.33
2011-01-24,3977.93,3937.69,3984.18,3923.47,-33.44,-0.84,1015.02,0.0,0.0,0.0,0.0,0.0,0.0,2,4504.91,3612.05
2011-01-25,3932.79,3937.24,3958.85,3908.87,-0.45,-0.01,661.44,0.0,0.0,0.0,0.0,0.0,0.0,2,4475.55,3588.5
2011-01-26,3939.7,3985.57,3992.9,3939.7,48.33,1.23,575.98,0.0,0.0,0.0,18.01,13.45,27.15,2,4448.15,3566.53
2011-01-27,3932.3,4019.15,4028.85,3893.34,33.58,0.84,1263.6,0.0,0.0,0.0,28.69,18.53,49.03,2,4426.43,3549.12
2011-01-28,4019.63,4011.57,4043.78,3974.93,-7.58,-0.19,1065.77,0.0,0.0,0.0,44.23,27.1,78.5,2,4410.23,3536.13
2011-01-31,4002.33,4033.67,4036.85,3987.23,22.1,0.55,882.23,4342.73,4087.3,3831.87,59.28,37.82,102.19,2,4417.9,3542.28
2011-02-01,4041.8,4027.07,4041.81,4009.75,-6.6,-0.16,782.53,4309.07,4073.33,3837.58,67.91,47.85,108.03,2,4425.43,3548.32
2011-02-09,3999.1,4002.72,4054.47,3988.79,-24.35,-0.6,888.5,4283.04,4060.76,3838.48,67.9,54.54,94.63,2,4420.9,3544.68
2011-02-10,3995.51,4090.24,4093.21,3987.38,87.52,2.19,1004.16,4265.72,4054.48,3843.25,78.11,62.39,109.53,2,4441.78,3561.43
2011-02-11,4080.53,4118.09,4139.65,4073.1,27.85,0.68,1348.89,4243.53,4048.22,3852.92,82.49,69.09,109.28,2,4458.09,3574.51
2011-02-14,4113.64,4282.98,4292.29,4113.64,164.89,4.0,1879.2,4270.87,4054.65,3838.44,87.55,75.24,112.15,2,4496.42,3605.24
2011-02-15,4283.99,4269.96,4330.56,4266.69,-13.02,-0.3,1639.95,4285.31,4058.06,3830.81,87.08,79.19,102.86,2,4533.35,3634.85
2011-02-16,4264.02,4294.03,4294.03,4221.67,24.07,0.56,1369.31,4299.18,4061.14,3823.11,87.96,82.11,99.66,2,4567.59,3662.3
2011-02-17,4301.24,4284.38,4323.62,4249.71,-9.65,-0.22,1364.58,4313.34,4064.63,3815.91,87.49,83.9,94.66,2,4597.03,3685.91
2011-02-18,4280.6,4249.2,4290.57,4240.34,-35.18,-0.82,1177.27,4327.79,4069.21,3810.63,83.76,83.86,83.56,2,4623.41,3707.06
2011-02-21,4221.17,4335.57,4336.3,4216.85,86.37,2.03,1404.07,4366.12,4087.76,3809.4,89.1,85.6,96.1,2,4656.92,3733.93
2011-02-22,4346.42,4191.7,4346.76,4185.5,-143.87,-3.32,1883.79,4374.71,4099.38,3824.06,78.35,83.19,68.68,2,4675.19,3748.58
2011-02-23,4175.28,4194.79,4208.23,4160.29,3.09,0.07,1051.69,4384.02,4106.94,3829.86,67.06,77.81,45.55,2,4696.51,3765.67
2011-02-24,4181.66,4212.73,4223.98,4153.16,17.94,0.43,1047.78,4386.39,4122.47,3858.56,58.87,71.5,33.62,2,4710.11,3776.58
2011-02-25,4213.6,4234.01,4264.8,4180.52,21.28,0.51,1043.52,4394.21,4135.62,3877.03,53.17,65.39,28.73,2,4722.98,3786.89
2011-02-28,4240.96,4309.86,4314.15,4210.91,75.85,1.79,1505.08,4406.66,4154.23,3901.8,62.43,64.4,58.48,2,4725.96,3789.28
2011-03-01,4313.03,4344.95,4388.12,4306.03,35.09,0.81,1815.12,4419.39,4174.61,3929.83,68.83,65.88,74.73,2,4734.29,3795.96
2011-03-02,4313.21,4342.02,4361.38,4283.7,-2.93,-0.07,1385.96,4431.4,4192.43,3953.47,72.68,68.14,81.75,2,4739.61,3800.23
2011-03-03,4350.19,4348.23,4433.41,4345.36,6.21,0.14,1666.99,4443.13,4208.89,3974.65,71.65,69.31,76.33,2,4746.7,3805.91
2011-03-04,4365.69,4435.24,4441.02,4346.31,87.01,2.0,1442.73,4465.73,4230.07,3994.41,80.43,73.02,95.26,2,4767.35,3822.47
