time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2013-01-04,1004.04,982.65,1004.04,974.36,-17.35,-1.74,132.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,1006.41,1018.32,1018.32,1004.38,35.67,3.63,206.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,1026.39,1042.19,1047.53,1026.39,23.87,2.34,255.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1042.22,1036.31,1043.46,1029.21,-5.88,-0.56,226.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1035.35,1045.26,1046.62,1033.48,8.95,0.86,182.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1046.62,1034.56,1050.65,1033.62,-10.7,-1.02,202.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,1051.25,1088.46,1088.46,1051.25,53.9,5.21,248.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1089.69,1099.6,1106.39,1087.16,11.14,1.02,253.77,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1091.57,1092.16,1102.41,1080.98,-7.44,-0.68,174.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-17,1094.98,1086.88,1100.6,1083.35,-5.28,-0.48,134.57,0.0,0.0,0.0,0.0,0.0,0.0,2,1168.43,936.85
2013-01-18,1101.14,1110.85,1111.25,1091.84,23.97,2.21,118.27,0.0,0.0,0.0,0.0,0.0,0.0,2,1182.66,948.26
2013-01-21,1113.36,1112.31,1116.3,1105.56,1.46,0.13,118.28,0.0,0.0,0.0,0.0,0.0,0.0,2,1193.09,956.62
2013-01-22,1107.75,1090.49,1110.42,1083.21,-21.82,-1.96,131.98,0.0,0.0,0.0,0.0,0.0,0.0,2,1198.45,960.92
