time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1310.85,1306.99,1310.85,1299.34,3.48,0.27,49.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1295.21,1307.25,1312.33,1295.21,0.26,0.02,61.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1305.1,1282.99,1305.1,1282.99,-24.26,-1.86,44.31,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1291.25,1275.2,1291.25,1275.2,-7.79,-0.61,46.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1272.81,1233.24,1272.81,1233.24,-41.96,-3.29,50.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1226.62,1219.66,1226.62,1219.66,-13.58,-1.1,36.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1225.07,1225.6,1225.6,1214.84,5.94,0.49,24.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1231.51,1230.89,1233.08,1230.89,5.29,0.43,22.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1232.62,1236.87,1240.85,1232.62,5.98,0.49,65.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1227.19,1163.76,1227.19,1163.76,-73.11,-5.91,56.89,0.0,0.0,0.0,0.0,0.0,0.0,2,1385.55,1110.94
2011-01-18,1153.68,1159.14,1159.14,1153.68,-4.62,-0.4,29.6,0.0,0.0,0.0,0.0,0.0,0.0,2,1369.14,1097.78
2011-01-19,1161.18,1185.73,1185.73,1161.18,26.59,2.29,30.36,0.0,0.0,0.0,0.0,0.0,0.0,2,1355.65,1086.96
2011-01-20,1177.55,1136.83,1177.55,1136.83,-48.9,-4.12,30.58,0.0,0.0,0.0,0.0,0.0,0.0,2,1339.43,1073.96
2011-01-21,1135.14,1136.49,1142.21,1135.14,-0.34,-0.03,29.74,0.0,0.0,0.0,0.0,0.0,0.0,2,1324.03,1061.61
2011-01-24,1135.86,1102.97,1135.86,1102.97,-33.52,-2.95,28.8,0.0,0.0,0.0,0.0,0.0,0.0,2,1309.57,1050.02
2011-01-25,1103.81,1105.5,1105.5,1102.05,2.53,0.23,23.06,0.0,0.0,0.0,0.0,0.0,0.0,2,1296.9,1039.86
2011-01-26,1107.76,1115.62,1115.62,1107.76,10.12,0.92,20.93,0.0,0.0,0.0,5.89,6.29,5.1,2,1284.69,1030.07
2011-01-27,1108.42,1137.91,1137.91,1108.42,22.29,2.0,32.47,0.0,0.0,0.0,13.48,8.69,23.07,2,1274.37,1021.79
2011-01-28,1132.6,1153.95,1153.95,1132.6,16.04,1.41,30.41,0.0,0.0,0.0,29.66,15.68,57.63,2,1265.17,1014.41
2011-01-31,1150.39,1160.39,1160.39,1150.39,6.44,0.56,27.3,1323.01,1193.85,1064.69,43.01,24.79,79.46,2,1264.79,1014.11
2011-02-01,1163.47,1160.56,1163.47,1156.31,0.17,0.01,19.71,1305.4,1186.53,1067.66,54.51,34.7,94.13,2,1264.95,1014.24
2011-02-09,1157.69,1158.16,1168.1,1157.69,-2.4,-0.21,29.73,1284.69,1179.07,1073.46,64.66,44.68,104.6,2,1261.89,1011.79
2011-02-10,1160.61,1210.54,1210.54,1160.61,52.38,4.52,56.7,1271.05,1175.45,1079.85,76.44,55.27,118.78,2,1270.07,1018.35
2011-02-11,1211.21,1220.22,1220.22,1209.68,9.68,0.8,50.99,1259.42,1172.7,1085.98,84.29,64.94,122.99,2,1279.37,1025.8
2011-02-14,1234.68,1232.31,1234.68,1226.43,12.09,0.99,59.54,1259.25,1172.66,1086.06,88.91,72.93,120.86,2,1293.72,1037.31
2011-02-15,1236.36,1225.13,1236.36,1225.13,-7.18,-0.58,54.84,1260.14,1172.93,1085.71,89.68,78.51,112.01,0,1307.0,1047.96
2011-02-16,1222.02,1233.0,1233.0,1222.02,7.87,0.64,51.23,1261.46,1173.3,1085.13,92.04,83.02,110.07,0,1320.03,1058.4
2011-02-17,1239.25,1234.18,1239.25,1221.24,1.18,0.1,58.37,1262.07,1173.46,1084.86,92.79,86.28,105.82,0,1330.72,1066.97
2011-02-18,1232.69,1245.83,1245.83,1232.69,11.65,0.94,68.94,1263.87,1173.91,1083.95,95.19,89.25,107.08,0,1340.92,1075.15
2011-02-21,1233.98,1252.35,1252.35,1233.98,6.52,0.52,55.8,1274.39,1178.34,1082.29,96.8,91.77,106.86,0,1351.12,1083.33
2011-02-22,1252.84,1217.45,1252.84,1217.45,-34.9,-2.79,69.69,1278.33,1181.26,1084.18,85.07,89.53,76.15,2,1357.44,1088.4
2011-02-23,1221.87,1241.72,1246.78,1221.87,24.27,1.99,59.14,1284.65,1184.06,1083.46,81.46,86.84,70.7,2,1366.71,1095.83
