time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2013-01-04,1006.49,995.79,1008.05,981.7,-4.21,-0.42,349.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,985.97,997.38,997.47,982.85,1.59,0.16,413.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,999.56,1022.22,1026.15,996.46,24.84,2.49,381.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1018.42,1033.05,1040.11,1018.04,10.83,1.06,323.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1032.64,1039.81,1044.23,1029.43,6.76,0.65,252.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1042.0,1035.17,1051.46,1032.76,-4.64,-0.45,408.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,1029.86,1078.58,1080.17,1029.86,43.41,4.19,447.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1077.71,1100.48,1105.04,1075.18,21.9,2.03,409.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1095.87,1103.07,1113.45,1083.11,2.59,0.24,658.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-17,1097.33,1092.57,1097.33,1083.16,-10.5,-0.95,370.88,0.0,0.0,0.0,0.0,0.0,0.0,2,1165.29,934.33
2013-01-18,1098.54,1100.74,1105.2,1090.52,8.17,0.75,420.92,0.0,0.0,0.0,0.0,0.0,0.0,2,1176.94,943.67
2013-01-21,1098.62,1090.63,1098.62,1082.88,-10.11,-0.92,310.21,0.0,0.0,0.0,0.0,0.0,0.0,2,1187.29,951.97
2013-01-22,1087.16,1070.87,1088.17,1064.85,-19.76,-1.81,366.51,0.0,0.0,0.0,0.0,0.0,0.0,2,1192.69,956.3
2013-01-23,1065.43,1070.24,1074.85,1054.35,-0.63,-0.06,298.54,0.0,0.0,0.0,0.0,0.0,0.0,2,1196.82,959.61
2013-01-24,1063.62,1034.79,1064.32,1026.68,-35.45,-3.31,351.42,0.0,0.0,0.0,0.0,0.0,0.0,2,1196.26,959.17
2013-01-25,1037.72,1033.79,1039.87,1029.76,-1.0,-0.1,233.17,0.0,0.0,0.0,0.0,0.0,0.0,2,1196.11,959.04
2013-01-28,1036.08,1052.82,1052.82,1034.95,19.03,1.84,271.06,0.0,0.0,0.0,33.45,52.69,-5.03,2,1193.25,956.75
2013-01-29,1055.69,1070.69,1072.65,1053.65,17.87,1.7,299.4,0.0,0.0,0.0,40.98,48.79,25.37,2,1189.94,954.1
2013-01-30,1068.0,1062.53,1072.16,1059.05,-8.16,-0.76,268.4,0.0,0.0,0.0,42.54,46.71,34.21,2,1185.44,950.49
2013-01-31,1063.88,1050.65,1064.4,1046.12,-11.88,-1.12,239.39,1120.54,1056.79,993.05,39.47,44.29,29.81,2,1180.79,946.76
2013-02-01,1045.08,1050.14,1056.57,1042.31,-0.51,-0.05,247.12,1116.95,1059.51,1002.08,39.03,42.54,32.01,2,1175.17,942.26
2013-02-04,1051.3,1027.34,1053.05,1026.55,-22.8,-2.17,326.36,1113.21,1061.01,1008.81,26.56,37.21,5.27,2,1168.15,936.62
2013-02-05,1026.81,1042.04,1043.47,1026.22,14.7,1.43,309.58,1111.92,1062.0,1012.08,29.07,34.5,18.2,2,1164.95,934.06
2013-02-06,1044.73,1061.26,1064.97,1044.73,19.22,1.84,250.49,1111.54,1063.41,1015.28,44.53,37.84,57.92,2,1163.95,933.26
