time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2014-12-31,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2015-01-05,994.01,999.5,1001.88,972.17,-0.5,-0.05,223.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2015-01-06,990.71,1031.95,1032.28,990.71,32.45,3.25,268.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2015-01-07,1031.37,1013.28,1032.51,1009.59,-18.67,-1.81,215.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2015-01-08,1010.56,1018.74,1030.17,1010.56,5.46,0.54,195.12,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2015-01-09,1017.8,1015.0,1038.18,1015.0,-3.74,-0.37,205.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2015-01-12,1010.78,1015.26,1021.02,1006.05,0.26,0.03,170.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2015-01-13,1017.14,1042.78,1042.78,1014.96,27.52,2.71,158.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2015-01-14,1040.43,1044.03,1052.03,1036.61,1.25,0.12,169.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2015-01-15,1044.59,1042.01,1052.64,1039.39,-2.02,-0.19,148.75,0.0,0.0,0.0,0.0,0.0,0.0,2,1134.7,909.81
2015-01-16,1041.44,1053.44,1055.81,1038.03,11.43,1.1,190.84,0.0,0.0,0.0,0.0,0.0,0.0,2,1140.63,914.56
2015-01-19,1027.48,1034.26,1072.53,1021.84,-19.18,-1.82,263.57,0.0,0.0,0.0,0.0,0.0,0.0,2,1144.49,917.66
2015-01-20,1042.97,1083.24,1083.24,1038.95,48.98,4.74,278.3,0.0,0.0,0.0,0.0,0.0,0.0,2,1150.19,922.22
2015-01-21,1088.95,1097.6,1101.9,1088.42,14.36,1.33,317.31,0.0,0.0,0.0,0.0,0.0,0.0,2,1159.55,929.73
2015-01-22,1095.1,1107.38,1107.44,1089.82,9.78,0.89,269.89,0.0,0.0,0.0,0.0,0.0,0.0,2,1169.38,937.62
2015-01-23,1108.07,1087.75,1108.44,1084.79,-19.63,-1.77,248.9,0.0,0.0,0.0,0.0,0.0,0.0,2,1177.46,944.09
2015-01-26,1091.83,1102.72,1102.76,1090.8,14.97,1.38,218.07,0.0,0.0,0.0,89.46,88.54,91.3,2,1187.17,951.87
2015-01-27,1105.65,1106.62,1109.09,1089.33,3.9,0.35,202.69,0.0,0.0,0.0,92.03,89.7,96.68,2,1194.25,957.56
2015-01-28,1105.82,1107.22,1115.26,1101.25,0.6,0.05,211.1,0.0,0.0,0.0,91.82,90.41,94.64,2,1201.27,963.18
2015-01-29,1099.76,1101.22,1109.18,1095.44,-6.0,-0.54,149.04,1132.63,1055.2,977.77,89.53,90.12,88.37,2,1207.84,968.45
2015-01-30,1105.52,1088.03,1106.22,1088.03,-13.19,-1.2,214.17,1133.92,1059.6,985.28,81.13,87.12,69.15,2,1211.68,971.53
2015-02-02,1075.81,1084.3,1089.62,1074.47,-3.73,-0.34,164.4,1133.49,1063.84,994.19,62.12,78.79,28.78,2,1217.23,975.98
2015-02-03,1094.69,1105.55,1108.36,1092.58,21.25,1.96,173.44,1137.82,1067.52,997.22,66.81,74.79,50.84,2,1219.71,977.97
2015-02-04,1110.97,1107.56,1116.95,1105.92,2.01,0.18,175.59,1139.95,1072.24,1004.52,70.51,73.37,64.79,2,1220.82,978.85
2015-02-05,1109.11,1104.43,1121.68,1104.43,-3.13,-0.28,208.77,1140.91,1076.52,1012.13,68.16,71.63,61.21,2,1220.49,978.59
2015-02-06,1102.49,1072.5,1105.49,1068.98,-31.93,-2.89,176.57,1137.36,1079.4,1021.43,47.66,63.64,15.71,2,1218.8,977.23
2015-02-09,1069.73,1058.11,1075.57,1055.59,-14.39,-1.34,122.63,1132.62,1081.54,1030.46,33.05,53.44,-7.74,2,1213.84,973.26
2015-02-10,1060.02,1078.9,1078.9,1058.91,20.79,1.96,110.35,1131.27,1083.34,1035.41,33.79,46.89,7.58,2,1210.77,970.8
2015-02-11,1080.77,1093.67,1094.5,1080.77,14.77,1.37,130.88,1130.38,1085.83,1041.27,41.73,45.17,34.85,2,1209.26,969.59
2015-02-12,1097.3,1103.05,1105.21,1096.67,9.38,0.86,142.76,1129.16,1088.88,1048.59,51.76,47.37,60.54,2,1209.47,969.75
2015-02-13,1108.38,1126.5,1127.15,1107.34,23.45,2.13,203.06,1132.55,1092.53,1052.51,67.54,54.09,94.43,2,1213.74,973.18
2015-02-16,1131.43,1162.13,1163.03,1131.43,35.63,3.16,248.79,1140.49,1098.92,1057.36,78.08,62.09,110.06,2,1222.38,980.1
2015-02-17,1164.76,1165.88,1172.31,1155.45,3.75,0.32,217.93,1153.12,1103.06,1052.99,83.55,69.24,112.17,2,1229.07,985.47
2015-02-25,1172.45,1170.41,1184.94,1165.47,4.53,0.39,234.2,1164.62,1106.7,1048.77,85.29,74.59,106.69,2,1236.05,991.07
2015-02-26,1172.95,1179.69,1185.31,1167.19,9.28,0.79,224.53,1176.41,1110.31,1044.22,88.75,79.31,107.63,2,1244.4,997.76
2015-02-27,1178.7,1205.1,1205.1,1178.7,25.41,2.15,256.5,1193.16,1116.18,1039.2,92.5,83.71,110.08,2,1259.12,1009.57
2015-03-02,1234.41,1252.73,1254.49,1232.7,47.63,3.95,331.67,1220.6,1123.68,1026.76,94.66,87.36,109.27,2,1280.72,1026.89
2015-03-03,1256.3,1246.93,1270.56,1245.07,-5.8,-0.46,360.48,1241.04,1130.7,1020.35,91.91,88.88,97.98,0,1299.38,1041.84
2015-03-04,1251.2,1259.16,1259.58,1247.48,12.23,0.98,272.69,1261.32,1138.29,1015.26,92.28,90.01,96.82,0,1317.75,1056.57
2015-03-05,1264.69,1271.52,1271.74,1246.87,12.36,0.98,320.78,1281.42,1146.81,1012.19,94.8,91.61,101.19,0,1336.45,1071.56
2015-03-06,1273.54,1232.66,1275.65,1230.92,-38.86,-3.06,290.96,1290.77,1154.04,1017.31,84.61,89.28,75.29,2,1348.23,1081.01
2015-03-09,1219.35,1261.01,1261.01,1219.35,28.35,2.3,241.63,1303.23,1162.87,1022.52,85.31,87.95,80.03,2,1359.2,1089.81
2015-03-10,1263.06,1280.88,1285.25,1261.64,19.87,1.58,228.73,1318.34,1171.64,1024.95,88.97,88.29,90.33,2,1371.97,1100.05
2015-03-11,1288.41,1301.63,1304.07,1275.24,20.75,1.62,280.25,1335.3,1181.34,1027.39,92.0,89.53,96.94,2,1386.54,1111.73
2015-03-12,1300.4,1281.62,1311.91,1265.54,-20.01,-1.54,270.36,1345.81,1190.2,1034.59,83.76,87.61,76.06,2,1397.85,1120.8
2015-03-13,1288.92,1307.11,1307.67,1279.75,25.49,1.99,265.05,1355.64,1201.93,1048.22,87.44,87.55,87.23,2,1409.17,1129.88
2015-03-16,1322.78,1342.09,1344.02,1321.35,34.98,2.68,349.97,1366.51,1216.13,1065.76,91.11,88.74,95.86,2,1419.09,1137.83
2015-03-17,1348.38,1343.94,1356.94,1327.73,1.85,0.14,320.19,1375.71,1229.39,1083.06,90.93,89.47,93.84,2,1429.86,1146.46
2015-03-18,1350.41,1375.55,1376.53,1345.87,31.61,2.35,642.81,1389.1,1243.48,1097.86,93.74,90.89,99.44,2,1442.78,1156.82
2015-03-19,1368.65,1385.48,1385.63,1363.01,9.93,0.72,623.05,1400.76,1257.6,1114.44,95.8,92.53,102.34,0,1455.43,1166.97
