time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2020-01-02,1005.62,1019.72,1019.91,1005.62,0.0,1.97,219.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-03,1021.67,1024.48,1029.07,1018.68,0.0,0.47,216.06,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-06,1020.0,1027.28,1040.14,1020.0,0.0,0.27,266.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-07,1025.66,1043.08,1043.08,1019.86,0.0,1.54,267.59,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-08,1035.84,1051.16,1059.44,1034.51,0.0,0.77,320.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-09,1060.58,1078.31,1081.4,1060.58,0.0,2.58,284.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-10,1082.31,1076.44,1088.54,1076.44,0.0,-0.17,251.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-13,1076.76,1105.85,1105.85,1069.78,0.0,2.73,246.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-14,1107.78,1118.31,1133.9,1107.78,0.0,1.13,326.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-15,1113.25,1114.77,1120.35,1105.58,0.0,-0.32,242.05,0.0,0.0,0.0,0.0,0.0,0.0,2,1183.19,948.69
2020-01-16,1116.51,1154.3,1161.48,1116.51,0.0,3.55,308.53,0.0,0.0,0.0,0.0,0.0,0.0,2,1198.13,960.66
2020-01-17,1159.37,1238.66,1252.56,1159.37,0.0,7.31,587.36,0.0,0.0,0.0,0.0,0.0,0.0,2,1221.91,979.73
2020-01-20,1239.44,1240.51,1270.36,1208.69,0.0,0.15,520.26,0.0,0.0,0.0,0.0,0.0,0.0,2,1245.57,998.7
2020-01-21,1233.65,1195.01,1247.84,1194.8,0.0,-3.67,420.68,0.0,0.0,0.0,0.0,0.0,0.0,0,1262.44,1012.23
2020-01-22,1178.78,1244.52,1247.61,1157.29,0.0,4.14,479.47,0.0,0.0,0.0,0.0,0.0,0.0,0,1283.9,1029.43
2020-01-23,1219.23,1202.1,1262.44,1177.09,0.0,-3.41,442.59,0.0,0.0,0.0,0.0,0.0,0.0,2,1297.64,1040.45
2020-02-03,1018.28,1030.55,1082.79,1015.6,0.0,-14.27,546.65,0.0,0.0,0.0,53.53,76.9,6.8,2,1292.55,1036.37
2020-02-04,1049.96,1153.23,1153.23,1049.96,0.0,11.9,528.62,0.0,0.0,0.0,53.7,69.17,22.76,2,1297.81,1040.58
2020-02-05,1166.97,1203.61,1240.37,1166.97,0.0,4.37,586.02,0.0,0.0,0.0,60.4,66.24,48.71,2,1307.28,1048.18
2020-02-06,1191.73,1238.76,1251.84,1191.73,0.0,2.92,559.0,1288.57,1128.03,967.5,69.46,67.32,73.76,2,1321.04,1059.21
2020-02-07,1240.04,1307.76,1307.76,1234.23,0.0,5.57,566.48,1312.89,1142.43,971.98,79.64,71.42,96.08,2,1338.07,1072.87
2020-02-10,1310.53,1322.25,1336.53,1293.43,0.0,1.11,593.29,1335.8,1157.32,978.85,84.94,75.93,102.97,2,1347.35,1080.31
2020-02-11,1318.42,1283.57,1318.42,1266.21,0.0,-2.93,503.75,1346.21,1170.14,994.06,84.46,78.78,95.84,2,1352.13,1084.14
2020-02-12,1274.8,1348.7,1360.55,1274.8,0.0,5.07,476.39,1367.67,1185.42,1003.16,88.5,82.02,101.46,2,1369.19,1097.82
2020-02-13,1360.13,1360.71,1409.68,1353.04,0.0,0.89,614.41,1387.44,1200.9,1014.35,88.19,84.07,96.42,2,1382.09,1108.16
2020-02-14,1359.37,1327.22,1382.96,1305.97,0.0,-2.46,531.02,1398.72,1213.34,1027.96,84.48,84.21,85.03,2,1395.98,1119.3
2020-02-17,1332.97,1381.55,1381.55,1332.97,0.0,4.09,496.99,1416.6,1228.6,1040.6,85.79,84.74,87.9,2,1434.94,1150.54
2020-02-18,1381.58,1399.38,1404.71,1372.53,0.0,1.29,490.56,1436.41,1243.27,1050.13,88.95,86.14,94.57,0,1462.26,1172.44
2020-02-19,1398.78,1373.44,1412.17,1373.44,0.0,-1.85,478.32,1448.17,1256.03,1063.89,85.38,85.89,84.36,0,1481.11,1187.56
2020-02-20,1377.76,1348.34,1390.02,1321.73,0.0,-1.83,422.23,1452.33,1267.71,1083.09,75.68,82.48,62.06,0,1493.27,1197.31
2020-02-21,1337.56,1346.86,1373.67,1337.56,0.0,-0.11,447.55,1457.32,1277.34,1097.35,68.87,77.95,50.72,2,1497.61,1200.79
2020-02-24,1341.99,1351.71,1359.23,1328.75,0.0,0.36,420.0,1464.85,1282.99,1101.12,64.58,73.49,46.75,2,1500.88,1203.41
2020-02-25,1312.48,1367.37,1371.58,1312.48,0.0,1.16,461.16,1473.66,1289.33,1105.0,62.32,69.77,47.43,2,1510.19,1210.87
2020-02-26,1348.08,1288.24,1361.01,1286.35,0.0,-5.79,501.58,1473.19,1293.99,1114.8,42.05,60.53,5.09,2,1503.48,1205.49
2020-02-27,1293.19,1264.94,1293.19,1251.45,0.0,-1.81,503.28,1473.3,1295.01,1116.73,30.83,50.63,-8.77,2,1492.84,1196.97
2020-02-28,1206.86,1191.05,1231.09,1187.1,0.0,-5.84,513.21,1473.96,1294.46,1114.96,21.14,40.8,-18.18,2,1477.73,1184.85
2020-03-02,1202.96,1252.62,1259.08,1194.94,0.0,5.17,497.97,1440.28,1305.57,1170.85,23.8,35.13,1.13,2,1463.42,1173.37
2020-03-03,1278.27,1285.03,1332.84,1272.06,0.0,2.59,512.29,1427.98,1312.16,1196.33,31.95,34.07,27.71,2,1450.73,1163.19
2020-03-04,1268.83,1255.72,1277.69,1226.8,0.0,-2.28,381.95,1422.79,1314.76,1206.73,33.56,33.9,32.88,1,1437.66,1152.72
2020-03-05,1277.71,1264.79,1277.71,1246.71,0.0,0.72,431.26,1420.98,1316.06,1211.15,36.41,34.74,39.76,2,1428.38,1145.28
2020-03-06,1246.1,1243.37,1255.07,1237.62,0.0,-1.69,326.12,1422.43,1312.84,1203.26,34.44,34.64,34.05,2,1416.9,1136.07
2020-03-09,1216.04,1171.86,1223.25,1171.86,0.0,-5.75,387.27,1430.78,1305.32,1179.86,22.96,30.75,7.39,2,1396.93,1120.06
2020-03-10,1148.4,1216.33,1216.33,1135.21,0.0,3.8,406.49,1433.05,1301.96,1170.87,28.99,30.16,26.65,2,1380.17,1106.62
2020-03-11,1218.52,1184.71,1233.43,1184.71,0.0,-2.6,424.85,1432.43,1293.76,1155.1,27.68,29.33,24.36,2,1368.68,1097.41
2020-03-12,1161.92,1167.06,1177.36,1151.79,0.0,-1.49,280.54,1429.57,1284.08,1138.59,23.82,27.5,16.48,2,1357.81,1088.7
2020-03-13,1103.96,1175.28,1187.7,1103.96,0.0,0.7,338.33,1427.91,1276.48,1125.05,26.27,27.09,24.63,2,1356.06,1087.29
2020-03-16,1188.08,1115.08,1200.46,1115.08,0.0,-5.12,318.12,1421.98,1263.16,1104.34,19.65,24.61,9.72,2,1340.79,1075.05
2020-03-17,1132.95,1131.55,1141.39,1079.84,0.0,1.48,297.27,1405.52,1249.77,1094.01,21.81,23.67,18.08,2,1323.76,1061.39
2020-03-18,1145.3,1115.02,1173.23,1115.02,0.0,-1.46,299.96,1392.29,1236.85,1081.4,21.23,22.86,17.97,2,1308.14,1048.87
2020-03-19,1116.26,1128.97,1133.69,1091.24,0.0,1.25,278.5,1379.25,1225.88,1072.5,24.82,23.51,27.43,2,1293.06,1036.78
2020-03-20,1140.09,1127.37,1148.09,1114.29,0.0,-0.14,235.6,1363.42,1214.9,1066.39,26.86,24.63,31.32,2,1280.19,1026.46
2020-03-23,1092.5,1039.88,1096.4,1037.53,0.0,-7.76,283.05,1352.5,1199.31,1046.12,18.31,22.52,9.88,2,1265.54,1014.71
2020-03-24,1067.01,1060.84,1071.34,1020.25,0.0,2.02,236.83,1327.91,1183.99,1040.06,19.71,21.58,15.97,2,1248.28,1000.87
2020-03-25,1097.31,1101.32,1110.1,1094.16,0.0,3.82,249.63,1314.49,1174.64,1034.79,28.14,23.77,36.87,2,1239.02,993.45
2020-03-26,1093.33,1095.34,1111.48,1091.0,0.0,-0.54,211.38,1303.62,1166.16,1028.7,32.65,26.73,44.49,2,1231.06,987.07
2020-03-27,1109.54,1084.51,1110.54,1082.93,0.0,-0.99,229.2,1302.23,1160.83,1019.44,35.77,29.74,47.82,2,1220.99,978.99
2020-03-30,1062.9,1035.83,1062.9,1021.5,0.0,-4.49,226.09,1294.78,1149.99,1005.21,27.24,28.91,23.9,2,1212.19,971.94
2020-03-31,1048.74,1029.75,1055.27,1027.22,0.0,-0.59,170.37,1277.07,1137.23,997.39,20.64,26.15,9.61,2,1200.89,962.88
2020-04-01,1026.58,1037.93,1060.71,1026.58,0.0,0.79,175.06,1261.41,1126.34,991.27,18.37,23.56,7.99,2,1192.33,956.01
2020-04-02,1033.56,1094.83,1094.83,1033.56,0.0,5.48,209.31,1237.51,1117.84,998.17,39.49,28.87,60.75,2,1188.54,952.98
2020-04-03,1089.24,1080.53,1095.31,1074.19,0.0,-1.31,181.44,1215.45,1109.7,1003.95,48.35,35.36,74.34,2,1183.34,948.81
2020-04-07,1109.61,1111.65,1117.79,1108.78,0.0,2.88,198.62,1208.54,1106.69,1004.83,63.44,44.72,100.88,2,1191.31,955.2
2020-04-08,1104.96,1104.14,1117.81,1100.31,0.0,-0.68,170.74,1189.66,1101.08,1012.5,70.9,53.45,105.8,2,1196.12,959.05
2020-04-09,1107.47,1101.28,1110.06,1094.92,0.0,-0.26,203.17,1176.77,1096.91,1017.05,74.88,60.59,103.45,2,1196.11,959.05
2020-04-10,1100.37,1058.44,1100.37,1054.35,0.0,-3.89,227.14,1166.12,1091.48,1016.84,62.7,61.3,65.52,2,1192.02,955.76
2020-04-13,1048.21,1042.15,1052.01,1038.82,0.0,-1.54,151.91,1151.72,1084.82,1017.92,47.49,56.69,29.09,2,1187.31,951.99
2020-04-14,1049.21,1073.22,1073.22,1049.21,0.0,2.98,143.0,1148.32,1082.73,1017.14,48.7,54.03,38.05,2,1191.47,955.32
2020-04-15,1076.94,1088.2,1101.67,1076.94,0.0,1.4,166.23,1142.31,1080.56,1018.81,54.09,54.05,54.16,2,1197.95,960.52
2020-04-16,1080.87,1091.93,1097.2,1080.87,0.0,0.34,178.44,1139.37,1079.41,1019.44,58.47,55.52,64.36,2,1203.95,965.33
2020-04-17,1102.66,1117.07,1129.12,1102.66,0.0,2.3,258.57,1137.01,1078.81,1020.62,67.86,59.64,84.32,2,1206.42,967.31
2020-04-20,1119.26,1133.36,1133.36,1115.72,0.0,1.46,501.42,1138.35,1079.11,1019.87,78.58,65.95,103.83,2,1212.28,972.01
2020-04-21,1127.66,1119.23,1127.66,1108.48,0.0,-1.25,384.23,1141.91,1083.08,1024.25,80.74,70.88,100.45,2,1213.12,972.68
2020-04-22,1108.68,1135.85,1135.85,1108.68,0.0,1.49,382.16,1148.98,1086.83,1024.68,87.16,76.3,108.86,2,1216.64,975.5
2020-04-23,1140.8,1149.72,1157.87,1140.55,0.0,1.22,405.26,1156.99,1089.25,1021.51,89.16,80.59,106.29,2,1222.02,979.82
2020-04-24,1148.59,1144.15,1155.54,1139.31,0.0,-0.48,359.01,1163.52,1091.69,1019.86,88.56,83.25,99.19,2,1231.53,987.44
2020-04-27,1140.19,1138.1,1145.75,1136.23,0.0,-0.53,314.53,1168.88,1094.37,1019.86,84.23,83.57,85.55,2,1242.18,995.98
2020-04-28,1130.61,1113.51,1130.61,1037.26,0.0,-2.16,460.92,1168.1,1098.25,1028.4,77.23,81.46,68.77,2,1246.65,999.57
2020-04-29,1105.6,1102.7,1125.19,1102.57,0.0,-0.97,310.04,1164.28,1101.9,1039.52,69.57,77.5,53.72,2,1248.26,1000.86
2020-04-30,1107.43,1166.35,1171.8,1107.43,0.0,5.77,408.72,1169.47,1108.32,1047.17,78.36,77.79,79.52,2,1256.52,1007.48
2020-05-06,1155.12,1247.51,1252.75,1155.12,0.0,6.96,563.09,1201.65,1115.95,1030.26,84.77,80.11,94.07,2,1271.0,1019.09
2020-05-07,1249.64,1224.1,1249.64,1218.24,0.0,-1.88,542.26,1219.19,1123.13,1027.08,85.41,81.88,92.48,2,1281.08,1027.17
2020-05-08,1230.91,1240.25,1272.62,1230.91,0.0,1.32,465.94,1238.09,1129.56,1021.04,85.69,83.15,90.77,2,1294.51,1037.94
2020-05-11,1244.3,1226.06,1268.08,1215.97,0.0,-1.14,412.55,1251.25,1135.66,1020.06,83.87,83.39,84.82,2,1304.52,1045.97
2020-05-12,1222.39,1233.59,1233.64,1203.15,0.0,0.61,382.26,1264.21,1142.27,1020.34,83.72,83.5,84.15,2,1313.83,1053.43
2020-05-13,1227.72,1247.03,1252.58,1227.72,0.0,1.09,406.9,1275.41,1151.7,1028.0,85.52,84.17,88.22,2,1325.25,1062.59
2020-05-14,1241.84,1242.17,1258.25,1238.23,0.0,-0.39,467.83,1280.61,1161.7,1042.8,84.38,84.24,84.65,2,1336.8,1071.85
2020-05-15,1244.74,1270.48,1280.05,1244.74,0.0,2.28,431.55,1292.19,1171.57,1050.94,87.74,85.41,92.4,2,1354.23,1085.82
2020-05-18,1279.29,1254.3,1279.29,1253.33,0.0,-1.27,508.22,1299.26,1179.87,1060.49,84.95,85.26,84.35,2,1371.05,1099.31
2020-05-19,1260.22,1324.42,1324.42,1260.22,0.0,5.59,480.76,1319.34,1191.5,1063.65,89.97,86.83,96.26,2,1388.6,1113.38
2020-05-20,1317.4,1307.0,1348.58,1297.67,0.0,-1.32,562.37,1333.45,1200.99,1068.54,83.78,85.81,79.72,2,1395.2,1118.68
2020-05-21,1305.91,1251.93,1309.5,1251.52,0.0,-4.21,494.91,1337.34,1206.92,1076.51,67.04,79.55,42.0,2,1398.29,1121.15
2020-05-22,1247.6,1230.66,1258.31,1208.82,0.0,-1.7,424.09,1336.82,1212.49,1088.16,51.0,70.03,12.92,2,1397.23,1120.3
2020-05-25,1223.87,1212.09,1227.56,1205.73,0.0,-1.51,339.07,1335.57,1216.31,1097.04,35.48,58.52,-10.59,2,1395.68,1119.06
2020-05-26,1217.62,1272.66,1272.92,1217.62,0.0,5.0,446.59,1340.02,1222.45,1104.88,39.27,52.1,13.61,2,1400.01,1122.53
2020-05-27,1271.46,1253.27,1281.21,1251.08,0.0,-1.52,457.16,1340.46,1227.91,1115.36,37.27,47.16,17.51,2,1400.71,1123.09
2020-05-28,1251.06,1232.22,1256.22,1206.62,0.0,-1.68,423.93,1337.35,1232.61,1127.88,31.03,41.78,9.53,2,1399.6,1122.2
2020-05-29,1227.2,1246.11,1267.43,1227.2,0.0,1.13,449.86,1328.64,1239.24,1149.85,30.11,37.89,14.55,2,1396.9,1120.03
2020-06-01,1257.97,1300.74,1309.96,1257.97,0.0,4.38,507.2,1317.17,1249.15,1181.12,42.24,39.34,48.04,2,1402.05,1124.17
2020-06-02,1305.8,1305.64,1312.52,1294.22,0.0,0.38,484.75,1316.95,1256.11,1195.28,59.35,46.01,86.02,2,1399.97,1122.5
2020-06-03,1305.73,1294.28,1314.14,1293.6,0.0,-0.87,480.05,1321.34,1258.45,1195.56,66.79,52.94,94.5,2,1398.56,1121.36
2020-06-04,1295.16,1299.8,1306.07,1291.21,0.0,0.43,549.97,1325.51,1262.23,1198.96,73.45,59.78,100.8,2,1403.87,1125.62
2020-06-05,1300.25,1297.31,1307.89,1292.05,0.0,-0.19,474.01,1329.28,1265.09,1200.89,77.08,65.55,100.16,2,1411.27,1131.56
2020-06-08,1306.5,1280.05,1311.68,1277.29,0.0,-1.33,472.88,1329.69,1267.79,1205.89,74.15,68.41,85.63,2,1418.81,1137.61
2020-06-09,1277.45,1278.51,1278.85,1269.11,0.0,-0.12,427.95,1330.04,1270.03,1210.03,71.72,69.52,76.13,2,1419.46,1138.13
2020-06-10,1278.07,1269.98,1278.07,1265.11,0.0,-0.67,571.06,1330.25,1271.18,1212.11,64.22,67.75,57.15,2,1421.32,1139.61
2020-06-11,1270.72,1273.59,1294.34,1265.38,0.0,0.28,534.85,1330.31,1272.75,1215.2,52.08,62.53,31.19,2,1425.91,1143.29
2020-06-12,1246.8,1262.29,1268.46,1246.8,0.0,-0.89,480.98,1330.07,1272.34,1214.61,42.39,55.81,15.54,2,1427.7,1144.73
2020-06-15,1262.48,1249.91,1271.91,1249.58,0.0,-0.98,467.93,1330.16,1272.12,1214.09,29.8,47.14,-4.89,2,1422.06,1140.21
2020-06-16,1259.09,1289.13,1289.13,1259.09,0.0,3.14,531.55,1323.9,1270.36,1216.82,41.61,45.3,34.24,2,1420.23,1138.74
2020-06-17,1291.04,1291.12,1299.78,1280.52,0.0,0.15,545.97,1321.35,1269.56,1217.78,50.51,47.04,57.46,2,1419.88,1138.46
2020-06-18,1289.77,1302.37,1304.49,1286.47,0.0,0.87,499.6,1325.09,1272.09,1219.08,62.23,52.1,82.48,2,1420.16,1138.69
2020-06-19,1301.02,1325.15,1329.2,1301.02,0.0,1.75,472.5,1331.03,1276.81,1222.59,73.18,59.13,101.28,2,1423.25,1141.17
2020-06-22,1347.94,1371.21,1380.37,1347.94,0.0,3.48,711.24,1345.03,1284.77,1224.51,79.83,66.03,107.44,2,1433.37,1149.28
2020-06-23,1365.33,1407.19,1407.19,1365.33,0.0,2.62,580.09,1371.61,1291.49,1211.38,86.56,72.87,113.92,2,1447.66,1160.73
2020-06-24,1408.55,1424.28,1432.99,1406.87,0.0,1.21,637.64,1396.79,1300.04,1203.3,89.48,78.41,111.62,2,1464.78,1174.47
