time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2020-01-02,1006.38,1027.16,1027.16,1006.38,0.0,2.72,59.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-03,1030.68,1037.76,1043.87,1030.68,0.0,1.03,65.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-06,1030.32,1034.82,1051.18,1029.4,0.0,-0.28,65.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-07,1034.91,1055.7,1055.99,1027.59,0.0,2.02,74.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-08,1045.94,1070.85,1073.52,1042.43,0.0,1.44,85.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-09,1079.8,1096.32,1103.29,1079.8,0.0,2.38,77.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-10,1100.58,1092.48,1111.92,1092.48,0.0,-0.35,62.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-13,1090.19,1136.92,1136.92,1087.7,0.0,4.07,68.99,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-14,1135.54,1144.35,1168.49,1135.22,0.0,0.65,91.06,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-15,1139.7,1150.13,1151.81,1130.49,0.0,0.51,67.74,0.0,0.0,0.0,0.0,0.0,0.0,2,1203.96,965.34
2020-01-16,1152.32,1210.46,1218.95,1152.32,0.0,5.25,95.2,0.0,0.0,0.0,0.0,0.0,0.0,2,1224.31,981.65
2020-01-17,1215.99,1322.8,1338.18,1215.99,0.0,9.28,146.97,0.0,0.0,0.0,0.0,0.0,0.0,2,1255.95,1007.02
2020-01-20,1321.17,1322.02,1370.43,1277.32,0.0,-0.06,133.27,0.0,0.0,0.0,0.0,0.0,0.0,2,1287.83,1032.58
2020-01-21,1314.62,1271.62,1329.02,1271.49,0.0,-3.81,97.09,0.0,0.0,0.0,0.0,0.0,0.0,0,1311.79,1051.8
2020-01-22,1249.91,1361.46,1361.46,1235.45,0.0,7.06,117.71,0.0,0.0,0.0,0.0,0.0,0.0,0,1344.05,1077.66
2020-01-23,1327.5,1311.01,1388.67,1274.69,0.0,-3.71,105.99,0.0,0.0,0.0,0.0,0.0,0.0,2,1367.88,1096.77
2020-02-03,1098.49,1100.28,1172.11,1098.49,0.0,-16.07,105.98,0.0,0.0,0.0,55.25,79.18,7.4,2,1368.75,1097.46
2020-02-04,1131.29,1256.35,1256.35,1131.29,0.0,14.19,114.84,0.0,0.0,0.0,54.97,71.11,22.69,2,1382.0,1108.09
2020-02-05,1268.01,1284.73,1353.02,1268.01,0.0,2.26,127.66,0.0,0.0,0.0,58.04,66.75,40.61,2,1397.59,1120.59
2020-02-06,1275.63,1328.09,1338.59,1275.63,0.0,3.38,108.39,1406.93,1180.77,954.6,65.07,66.19,62.82,2,1417.34,1136.42
2020-02-07,1332.48,1442.8,1442.8,1332.48,0.0,8.64,141.68,1443.29,1201.55,959.81,76.71,69.7,90.74,2,1443.13,1157.1
2020-02-10,1448.31,1437.78,1476.3,1414.9,0.0,-0.35,128.51,1471.82,1221.55,971.28,81.08,73.49,96.25,2,1455.89,1167.34
2020-02-11,1431.43,1415.88,1442.8,1387.63,0.0,-1.52,102.25,1489.12,1240.6,992.08,82.05,76.34,93.47,2,1466.31,1175.69
2020-02-12,1402.61,1496.88,1513.61,1402.61,0.0,5.72,116.4,1519.78,1262.66,1005.54,86.69,79.79,100.49,2,1491.31,1195.74
2020-02-13,1510.69,1516.2,1582.6,1495.96,0.0,1.29,141.74,1548.8,1284.93,1021.06,86.56,82.05,95.57,2,1508.49,1209.51
2020-02-14,1515.75,1467.06,1549.86,1440.7,0.0,-3.24,129.2,1563.8,1303.46,1043.13,82.5,82.2,83.11,2,1525.81,1223.4
2020-02-17,1477.8,1514.48,1514.48,1474.4,0.0,3.23,103.33,1581.46,1324.56,1067.67,81.12,81.84,79.68,2,1571.79,1260.26
2020-02-18,1509.94,1542.37,1546.1,1509.94,0.0,1.84,107.72,1603.29,1344.84,1086.39,83.04,82.24,84.65,0,1603.54,1285.72
2020-02-19,1535.21,1497.77,1546.72,1497.77,0.0,-2.89,104.71,1611.88,1362.51,1113.14,77.39,80.62,70.92,2,1627.18,1304.68
2020-02-20,1502.05,1457.35,1520.51,1421.08,0.0,-2.7,100.0,1610.29,1377.87,1145.45,63.51,74.92,40.7,2,1641.53,1316.18
2020-02-21,1446.06,1461.89,1497.57,1446.06,0.0,0.31,84.43,1612.24,1390.44,1168.64,55.04,68.29,28.53,2,1643.65,1317.88
2020-02-24,1451.9,1469.73,1478.72,1430.48,0.0,0.54,90.74,1619.87,1397.79,1175.7,49.12,61.9,23.56,2,1647.2,1320.73
2020-02-25,1422.74,1482.34,1496.62,1422.74,0.0,0.86,96.87,1627.94,1405.8,1183.66,45.39,56.4,23.37,2,1654.57,1326.64
2020-02-26,1460.81,1377.18,1476.04,1375.75,0.0,-7.09,97.86,1625.08,1411.08,1197.08,30.53,47.78,-3.95,2,1641.29,1315.99
2020-02-27,1381.63,1350.98,1381.63,1327.7,0.0,-1.9,78.0,1625.09,1410.56,1196.02,23.9,39.82,-7.94,2,1622.95,1301.28
2020-02-28,1277.02,1259.35,1308.04,1254.18,0.0,-6.78,84.35,1628.41,1407.97,1187.54,16.52,32.05,-14.54,2,1599.89,1282.8
2020-03-02,1279.02,1324.06,1334.4,1260.17,0.0,5.14,69.91,1593.99,1419.16,1244.34,18.98,27.69,1.54,1,1578.76,1265.85
2020-03-03,1349.84,1362.47,1427.97,1347.74,0.0,2.9,82.45,1585.07,1424.47,1263.87,26.2,27.2,24.22,1,1558.79,1249.84
2020-03-04,1342.69,1310.29,1347.3,1279.22,0.0,-3.83,62.25,1582.23,1425.75,1269.27,25.15,26.52,22.43,1,1537.98,1233.15
2020-03-05,1336.67,1315.66,1338.24,1291.65,0.0,0.41,56.3,1583.25,1425.13,1267.01,25.22,26.09,23.5,2,1522.25,1220.54
2020-03-06,1294.14,1285.89,1298.93,1279.1,0.0,-2.26,42.56,1586.31,1417.28,1248.25,21.17,24.45,14.63,2,1502.71,1204.88
2020-03-09,1254.76,1197.46,1267.11,1197.46,0.0,-6.88,57.84,1599.1,1405.26,1211.43,14.12,21.0,0.34,2,1472.49,1180.65
2020-03-10,1174.77,1259.34,1259.34,1166.98,0.0,5.17,69.78,1601.31,1397.44,1193.56,21.21,21.07,21.48,2,1447.74,1160.8
2020-03-11,1262.33,1213.87,1276.61,1213.87,0.0,-3.61,57.6,1596.65,1383.29,1169.92,20.13,20.76,18.87,2,1429.61,1146.26
2020-03-12,1192.38,1207.85,1219.08,1189.13,0.0,-0.5,43.86,1585.12,1367.87,1150.62,18.64,20.05,15.81,2,1413.72,1133.53
2020-03-13,1144.56,1237.65,1252.6,1144.56,0.0,2.47,67.28,1575.7,1356.4,1137.1,23.37,21.16,27.81,2,1411.31,1131.59
2020-03-16,1252.07,1176.56,1264.81,1176.56,0.0,-4.94,63.41,1559.55,1339.5,1119.45,20.84,21.05,20.42,2,1394.94,1118.47
