time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2020-01-02,1006.44,1022.64,1022.64,1006.44,0.0,2.26,100.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-03,1025.72,1024.98,1032.94,1019.71,0.0,0.23,94.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-06,1020.42,1026.95,1039.78,1020.42,0.0,0.19,109.48,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-07,1024.78,1035.07,1035.07,1015.63,0.0,0.79,113.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-08,1028.73,1045.98,1050.68,1026.71,0.0,1.06,137.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-09,1054.09,1072.75,1075.35,1054.09,0.0,2.56,131.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-10,1075.85,1060.51,1080.01,1060.51,0.0,-1.14,93.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-13,1060.78,1095.21,1095.21,1055.06,0.0,3.27,99.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-14,1096.6,1111.71,1127.15,1093.89,0.0,1.51,146.48,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-15,1105.92,1110.29,1114.8,1099.62,0.0,-0.13,100.55,0.0,0.0,0.0,0.0,0.0,0.0,2,1177.28,943.94
2020-01-16,1111.42,1156.47,1164.24,1111.42,0.0,4.16,134.89,0.0,0.0,0.0,0.0,0.0,0.0,2,1192.13,955.85
2020-01-17,1160.42,1248.02,1260.72,1160.42,0.0,7.92,300.52,0.0,0.0,0.0,0.0,0.0,0.0,2,1216.89,975.7
2020-01-20,1244.15,1235.61,1270.01,1207.12,0.0,-0.99,235.38,0.0,0.0,0.0,0.0,0.0,0.0,2,1240.05,994.27
2020-01-21,1228.54,1191.39,1247.25,1191.39,0.0,-3.58,169.43,0.0,0.0,0.0,0.0,0.0,0.0,0,1257.4,1008.19
2020-01-22,1171.05,1244.99,1245.68,1148.36,0.0,4.5,242.43,0.0,0.0,0.0,0.0,0.0,0.0,0,1279.49,1025.9
2020-01-23,1217.06,1201.57,1264.01,1175.06,0.0,-3.49,180.12,0.0,0.0,0.0,0.0,0.0,0.0,2,1293.79,1037.36
2020-02-03,1015.26,1014.86,1074.56,1008.61,0.0,-15.54,253.63,0.0,0.0,0.0,53.0,77.01,4.97,2,1288.72,1033.3
2020-02-04,1039.28,1134.22,1134.79,1039.28,0.0,11.76,214.62,0.0,0.0,0.0,51.35,68.45,17.14,2,1293.05,1036.77
2020-02-05,1150.26,1182.03,1227.55,1150.26,0.0,4.22,242.85,0.0,0.0,0.0,56.35,64.42,40.2,2,1300.86,1043.03
2020-02-06,1169.26,1210.7,1225.34,1169.26,0.0,2.43,216.58,1281.4,1121.3,961.2,63.33,64.06,61.89,2,1312.0,1051.97
2020-02-07,1209.18,1289.72,1289.72,1209.18,0.0,6.53,228.03,1303.9,1134.65,965.4,75.56,67.89,90.89,2,1326.8,1063.83
2020-02-10,1294.12,1315.43,1333.24,1286.55,0.0,1.99,309.16,1327.87,1149.17,970.48,81.88,72.55,100.52,2,1334.28,1069.83
2020-02-11,1310.57,1279.83,1310.57,1261.16,0.0,-2.71,228.25,1339.92,1161.82,983.72,82.43,75.85,95.61,2,1339.19,1073.76
2020-02-12,1268.86,1334.34,1347.71,1268.86,0.0,4.26,201.04,1359.99,1176.78,993.58,86.97,79.55,101.81,2,1355.05,1086.48
2020-02-13,1339.55,1339.26,1399.07,1335.96,0.0,0.37,264.52,1377.35,1191.45,1005.54,86.21,81.77,95.08,2,1365.52,1094.87
2020-02-14,1337.35,1298.18,1357.54,1274.65,0.0,-3.07,209.02,1385.79,1202.72,1019.65,81.46,81.67,81.04,2,1376.24,1103.47
2020-02-17,1307.42,1355.35,1355.35,1307.42,0.0,4.4,193.97,1399.83,1217.46,1035.09,81.78,81.71,81.93,2,1414.04,1133.78
2020-02-18,1354.56,1371.49,1382.4,1350.33,0.0,1.19,192.97,1416.35,1231.27,1046.2,83.85,82.42,86.72,2,1440.37,1154.89
2020-02-19,1369.59,1349.12,1384.46,1346.91,0.0,-1.63,193.61,1426.47,1243.14,1059.82,80.47,81.77,77.86,2,1458.92,1169.76
2020-02-20,1352.85,1327.22,1365.83,1299.07,0.0,-1.62,182.09,1430.12,1253.99,1077.86,69.61,77.72,53.4,2,1471.85,1180.13
2020-02-21,1315.41,1317.05,1344.45,1315.41,0.0,-0.77,152.75,1434.23,1262.02,1089.81,59.92,71.78,36.18,2,1474.89,1182.57
2020-02-24,1309.98,1324.77,1335.96,1301.6,0.0,0.59,155.07,1440.06,1265.86,1091.66,54.26,65.94,30.89,2,1475.92,1183.4
2020-02-25,1284.84,1341.39,1342.48,1284.84,0.0,1.25,174.5,1447.76,1271.15,1094.53,54.05,61.98,38.2,2,1482.76,1188.88
2020-02-26,1316.04,1262.08,1331.95,1260.96,0.0,-5.91,206.28,1447.56,1274.68,1101.8,36.34,53.43,2.15,2,1474.74,1182.45
2020-02-27,1266.33,1231.92,1266.33,1220.41,0.0,-2.39,140.37,1447.44,1274.03,1100.61,26.56,44.48,-9.26,2,1462.82,1172.89
2020-02-28,1172.71,1154.14,1194.54,1147.21,0.0,-6.31,171.58,1450.19,1271.66,1093.12,18.68,35.88,-15.71,2,1446.83,1160.07
2020-03-02,1167.83,1217.14,1224.7,1163.69,0.0,5.46,205.44,1419.14,1281.77,1144.39,22.28,31.35,4.15,2,1431.49,1147.77
2020-03-03,1241.12,1247.13,1292.46,1233.98,0.0,2.46,194.92,1408.37,1287.41,1166.46,30.09,30.93,28.41,2,1417.69,1136.7
2020-03-04,1230.32,1221.26,1241.01,1189.89,0.0,-2.08,122.75,1404.57,1289.38,1174.18,32.57,31.48,34.77,1,1403.5,1125.32
2020-03-05,1242.66,1238.96,1242.84,1218.47,0.0,1.45,189.83,1402.73,1290.79,1178.84,37.38,33.44,45.25,2,1393.7,1117.47
2020-03-06,1219.97,1213.34,1224.59,1208.84,0.0,-2.07,123.92,1403.9,1286.97,1170.04,36.21,34.36,39.89,2,1382.19,1108.24
2020-03-09,1185.75,1147.82,1197.99,1147.82,0.0,-5.4,153.64,1409.37,1278.59,1147.81,24.25,30.99,10.76,2,1362.54,1092.49
2020-03-10,1122.82,1193.67,1193.67,1113.89,0.0,4.0,162.96,1410.19,1274.28,1138.38,31.06,31.01,31.15,2,1346.15,1079.34
2020-03-11,1196.66,1160.9,1208.79,1160.9,0.0,-2.75,214.78,1407.1,1265.61,1124.12,29.48,30.5,27.44,2,1334.92,1070.34
2020-03-12,1138.16,1143.44,1154.62,1128.74,0.0,-1.5,124.53,1402.57,1255.82,1109.07,25.17,28.73,18.06,2,1325.1,1062.46
2020-03-13,1083.16,1157.0,1169.33,1083.16,0.0,1.19,134.62,1400.19,1248.76,1097.33,28.54,28.66,28.29,2,1325.41,1062.72
2020-03-16,1170.11,1098.61,1178.89,1098.61,0.0,-5.05,124.46,1392.47,1235.92,1079.37,22.25,26.53,13.7,2,1312.26,1052.17
2020-03-17,1117.08,1109.96,1123.56,1063.63,0.0,1.03,108.78,1375.56,1222.85,1070.13,23.45,25.5,19.35,2,1297.03,1039.96
2020-03-18,1125.39,1087.73,1144.88,1087.54,0.0,-2.0,112.1,1361.77,1209.78,1057.79,20.63,23.88,14.12,2,1282.21,1028.08
2020-03-19,1087.27,1096.96,1102.24,1061.33,0.0,0.85,105.27,1347.79,1198.26,1048.74,21.8,23.19,19.04,2,1266.45,1015.44
2020-03-20,1107.73,1094.75,1112.53,1082.42,0.0,-0.2,77.27,1332.7,1187.15,1041.6,22.09,22.82,20.63,2,1253.28,1004.88
2020-03-23,1060.69,1007.92,1061.86,1004.84,0.0,-7.93,103.44,1322.36,1171.31,1020.25,15.23,20.29,5.11,2,1237.75,992.43
2020-03-24,1034.6,1028.35,1038.24,988.66,0.0,2.03,78.61,1297.56,1155.65,1013.74,17.11,19.23,12.87,2,1219.4,977.72
2020-03-25,1064.59,1064.34,1075.37,1059.63,0.0,3.5,97.19,1284.15,1145.77,1007.38,24.67,21.04,31.92,2,1208.69,969.13
2020-03-26,1057.82,1056.16,1072.26,1053.78,0.0,-0.77,60.57,1274.68,1136.98,999.28,28.27,23.45,37.91,1,1199.0,961.36
2020-03-27,1070.81,1051.87,1072.96,1049.54,0.0,-0.41,90.03,1274.16,1131.87,989.57,32.34,26.41,44.18,2,1187.33,952.0
2020-03-30,1029.05,1010.97,1029.05,992.56,0.0,-3.89,70.66,1267.47,1121.56,975.64,26.32,26.38,26.19,2,1177.6,944.2
2020-03-31,1023.38,1005.99,1030.77,1003.63,0.0,-0.49,54.25,1251.72,1109.5,967.28,22.21,24.99,16.64,2,1166.06,934.95
2020-04-01,1001.37,1014.85,1036.92,1001.37,0.0,0.88,61.41,1237.36,1099.18,961.0,21.85,23.94,17.67,2,1157.97,928.46
2020-04-02,1011.87,1073.96,1073.96,1011.87,0.0,5.82,71.94,1213.58,1090.93,968.28,47.36,31.75,78.58,2,1155.42,926.42
2020-04-03,1068.8,1059.86,1073.47,1053.8,0.0,-1.31,56.75,1192.81,1083.26,973.7,58.94,40.81,95.2,2,1151.54,923.31
2020-04-07,1088.92,1089.18,1096.36,1086.48,0.0,2.77,69.25,1185.88,1080.32,974.77,70.32,50.65,109.67,2,1160.56,930.54
2020-04-08,1080.92,1082.16,1093.42,1078.36,0.0,-0.65,52.62,1166.66,1074.75,982.83,75.66,58.99,109.0,2,1166.54,935.33
