time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2020-01-02,1007.91,1016.42,1017.51,1000.39,0.0,1.64,13.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-03,1013.04,1006.76,1020.44,1004.88,0.0,-0.95,14.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-06,1004.59,1046.44,1068.86,1004.59,0.0,3.94,23.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-07,1045.9,1058.05,1058.05,1028.84,0.0,1.11,18.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-08,1053.65,1088.52,1118.77,1053.65,0.0,2.88,26.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-09,1110.44,1104.97,1115.23,1095.33,0.0,1.51,14.99,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-10,1100.77,1104.25,1111.15,1098.3,0.0,-0.07,15.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-13,1112.07,1130.06,1132.37,1100.65,0.0,2.34,18.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-14,1150.12,1171.49,1184.77,1146.64,0.0,3.67,26.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-15,1159.99,1130.58,1159.99,1127.53,0.0,-3.49,18.98,0.0,0.0,0.0,0.0,0.0,0.0,2,1205.19,966.32
2020-01-16,1134.56,1159.73,1159.73,1131.3,0.0,2.58,19.75,0.0,0.0,0.0,0.0,0.0,0.0,2,1221.09,979.08
2020-01-17,1161.4,1219.93,1236.68,1161.4,0.0,5.19,29.1,0.0,0.0,0.0,0.0,0.0,0.0,2,1244.76,998.05
2020-01-20,1226.16,1197.43,1226.16,1165.73,0.0,-1.85,22.83,0.0,0.0,0.0,0.0,0.0,0.0,2,1261.52,1011.49
2020-01-21,1188.11,1149.66,1200.83,1136.01,0.0,-3.99,19.59,0.0,0.0,0.0,0.0,0.0,0.0,0,1271.68,1019.64
2020-01-22,1122.99,1177.06,1189.21,1082.72,0.0,2.38,27.37,0.0,0.0,0.0,0.0,0.0,0.0,0,1281.51,1027.52
2020-01-23,1151.63,1141.24,1195.9,1120.13,0.0,-3.04,21.02,0.0,0.0,0.0,0.0,0.0,0.0,2,1285.54,1030.75
2020-02-03,962.87,952.93,1017.85,947.04,0.0,-16.5,28.63,0.0,0.0,0.0,38.56,62.84,-9.99,2,1268.74,1017.28
2020-02-04,1010.64,1118.65,1118.65,1010.64,0.0,17.39,30.68,0.0,0.0,0.0,45.46,57.05,22.28,2,1267.48,1016.26
2020-02-05,1174.21,1225.65,1282.63,1174.21,0.0,9.57,44.09,0.0,0.0,0.0,57.98,57.36,59.22,2,1273.49,1021.08
2020-02-06,1169.32,1268.45,1287.49,1169.32,0.0,3.49,36.29,1278.43,1123.41,968.39,70.12,61.61,87.14,2,1288.79,1033.35
2020-02-07,1259.26,1302.1,1302.34,1237.37,0.0,2.65,32.27,1302.96,1137.7,972.44,80.06,67.76,104.65,2,1304.59,1046.03
2020-02-10,1313.22,1422.72,1437.68,1313.22,0.0,9.26,41.74,1354.45,1158.5,962.54,85.69,73.74,109.59,2,1327.1,1064.07
2020-02-11,1417.92,1356.67,1436.62,1340.35,0.0,-4.64,36.33,1380.84,1174.01,967.17,84.96,77.48,99.91,2,1344.78,1078.25
2020-02-12,1337.28,1414.31,1431.91,1337.28,0.0,4.25,33.19,1416.26,1191.82,967.38,88.38,81.11,102.92,2,1374.16,1101.8
