time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2020-01-02,1006.87,1021.63,1022.48,1006.87,0.0,2.16,58.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-03,1024.81,1032.04,1033.65,1020.07,0.0,1.02,47.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-06,1026.66,1028.38,1041.29,1022.66,0.0,-0.36,53.72,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-07,1031.3,1039.9,1039.9,1019.53,0.0,1.12,58.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-08,1030.9,1041.43,1061.09,1030.9,0.0,0.15,77.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-09,1050.4,1066.88,1066.88,1050.4,0.0,2.44,76.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-10,1072.48,1054.56,1072.48,1054.56,0.0,-1.16,51.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-13,1058.01,1069.54,1069.54,1039.88,0.0,1.42,45.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-14,1072.44,1089.65,1099.37,1071.65,0.0,1.88,72.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-01-15,1083.41,1065.54,1093.18,1065.54,0.0,-2.21,47.59,0.0,0.0,0.0,0.0,0.0,0.0,2,1166.56,935.35
2020-01-16,1069.05,1084.88,1091.16,1064.88,0.0,1.81,58.73,0.0,0.0,0.0,0.0,0.0,0.0,2,1173.58,940.98
2020-01-17,1087.78,1167.05,1182.58,1087.78,0.0,7.57,189.51,0.0,0.0,0.0,0.0,0.0,0.0,2,1188.57,953.0
2020-01-20,1160.09,1164.62,1187.37,1115.91,0.0,-0.21,139.28,0.0,0.0,0.0,0.0,0.0,0.0,2,1203.69,965.12
2020-01-21,1158.88,1132.06,1170.78,1128.95,0.0,-2.8,94.22,0.0,0.0,0.0,0.0,0.0,0.0,2,1213.92,973.32
2020-01-22,1115.4,1133.04,1148.28,1070.38,0.0,0.09,146.11,0.0,0.0,0.0,0.0,0.0,0.0,2,1224.09,981.48
2020-01-23,1121.35,1093.04,1148.33,1072.31,0.0,-3.53,95.23,0.0,0.0,0.0,0.0,0.0,0.0,2,1226.99,983.8
