time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-07-02,1004.0,1009.28,1011.11,1001.83,0.0,0.93,462.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-03,1009.99,1014.36,1021.55,1008.49,0.0,0.5,493.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-04,1015.79,1009.13,1018.23,1006.63,0.0,-0.52,461.12,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-05,1006.56,983.06,1006.56,981.53,0.0,-2.58,513.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-06,988.01,1002.35,1002.35,974.6,0.0,1.96,549.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-09,996.14,977.4,999.02,977.4,0.0,-2.49,583.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-10,975.42,974.06,978.63,967.08,0.0,-0.34,479.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-11,971.69,975.82,978.19,968.92,0.0,0.18,424.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-12,974.34,990.33,990.93,964.75,0.0,1.49,586.14,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-13,987.99,980.6,991.66,977.63,0.0,-0.98,482.57,0.0,0.0,0.0,0.0,0.0,0.0,2,1100.72,882.56
2012-07-16,978.59,936.0,978.59,935.87,0.0,-4.55,673.54,0.0,0.0,0.0,0.0,0.0,0.0,2,1092.59,876.04
2012-07-17,932.29,941.53,941.53,927.91,0.0,0.59,412.85,0.0,0.0,0.0,0.0,0.0,0.0,2,1084.5,869.55
2012-07-18,940.56,948.27,948.33,928.46,0.0,0.72,423.8,0.0,0.0,0.0,0.0,0.0,0.0,2,1077.75,864.14
2012-07-19,946.59,959.09,965.22,945.66,0.0,1.14,571.42,0.0,0.0,0.0,0.0,0.0,0.0,2,1075.08,862.01
2012-07-20,956.88,950.63,959.26,948.88,0.0,-0.88,634.22,0.0,0.0,0.0,0.0,0.0,0.0,2,1069.34,857.4
2012-07-23,943.48,943.28,947.51,933.19,0.0,-0.77,414.48,0.0,0.0,0.0,0.0,0.0,0.0,2,1065.56,854.37
2012-07-24,938.42,950.55,953.43,938.42,0.0,0.77,368.94,0.0,0.0,0.0,31.46,29.37,35.63,2,1062.95,852.27
2012-07-25,947.95,945.41,955.22,945.19,0.0,-0.54,359.48,0.0,0.0,0.0,30.12,29.62,31.13,2,1059.57,849.57
2012-07-26,946.16,940.14,953.22,940.14,0.0,-0.56,426.43,0.0,0.0,0.0,28.13,29.12,26.13,2,1054.0,845.1
2012-07-27,943.92,939.07,946.01,935.5,0.0,-0.11,380.45,1020.14,968.52,916.9,28.72,28.99,28.19,2,1049.39,841.4
2012-07-30,938.51,922.13,943.99,919.92,0.0,-1.8,378.17,1016.0,964.16,912.33,20.77,26.25,9.82,2,1047.85,840.17
2012-07-31,920.59,905.12,920.59,904.25,0.0,-1.85,363.64,1011.24,958.7,906.16,14.32,22.28,-1.58,2,1043.81,836.93
2012-08-01,904.14,922.4,927.2,904.14,0.0,1.91,348.29,1003.76,954.36,904.96,20.59,21.71,18.35,2,1040.94,834.63
2012-08-02,921.27,917.59,927.19,915.65,0.0,-0.52,336.36,1001.12,951.09,901.06,22.51,21.98,23.56,2,1036.33,830.93
2012-08-03,919.7,937.21,937.21,916.85,0.0,2.14,400.79,992.26,947.83,903.4,36.58,26.85,56.06,2,1034.84,829.74
2012-08-06,932.92,956.8,956.99,932.92,0.0,2.09,585.61,989.35,946.8,904.25,57.6,37.1,98.61,2,1036.34,830.94
2012-08-07,957.26,965.94,965.94,957.26,0.0,0.96,587.74,988.05,946.4,904.75,71.74,48.64,117.92,2,1038.05,832.31
2012-08-08,965.5,964.4,965.5,956.24,0.0,-0.16,594.88,986.14,945.82,905.51,80.33,59.2,122.57,2,1040.16,834.0
2012-08-09,963.06,975.75,975.75,958.65,0.0,1.18,528.7,982.59,945.1,907.6,86.88,68.43,123.79,2,1044.11,837.17
2012-08-10,974.98,972.03,975.36,968.18,0.0,-0.38,458.93,980.7,944.67,908.64,89.52,75.46,117.65,2,1047.77,840.1
2012-08-13,969.12,949.63,969.12,949.59,0.0,-2.31,436.89,981.21,945.35,909.48,80.86,77.26,88.05,2,1050.82,842.55
