time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,2159.63,2175.1,2177.17,2147.06,32.84,1.53,1462.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,2159.95,2178.45,2181.45,2159.44,3.35,0.15,1219.59,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,2178.56,2173.06,2187.37,2167.07,-5.39,-0.25,894.48,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,2166.53,2165.87,2192.0,2155.78,-7.19,-0.33,1234.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,2161.08,2118.87,2169.32,2115.31,-47.0,-2.17,938.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,2110.57,2120.62,2123.0,2091.77,1.75,0.08,839.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,2126.05,2135.36,2142.81,2108.57,14.74,0.7,927.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,2142.71,2132.58,2142.71,2124.2,-2.78,-0.13,758.56,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,2124.63,2096.43,2125.33,2092.04,-36.15,-1.7,782.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,2080.87,2025.99,2086.21,2021.59,-70.44,-3.36,1036.86,0.0,0.0,0.0,0.0,0.0,0.0,2,2366.78,1897.69
2011-01-18,2018.5,2026.08,2026.08,2009.41,0.09,0.0,627.31,0.0,0.0,0.0,0.0,0.0,0.0,2,2350.24,1884.42
2011-01-19,2027.17,2069.12,2069.12,2021.64,43.04,2.12,839.57,0.0,0.0,0.0,0.0,0.0,0.0,2,2338.1,1874.69
2011-01-20,2059.35,2007.1,2061.14,2007.1,-62.02,-3.0,857.28,0.0,0.0,0.0,0.0,0.0,0.0,2,2319.68,1859.92
2011-01-21,2003.31,2028.48,2041.24,1995.59,21.38,1.07,869.7,0.0,0.0,0.0,0.0,0.0,0.0,2,2304.43,1847.7
2011-01-24,2028.93,1994.92,2032.24,1994.63,-33.56,-1.65,719.5,0.0,0.0,0.0,0.0,0.0,0.0,2,2290.67,1836.66
2011-01-25,1994.73,1987.15,1999.23,1973.25,-7.77,-0.39,775.34,0.0,0.0,0.0,0.0,0.0,0.0,2,2275.86,1824.79
2011-01-26,1990.76,2010.84,2010.86,1988.79,23.69,1.19,621.01,0.0,0.0,0.0,14.24,11.28,20.14,2,2262.03,1813.7
2011-01-27,1992.74,2049.11,2049.11,1991.81,38.27,1.9,1018.56,0.0,0.0,0.0,31.88,18.15,59.33,2,2252.77,1806.27
2011-01-28,2042.49,2064.76,2069.44,2042.49,15.65,0.76,810.59,0.0,0.0,0.0,52.96,29.75,99.38,2,2249.25,1803.46
2011-01-31,2064.7,2091.53,2091.53,2063.31,26.77,1.3,855.65,2208.88,2082.57,1956.26,68.64,42.72,120.49,2,2256.53,1809.29
2011-02-01,2093.1,2091.32,2095.96,2083.72,-0.21,-0.01,643.99,2197.49,2078.38,1959.27,77.83,54.42,124.66,2,2263.77,1815.1
2011-02-09,2073.05,2075.12,2097.3,2065.81,-16.2,-0.77,772.03,2183.12,2073.22,1963.31,79.26,62.7,112.38,2,2264.44,1815.63
2011-02-10,2072.21,2127.97,2127.97,2071.21,52.85,2.55,1098.86,2174.23,2070.96,1967.69,86.18,70.53,117.47,2,2277.85,1826.39
2011-02-11,2122.72,2146.36,2152.46,2122.72,18.39,0.86,1218.85,2169.97,2069.99,1970.0,89.65,76.9,115.15,2,2290.94,1836.88
2011-02-14,2167.75,2206.25,2211.01,2167.75,59.89,2.79,1881.17,2189.06,2074.35,1959.65,92.39,82.06,113.03,0,2314.4,1855.69
2011-02-15,2211.57,2202.72,2228.8,2202.18,-3.53,-0.16,1753.62,2204.78,2078.46,1952.14,91.26,85.13,103.51,0,2338.32,1874.87
2011-02-16,2195.27,2236.72,2236.72,2195.27,34.0,1.54,1453.45,2225.71,2083.53,1941.35,94.17,88.14,106.23,0,2363.4,1894.98
2011-02-17,2244.15,2249.46,2252.41,2222.4,12.74,0.57,1530.58,2247.81,2089.37,1930.93,95.59,90.63,105.53,0,2385.64,1912.81
2011-02-18,2237.9,2224.53,2242.88,2215.67,-24.93,-1.11,1235.42,2264.84,2095.78,1926.71,92.08,91.11,94.02,0,2403.37,1927.03
2011-02-21,2213.69,2262.47,2262.47,2213.69,37.94,1.71,1424.7,2288.18,2107.6,1927.02,94.72,92.31,99.54,0,2422.34,1942.24
2011-02-22,2268.86,2203.92,2268.86,2201.96,-58.55,-2.59,1836.02,2297.65,2116.49,1935.34,85.53,90.05,76.48,2,2434.84,1952.26
2011-02-23,2201.59,2212.92,2220.75,2194.92,9.0,0.41,1164.88,2308.13,2123.68,1939.23,77.59,85.9,60.98,2,2450.14,1964.53
2011-02-24,2206.36,2229.65,2231.64,2205.22,16.73,0.76,1124.61,2316.62,2134.81,1953.0,72.14,81.31,53.78,2,2461.43,1973.58
2011-02-25,2225.81,2229.17,2232.87,2203.39,-0.48,-0.02,1096.92,2324.21,2144.84,1965.48,63.53,75.38,39.82,2,2470.62,1980.95
2011-02-28,2236.88,2266.3,2266.3,2221.68,37.13,1.67,1355.15,2331.3,2158.41,1985.53,74.53,75.1,73.4,2,2477.28,1986.29
2011-03-01,2265.62,2276.9,2286.14,2261.7,10.6,0.47,1555.71,2334.12,2172.9,2011.68,79.65,76.62,85.71,2,2485.52,1992.89
2011-03-02,2259.37,2269.36,2269.36,2235.91,-7.54,-0.33,1345.24,2333.92,2185.83,2037.74,80.3,77.84,85.21,2,2489.14,1995.8
2011-03-03,2271.04,2247.97,2282.1,2244.93,-21.39,-0.94,1559.55,2332.04,2195.77,2059.5,72.92,76.2,66.35,2,2488.97,1995.66
2011-03-04,2252.48,2282.78,2282.78,2246.74,34.81,1.55,1564.91,2333.86,2206.67,2079.49,80.72,77.71,86.74,2,2495.44,2000.85
2011-03-07,2294.01,2320.32,2320.32,2292.92,37.54,1.64,2185.71,2342.95,2218.11,2093.27,87.14,80.85,99.73,2,2501.86,2006.0
2011-03-08,2320.49,2326.45,2326.45,2307.72,6.13,0.26,1715.28,2348.88,2229.87,2110.86,91.43,84.38,105.53,2,2515.46,2016.9
2011-03-09,2330.49,2325.96,2330.87,2314.64,-0.49,-0.02,1426.02,2345.33,2242.41,2139.49,93.0,87.25,104.5,2,2528.01,2026.96
2011-03-10,2317.44,2297.03,2320.17,2294.99,-28.93,-1.24,1566.1,2341.88,2250.86,2159.85,85.0,86.5,82.01,0,2535.49,2032.96
2011-03-11,2288.53,2282.64,2309.02,2280.12,-14.39,-0.63,1354.59,2335.88,2257.68,2179.47,73.07,82.03,55.17,2,2541.42,2037.72
2011-03-14,2287.04,2293.6,2293.6,2269.56,10.96,0.48,1301.31,2337.99,2262.04,2186.09,68.97,77.67,51.55,2,2544.45,2040.15
2011-03-15,2281.15,2267.64,2283.11,2221.8,-25.96,-1.13,1862.86,2336.2,2265.29,2194.38,59.99,71.78,36.4,2,2543.43,2039.32
2011-03-16,2269.67,2302.43,2302.98,2266.17,34.79,1.53,1716.25,2339.98,2268.57,2197.17,64.63,69.4,55.11,2,2547.1,2042.27
