time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,4546.24,4561.79,4576.05,4531.94,-4.75,-0.1,179.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,4550.58,4664.28,4672.93,4545.22,102.49,2.25,230.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,4662.59,4633.61,4695.92,4625.33,-30.67,-0.66,200.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,4629.16,4651.86,4664.53,4613.93,18.25,0.39,172.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,4655.3,4669.69,4685.41,4634.22,17.83,0.38,156.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,4692.35,4807.43,4845.6,4685.51,137.74,2.95,368.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,4803.25,4812.3,4813.1,4765.85,4.86,0.1,260.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,4796.27,4851.64,4852.12,4774.31,39.35,0.82,250.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,4867.19,4871.5,4889.93,4823.91,19.86,0.41,246.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,4868.75,4845.16,4899.63,4844.6,-26.34,-0.54,247.28,0.0,0.0,0.0,0.0,0.0,0.0,2,5257.99,4215.86
2012-09-14,4867.13,4830.18,4880.08,4814.64,-14.97,-0.31,230.94,0.0,0.0,0.0,0.0,0.0,0.0,2,5287.78,4239.75
2012-09-17,4830.57,4733.06,4833.73,4731.89,-97.12,-2.01,266.1,0.0,0.0,0.0,0.0,0.0,0.0,2,5295.41,4245.87
2012-09-18,4726.55,4741.05,4772.34,4708.23,7.99,0.17,190.93,0.0,0.0,0.0,0.0,0.0,0.0,2,5307.34,4255.43
