time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,5248.02,5207.26,5276.09,5199.1,-57.89,-1.1,210.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,5230.22,5308.03,5342.19,5229.48,100.77,1.94,341.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,5328.06,5257.4,5349.49,5252.81,-50.63,-0.95,276.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,5235.34,5273.33,5326.11,5220.51,15.93,0.3,269.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,5285.21,5342.91,5344.06,5276.34,69.58,1.32,245.14,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,5383.5,5644.71,5720.08,5383.5,301.8,5.65,832.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,5714.86,5747.67,5819.54,5676.46,102.96,1.82,827.59,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,5694.16,5708.9,5718.51,5649.91,-38.77,-0.67,517.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,5773.52,5808.56,5905.6,5743.75,99.66,1.75,685.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,5797.9,5666.1,5797.9,5666.1,-142.46,-2.45,441.34,0.0,0.0,0.0,0.0,0.0,0.0,2,6101.1,4891.87
2012-09-14,5931.77,5835.76,6008.42,5798.71,169.66,2.99,1054.75,0.0,0.0,0.0,0.0,0.0,0.0,2,6170.86,4947.81
2012-09-17,5840.16,5740.92,5932.64,5740.78,-94.84,-1.63,764.28,0.0,0.0,0.0,0.0,0.0,0.0,2,6218.91,4986.34
2012-09-18,5661.36,5584.49,5661.36,5552.99,-156.43,-2.72,461.74,0.0,0.0,0.0,0.0,0.0,0.0,2,6255.22,5015.45
