time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,3215.1,3207.41,3233.9,3207.41,-16.55,-0.51,610.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,3193.68,3217.25,3236.55,3188.77,9.84,0.31,1009.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,3216.94,3173.53,3220.81,3165.16,-43.73,-1.36,862.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,3166.99,3143.84,3174.03,3133.33,-29.69,-0.94,967.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,3147.57,3173.08,3175.04,3138.67,29.24,0.93,809.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,3193.21,3312.3,3343.66,3193.21,139.22,4.39,2336.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3305.66,3301.51,3322.5,3287.13,-10.79,-0.33,1351.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3288.21,3276.25,3288.21,3246.55,-25.26,-0.76,924.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3293.91,3270.73,3306.87,3244.12,-5.53,-0.17,924.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3263.97,3248.55,3277.63,3248.5,-22.18,-0.68,725.47,0.0,0.0,0.0,0.0,0.0,0.0,2,3588.01,2876.88
2012-09-14,3275.62,3277.42,3302.52,3257.36,28.87,0.89,1179.11,0.0,0.0,0.0,0.0,0.0,0.0,2,3595.79,2883.11
2012-09-17,3270.12,3207.22,3274.91,3205.26,-70.21,-2.14,869.77,0.0,0.0,0.0,0.0,0.0,0.0,2,3594.67,2882.21
2012-09-18,3195.22,3179.06,3203.6,3169.79,-28.16,-0.88,626.63,0.0,0.0,0.0,0.0,0.0,0.0,2,3595.29,2882.71
2012-09-19,3182.94,3185.47,3198.73,3171.02,6.42,0.2,739.5,0.0,0.0,0.0,0.0,0.0,0.0,2,3599.91,2886.41
2012-09-20,3174.26,3135.82,3174.26,3130.82,-49.65,-1.56,857.73,0.0,0.0,0.0,0.0,0.0,0.0,2,3595.77,2883.1
2012-09-21,3126.71,3132.02,3157.7,3113.37,-3.8,-0.12,718.47,0.0,0.0,0.0,0.0,0.0,0.0,2,3575.76,2867.05
2012-09-24,3110.85,3151.99,3164.3,3100.07,19.97,0.64,849.94,0.0,0.0,0.0,21.41,29.93,4.36,2,3559.16,2853.74
2012-09-25,3144.21,3152.63,3175.78,3141.09,0.64,0.02,621.67,0.0,0.0,0.0,22.92,27.59,13.59,1,3545.44,2842.74
2012-09-26,3148.56,3133.15,3167.82,3127.3,-19.48,-0.62,592.66,0.0,0.0,0.0,20.73,25.3,11.58,1,3530.17,2830.5
2012-09-27,3138.26,3244.06,3278.13,3136.84,110.91,3.54,1629.36,3321.63,3206.16,3090.7,40.77,30.46,61.4,2,3529.67,2830.1
2012-09-28,3214.63,3279.55,3288.57,3211.88,35.49,1.09,1453.1,3329.59,3209.77,3089.96,58.92,39.95,96.87,2,3529.91,2830.29
2012-10-08,3275.9,3253.59,3303.32,3236.52,-25.96,-0.79,834.24,3332.9,3211.59,3090.28,64.46,48.12,97.14,2,3535.05,2834.41
2012-10-09,3271.5,3324.88,3343.65,3271.5,71.29,2.19,1366.43,3348.63,3219.16,3089.68,73.74,56.66,107.9,2,3551.24,2847.39
2012-10-10,3317.77,3315.8,3324.42,3299.31,-9.08,-0.27,784.35,3358.91,3227.75,3096.6,78.68,64.0,108.04,2,3565.71,2858.99
2012-10-11,3305.79,3293.82,3313.74,3282.33,-21.98,-0.66,879.93,3365.44,3233.79,3102.14,78.97,68.99,98.93,2,3583.25,2873.05
2012-10-12,3306.7,3309.06,3342.22,3283.8,15.25,0.46,971.51,3364.9,3233.63,3102.36,80.65,72.88,96.2,2,3602.9,2888.81
2012-10-15,3317.55,3310.16,3329.17,3287.23,1.1,0.03,708.93,3366.27,3234.06,3101.85,81.94,75.9,94.03,2,3620.45,2902.89
2012-10-16,3308.96,3312.78,3338.06,3301.67,2.61,0.08,885.0,3371.35,3235.89,3100.42,82.98,78.26,92.43,2,3638.23,2917.14
2012-10-17,3326.12,3314.6,3334.18,3286.79,1.83,0.06,969.25,3377.1,3238.08,3099.06,81.31,79.28,85.37,2,3658.37,2933.29
2012-10-18,3321.84,3348.36,3358.18,3310.81,33.76,1.02,1144.9,3390.17,3243.07,3095.97,84.85,81.13,92.28,2,3669.95,2942.57
2012-10-19,3344.27,3346.05,3357.34,3338.75,-2.32,-0.07,750.54,3399.72,3246.5,3093.28,85.23,82.5,90.7,2,3677.33,2948.49
2012-10-22,3331.26,3369.74,3378.57,3327.93,23.69,0.71,911.48,3415.69,3254.63,3093.57,87.1,84.03,93.23,2,3690.22,2958.83
2012-10-23,3370.73,3321.86,3378.41,3318.92,-47.88,-1.42,870.42,3421.45,3261.77,3102.09,71.76,79.94,55.39,2,3689.89,2958.56
2012-10-24,3311.84,3309.72,3332.82,3305.31,-12.14,-0.37,696.52,3424.95,3267.98,3111.01,56.95,72.28,26.31,2,3689.21,2958.02
2012-10-25,3306.89,3284.11,3321.87,3281.88,-25.61,-0.77,696.61,3420.24,3275.4,3130.56,38.74,61.1,-5.98,2,3688.13,2957.15
2012-10-26,3285.59,3237.12,3292.11,3220.37,-46.99,-1.43,827.76,3411.23,3280.65,3150.08,29.35,50.52,-12.97,2,3680.15,2950.75
2012-10-29,3230.03,3204.84,3238.9,3193.27,-32.28,-1.0,659.36,3405.2,3283.29,3161.39,21.65,40.9,-16.84,2,3668.46,2941.38
2012-10-30,3207.0,3210.85,3233.78,3194.34,6.01,0.19,779.45,3397.84,3286.2,3174.57,17.6,33.13,-13.47,2,3657.14,2932.31
