time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,6917.73,6978.17,7013.86,6907.01,44.47,0.64,146.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,7006.25,7161.06,7176.25,7006.23,182.89,2.62,207.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,7279.48,7138.26,7297.8,7118.3,-22.8,-0.32,197.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,7114.18,7124.66,7147.73,7069.05,-13.6,-0.19,139.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,7130.95,7132.65,7178.63,7077.43,7.98,0.11,159.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,7191.96,7409.66,7504.85,7187.03,277.02,3.88,352.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,7421.07,7400.15,7468.61,7356.94,-9.51,-0.13,265.31,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,7374.1,7353.94,7374.1,7299.65,-46.21,-0.62,180.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,7386.87,7391.66,7447.37,7340.9,37.72,0.51,189.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,7390.03,7317.52,7404.87,7316.36,-74.14,-1.0,170.59,0.0,0.0,0.0,0.0,0.0,0.0,2,8037.26,6444.29
2012-09-14,7355.04,7367.29,7397.93,7280.84,49.77,0.68,194.81,0.0,0.0,0.0,0.0,0.0,0.0,2,8080.45,6478.92
2012-09-17,7367.75,7197.28,7367.75,7196.85,-170.02,-2.31,197.05,0.0,0.0,0.0,0.0,0.0,0.0,2,8084.47,6482.14
2012-09-18,7174.06,7126.88,7207.08,7111.26,-70.39,-0.98,144.66,0.0,0.0,0.0,0.0,0.0,0.0,2,8083.21,6481.13
2012-09-19,7124.5,7028.53,7143.28,6965.36,-98.36,-1.38,163.6,0.0,0.0,0.0,0.0,0.0,0.0,2,8072.54,6472.57
2012-09-20,6988.9,6870.39,6989.19,6866.57,-158.13,-2.25,178.52,0.0,0.0,0.0,0.0,0.0,0.0,2,8043.43,6449.23
2012-09-21,6852.44,6875.59,6925.91,6841.43,5.19,0.08,145.36,0.0,0.0,0.0,0.0,0.0,0.0,2,7984.14,6401.7
2012-09-24,6821.0,6933.92,6964.89,6787.65,58.33,0.85,173.05,0.0,0.0,0.0,19.89,30.43,-1.2,2,7932.39,6360.21
2012-09-25,6925.58,7016.09,7056.08,6901.68,82.17,1.19,140.32,0.0,0.0,0.0,25.59,28.82,19.15,1,7894.89,6330.14
2012-09-26,7013.06,6908.49,7067.24,6895.67,-107.6,-1.53,144.8,0.0,0.0,0.0,23.66,27.1,16.79,2,7841.26,6287.14
2012-09-27,6894.49,7081.05,7112.97,6889.8,172.56,2.5,210.92,7496.46,7140.66,6784.86,32.63,28.94,40.02,2,7815.01,6266.09
2012-09-28,7040.94,7243.81,7249.07,7039.93,162.76,2.3,229.22,7504.28,7153.94,6803.61,54.71,37.53,89.06,2,7801.31,6255.1
2012-10-08,7240.07,7120.26,7258.86,7087.4,-123.55,-1.71,158.99,7502.52,7151.9,6801.28,60.0,45.02,89.96,2,7792.76,6248.25
2012-10-09,7151.31,7265.29,7273.09,7150.93,145.03,2.04,238.24,7512.24,7158.26,6804.27,72.8,54.28,109.83,2,7808.12,6260.56
2012-10-10,7258.53,7296.55,7317.49,7228.06,31.26,0.43,252.4,7525.47,7166.85,6808.23,80.55,63.04,115.57,2,7837.87,6284.42
2012-10-11,7265.03,7240.2,7313.38,7235.42,-56.35,-0.77,310.94,7531.86,7172.23,6812.59,82.17,69.41,107.68,2,7878.92,6317.33
2012-10-12,7254.24,7232.98,7317.74,7182.77,-7.22,-0.1,221.15,7507.62,7163.39,6819.17,81.51,73.45,97.64,2,7918.59,6349.14
2012-10-15,7290.33,7334.97,7350.5,7275.31,101.99,1.41,256.4,7496.47,7160.13,6823.8,86.55,77.81,104.02,2,7963.11,6384.83
2012-10-16,7334.75,7463.41,7552.46,7317.03,128.44,1.75,362.55,7517.58,7165.61,6813.63,86.55,80.73,98.21,2,8012.76,6424.64
2012-10-17,7464.25,7454.15,7497.45,7394.6,-9.25,-0.12,315.06,7529.67,7168.73,6807.79,84.64,82.03,89.86,2,8073.33,6473.21
2012-10-18,7466.92,7556.41,7621.06,7461.87,102.26,1.37,413.32,7574.81,7180.68,6786.55,85.72,83.26,90.64,2,8126.09,6515.51
2012-10-19,7603.53,7557.77,7649.4,7530.2,1.36,0.02,278.26,7610.26,7190.2,6770.14,84.35,83.63,85.81,2,8160.94,6543.46
2012-10-22,7538.29,7530.52,7561.11,7458.19,-27.25,-0.36,253.87,7652.39,7206.86,6761.34,81.08,82.78,77.68,2,8206.48,6579.97
2012-10-23,7528.06,7348.97,7528.06,7344.31,-181.55,-2.41,264.73,7666.03,7217.97,6769.9,65.92,77.16,43.45,2,8215.77,6587.42
2012-10-24,7341.75,7357.82,7387.56,7334.72,8.85,0.12,228.23,7677.61,7234.43,6791.25,56.45,70.26,28.85,2,8222.57,6592.87
2012-10-25,7357.88,7322.37,7402.53,7303.65,-35.45,-0.48,233.4,7668.62,7257.03,6845.44,41.83,60.78,3.92,2,8231.69,6600.18
2012-10-26,7336.54,7193.23,7353.47,7171.02,-129.15,-1.76,233.61,7647.23,7272.91,6898.59,29.43,50.33,-12.36,2,8227.28,6596.65
2012-10-29,7171.69,7200.43,7214.14,7102.38,7.2,0.1,178.82,7628.98,7286.24,6943.5,25.6,42.09,-7.38,2,8212.34,6584.67
2012-10-30,7201.25,7227.89,7275.49,7187.04,27.46,0.38,182.86,7617.93,7296.83,6975.72,24.71,36.3,1.55,2,8186.2,6563.71
2012-10-31,7215.53,7249.56,7249.56,7193.83,21.67,0.3,245.35,7582.64,7313.88,7045.12,25.44,32.68,10.97,2,8163.49,6545.5
2012-11-01,7254.23,7374.31,7389.0,7248.72,124.76,1.72,241.04,7576.05,7328.54,7081.04,36.72,34.03,42.11,2,8143.28,6529.3
2012-11-02,7374.68,7409.83,7419.12,7353.36,35.52,0.48,375.5,7583.56,7336.85,7090.13,48.56,38.87,67.93,2,8126.86,6516.13
2012-11-05,7392.21,7314.39,7413.89,7291.99,-95.44,-1.29,367.64,7572.85,7346.55,7120.26,54.68,44.14,75.77,2,8102.87,6496.89
2012-11-06,7300.96,7170.31,7301.05,7102.06,-144.08,-1.97,322.92,7578.47,7341.8,7105.14,43.63,43.97,42.95,2,8083.04,6480.99
2012-11-07,7151.56,7165.25,7185.65,7119.21,-5.07,-0.07,323.09,7583.56,7335.24,7086.92,35.73,41.22,24.74,2,8061.66,6463.85
2012-11-08,7117.34,7088.53,7143.74,7051.17,-76.72,-1.07,364.43,7595.61,7327.65,7059.7,27.2,36.55,8.51,2,8035.7,6443.04
2012-11-09,7071.32,7054.5,7103.63,7035.48,-34.02,-0.48,268.44,7609.61,7318.73,7027.85,19.79,30.96,-2.56,2,8020.31,6430.7
2012-11-12,7055.54,6945.68,7075.3,6896.82,-108.83,-1.54,297.17,7632.25,7299.27,6966.28,16.31,26.08,-3.23,2,7992.03,6408.02
2012-11-13,6940.92,6848.06,6940.92,6814.28,-97.62,-1.41,284.79,7645.88,7268.5,6891.11,12.74,21.63,-5.06,2,7949.87,6374.22
2012-11-14,6848.91,6926.37,6926.37,6820.03,78.31,1.14,218.19,7637.27,7242.11,6846.95,14.67,19.31,5.38,2,7913.99,6345.45
2012-11-15,6886.75,6830.95,6901.16,6819.79,-95.42,-1.38,211.73,7611.97,7205.84,6799.71,10.71,16.44,-0.77,2,7853.68,6297.09
2012-11-16,6819.21,6708.25,6821.76,6654.79,-122.7,-1.8,212.57,7590.53,7163.36,6736.19,9.89,14.26,1.16,1,7775.8,6234.65
2012-11-19,6698.83,6458.38,6698.83,6325.63,-249.87,-3.72,321.47,7603.13,7109.75,6616.38,11.74,13.42,8.38,1,7680.79,6158.47
2012-11-20,6420.5,6440.43,6518.09,6414.88,-17.95,-0.28,234.33,7624.07,7064.33,6504.58,12.51,13.12,11.29,1,7599.77,6093.51
2012-11-21,6437.73,6443.23,6493.56,6276.44,2.81,0.04,262.82,7622.65,7018.6,6414.55,15.06,13.76,17.65,1,7519.63,6029.25
2012-11-22,6267.78,6301.77,6329.31,6208.64,-141.47,-2.2,330.68,7629.97,6967.57,6305.17,13.62,13.72,13.43,1,7432.3,5959.23
2012-11-23,6256.77,6391.52,6436.07,6256.77,89.76,1.42,351.03,7626.43,6927.48,6228.54,17.41,14.95,22.32,1,7358.71,5900.22
2012-11-26,6358.85,6259.93,6365.73,6242.23,-131.59,-2.06,199.27,7624.71,6880.46,6136.21,13.99,14.63,12.71,1,7282.59,5839.19
2012-11-27,6236.0,6227.87,6265.9,6213.81,-32.06,-0.51,267.5,7608.23,6830.46,6052.68,10.25,13.17,4.41,1,7213.75,5783.99
2012-11-28,6202.02,6147.25,6210.5,6128.75,-80.62,-1.29,287.34,7582.19,6775.34,5968.49,7.72,11.35,0.46,1,7127.26,5714.65
2012-11-29,6144.64,6133.8,6215.1,6121.4,-13.45,-0.22,266.22,7517.17,6713.31,5909.46,5.86,9.52,-1.45,1,7049.88,5652.61
2012-11-30,6131.31,6119.7,6143.34,6049.72,-14.1,-0.23,252.52,7425.33,6648.81,5872.28,8.89,9.31,8.05,1,6984.55,5600.23
2012-12-03,6085.86,5714.29,6085.86,5709.07,-405.41,-6.62,353.54,7383.33,6568.8,5754.28,6.15,8.26,1.93,1,6901.96,5534.0
2012-12-04,5632.2,5775.75,5817.84,5591.73,61.46,1.08,405.18,7334.2,6499.08,5663.95,11.36,9.29,15.51,1,6828.18,5474.84
2012-12-05,5721.77,5858.02,5942.88,5651.41,82.28,1.42,489.84,7254.55,6433.71,5612.88,18.09,12.22,29.82,1,6763.22,5422.76
2012-12-06,5842.67,5812.51,5858.76,5650.03,-45.51,-0.78,403.84,7175.46,6369.91,5564.36,21.57,15.34,34.02,1,6708.91,5379.22
2012-12-07,5834.62,5938.98,5955.57,5823.19,126.47,2.18,504.56,7075.63,6314.14,5552.64,31.55,20.74,53.16,2,6658.68,5338.94
2012-12-10,5874.84,6015.54,6040.68,5825.94,76.56,1.29,542.37,6981.27,6267.63,5553.99,43.69,28.39,74.3,2,6631.55,5317.19
2012-12-11,5979.06,6029.87,6095.58,5971.28,14.33,0.24,413.59,6894.94,6226.72,5558.5,52.56,36.45,84.78,2,6609.57,5299.57
2012-12-12,6056.29,6081.98,6082.8,5971.35,52.11,0.86,288.27,6772.44,6184.5,5596.56,64.66,45.85,102.29,2,6602.33,5293.76
2012-12-13,6060.37,5973.38,6123.54,5964.53,-108.6,-1.79,342.79,6655.1,6141.62,5628.15,67.03,52.91,95.27,2,6584.52,5279.48
2012-12-14,5937.05,6107.1,6130.94,5895.92,133.73,2.24,541.83,6554.36,6111.56,5668.77,76.55,60.79,108.06,2,6583.12,5278.36
2012-12-17,6100.83,6262.21,6312.14,6049.07,155.1,2.54,621.68,6521.48,6101.76,5682.03,81.85,67.81,109.93,2,6643.94,5327.13
2012-12-18,6256.8,6311.64,6367.09,6221.64,49.43,0.79,550.29,6497.65,6095.32,5692.98,85.32,73.65,108.67,2,6703.43,5374.82
2012-12-19,6297.02,6410.76,6439.58,6291.3,99.12,1.57,468.1,6490.62,6093.69,5696.76,88.66,78.65,108.67,0,6764.78,5424.01
2012-12-20,6391.93,6353.16,6393.2,6272.39,-57.6,-0.9,427.02,6499.17,6096.26,5693.36,87.74,81.68,99.87,0,6824.79,5472.13
2012-12-21,6340.15,6308.74,6378.94,6288.39,-44.42,-0.7,402.86,6484.37,6092.12,5699.88,83.81,82.39,86.64,0,6865.84,5505.04
2012-12-24,6271.17,6158.83,6271.84,6097.99,-149.9,-2.38,384.95,6473.09,6087.07,5701.05,71.99,78.92,58.13,2,6881.74,5517.79
2012-12-25,6134.51,6261.14,6307.95,6110.01,102.31,1.66,485.22,6477.45,6088.73,5700.02,70.39,76.08,59.0,2,6907.41,5538.38
2012-12-26,6254.6,6354.47,6358.44,6250.61,93.33,1.49,524.58,6504.19,6099.09,5693.99,75.04,75.73,73.65,2,6937.66,5562.63
2012-12-27,6375.4,6436.35,6501.47,6319.12,81.89,1.29,593.04,6545.15,6114.22,5683.29,78.56,76.68,82.33,2,6989.05,5603.83
2012-12-28,6430.82,6524.63,6554.64,6430.82,88.27,1.37,426.59,6601.09,6134.47,5667.84,83.52,78.96,92.64,2,7035.39,5640.99
2012-12-31,6532.73,6558.21,6567.97,6435.03,33.59,0.51,457.24,6636.25,6176.66,5717.08,88.32,82.08,100.8,2,7068.25,5667.34
2013-01-04,6592.07,6537.68,6599.02,6460.83,-20.54,-0.31,512.59,6661.23,6214.76,5768.29,88.13,84.1,96.21,2,7093.34,5687.45
2013-01-07,6517.14,6532.12,6534.1,6474.51,-5.55,-0.08,456.51,6683.76,6248.46,5813.17,87.64,85.28,92.36,2,7106.81,5698.25
2013-01-08,6518.0,6695.75,6704.49,6517.12,163.62,2.5,564.87,6721.21,6292.63,5864.05,91.28,87.28,99.28,2,7144.84,5728.74
2013-01-09,6696.7,6833.97,6857.35,6694.62,138.22,2.06,549.28,6794.84,6337.38,5879.92,93.14,89.23,100.96,2,7203.14,5775.49
2013-01-10,6825.0,6811.31,6892.29,6773.5,-22.65,-0.33,388.96,6853.76,6377.16,5900.57,91.22,89.9,93.87,0,7275.56,5833.56
2013-01-11,6821.92,6708.78,6847.34,6688.65,-102.54,-1.51,444.39,6880.58,6411.11,5941.64,83.48,87.76,74.92,0,7325.25,5873.4
2013-01-14,6650.7,6817.61,6825.0,6588.91,108.83,1.62,515.31,6923.68,6447.89,5972.1,83.59,86.37,78.03,0,7376.66,5914.62
2013-01-15,6813.33,6819.97,6848.97,6746.33,2.36,0.03,567.26,6939.52,6490.22,6040.93,83.79,85.51,80.35,2,7419.24,5948.76
2013-01-16,6747.89,6770.73,6805.64,6688.16,-49.24,-0.72,515.79,6952.17,6523.4,6094.63,79.8,83.6,72.19,2,7446.56,5970.67
2013-01-17,6748.21,6761.79,6847.39,6729.94,-8.94,-0.13,382.27,6971.55,6548.38,6125.22,76.12,81.11,66.14,2,7469.16,5988.78
2013-01-18,6771.15,6776.87,6805.82,6652.02,15.07,0.22,458.16,6991.33,6571.64,6151.96,73.83,78.68,64.11,2,7495.71,6010.07
2013-01-21,6765.59,6641.28,6765.59,6628.96,-135.59,-2.0,468.61,6997.17,6583.17,6169.17,54.97,70.78,23.36,2,7507.82,6019.79
2013-01-22,6613.65,6561.43,6613.65,6433.11,-79.85,-1.2,486.23,6994.18,6593.58,6192.99,45.96,62.51,12.87,2,7492.92,6007.83
2013-01-23,6512.85,6603.35,6603.94,6481.73,41.92,0.64,425.96,6987.0,6608.31,6229.63,44.29,56.43,20.0,2,7467.32,5987.31
2013-01-24,6581.54,6475.37,6619.29,6454.91,-127.98,-1.94,473.21,6948.99,6624.14,6299.29,32.91,48.59,1.55,2,7430.03,5957.41
2013-01-25,6414.39,6336.54,6417.93,6323.91,-138.83,-2.14,350.47,6937.2,6627.91,6318.62,22.74,39.98,-11.72,2,7388.71,5924.28
2013-01-28,6308.67,6227.39,6337.5,6164.7,-109.15,-1.72,536.77,6957.16,6621.56,6285.96,18.22,32.73,-10.78,2,7323.19,5871.75
2013-01-29,6197.22,6271.94,6273.57,6122.49,44.55,0.72,519.42,6973.81,6613.34,6252.86,19.02,28.16,0.75,2,7262.36,5822.98
2013-01-30,6255.27,6324.29,6350.41,6239.05,52.35,0.83,512.03,6983.68,6603.32,6222.95,22.52,26.28,15.01,1,7212.81,5783.24
2013-01-31,6324.06,6243.08,6328.56,6223.24,-81.21,-1.28,339.28,6998.94,6587.56,6176.18,21.27,24.61,14.58,1,7155.23,5737.08
2013-02-01,6226.09,6319.93,6330.75,6214.25,76.85,1.23,431.78,7003.97,6576.67,6149.38,27.43,25.55,31.18,2,7104.51,5696.41
2013-02-04,6319.98,6231.36,6343.53,6204.22,-88.57,-1.4,446.83,7014.55,6561.64,6108.72,25.59,25.56,25.64,2,7059.01,5659.93
2013-02-05,6212.42,6484.16,6484.72,6198.29,252.8,4.06,458.44,7000.82,6551.06,6101.29,41.33,30.82,62.34,2,7050.43,5653.05
2013-02-06,6487.93,6462.3,6494.86,6431.64,-21.86,-0.34,349.49,6964.3,6532.47,6100.65,57.97,39.87,94.17,2,7034.78,5640.5
2013-02-07,6449.24,6501.34,6544.94,6410.47,39.04,0.6,324.76,6929.48,6516.98,6104.47,68.54,49.42,106.77,2,7037.66,5642.81
2013-02-08,6488.23,6542.21,6564.96,6486.67,40.87,0.63,326.12,6911.94,6508.65,6105.35,77.31,58.72,114.5,2,7060.49,5661.11
2013-02-18,6565.49,6413.31,6571.73,6389.62,-128.9,-1.97,393.84,6867.56,6488.43,6109.3,70.73,62.72,86.75,2,7081.13,5677.66
2013-02-19,6397.98,6387.5,6450.8,6373.63,-25.81,-0.4,514.1,6815.99,6466.81,6117.63,64.05,63.16,65.81,2,7093.95,5687.94
2013-02-20,6389.42,6476.21,6478.39,6320.67,88.71,1.39,446.04,6772.4,6452.08,6131.77,67.5,64.61,73.29,2,7110.82,5701.46
2013-02-21,6407.41,6505.95,6604.85,6373.98,29.74,0.46,623.72,6727.98,6439.29,6150.6,70.23,66.48,77.72,2,7139.99,5724.86
2013-02-22,6506.1,6663.93,6701.01,6504.78,157.98,2.43,628.67,6699.19,6433.64,6168.09,77.69,70.22,92.64,2,7178.18,5755.48
2013-02-25,6669.91,6578.9,6677.2,6558.7,-85.03,-1.28,428.36,6687.57,6430.52,6173.47,74.43,71.62,80.04,2,7216.75,5786.41
2013-02-26,6556.08,6424.62,6633.51,6404.54,-154.28,-2.35,445.14,6673.62,6423.68,6173.75,58.73,67.32,41.54,2,7210.15,5781.11
2013-02-27,6413.69,6381.86,6441.45,6330.78,-42.76,-0.67,321.11,6648.98,6412.61,6176.24,44.51,59.72,14.1,2,7201.22,5773.95
2013-02-28,6391.22,6411.03,6418.67,6294.62,29.17,0.46,362.99,6644.0,6409.39,6174.78,39.22,52.89,11.9,2,7191.19,5765.91
2013-03-01,6399.94,6423.12,6450.31,6348.76,12.1,0.19,344.32,6645.98,6413.72,6181.47,36.69,47.49,15.09,2,7177.97,5755.31
2013-03-04,6409.2,6387.12,6527.72,6356.65,-36.0,-0.56,458.81,6638.24,6421.71,6205.18,32.05,42.34,11.46,2,7175.07,5752.98
2013-03-05,6414.05,6527.71,6534.62,6414.05,140.59,2.2,456.87,6644.24,6434.5,6224.75,40.48,41.72,38.01,2,7190.63,5765.46
2013-03-06,6548.93,6676.05,6676.05,6523.5,148.34,2.27,569.6,6680.11,6452.08,6224.06,58.27,47.24,80.35,2,7212.81,5783.25
2013-03-07,6661.75,6732.68,6876.67,6661.75,56.64,0.85,730.78,6714.49,6476.56,6238.64,63.94,52.81,86.2,2,7237.98,5803.42
2013-03-08,6737.66,6636.3,6761.22,6629.7,-96.39,-1.43,390.96,6728.61,6492.38,6256.15,62.19,55.93,74.71,2,7234.91,5800.97
2013-03-11,6605.33,6582.3,6621.83,6528.03,-54.0,-0.81,280.36,6716.24,6509.93,6303.62,57.94,56.6,60.61,2,7235.29,5801.27
2013-03-12,6580.31,6483.01,6638.69,6399.37,-99.29,-1.51,370.73,6716.21,6509.87,6303.54,49.41,54.21,39.83,2,7241.77,5806.47
2013-03-13,6463.28,6474.29,6520.25,6410.16,-8.72,-0.13,283.67,6716.32,6510.47,6304.62,40.87,49.76,23.09,2,7252.03,5814.69
2013-03-14,6443.65,6415.41,6499.0,6391.79,-58.87,-0.91,261.57,6716.15,6506.18,6296.2,31.01,43.51,6.02,2,7252.52,5815.08
2013-03-15,6383.79,6359.83,6447.84,6306.56,-55.58,-0.87,341.98,6715.65,6497.06,6278.47,23.79,36.94,-2.51,2,7245.49,5809.45
2013-03-18,6343.84,6223.4,6365.75,6212.3,-136.44,-2.15,365.96,6734.54,6487.56,6240.59,16.42,30.1,-10.94,2,7227.32,5794.88
2013-03-19,6210.66,6163.71,6252.37,6095.42,-59.69,-0.96,322.52,6758.27,6476.37,6194.47,13.86,24.68,-7.79,2,7186.91,5762.48
2013-03-20,6157.83,6323.09,6335.58,6145.37,159.38,2.59,344.36,6758.43,6468.72,6179.0,20.64,23.33,15.24,2,7147.74,5731.07
