time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,730.92,735.96,738.17,725.91,10.54,1.45,183.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,732.76,732.93,736.88,728.81,-3.03,-0.41,168.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,730.67,728.93,736.34,726.97,-4.0,-0.55,171.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,728.72,727.3,736.52,723.39,-1.63,-0.22,183.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,726.7,703.44,726.94,701.72,-23.86,-3.28,164.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,701.29,708.7,708.7,698.31,5.26,0.75,129.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,711.33,712.74,717.19,703.5,4.04,0.57,134.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,713.01,711.3,716.49,710.0,-1.44,-0.2,84.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,711.79,700.94,712.08,700.54,-10.36,-1.46,123.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,696.92,663.45,697.85,663.02,-37.49,-5.35,145.4,0.0,0.0,0.0,0.0,0.0,0.0,2,790.95,634.19
2011-01-18,660.11,664.69,668.86,657.43,1.24,0.19,80.86,0.0,0.0,0.0,0.0,0.0,0.0,2,783.04,627.84
2011-01-19,665.55,681.88,682.43,663.4,17.19,2.59,98.19,0.0,0.0,0.0,0.0,0.0,0.0,2,777.37,623.3
2011-01-20,688.96,665.73,688.96,665.73,-16.15,-2.37,181.08,0.0,0.0,0.0,0.0,0.0,0.0,2,770.36,617.68
2011-01-21,664.7,671.66,677.59,658.29,5.93,0.89,152.77,0.0,0.0,0.0,0.0,0.0,0.0,2,764.18,612.72
2011-01-24,671.94,663.53,675.91,663.42,-8.13,-1.21,119.84,0.0,0.0,0.0,0.0,0.0,0.0,2,759.75,609.17
2011-01-25,660.74,648.78,663.55,646.48,-14.75,-2.22,103.02,0.0,0.0,0.0,0.0,0.0,0.0,2,753.1,603.84
2011-01-26,648.65,662.98,663.32,648.6,14.2,2.19,80.67,0.0,0.0,0.0,15.32,13.47,19.01,2,747.58,599.41
2011-01-27,656.93,673.34,677.18,651.85,10.36,1.56,155.91,0.0,0.0,0.0,27.64,18.19,46.54,2,743.36,596.03
2011-01-28,673.62,678.67,681.64,670.83,5.33,0.79,129.61,0.0,0.0,0.0,43.69,26.69,77.68,2,740.89,594.05
2011-01-31,679.77,691.73,692.75,679.44,13.06,1.92,143.65,744.95,691.43,637.92,61.72,38.37,108.43,2,744.03,596.57
2011-02-01,692.71,695.35,700.59,690.81,3.62,0.52,141.43,738.94,689.4,639.87,71.25,49.33,115.1,2,747.44,599.29
2011-02-09,690.87,688.91,698.78,685.26,-6.44,-0.93,137.33,732.54,687.2,641.87,73.64,57.43,106.05,2,748.22,599.92
2011-02-10,687.09,704.06,705.1,686.89,15.15,2.2,158.97,727.88,685.96,644.03,81.84,65.57,114.37,2,752.47,603.33
2011-02-11,703.9,722.24,722.7,702.92,18.18,2.58,289.21,726.68,685.71,644.73,87.69,72.94,117.18,2,758.08,607.83
2011-02-14,724.07,733.47,737.51,724.07,11.23,1.55,293.41,732.63,687.21,641.78,90.28,78.72,113.39,2,765.85,614.06
2011-02-15,733.5,737.86,746.94,733.11,4.39,0.6,284.33,738.42,688.67,638.91,90.34,82.59,105.82,0,775.74,621.99
2011-02-16,738.59,746.27,746.27,736.62,8.41,1.14,146.03,745.22,690.34,635.46,93.26,86.15,107.49,0,784.98,629.4
2011-02-17,752.9,764.11,765.08,750.65,17.84,2.39,315.3,756.11,692.98,629.86,95.13,89.14,107.11,0,795.06,637.48
2011-02-18,768.1,753.11,771.57,752.45,-11.0,-1.44,347.2,763.91,695.59,627.27,89.63,89.3,90.27,0,803.32,644.1
2011-02-21,752.63,773.77,773.77,751.05,20.66,2.74,311.66,775.68,701.11,626.53,93.08,90.56,98.12,0,812.43,651.4
2011-02-22,780.77,758.41,783.05,751.69,-15.36,-1.99,431.78,782.38,705.79,629.21,86.85,89.33,81.89,0,819.43,657.02
2011-02-23,751.92,766.44,766.53,751.92,8.03,1.06,259.95,790.12,710.02,629.93,84.32,87.66,77.65,0,828.03,663.92
