time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1776.07,1775.77,1785.09,1773.43,-5.17,-0.29,1195.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1770.52,1774.99,1786.7,1767.44,-0.78,-0.04,1748.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1773.62,1759.23,1778.07,1754.72,-15.76,-0.89,1586.78,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1755.21,1744.7,1759.1,1738.62,-14.52,-0.83,1717.56,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1746.14,1755.56,1756.71,1739.59,10.85,0.62,1571.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1763.55,1816.55,1832.2,1763.55,60.99,3.47,3876.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1811.61,1815.48,1820.09,1805.74,-1.07,-0.06,2518.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1808.06,1801.36,1808.06,1787.58,-14.13,-0.78,1901.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1807.43,1797.16,1813.13,1783.1,-4.2,-0.23,1969.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1793.8,1788.33,1801.2,1787.68,-8.82,-0.49,1870.56,0.0,0.0,0.0,0.0,0.0,0.0,2,1979.03,1586.79
2012-09-14,1798.05,1799.64,1809.53,1789.48,11.3,0.63,2115.28,0.0,0.0,0.0,0.0,0.0,0.0,2,1981.68,1588.92
2012-09-17,1796.18,1765.17,1797.43,1763.09,-34.47,-1.92,1786.54,0.0,0.0,0.0,0.0,0.0,0.0,2,1980.59,1588.04
2012-09-18,1761.12,1751.43,1763.34,1746.64,-13.73,-0.78,1238.98,0.0,0.0,0.0,0.0,0.0,0.0,2,1979.73,1587.35
2012-09-19,1753.8,1754.36,1759.92,1745.32,2.93,0.17,1308.83,0.0,0.0,0.0,0.0,0.0,0.0,2,1980.8,1588.21
2012-09-20,1747.57,1727.58,1747.57,1723.88,-26.78,-1.53,1591.81,0.0,0.0,0.0,0.0,0.0,0.0,2,1977.69,1585.72
2012-09-21,1723.14,1723.02,1736.99,1718.21,-4.57,-0.26,1427.74,0.0,0.0,0.0,0.0,0.0,0.0,2,1967.31,1577.39
2012-09-24,1716.13,1728.93,1734.85,1707.81,5.91,0.34,1482.66,0.0,0.0,0.0,18.18,27.25,0.05,2,1957.7,1569.69
2012-09-25,1725.28,1728.47,1736.35,1722.08,-0.46,-0.03,1111.32,0.0,0.0,0.0,18.89,24.46,7.75,1,1949.61,1563.2
2012-09-26,1726.24,1714.73,1731.17,1709.32,-13.75,-0.8,1243.02,0.0,0.0,0.0,14.86,21.26,2.06,1,1940.46,1555.87
2012-09-27,1714.46,1762.68,1776.43,1713.31,47.95,2.8,2344.84,1825.37,1764.26,1703.15,30.32,24.28,42.39,2,1937.62,1553.58
2012-09-28,1748.58,1780.41,1785.77,1746.22,17.73,1.01,2098.6,1825.81,1764.49,1703.17,51.25,33.27,87.22,2,1935.48,1551.87
2012-10-08,1779.38,1774.2,1791.19,1761.56,-6.21,-0.35,1377.51,1825.74,1764.45,1703.16,60.71,42.42,97.29,2,1936.48,1552.68
2012-10-09,1780.37,1805.32,1812.26,1779.62,31.12,1.75,2158.35,1830.51,1766.75,1703.0,71.59,52.14,110.49,2,1942.47,1557.47
2012-10-10,1803.4,1802.75,1805.81,1792.25,-2.57,-0.14,1753.58,1834.41,1769.66,1704.91,78.03,60.77,112.54,2,1947.84,1561.78
2012-10-11,1798.18,1792.34,1799.64,1786.21,-10.4,-0.58,1685.22,1836.63,1771.5,1706.36,78.99,66.84,103.29,2,1955.03,1567.54
2012-10-12,1797.7,1796.93,1814.69,1787.59,4.59,0.26,1715.65,1833.46,1770.51,1707.57,80.38,71.36,98.42,2,1963.23,1574.12
2012-10-15,1798.9,1796.49,1805.33,1785.17,-0.45,-0.02,1191.86,1830.3,1769.56,1708.83,81.16,74.62,94.23,2,1970.73,1580.13
2012-10-16,1795.07,1794.84,1806.06,1788.11,-1.65,-0.09,1469.11,1829.35,1769.24,1709.12,80.91,76.72,89.3,2,1978.1,1586.04
2012-10-17,1799.71,1794.45,1803.41,1783.65,-0.38,-0.02,1484.13,1828.98,1769.1,1709.23,77.42,76.95,78.36,2,1986.95,1593.14
2012-10-18,1796.6,1811.4,1818.0,1792.52,16.95,0.94,2073.07,1832.41,1770.26,1708.1,81.05,78.32,86.51,2,1992.35,1597.47
2012-10-19,1809.77,1812.34,1816.27,1806.6,0.94,0.05,1416.87,1834.48,1770.89,1707.3,82.45,79.7,87.96,2,1995.9,1600.31
2012-10-22,1805.28,1819.61,1824.85,1802.99,7.27,0.4,1497.15,1840.56,1773.61,1706.67,84.06,81.15,89.88,2,2000.94,1604.36
2012-10-23,1819.92,1804.55,1826.46,1803.3,-15.07,-0.83,1749.18,1843.7,1776.27,1708.84,72.31,78.21,60.53,2,2000.85,1604.29
2012-10-24,1800.73,1803.98,1813.31,1798.28,-0.57,-0.03,1439.42,1846.42,1778.75,1711.08,64.04,73.48,45.15,2,2000.99,1604.4
2012-10-25,1801.7,1790.96,1810.23,1789.1,-13.02,-0.72,1732.33,1845.52,1781.92,1718.32,48.38,65.12,14.92,2,2000.84,1604.27
2012-10-26,1789.76,1765.18,1793.39,1757.68,-25.78,-1.44,1878.8,1842.25,1784.03,1725.8,35.89,55.38,-3.08,2,1997.31,1601.45
2012-10-29,1761.77,1755.34,1767.3,1751.69,-9.84,-0.56,1397.84,1839.57,1785.35,1731.12,25.55,45.44,-14.21,2,1992.74,1597.79
2012-10-30,1756.26,1756.9,1768.66,1748.48,1.56,0.09,1555.62,1836.24,1786.77,1737.3,20.64,37.17,-12.43,2,1988.53,1594.41
2012-10-31,1757.08,1760.63,1764.12,1749.41,3.73,0.21,1404.3,1828.11,1789.06,1750.02,18.95,31.1,-5.34,2,1984.78,1591.4
2012-11-01,1762.13,1793.27,1798.62,1761.99,32.63,1.85,2139.81,1827.74,1790.59,1753.45,31.78,31.32,32.69,2,1982.77,1589.79
2012-11-02,1794.77,1809.36,1813.45,1788.7,16.09,0.9,2034.31,1829.74,1792.04,1754.35,47.21,36.62,68.39,2,1982.44,1589.52
2012-11-05,1806.9,1806.23,1814.97,1796.05,-3.13,-0.17,2056.92,1830.89,1793.64,1756.4,60.43,44.55,92.17,2,1980.95,1588.33
2012-11-06,1805.69,1804.21,1807.11,1777.89,-2.02,-0.11,1889.26,1830.77,1793.59,1756.41,68.22,52.44,99.78,2,1980.91,1588.3
2012-11-07,1799.78,1800.24,1805.75,1788.67,-3.97,-0.22,1327.32,1830.54,1793.46,1756.39,71.43,58.77,96.75,2,1980.5,1587.97
2012-11-08,1788.94,1779.54,1791.3,1776.39,-20.7,-1.15,1550.76,1830.39,1792.82,1755.26,63.19,60.25,69.08,2,1979.23,1586.95
2012-11-09,1774.66,1778.77,1782.44,1770.66,-0.78,-0.04,1325.03,1829.92,1791.91,1753.91,57.31,59.27,53.4,2,1980.74,1588.16
2012-11-12,1777.83,1786.04,1787.58,1769.92,7.28,0.41,1491.1,1829.42,1791.39,1753.37,56.83,58.46,53.59,2,1984.15,1590.89
2012-11-13,1784.26,1763.55,1784.26,1757.05,-22.49,-1.26,1506.53,1829.69,1789.83,1749.97,41.63,52.85,19.19,2,1984.88,1591.48
2012-11-14,1761.56,1768.84,1770.66,1755.81,5.29,0.3,1102.95,1829.36,1788.55,1747.73,35.09,46.93,11.42,2,1985.8,1592.21
2012-11-15,1760.32,1753.74,1766.78,1753.41,-15.1,-0.85,1209.71,1827.74,1785.66,1743.59,23.58,39.14,-7.56,2,1981.41,1588.7
2012-11-16,1750.75,1739.18,1752.33,1727.65,-14.56,-0.83,1239.86,1826.8,1782.01,1737.21,20.55,32.95,-4.23,2,1973.62,1582.45
2012-11-19,1737.23,1740.55,1742.07,1721.79,1.37,0.08,1122.81,1822.83,1778.05,1733.27,21.15,29.02,5.42,2,1966.33,1576.6
2012-11-20,1743.22,1733.22,1744.91,1723.54,-7.33,-0.42,988.25,1821.56,1774.49,1727.41,19.58,25.87,7.0,1,1958.45,1570.29
2012-11-21,1731.66,1750.45,1752.81,1724.4,17.23,0.99,1312.23,1817.95,1771.81,1725.67,27.58,26.44,29.85,1,1952.92,1565.86
2012-11-22,1744.53,1745.35,1747.85,1736.19,-5.1,-0.29,997.57,1816.16,1769.53,1722.9,30.32,27.73,35.5,2,1949.13,1562.81
2012-11-23,1749.31,1756.88,1763.6,1745.35,11.53,0.66,1298.33,1816.04,1769.11,1722.19,38.94,31.47,53.88,2,1946.7,1560.86
2012-11-26,1751.28,1751.53,1756.49,1744.11,-5.35,-0.3,1012.77,1816.1,1768.92,1721.74,46.24,36.39,65.94,2,1942.87,1557.79
2012-11-27,1746.15,1738.42,1748.44,1735.7,-13.11,-0.75,1393.76,1816.78,1768.0,1719.22,43.15,38.65,52.16,2,1940.08,1555.56
2012-11-28,1734.16,1733.8,1735.69,1726.66,-4.62,-0.27,1282.86,1817.61,1766.66,1715.71,38.34,38.54,37.94,2,1936.19,1552.44
2012-11-29,1734.27,1724.28,1739.85,1723.09,-9.52,-0.55,1367.74,1815.8,1763.21,1710.62,27.55,34.88,12.88,2,1932.92,1549.82
2012-11-30,1721.76,1732.92,1739.07,1720.62,8.63,0.5,1388.69,1809.03,1759.39,1709.74,27.9,32.55,18.6,2,1932.22,1549.26
2012-12-03,1730.01,1723.0,1741.14,1720.18,-9.92,-0.57,1509.87,1802.36,1755.23,1708.09,20.77,28.62,5.05,2,1930.27,1547.7
2012-12-04,1721.04,1732.44,1737.03,1716.77,9.43,0.55,1494.42,1793.99,1751.64,1709.28,25.0,27.42,20.16,2,1930.19,1547.63
2012-12-05,1732.0,1782.7,1790.86,1729.64,50.27,2.9,3732.92,1789.63,1750.76,1711.89,46.33,33.72,71.54,2,1933.77,1550.5
2012-12-06,1780.86,1785.0,1790.35,1774.26,2.3,0.13,2292.74,1790.78,1751.03,1711.29,61.58,43.01,98.73,2,1938.17,1554.03
2012-12-07,1784.9,1811.13,1813.98,1779.81,26.13,1.46,3564.38,1798.89,1752.65,1706.42,73.41,53.14,113.95,2,1944.19,1558.85
2012-12-10,1818.09,1833.08,1839.14,1815.95,21.95,1.21,3411.74,1811.45,1755.0,1698.55,80.62,62.3,117.26,2,1953.24,1566.11
2012-12-11,1827.26,1827.5,1841.65,1821.66,-5.58,-0.3,2591.13,1822.87,1758.2,1693.53,83.31,69.3,111.31,2,1963.13,1574.04
2012-12-12,1826.93,1837.65,1843.7,1823.32,10.15,0.56,2296.03,1834.95,1761.64,1688.33,87.28,75.3,111.25,2,1974.66,1583.28
2012-12-13,1832.72,1818.52,1834.67,1816.38,-19.13,-1.04,2022.38,1842.13,1764.88,1687.63,84.91,78.5,97.72,2,1985.12,1591.67
2012-12-14,1820.3,1914.65,1920.1,1820.08,96.13,5.29,5247.41,1873.72,1773.65,1673.59,89.05,82.02,103.11,2,2005.29,1607.84
2012-12-17,1917.64,1917.86,1929.49,1906.5,3.21,0.17,4262.62,1899.3,1782.52,1665.73,90.76,84.93,102.41,0,2026.92,1625.19
2012-12-18,1911.95,1924.0,1945.12,1902.77,6.14,0.32,4111.61,1921.64,1792.06,1662.47,89.72,86.53,96.1,0,2048.18,1642.24
2012-12-19,1919.93,1916.07,1932.42,1910.43,-7.93,-0.41,2808.45,1939.07,1800.34,1661.6,87.29,86.78,88.3,0,2062.99,1654.11
2012-12-20,1910.49,1914.62,1923.41,1893.46,-1.46,-0.08,2828.6,1953.61,1808.8,1664.0,83.65,85.74,79.49,2,2077.37,1665.64
2012-12-21,1916.61,1898.09,1931.19,1893.93,-16.52,-0.86,2815.91,1963.59,1815.86,1668.13,76.93,82.8,65.18,2,2087.03,1673.38
2012-12-24,1897.01,1910.55,1923.2,1895.08,12.46,0.66,2309.15,1973.94,1823.81,1673.69,75.67,80.42,66.15,2,2095.63,1680.28
2012-12-25,1905.81,1966.58,1977.37,1900.83,56.03,2.93,4283.22,1992.17,1835.22,1678.27,81.54,80.8,83.04,2,2111.06,1692.65
2012-12-26,1964.48,1960.25,1968.4,1951.14,-6.33,-0.32,3085.09,2005.26,1846.54,1687.83,84.07,81.89,88.43,2,2124.67,1703.57
2012-12-27,1963.44,1941.2,1973.42,1939.25,-19.05,-0.97,3121.36,2010.76,1857.39,1704.02,75.01,79.59,65.84,2,2138.29,1714.48
2012-12-28,1943.64,1971.13,1973.71,1941.03,29.93,1.54,3194.64,2019.11,1869.3,1719.49,80.86,80.02,82.55,2,2144.56,1719.51
2012-12-31,1974.05,2015.82,2017.17,1974.05,44.69,2.27,3860.67,2030.91,1883.94,1736.98,86.88,82.3,96.02,2,2155.43,1728.23
2013-01-04,2041.83,2037.22,2058.63,2017.44,21.4,1.06,4226.95,2043.33,1899.18,1755.04,86.93,83.85,93.1,2,2168.0,1738.31
2013-01-07,2031.31,2048.22,2058.35,2026.22,11.01,0.54,3274.59,2060.11,1912.46,1764.8,89.18,85.62,96.29,2,2182.67,1750.07
2013-01-08,2048.58,2019.85,2051.18,2009.47,-28.37,-1.39,3261.93,2066.71,1924.2,1781.69,84.88,85.38,83.9,2,2194.35,1759.43
2013-01-09,2014.61,2012.2,2026.42,2002.65,-7.66,-0.38,3105.97,2071.71,1934.25,1796.79,80.11,83.62,73.1,2,2207.02,1769.59
2013-01-10,2012.65,2021.55,2033.86,2009.96,9.35,0.46,2953.62,2077.91,1943.68,1809.45,76.39,81.21,66.74,2,2219.34,1779.47
2013-01-11,2023.97,1990.21,2028.08,1980.16,-31.34,-1.55,3397.97,2076.26,1951.81,1827.37,65.16,75.86,43.75,2,2221.96,1781.57
2013-01-14,1983.69,2060.38,2068.46,1982.01,70.17,3.53,4294.14,2084.36,1962.95,1841.54,74.66,75.46,73.05,2,2233.07,1790.48
2013-01-15,2060.03,2066.01,2073.35,2056.02,5.63,0.27,4296.78,2085.24,1975.32,1865.41,80.64,77.19,87.55,2,2246.93,1801.59
2013-01-16,2061.73,2041.71,2066.81,2012.24,-24.3,-1.18,3847.26,2091.52,1981.68,1871.84,75.78,76.72,73.9,2,2254.76,1807.87
2013-01-17,2035.24,2017.25,2036.07,2005.59,-24.46,-1.2,3110.16,2093.44,1986.65,1879.85,63.78,72.41,46.54,2,2254.92,1808.0
2013-01-18,2028.82,2044.38,2057.16,2016.85,27.14,1.35,3476.31,2098.22,1992.66,1887.11,65.49,70.1,56.28,2,2255.72,1808.64
2013-01-21,2047.49,2051.45,2054.28,2027.07,7.07,0.35,3778.15,2101.78,1999.43,1897.08,69.16,69.79,67.91,2,2256.07,1808.92
2013-01-22,2048.41,2063.61,2091.66,2034.19,12.16,0.59,5087.39,2105.06,2006.88,1908.71,71.06,70.21,72.75,2,2260.93,1812.82
2013-01-23,2055.68,2071.39,2074.11,2047.49,7.78,0.38,3797.31,2103.89,2015.55,1927.21,74.64,71.69,80.56,2,2267.5,1818.09
2013-01-24,2071.81,2070.68,2129.26,2054.55,-0.7,-0.03,5630.8,2100.69,2023.55,1946.42,69.84,71.07,67.36,2,2272.95,1822.46
2013-01-25,2068.4,2052.1,2076.0,2047.87,-18.59,-0.9,2701.72,2101.25,2027.83,1954.41,59.09,67.08,43.12,2,2279.82,1827.97
2013-01-28,2056.39,2117.29,2118.9,2055.26,65.19,3.18,4657.81,2112.05,2035.68,1959.32,69.5,67.89,72.73,2,2286.14,1833.03
