time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,3142.27,3152.65,3176.66,3135.97,2.61,0.08,137.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,3143.05,3188.22,3201.75,3137.13,35.57,1.13,187.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,3188.45,3164.32,3216.47,3162.23,-23.9,-0.75,209.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,3145.49,3144.26,3163.07,3101.01,-20.07,-0.63,183.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,3157.22,3182.01,3191.08,3150.91,37.76,1.2,201.77,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,3211.47,3360.54,3400.18,3211.47,178.52,5.61,617.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3376.13,3410.3,3416.52,3339.23,49.76,1.48,501.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3382.93,3367.51,3382.93,3347.06,-42.79,-1.25,302.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3387.48,3412.1,3425.38,3372.2,44.6,1.32,336.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3411.32,3346.1,3415.37,3345.03,-66.0,-1.93,235.83,0.0,0.0,0.0,0.0,0.0,0.0,2,3632.81,2912.79
2012-09-14,3419.68,3384.76,3447.96,3359.22,38.66,1.16,373.09,0.0,0.0,0.0,0.0,0.0,0.0,2,3658.57,2933.45
2012-09-17,3383.39,3275.82,3383.39,3274.7,-108.94,-3.22,231.57,0.0,0.0,0.0,0.0,0.0,0.0,2,3668.3,2941.25
2012-09-18,3247.73,3223.57,3258.81,3208.58,-52.25,-1.59,199.69,0.0,0.0,0.0,0.0,0.0,0.0,2,3674.87,2946.52
2012-09-19,3224.99,3260.45,3263.39,3210.23,36.88,1.14,163.87,0.0,0.0,0.0,0.0,0.0,0.0,2,3687.77,2956.86
2012-09-20,3241.06,3139.45,3241.06,3139.12,-121.01,-3.71,205.74,0.0,0.0,0.0,0.0,0.0,0.0,2,3683.05,2953.07
2012-09-21,3135.25,3178.83,3246.4,3135.25,39.38,1.25,231.88,0.0,0.0,0.0,0.0,0.0,0.0,2,3662.88,2936.9
2012-09-24,3158.1,3235.89,3263.35,3131.87,57.06,1.8,249.6,0.0,0.0,0.0,29.18,41.42,4.71,2,3643.52,2921.38
2012-09-25,3212.82,3222.32,3246.76,3189.35,-13.56,-0.42,187.62,0.0,0.0,0.0,28.99,37.28,12.42,2,3627.4,2908.46
2012-09-26,3212.25,3172.21,3242.94,3166.31,-50.12,-1.56,215.13,0.0,0.0,0.0,23.58,32.71,5.32,2,3600.77,2887.11
2012-09-27,3166.37,3307.42,3342.58,3165.9,135.21,4.26,406.47,3440.87,3256.44,3072.0,38.99,34.81,47.35,2,3596.48,2883.66
2012-09-28,3273.57,3359.36,3362.52,3269.75,51.94,1.57,368.4,3449.95,3266.77,3083.6,58.87,42.83,90.95,2,3593.66,2881.4
2012-10-08,3348.12,3310.09,3364.55,3287.43,-49.26,-1.47,218.93,3453.27,3272.87,3092.46,64.78,50.14,94.04,2,3597.46,2884.45
2012-10-09,3324.43,3385.12,3401.37,3324.43,75.03,2.27,356.32,3463.41,3283.91,3104.4,74.51,58.26,106.99,2,3615.4,2898.83
2012-10-10,3382.82,3400.18,3412.63,3369.47,15.06,0.44,287.88,3470.97,3296.7,3122.43,81.53,66.02,112.54,2,3630.91,2911.27
2012-10-11,3386.74,3336.02,3386.74,3334.14,-64.16,-1.89,239.6,3471.17,3304.4,3137.63,78.59,70.21,95.35,2,3652.73,2928.76
2012-10-12,3351.43,3364.24,3386.87,3307.06,28.22,0.85,255.74,3471.61,3304.59,3137.56,79.19,73.2,91.16,2,3673.31,2945.26
2012-10-15,3357.97,3324.66,3359.26,3293.84,-39.58,-1.18,181.34,3460.52,3300.3,3140.09,74.24,73.55,75.63,2,3683.16,2953.16
2012-10-16,3321.67,3321.11,3362.99,3307.04,-3.55,-0.11,202.99,3455.57,3297.98,3140.4,70.46,72.52,66.35,2,3694.13,2961.96
2012-10-17,3340.51,3326.74,3354.53,3291.13,5.63,0.17,240.11,3443.11,3293.72,3144.32,60.27,68.44,43.94,2,3711.28,2975.71
2012-10-18,3331.45,3388.14,3395.15,3331.45,61.4,1.85,329.09,3449.23,3295.82,3142.4,66.99,67.96,65.07,2,3720.24,2982.89
2012-10-19,3387.05,3385.97,3406.14,3374.4,-2.17,-0.06,263.38,3449.44,3295.88,3142.32,70.68,68.86,74.32,2,3723.19,2985.26
2012-10-22,3364.4,3408.33,3409.12,3353.27,22.36,0.66,263.99,3463.29,3302.5,3141.72,79.27,72.33,93.16,2,3734.1,2994.01
2012-10-23,3398.28,3349.99,3404.72,3347.55,-58.34,-1.71,213.78,3466.62,3308.83,3151.04,69.48,71.38,65.67,2,3730.2,2990.88
2012-10-24,3335.78,3323.19,3354.12,3313.8,-26.8,-0.8,175.86,3468.27,3311.96,3155.66,55.38,66.05,34.03,2,3721.65,2984.03
2012-10-25,3315.92,3272.63,3350.57,3272.44,-50.56,-1.52,250.32,3455.05,3318.62,3182.2,36.96,56.35,-1.81,2,3714.61,2978.38
2012-10-26,3264.87,3200.68,3269.94,3185.78,-71.96,-2.2,214.53,3451.93,3319.71,3187.5,26.87,46.52,-12.45,2,3696.46,2963.83
2012-10-29,3189.16,3185.85,3208.57,3173.7,-14.82,-0.46,140.17,3457.33,3317.21,3177.09,19.63,37.56,-16.23,2,3681.05,2951.47
2012-10-30,3186.41,3186.25,3232.76,3181.68,0.39,0.01,178.64,3461.18,3315.41,3169.63,14.86,29.99,-15.4,2,3666.08,2939.47
2012-10-31,3185.32,3225.15,3225.24,3164.17,38.9,1.22,202.2,3454.99,3318.06,3181.12,18.21,26.07,2.49,2,3654.81,2930.43
2012-11-01,3225.28,3272.01,3281.45,3210.02,46.86,1.45,284.44,3454.63,3316.29,3177.94,26.81,26.32,27.81,2,3641.92,2920.09
2012-11-02,3269.81,3271.4,3286.02,3243.32,-0.62,-0.02,203.39,3450.07,3311.89,3173.71,32.73,28.45,41.29,2,3629.2,2909.9
2012-11-05,3272.0,3310.98,3340.89,3270.9,39.59,1.21,327.57,3450.11,3311.93,3173.75,47.59,34.83,73.09,2,3618.39,2901.23
2012-11-06,3303.83,3271.2,3305.59,3225.01,-39.78,-1.2,224.09,3441.23,3306.24,3171.24,50.86,40.18,72.24,2,3609.65,2894.22
2012-11-07,3269.89,3266.36,3303.97,3249.37,-4.84,-0.15,164.16,3428.38,3299.54,3170.71,53.18,44.51,70.53,2,3603.34,2889.16
2012-11-08,3225.05,3143.55,3225.05,3143.15,-122.81,-3.76,199.09,3434.24,3289.92,3145.6,35.52,41.52,23.54,2,3589.01,2877.68
2012-11-09,3138.86,3141.68,3159.43,3128.96,-1.87,-0.06,125.42,3432.49,3278.79,3125.09,25.68,36.24,4.57,2,3582.46,2872.42
2012-11-12,3149.2,3161.34,3170.76,3128.27,19.66,0.63,123.18,3430.92,3270.63,3110.33,22.31,31.59,3.73,2,3579.74,2870.24
