time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,446.59,430.87,446.59,430.87,0.0,-2.59,159.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,428.58,425.49,435.81,425.36,0.0,-1.25,197.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,425.4,435.23,435.72,423.65,0.0,2.29,243.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,433.82,450.85,450.85,431.5,0.0,3.59,301.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,449.29,467.9,468.89,449.29,0.0,3.78,389.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,466.06,463.64,466.85,461.44,0.0,-0.91,241.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,460.72,461.13,466.79,459.74,0.0,-0.54,169.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,462.57,452.47,463.61,449.02,0.0,-1.88,209.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,450.46,447.44,456.33,447.44,0.0,-1.11,155.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,447.86,475.97,476.18,447.86,0.0,6.38,304.4,0.0,0.0,0.0,0.0,0.0,0.0,2,500.72,401.48
2012-01-18,474.42,474.57,494.48,473.52,0.0,-0.29,406.3,0.0,0.0,0.0,0.0,0.0,0.0,2,505.57,405.37
2012-01-19,474.8,490.56,494.47,474.8,0.0,3.37,338.71,0.0,0.0,0.0,0.0,0.0,0.0,2,512.79,411.16
2012-01-20,493.05,495.51,498.64,488.28,0.0,1.01,312.34,0.0,0.0,0.0,0.0,0.0,0.0,2,519.48,416.52
2012-01-30,495.17,483.11,495.17,482.65,0.0,-2.5,209.14,0.0,0.0,0.0,0.0,0.0,0.0,2,523.07,419.39
2012-01-31,484.15,484.18,485.03,480.65,0.0,0.22,129.83,0.0,0.0,0.0,0.0,0.0,0.0,2,524.87,420.84
