time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2373.2,2370.24,2386.52,2369.76,-8.71,-0.37,2628.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2365.38,2383.75,2393.98,2361.87,13.51,0.57,3886.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2384.17,2354.24,2386.8,2348.74,-29.51,-1.24,3417.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2349.71,2343.06,2355.14,2330.92,-11.18,-0.48,3482.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2347.74,2364.55,2365.4,2342.92,21.49,0.92,3226.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2379.94,2460.91,2487.9,2379.94,96.36,4.08,9391.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2463.27,2466.52,2473.88,2453.49,5.61,0.23,6655.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2456.11,2448.15,2456.11,2430.77,-18.37,-0.74,4687.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2460.97,2453.56,2472.25,2432.5,5.42,0.22,4945.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2450.27,2433.6,2458.14,2433.6,-19.97,-0.81,4148.41,0.0,0.0,0.0,0.0,0.0,0.0,2,2672.72,2142.99
2012-09-14,2455.82,2452.49,2467.83,2436.22,18.9,0.78,6132.18,0.0,0.0,0.0,0.0,0.0,0.0,2,2681.85,2150.31
2012-09-17,2448.42,2395.46,2450.15,2394.61,-57.04,-2.33,4889.51,0.0,0.0,0.0,0.0,0.0,0.0,2,2683.15,2151.36
2012-09-18,2386.61,2370.52,2389.17,2364.27,-24.94,-1.04,3317.42,0.0,0.0,0.0,0.0,0.0,0.0,2,2684.96,2152.8
