time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,2820.33,2838.02,2860.27,2809.39,56.8,2.04,3042.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,2802.7,2828.41,2835.6,2792.66,-9.61,-0.34,2543.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,2826.11,2809.72,2845.81,2802.89,-18.69,-0.66,1699.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,2799.19,2774.06,2813.99,2759.13,-35.66,-1.27,2004.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,2768.02,2729.75,2784.91,2723.3,-44.31,-1.6,1627.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,2720.76,2746.86,2749.0,2694.85,17.11,0.63,1561.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,2762.27,2749.62,2774.23,2716.18,2.76,0.1,1501.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,2765.35,2751.91,2770.05,2733.57,2.29,0.08,1678.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,2739.36,2676.48,2739.36,2671.89,-75.43,-2.74,1731.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,2652.1,2592.67,2674.46,2589.11,-83.81,-3.13,2120.2,0.0,0.0,0.0,0.0,0.0,0.0,2,3052.22,2447.28
2011-01-18,2583.81,2589.89,2590.52,2555.53,-2.78,-0.11,1364.82,0.0,0.0,0.0,0.0,0.0,0.0,2,3024.68,2425.19
2011-01-19,2588.05,2665.53,2666.07,2580.51,75.64,2.92,1770.03,0.0,0.0,0.0,0.0,0.0,0.0,2,3006.6,2410.7
2011-01-20,2652.16,2564.65,2656.77,2564.65,-100.88,-3.78,1995.28,0.0,0.0,0.0,0.0,0.0,0.0,2,2979.4,2388.89
2011-01-21,2548.41,2590.26,2622.03,2545.5,25.61,1.0,1968.02,0.0,0.0,0.0,0.0,0.0,0.0,1,2959.0,2372.53
2011-01-24,2595.76,2551.25,2610.29,2549.73,-39.01,-1.51,1931.51,0.0,0.0,0.0,0.0,0.0,0.0,1,2939.18,2356.64
2011-01-25,2547.31,2522.11,2547.31,2504.38,-29.14,-1.14,1512.61,0.0,0.0,0.0,0.0,0.0,0.0,1,2914.24,2336.64
2011-01-26,2520.27,2555.95,2562.35,2520.27,33.84,1.34,1368.13,0.0,0.0,0.0,13.56,12.18,16.32,1,2892.74,2319.4
2011-01-27,2541.18,2616.62,2630.01,2529.46,60.67,2.37,2358.14,0.0,0.0,0.0,31.04,18.47,56.18,2,2877.72,2307.36
