time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1072.73,1079.9,1082.02,1065.36,9.1,0.85,95.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1076.89,1081.99,1081.99,1070.86,2.09,0.19,99.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1080.04,1075.75,1085.28,1072.37,-6.24,-0.58,72.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1074.41,1077.88,1084.88,1068.55,2.13,0.2,83.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1076.37,1062.06,1079.12,1056.83,-15.82,-1.47,66.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1059.16,1061.93,1064.61,1049.29,-0.13,-0.01,53.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1060.94,1062.05,1067.47,1049.71,0.12,0.01,53.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1064.41,1057.96,1065.99,1057.25,-4.09,-0.39,44.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1056.33,1033.62,1056.33,1032.29,-24.34,-2.3,58.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1030.3,997.27,1030.3,994.8,-36.35,-3.52,67.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1175.54,942.55
2011-01-18,994.9,1002.16,1004.54,993.21,4.89,0.49,38.84,0.0,0.0,0.0,0.0,0.0,0.0,2,1166.91,935.63
2011-01-19,1001.13,1018.27,1018.27,1000.6,16.11,1.61,49.76,0.0,0.0,0.0,0.0,0.0,0.0,2,1159.83,929.96
2011-01-20,1018.99,989.83,1018.99,989.83,-28.44,-2.79,51.64,0.0,0.0,0.0,0.0,0.0,0.0,2,1150.3,922.31
2011-01-21,987.52,999.67,1004.61,985.31,9.84,0.99,55.29,0.0,0.0,0.0,0.0,0.0,0.0,2,1141.62,915.35
2011-01-24,1000.25,991.16,1003.05,990.27,-8.51,-0.85,47.13,0.0,0.0,0.0,0.0,0.0,0.0,2,1133.75,909.04
2011-01-25,990.53,988.66,994.56,982.56,-2.5,-0.25,45.05,0.0,0.0,0.0,0.0,0.0,0.0,2,1125.61,902.52
